label,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21
yes,0.0,0.0,0.0,-0.05413752794265747,-0.015464425086975098,-0.018075072018859828,-0.10514700412750244,-0.090695321559906,-0.024015762655494655,-0.12012296915054321,-0.16474449634552002,-0.029664040355442012,-0.11711728572845459,-0.21577012538909912,-0.030413838847039187,-0.07569700479507446,-0.16727697849273682,-0.002266884360892618,-0.09621089696884155,-0.21368056535720825,-0.028237317501066173,-0.09038364887237549,-0.1547645926475525,-0.038290043173788035,-0.07862710952758789,-0.12651270627975464,-0.04091912582373425,-0.037961483001708984,-0.16676753759384155,-0.0031592576284538154,-0.05823099613189697,-0.21069437265396118,-0.029431639982817615,-0.05533343553543091,-0.14417999982833862,-0.03025097101783558,-0.0438113808631897,-0.12340700626373291,-0.02386580109453007,-0.00031375885009765625,-0.15812593698501587,-0.00954759474700495,-0.021571695804595947,-0.1963585615158081,-0.03972861245131298,-0.02124875783920288,-0.12760984897613525,-0.028713549299595797,-0.010553359985351562,-0.10756301879882812,-0.013663178122101272,0.03797471523284912,-0.14281994104385376,-0.017307716234086,0.011894643306732178,-0.17311614751815796,-0.03765194937443539,0.007819414138793945,-0.12088769674301147,-0.029797411336062396,0.01807957887649536,-0.10065716505050659,-0.018539327009079898
yes,0.0,0.0,0.0,-0.060087621212005615,-0.00827491283416748,-0.017900422667480598,-0.11320441961288452,-0.07668948173522949,-0.022174295490003715,-0.1327330470085144,-0.15019536018371582,-0.02655079074702371,-0.13125592470169067,-0.20355933904647827,-0.025802758043028007,-0.08177000284194946,-0.14886581897735596,0.003662243499093165,-0.10410618782043457,-0.1960204839706421,-0.022168890093780647,-0.10096442699432373,-0.13886070251464844,-0.03147865690789331,-0.08961755037307739,-0.110545814037323,-0.03310150512061227,-0.045481860637664795,-0.15168142318725586,0.0028343922595013282,-0.0733410120010376,-0.19262856245040894,-0.025932990466571937,-0.07116800546646118,-0.12378948926925659,-0.026598765035487304,-0.056333303451538086,-0.10266119241714478,-0.018094538231707702,-0.010358572006225586,-0.14575451612472534,-0.004155674004323373,-0.03982728719711304,-0.17681044340133667,-0.035820639212943206,-0.03854244947433472,-0.11009478569030762,-0.02424930640063394,-0.024609386920928955,-0.09129655361175537,-0.0069344206576715806,0.025541305541992188,-0.13535618782043457,-0.012571242158628593,-0.0065593719482421875,-0.15741032361984253,-0.03232776977620233,-0.008298337459564209,-0.10675042867660522,-0.02417052023611177,0.004580020904541016,-0.0875275731086731,-0.012047370416439662
yes,0.0,0.0,0.0,-0.05931788682937622,-0.008784234523773193,-0.01942610825452107,-0.11781787872314453,-0.06135445833206177,-0.0285668921754052,-0.14623284339904785,-0.11850720643997192,-0.03623394566628235,-0.1513388752937317,-0.16825419664382935,-0.0391700555667569,-0.0872495174407959,-0.13562768697738647,-0.012218811465828594,-0.12022310495376587,-0.16577309370040894,-0.03324364396783608,-0.11069852113723755,-0.11331909894943237,-0.03994353014084595,-0.09731751680374146,-0.10092109441757202,-0.042457709936826404,-0.05144685506820679,-0.14154458045959473,-0.012033515526383098,-0.08917403221130371,-0.16542845964431763,-0.03289712118956345,-0.08296394348144531,-0.11055076122283936,-0.029622861100762066,-0.06829661130905151,-0.10342925786972046,-0.02392003956290978,-0.016709506511688232,-0.13449639081954956,-0.016302077947585758,-0.05409276485443115,-0.1619940996170044,-0.03759951788040894,-0.05097168684005737,-0.10532081127166748,-0.021483142776816067,-0.03759765625,-0.09261447191238403,-0.006947875405131754,0.016607463359832764,-0.12215733528137207,-0.02248447845730084,-0.018284976482391357,-0.14191395044326782,-0.035536318002669987,-0.022969067096710205,-0.09814614057540894,-0.02490391108247536,-0.013672173023223877,-0.08047586679458618,-0.014480343005089935
yes,0.0,0.0,0.0,-0.05931788682937622,-0.008784234523773193,-0.01942610825452107,-0.11781787872314453,-0.06135445833206177,-0.0285668921754052,-0.14623284339904785,-0.11850720643997192,-0.03623394566628235,-0.1513388752937317,-0.16825419664382935,-0.0391700555667569,-0.0872495174407959,-0.13562768697738647,-0.012218811465828594,-0.12022310495376587,-0.16577309370040894,-0.03324364396783608,-0.11069852113723755,-0.11331909894943237,-0.03994353014084595,-0.09731751680374146,-0.10092109441757202,-0.042457709936826404,-0.05144685506820679,-0.14154458045959473,-0.012033515526383098,-0.08917403221130371,-0.16542845964431763,-0.03289712118956345,-0.08296394348144531,-0.11055076122283936,-0.029622861100762066,-0.06829661130905151,-0.10342925786972046,-0.02392003956290978,-0.016709506511688232,-0.13449639081954956,-0.016302077947585758,-0.05409276485443115,-0.1619940996170044,-0.03759951788040894,-0.05097168684005737,-0.10532081127166748,-0.021483142776816067,-0.03759765625,-0.09261447191238403,-0.006947875405131754,0.016607463359832764,-0.12215733528137207,-0.02248447845730084,-0.018284976482391357,-0.14191395044326782,-0.035536318002669987,-0.022969067096710205,-0.09814614057540894,-0.02490391108247536,-0.013672173023223877,-0.08047586679458618,-0.014480343005089935
yes,0.0,0.0,0.0,-0.06095230579376221,-0.011466026306152344,-0.028768242262628974,-0.1150505542755127,-0.06463366746902466,-0.041609599180844725,-0.13973701000213623,-0.11878538131713867,-0.051313172020343245,-0.1437912881374359,-0.16914939880371094,-0.05472064290228218,-0.08174079656600952,-0.18077754974365234,-0.013634843677607478,-0.11305111646652222,-0.1669256091117859,-0.040778650828031004,-0.10121864080429077,-0.10720241069793701,-0.054551741965440215,-0.08738446235656738,-0.09052097797393799,-0.06147204238953918,-0.04743993282318115,-0.19092047214508057,-0.011256037205782832,-0.08157646656036377,-0.1618887186050415,-0.03664585474911064,-0.07409387826919556,-0.09787195920944214,-0.03856567192855209,-0.06112313270568848,-0.08832156658172607,-0.03531299058380455,-0.014145135879516602,-0.1796054244041443,-0.014804218821552695,-0.044547080993652344,-0.1466417908668518,-0.039396348335174025,-0.041644275188446045,-0.08887231349945068,-0.027772036306885184,-0.03002828359603882,-0.08321154117584229,-0.015412496328679026,0.017341315746307373,-0.1566227674484253,-0.021976669244793356,-0.006363272666931152,-0.12800222635269165,-0.0365144302326712,-0.007147014141082764,-0.08884328603744507,-0.02974975753608078,0.0023673176765441895,-0.08562231063842773,-0.020998393111256064
yes,0.0,0.0,0.0,-0.06095230579376221,-0.011466026306152344,-0.028768242262628974,-0.1150505542755127,-0.06463366746902466,-0.041609599180844725,-0.13973701000213623,-0.11878538131713867,-0.051313172020343245,-0.1437912881374359,-0.16914939880371094,-0.05472064290228218,-0.08174079656600952,-0.18077754974365234,-0.013634843677607478,-0.11305111646652222,-0.1669256091117859,-0.040778650828031004,-0.10121864080429077,-0.10720241069793701,-0.054551741965440215,-0.08738446235656738,-0.09052097797393799,-0.06147204238953918,-0.04743993282318115,-0.19092047214508057,-0.011256037205782832,-0.08157646656036377,-0.1618887186050415,-0.03664585474911064,-0.07409387826919556,-0.09787195920944214,-0.03856567192855209,-0.06112313270568848,-0.08832156658172607,-0.03531299058380455,-0.014145135879516602,-0.1796054244041443,-0.014804218821552695,-0.044547080993652344,-0.1466417908668518,-0.039396348335174025,-0.041644275188446045,-0.08887231349945068,-0.027772036306885184,-0.03002828359603882,-0.08321154117584229,-0.015412496328679026,0.017341315746307373,-0.1566227674484253,-0.021976669244793356,-0.006363272666931152,-0.12800222635269165,-0.0365144302326712,-0.007147014141082764,-0.08884328603744507,-0.02974975753608078,0.0023673176765441895,-0.08562231063842773,-0.020998393111256064
yes,0.0,0.0,0.0,-0.05838775634765625,-0.010728716850280762,-0.025654938584409592,-0.11705398559570312,-0.05213475227355957,-0.040253451606474755,-0.15060317516326904,-0.09431535005569458,-0.052102191886149285,-0.15705788135528564,-0.13958746194839478,-0.0575054684190377,-0.10097050666809082,-0.18574264645576477,-0.02082602544709289,-0.12620490789413452,-0.15041738748550415,-0.05177441476865852,-0.1130526065826416,-0.09758996963500977,-0.06808082251831138,-0.1017160415649414,-0.09425026178359985,-0.0769507461695298,-0.06263762712478638,-0.1970248520374298,-0.02130870572312915,-0.0880311131477356,-0.1228179931640625,-0.05012043430491531,-0.07926470041275024,-0.07531261444091797,-0.055580227216921685,-0.07103151082992554,-0.08197969198226929,-0.05499286814614379,-0.02500605583190918,-0.18375971913337708,-0.026646394795022843,-0.048520803451538086,-0.10040521621704102,-0.05244383825942123,-0.04143083095550537,-0.05904108285903931,-0.04376821084900939,-0.03291738033294678,-0.06830132007598877,-0.033901559701405404,0.007689177989959717,-0.15808528661727905,-0.035560234030924676,-0.011948883533477783,-0.0835113525390625,-0.053516636183701394,-0.006193220615386963,-0.05399453639984131,-0.050462285569153664,0.00263899564743042,-0.06425350904464722,-0.04346341132207954
yes,0.0,0.0,0.0,-0.05979561805725098,-0.008294224739074707,-0.026930534710004395,-0.1144568920135498,-0.04621076583862305,-0.04374969886691815,-0.14680543541908264,-0.08081454038619995,-0.0569540052309776,-0.16641467809677124,-0.11059755086898804,-0.06451684745104558,-0.10344034433364868,-0.19023752212524414,-0.027916257698848312,-0.12324115633964539,-0.14433300495147705,-0.06026573987753636,-0.12183728814125061,-0.1045113205909729,-0.07949194075615651,-0.12021887302398682,-0.10520261526107788,-0.09068002315314061,-0.06151777505874634,-0.19651958346366882,-0.029080237691118782,-0.08233129978179932,-0.11059069633483887,-0.05621388690622098,-0.08427882194519043,-0.07678639888763428,-0.06326420368702657,-0.08513092994689941,-0.09530472755432129,-0.06563398005516774,-0.02098548412322998,-0.1758655309677124,-0.03464188562782056,-0.042392730712890625,-0.08277153968811035,-0.0579882203236366,-0.04203671216964722,-0.051741063594818115,-0.04900180311949498,-0.039310455322265625,-0.06730151176452637,-0.04052361236961133,0.013258039951324463,-0.14081794023513794,-0.04416723312886006,-0.005940556526184082,-0.06109023094177246,-0.06230376796872861,-0.002720177173614502,-0.044814884662628174,-0.059220337738111084,0.003542959690093994,-0.06606847047805786,-0.05259795250447041
yes,0.0,0.0,0.0,-0.05828791856765747,0.0007982850074768066,-0.0363300084923992,-0.11432135105133057,-0.024306952953338623,-0.060506270811487184,-0.14680898189544678,-0.04411071538925171,-0.07926288394682501,-0.15639826655387878,-0.05995166301727295,-0.09241347162478064,-0.11269691586494446,-0.18639197945594788,-0.04411821214907263,-0.13824552297592163,-0.09674036502838135,-0.07926879970781897,-0.12436029314994812,-0.0576818585395813,-0.10194540171377753,-0.10994318127632141,-0.07295382022857666,-0.11663491426460837,-0.06467050313949585,-0.19160211086273193,-0.04258919654839133,-0.08584469556808472,-0.0753171443939209,-0.07086686192505454,-0.0772256851196289,-0.0434952974319458,-0.07907827346079443,-0.06960874795913696,-0.06711935997009277,-0.08354779480450247,-0.01864713430404663,-0.16993355751037598,-0.04526300875895117,-0.03922230005264282,-0.05303490161895752,-0.07070876060478781,-0.03304910659790039,-0.02553802728652954,-0.0626015454386959,-0.025725841522216797,-0.04656982421875,-0.05525835005991553,0.020129621028900146,-0.1345301866531372,-0.05250346063129996,0.0036698579788208008,-0.03913378715515137,-0.07209094761364554,0.006155431270599365,-0.02132171392440796,-0.0692611425971279,0.012511849403381348,-0.04503363370895386,-0.06307012735359763
yes,0.0,0.0,0.0,-0.06455758213996887,0.018519997596740723,-0.04534631916851595,-0.12931367754936218,0.011226952075958252,-0.07561324858636453,-0.16460952162742615,-0.004157006740570068,-0.09825262004108026,-0.17150166630744934,-0.04558628797531128,-0.11358413422078684,-0.1306075155735016,-0.16786712408065796,-0.06026195311517313,-0.13921499252319336,-0.048904359340667725,-0.09358897381991937,-0.12721574306488037,-0.012889325618743896,-0.11215543323726251,-0.12070721387863159,-0.037142276763916016,-0.12619205141038492,-0.07776662707328796,-0.1856439709663391,-0.05617742934794023,-0.08443456888198853,-0.037258028984069824,-0.08586887592048242,-0.0809442400932312,-0.017034709453582764,-0.09356957995862558,-0.08208763599395752,-0.053827106952667236,-0.0992034258839567,-0.024103522300720215,-0.17261654138565063,-0.05588085526198938,-0.03341794013977051,-0.03138017654418945,-0.08207015269965723,-0.032337963581085205,-0.007057487964630127,-0.07005520486802652,-0.03241157531738281,-0.03616267442703247,-0.0613400633034189,0.021283507347106934,-0.13994097709655762,-0.061247776686855104,0.012950360774993896,-0.025728285312652588,-0.08569326573581293,0.012581944465637207,-0.01030498743057251,-0.08384564095706537,0.012837707996368408,-0.039516329765319824,-0.07808205062121942
