label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
B,0.0,0.0,0.0,0.11566206812858582,-0.06213486194610596,-0.07680928151910393,0.1675233542919159,-0.20348066091537476,-0.09817386608426659,0.05713507533073425,-0.293052077293396,-0.11003348421161263,-0.05603703856468201,-0.29913002252578735,-0.12062879841630547,0.18188020586967468,-0.3754050135612488,-0.0400322880954036,0.18807217478752136,-0.5357639193534851,-0.07401807796065896,0.17965218424797058,-0.6361639499664307,-0.10893126021926491,0.16933318972587585,-0.7213937640190125,-0.13587872128789513,0.09111273288726807,-0.39725983142852783,-0.03126397918765633,0.0969468355178833,-0.565393328666687,-0.05865160193150132,0.0899190604686737,-0.6764867305755615,-0.09477487396304696,0.08214908838272095,-0.7700779438018799,-0.12083512734477608,0.014157474040985107,-0.3871522545814514,-0.0318722259611377,0.009721308946609497,-0.543313592672348,-0.05957461710875123,0.006041586399078369,-0.6461024582386017,-0.08952298950259774,-0.0014886558055877686,-0.7296424806118011,-0.10904012810294716,-0.06348589062690735,-0.3503866195678711,-0.04048664312665551,-0.06245949864387512,-0.47913265228271484,-0.06398429166381447,-0.05901658535003662,-0.5621533393859863,-0.07469548474853127,-0.05847357213497162,-0.6375912427902222,-0.08101557385032265
B,0.0,0.0,0.0,0.1154586672782898,-0.06589460372924805,-0.07632650852013967,0.16525337100028992,-0.2060956358909607,-0.10033661544133565,0.05266296863555908,-0.29553353786468506,-0.115971442757143,-0.05966193974018097,-0.307242751121521,-0.13039448529292486,0.18118727207183838,-0.382732093334198,-0.03935845985819242,0.1885819435119629,-0.5430379509925842,-0.07674806982089422,0.1808742880821228,-0.6438086330890656,-0.11327685087729833,0.169194757938385,-0.7287266254425049,-0.14118265777636907,0.0899992287158966,-0.4032195806503296,-0.033489093629611943,0.09660530090332031,-0.5735794305801392,-0.0649712350945606,0.09106141328811646,-0.6846408247947693,-0.10210470527221105,0.08444014191627502,-0.7779999375343323,-0.1284926053862705,0.011669784784317017,-0.3913538455963135,-0.03776402815987012,0.010098457336425781,-0.5526170134544373,-0.07047598480988881,0.004822969436645508,-0.6588446199893951,-0.1027946290354862,-0.004509955644607544,-0.7467008233070374,-0.12330941527892492,-0.06520344316959381,-0.35378891229629517,-0.049907885936988805,-0.06343898177146912,-0.48354583978652954,-0.07775272100974462,-0.06029289960861206,-0.5661013424396515,-0.09119828462411306,-0.060363784432411194,-0.6417282521724701,-0.09919818907786748
B,0.0,0.0,0.0,0.11070588231086731,-0.07570242881774902,-0.07944867031790181,0.16230550408363342,-0.20500075817108154,-0.1114267559549944,0.05336567759513855,-0.28358525037765503,-0.13534136878467962,-0.05405968427658081,-0.30040407180786133,-0.1570425854823725,0.18139877915382385,-0.3903965353965759,-0.045405466278566564,0.1848120391368866,-0.5494991540908813,-0.09111870097137853,0.1757310926914215,-0.6494692265987396,-0.1334091352126734,0.1666235625743866,-0.734731137752533,-0.16393623517967626,0.08850309252738953,-0.40791136026382446,-0.03885072859145566,0.09770944714546204,-0.5813807249069214,-0.07640708999849721,0.09236147999763489,-0.691325843334198,-0.11456842737413808,0.08771422505378723,-0.7834479212760925,-0.14136783050514623,0.010871648788452148,-0.39471739530563354,-0.043127399106992925,0.011005699634552002,-0.5581687986850739,-0.08006979541994497,0.006699919700622559,-0.6628523468971252,-0.11022751795269414,-0.00013151764869689941,-0.7478680312633514,-0.12894126044727727,-0.06721439957618713,-0.35360777378082275,-0.05555360781170293,-0.0622846782207489,-0.4851883053779602,-0.0852453412315981,-0.05877181887626648,-0.5662818253040314,-0.0981743933460848,-0.0607781708240509,-0.6394151747226715,-0.10528123395658895
B,0.0,0.0,0.0,0.09441012144088745,-0.09135514497756958,-0.08306413997473783,0.12813353538513184,-0.22690963745117188,-0.11670019586148328,0.029494434595108032,-0.3082600235939026,-0.1438709582811839,-0.08272033929824829,-0.3308870196342468,-0.16749266643586225,0.10719519853591919,-0.40745681524276733,-0.037002970618630115,0.12226086854934692,-0.5667007565498352,-0.08618684966626233,0.1201966404914856,-0.6598774790763855,-0.13113779683175153,0.11243313550949097,-0.7501671016216278,-0.16412193436684674,0.02136644721031189,-0.42405906319618225,-0.030142861572528545,0.0376814603805542,-0.5994373559951782,-0.06596240509810514,0.029241323471069336,-0.7041328251361847,-0.09999970455231733,0.021783769130706787,-0.802860677242279,-0.1282086755758769,-0.052524954080581665,-0.4081072211265564,-0.037248683316136066,-0.04821258783340454,-0.5738732218742371,-0.07834290076556272,-0.05258822441101074,-0.6765159070491791,-0.10150265802207059,-0.058134257793426514,-0.7678702771663666,-0.11727035899224347,-0.12797829508781433,-0.3600851893424988,-0.0541536409086234,-0.1237151026725769,-0.49808555841445923,-0.08652822781863279,-0.11773860454559326,-0.5828151106834412,-0.09788749475541181,-0.11534702777862549,-0.6570228338241577,-0.1062890600091464
B,0.0,0.0,0.0,0.10762256383895874,-0.07695162296295166,-0.07140086192612216,0.154504656791687,-0.2158600091934204,-0.09480825412992999,0.04429274797439575,-0.3027154207229614,-0.11104869443897769,-0.06516975164413452,-0.3157746195793152,-0.125483263022943,0.16109353303909302,-0.3780841827392578,-0.03732337031487987,0.16326630115509033,-0.5345982909202576,-0.07445680696491763,0.1558997631072998,-0.6292221248149872,-0.11007650542978809,0.14468789100646973,-0.7097508013248444,-0.13628228355173633,0.0712994933128357,-0.39878639578819275,-0.033513761795802566,0.07337591052055359,-0.5653765201568604,-0.06251788485769794,0.06500473618507385,-0.671771377325058,-0.09692482251648471,0.05489325523376465,-0.7615974247455597,-0.12102426934961841,-0.0038330256938934326,-0.38777947425842285,-0.03928612146501109,-0.009307920932769775,-0.543621301651001,-0.06815179783825442,-0.012940019369125366,-0.6435240209102631,-0.09702700722937152,-0.022165298461914062,-0.7271628081798553,-0.11507632929806277,-0.07730954885482788,-0.35008758306503296,-0.052658382542176696,-0.08135277032852173,-0.4751869738101959,-0.07596571344856784,-0.08072343468666077,-0.5531395077705383,-0.08479008425001666,-0.08445468544960022,-0.6208973824977875,-0.08927344877247378
B,0.0,0.0,0.0,0.10883873701095581,-0.07127195596694946,-0.06569325985753949,0.1548643708229065,-0.20342379808425903,-0.08795318814361508,0.04601660370826721,-0.2830228805541992,-0.10355614187562878,-0.06320974230766296,-0.29350149631500244,-0.11818327071512158,0.15910989046096802,-0.3657054305076599,-0.03945057528460438,0.1614554524421692,-0.5214647948741913,-0.07557080002868588,0.15208148956298828,-0.618097722530365,-0.10872745575750287,0.13513576984405518,-0.6982398629188538,-0.13237278225267346,0.07021316885948181,-0.38505929708480835,-0.03753002794826443,0.07367557287216187,-0.5528440177440643,-0.06516981186712201,0.06592515110969543,-0.6610640287399292,-0.09711491378391202,0.05359718203544617,-0.7480376958847046,-0.11870302321756299,-0.006530255079269409,-0.37311112880706787,-0.0442679456099313,-0.01205107569694519,-0.5305967330932617,-0.07140377970779355,-0.016057848930358887,-0.6296599805355072,-0.10018088730419095,-0.0254744291305542,-0.7098395228385925,-0.11756008180225308,-0.08225306868553162,-0.33559107780456543,-0.05782269748294766,-0.0849958062171936,-0.4604249596595764,-0.07994190665328915,-0.08379867672920227,-0.5371966361999512,-0.0892261570915025,-0.0863451361656189,-0.6024600565433502,-0.09364883663499768
B,0.0,0.0,0.0,0.13777554035186768,-0.07045906782150269,-0.11376291368264901,0.21910715103149414,-0.20421051979064941,-0.1572642907883619,0.17222744226455688,-0.32359784841537476,-0.1871054307009672,0.0848228931427002,-0.40819454193115234,-0.21366654191274392,0.13348126411437988,-0.3816533386707306,-0.07398894284028756,0.14021122455596924,-0.5551355481147766,-0.12363120768327462,0.1313679814338684,-0.6546858102083206,-0.16854123626012552,0.11683762073516846,-0.7447474002838135,-0.201503409483621,0.05197572708129883,-0.39745354652404785,-0.05204131309051263,0.05895274877548218,-0.5893433094024658,-0.09359814081449258,0.050809502601623535,-0.7002633512020111,-0.13879714761037576,0.042142629623413086,-0.7949506938457489,-0.17405034456510293,-0.023103833198547363,-0.38601458072662354,-0.04411418218273866,-0.015074610710144043,-0.5668256282806396,-0.08741182688731897,-0.01759776473045349,-0.6755091398954391,-0.12761992070932138,-0.020359724760055542,-0.7632899880409241,-0.156066580155084,-0.10024482011795044,-0.3511577844619751,-0.04704762477535951,-0.09135031700134277,-0.49458804726600647,-0.08303438726920831,-0.0873212218284607,-0.5810473561286926,-0.10705499950904596,-0.08666229248046875,-0.6575628221035004,-0.125563068726251
B,0.0,0.0,0.0,0.13698339462280273,-0.070198655128479,-0.13510529279074035,0.21716642379760742,-0.1911824345588684,-0.19078492700418792,0.17587196826934814,-0.30888932943344116,-0.23248228012880645,0.07975912094116211,-0.38825857639312744,-0.2730347174342569,0.14558535814285278,-0.3595210015773773,-0.059064097249120096,0.15529710054397583,-0.5227596759796143,-0.090130004578441,0.14562207460403442,-0.6219278275966644,-0.13011516212782226,0.13158011436462402,-0.7048353254795074,-0.16344424664339385,0.06302332878112793,-0.3699154853820801,-0.027982109704225877,0.07158076763153076,-0.5517941117286682,-0.048760029965251306,0.06163191795349121,-0.6636068224906921,-0.09736059188207946,0.05388826131820679,-0.7593027055263519,-0.1400635796721872,-0.013015836477279663,-0.3624032735824585,-0.013953794271856168,-0.004647374153137207,-0.531791090965271,-0.0372965778346952,-0.006899833679199219,-0.6411268264055252,-0.0872717904981073,-0.009711742401123047,-0.7223922610282898,-0.12936999976000152,-0.09113579988479614,-0.33723029494285583,-0.013838006661444524,-0.0837564468383789,-0.4701322317123413,-0.03727931111416183,-0.08396553993225098,-0.5558221340179443,-0.06814214914402328,-0.0849841833114624,-0.6270720213651657,-0.09784958093723617
B,0.0,0.0,0.0,0.12245333194732666,-0.050649404525756836,-0.06684059282196131,0.1891571283340454,-0.15803545713424683,-0.08715957035673227,0.15126383304595947,-0.2621135711669922,-0.09959196676862803,0.07580447196960449,-0.3115224242210388,-0.11329778661382761,0.1263459324836731,-0.29597991704940796,-0.04511091118109789,0.13059180974960327,-0.4325084090232849,-0.08128989120376673,0.1225094199180603,-0.5201982259750366,-0.11514213313711252,0.11122369766235352,-0.5945194065570831,-0.13999236007583704,0.05363374948501587,-0.3141687512397766,-0.03623109315884676,0.05578070878982544,-0.4619750380516052,-0.07046763976467219,0.05132633447647095,-0.5620557814836502,-0.10882081468952265,0.043910324573516846,-0.6426836252212524,-0.13528733333004084,-0.012099921703338623,-0.3054960370063782,-0.034847501715546514,-0.012016057968139648,-0.44719329476356506,-0.07015673448694315,-0.009562373161315918,-0.5414770245552063,-0.10602184762609568,-0.011607527732849121,-0.6170560419559479,-0.12848699470413294,-0.081942617893219,-0.27482181787490845,-0.03883330528987017,-0.08159369230270386,-0.38809338212013245,-0.07245298107517328,-0.07703810930252075,-0.462610125541687,-0.0936919712032136,-0.07469773292541504,-0.5267702043056488,-0.1065747477616128
B,0.0,0.0,0.0,0.11917158961296082,-0.019666731357574463,-0.07196491589905918,0.19752642512321472,-0.1224096417427063,-0.09119299432398975,0.16592392325401306,-0.21544575691223145,-0.10107763489844501,0.10794195532798767,-0.25984251499176025,-0.11045656731488407,0.18774929642677307,-0.27661651372909546,-0.044682793376466634,0.21044877171516418,-0.4001118242740631,-0.07568925997378528,0.2084921896457672,-0.4823675751686096,-0.10535502066971958,0.20269188284873962,-0.5537460446357727,-0.12844217201831043,0.11732783913612366,-0.3034557104110718,-0.03041307633878887,0.13800224661827087,-0.4386526942253113,-0.057808835116645696,0.14597758650779724,-0.5282029509544373,-0.09006956597926319,0.15222856402397156,-0.602093905210495,-0.11306167772175968,0.052510231733322144,-0.2987622618675232,-0.02455098746480644,0.06404140591621399,-0.4280385673046112,-0.05421916028620899,0.07321825623512268,-0.5072204768657684,-0.08639905234934986,0.08278891444206238,-0.5750728249549866,-0.1070850231325835,-0.010932713747024536,-0.27029263973236084,-0.025464613047859075,9.09268856048584e-05,-0.3678106665611267,-0.05204146361114681,0.013535469770431519,-0.4247826039791107,-0.06997140130164325,0.027438253164291382,-0.47565943002700806,-0.08203443518044651
