label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
F,0.0,0.0,0.0,0.09823256731033325,-0.11649197340011597,-0.051843459157339566,0.161493718624115,-0.20680463314056396,-0.07998667508184099,0.17341721057891846,-0.3133251667022705,-0.10785086303769731,0.16306781768798828,-0.4158223569393158,-0.13236363828002595,-0.02522742748260498,-0.29500627517700195,-0.011536992525748246,0.021881818771362305,-0.3836606740951538,-0.06929887682019853,0.08696049451828003,-0.41739413142204285,-0.11919721066772127,0.1516413688659668,-0.4296608567237854,-0.1494892001134076,-0.09308856725692749,-0.3042011559009552,-0.016942637411943906,-0.0877494215965271,-0.4366760849952698,-0.0627020582538762,-0.03448593616485596,-0.5111976265907288,-0.09902460723935747,0.029224693775177002,-0.5661798268556595,-0.12238433807908677,-0.1562911868095398,-0.2900657653808594,-0.03487129732786798,-0.2177378535270691,-0.42827272415161133,-0.08553643375455522,-0.20714834332466125,-0.5231603980064392,-0.11658445596515321,-0.16554245352745056,-0.6009163856506348,-0.13500051796256685,-0.21054458618164062,-0.24682021141052246,-0.05822313427745485,-0.3098394274711609,-0.30505186319351196,-0.10324312597333574,-0.333472341299057,-0.37078800797462463,-0.12387947588979387,-0.3240493834018707,-0.43621495366096497,-0.13573301434337282
F,0.0,0.0,0.0,0.10489189624786377,-0.11716103553771973,-0.05282570735164427,0.1710599660873413,-0.21899527311325073,-0.0784652525240972,0.18975329399108887,-0.32944348454475403,-0.10357087046452307,0.1795622706413269,-0.43330442905426025,-0.12538435996123098,-0.021684706211090088,-0.31514793634414673,-0.011414537547011605,0.027889788150787354,-0.413750022649765,-0.06685490102120184,0.09969192743301392,-0.445635586977005,-0.11335218638726019,0.1682460904121399,-0.4545500874519348,-0.1400368803793981,-0.09593439102172852,-0.32685866951942444,-0.01496310100503706,-0.08708041906356812,-0.4674486517906189,-0.05637765989251875,-0.032024502754211426,-0.5470617413520813,-0.08673180580683493,0.031625986099243164,-0.6035289019346237,-0.10487634629555487,-0.1624763011932373,-0.31118255853652954,-0.0316565999443128,-0.21707287430763245,-0.4609775245189667,-0.07999020755835318,-0.20510178804397583,-0.5619214475154877,-0.10913750470228933,-0.16492193937301636,-0.6396266222000122,-0.12526693881102346,-0.21642690896987915,-0.26428520679473877,-0.053799226289470425,-0.31389355659484863,-0.3320917785167694,-0.09883134007998251,-0.3416052758693695,-0.4004015326499939,-0.11964542359658026,-0.3375808596611023,-0.4651907980442047,-0.13050344527312063
F,0.0,0.0,0.0,0.10253006219863892,-0.126598060131073,-0.037624126205855646,0.15527141094207764,-0.2251099944114685,-0.06297244308393601,0.17604273557662964,-0.33697688579559326,-0.09370220629375581,0.17423361539840698,-0.4447353482246399,-0.12172379521530274,-0.038894474506378174,-0.32539594173431396,0.021671814938372336,8.153915405273438e-05,-0.428632527589798,-0.03246587319176797,0.07146859169006348,-0.4615783095359802,-0.08076007095974091,0.13677167892456055,-0.4681929051876068,-0.10831658718984727,-0.11335742473602295,-0.33122187852859497,0.008234764543658457,-0.11305993795394897,-0.4727812707424164,-0.032766429613047876,-0.04944950342178345,-0.5503308773040771,-0.06258412627380494,0.0192185640335083,-0.6041379421949387,-0.07883225558202867,-0.17769646644592285,-0.3105490803718567,-0.019775628949219026,-0.24704408645629883,-0.4583767354488373,-0.06710502682130937,-0.23130136728286743,-0.5577991604804993,-0.09338345555465821,-0.19050204753875732,-0.6286339163780212,-0.10620629219215516,-0.22435274720191956,-0.26268112659454346,-0.05289613632362489,-0.32691097259521484,-0.3308773636817932,-0.09598851380746964,-0.3548071086406708,-0.40100759267807007,-0.11482303021352891,-0.35146206617355347,-0.4641447961330414,-0.12362224040430192
F,0.0,0.0,0.0,0.09782487154006958,-0.12614762783050537,-0.04196511965801619,0.1488049030303955,-0.22337055206298828,-0.06899435829927825,0.17041397094726562,-0.3315007984638214,-0.1018994600754013,0.17027121782302856,-0.4389594495296478,-0.13130234938671492,-0.04667472839355469,-0.32095035910606384,0.019177487002707494,-0.005544722080230713,-0.4240279495716095,-0.0412476995270481,0.07033783197402954,-0.4548931419849396,-0.09550040226986312,0.14237087965011597,-0.4609234631061554,-0.12659513217022322,-0.11768317222595215,-0.3278301954269409,0.0061481449511120445,-0.12284937500953674,-0.46612802147865295,-0.03921350103428267,-0.061083972454071045,-0.5491045117378235,-0.07344724249651335,0.008675217628479004,-0.6060370355844498,-0.0927495138030281,-0.1802891492843628,-0.3097403049468994,-0.02207635913600825,-0.25046592950820923,-0.45777034759521484,-0.07117542636206053,-0.23645135760307312,-0.5572898387908936,-0.09728409361650847,-0.19324016571044922,-0.6283908188343048,-0.10962732147982024,-0.22863948345184326,-0.26457083225250244,-0.05650348600556754,-0.3344561457633972,-0.3254702091217041,-0.10092946898748778,-0.36302003264427185,-0.39474228024482727,-0.11991199117710494,-0.3559829592704773,-0.45651739835739136,-0.12810274225284957
F,0.0,0.0,0.0,0.095009446144104,-0.11400514841079712,-0.04595610058152033,0.14872127771377563,-0.21222633123397827,-0.07210862195336176,0.171075701713562,-0.3184250295162201,-0.0999984324558909,0.17341285943984985,-0.420521080493927,-0.12426507776820017,-0.045528531074523926,-0.3059546947479248,-0.01059215354018761,-0.003035902976989746,-0.4141804277896881,-0.07111268049322916,0.07230442762374878,-0.44462788105010986,-0.12017559563958002,0.14397293329238892,-0.44887271523475647,-0.14769872581803156,-0.11469900608062744,-0.31709474325180054,-0.018758031783931983,-0.11789560317993164,-0.4569036662578583,-0.06618249720179392,-0.05362290143966675,-0.5376126766204834,-0.09676667606674982,0.01622772216796875,-0.5926204323768616,-0.11341031199538065,-0.17669320106506348,-0.2998214364051819,-0.03964158823930575,-0.24545428156852722,-0.4483898878097534,-0.09164721822583033,-0.23024097084999084,-0.546072393655777,-0.1176845834239657,-0.18644431233406067,-0.6182683110237122,-0.12978352165066553,-0.22554844617843628,-0.25416111946105957,-0.06579128956639124,-0.3328600525856018,-0.3203725814819336,-0.11268884992443873,-0.35591137409210205,-0.3890908658504486,-0.13248835062825037,-0.34348490834236145,-0.4510733485221863,-0.14115665411793543
F,0.0,0.0,0.0,0.09600979089736938,-0.1383344531059265,-0.017080337006973423,0.14603036642074585,-0.23794949054718018,-0.036137374315785564,0.1739501953125,-0.34134721755981445,-0.068595888290929,0.1746014952659607,-0.4498477280139923,-0.09920797703080098,-0.05250054597854614,-0.33501529693603516,0.05962485986538013,-0.01141887903213501,-0.4423295855522156,0.00438302083648523,0.0647207498550415,-0.4724157750606537,-0.05335169491581837,0.13716667890548706,-0.47731101512908936,-0.08834469524435917,-0.11797967553138733,-0.33640944957733154,0.02941725569553455,-0.12354975938796997,-0.4806419312953949,-0.014124367583917774,-0.06370711326599121,-0.5644570887088776,-0.058011813287066616,0.00869971513748169,-0.6161153465509415,-0.08454998788647572,-0.17807021737098694,-0.3159567713737488,-0.015476170193778671,-0.2448703944683075,-0.46233969926834106,-0.05831578952484051,-0.2247416377067566,-0.5652621984481812,-0.08675053176693837,-0.1746419072151184,-0.6402241885662079,-0.10259673950486103,-0.22393149137496948,-0.2719588875770569,-0.06552075055651585,-0.32894203066825867,-0.3361858129501343,-0.10255172309689442,-0.3582281470298767,-0.4071027934551239,-0.1178836917620174,-0.35053807497024536,-0.47106292843818665,-0.12520805207304875
F,0.0,0.0,0.0,0.10145539045333862,-0.12880414724349976,-0.029312734850691413,0.15264230966567993,-0.22016197443008423,-0.05712442601566181,0.18448805809020996,-0.32332223653793335,-0.09514145309572086,0.18411821126937866,-0.4356502294540405,-0.1308052962506281,-0.049455463886260986,-0.31873828172683716,0.03816542272920742,-0.006614267826080322,-0.43157339096069336,-0.019108330258177375,0.07480543851852417,-0.46113234758377075,-0.07431493456010685,0.1466568112373352,-0.46189433336257935,-0.10681701953058109,-0.11531776189804077,-0.32201796770095825,0.015368110141707803,-0.1154642105102539,-0.4662586748600006,-0.028494780310438728,-0.04242211580276489,-0.5504190921783447,-0.06751925999765263,0.03575044870376587,-0.6017862558364868,-0.09137160832528934,-0.17357590794563293,-0.3053206205368042,-0.022420163624929046,-0.24506038427352905,-0.4551529288291931,-0.06617104763631687,-0.22167089581489563,-0.5580700635910034,-0.09305075312499866,-0.17434465885162354,-0.6282152831554413,-0.10861789191608295,-0.21472430229187012,-0.26577848196029663,-0.0661155259097086,-0.3151386082172394,-0.33369559049606323,-0.10466754192952976,-0.3416363000869751,-0.4056952893733978,-0.12131346518640385,-0.33690816164016724,-0.4685382843017578,-0.13027135784273014
F,0.0,0.0,0.0,0.10210227966308594,-0.12241685390472412,-0.040033556971366124,0.1592015027999878,-0.21970295906066895,-0.0651137237284729,0.1913299560546875,-0.3256298899650574,-0.09557553425770493,0.196588397026062,-0.432805597782135,-0.12264718160372468,-0.03927493095397949,-0.3204975724220276,0.01335860557514934,0.008211672306060791,-0.43211060762405396,-0.045623045865113454,0.08688896894454956,-0.46007758378982544,-0.09593615725975724,0.15891700983047485,-0.46067023277282715,-0.12405121371489258,-0.10595649480819702,-0.32830744981765747,0.0004238290573539416,-0.10346192121505737,-0.4715366065502167,-0.045506328794772344,-0.03449082374572754,-0.5494883060455322,-0.07786510929804535,0.039405763149261475,-0.6001600623130798,-0.09528964057903977,-0.1653858721256256,-0.31177014112472534,-0.02686903298240395,-0.23046213388442993,-0.46189621090888977,-0.07495778099041672,-0.2095314860343933,-0.5592430233955383,-0.09942056283694001,-0.16238120198249817,-0.6292601078748703,-0.11085612371903153,-0.2136361002922058,-0.2684529423713684,-0.06005151987415047,-0.31529662013053894,-0.33531203866004944,-0.10345913514834137,-0.3393786549568176,-0.40668541193008423,-0.12197362676602097,-0.3289908468723297,-0.4714886546134949,-0.1301622097228119
F,0.0,0.0,0.0,0.09994333982467651,-0.13684684038162231,-0.022410781569647042,0.15088766813278198,-0.2351999282836914,-0.04422123309211656,0.17891597747802734,-0.3387588560581207,-0.0781285906954281,0.18558132648468018,-0.4476360082626343,-0.11025248419480249,-0.04505765438079834,-0.3325310945510864,0.04623037252588347,-0.001338362693786621,-0.4398740231990814,-0.011847547702359407,0.07838654518127441,-0.4702983796596527,-0.06945945274071619,0.15289974212646484,-0.4751409590244293,-0.10465802203850672,-0.11182272434234619,-0.33515962958335876,0.017464150227738173,-0.11802732944488525,-0.4779883623123169,-0.030073806159066407,-0.05230724811553955,-0.5622904002666473,-0.07438499432043955,0.022887468338012695,-0.6128222048282623,-0.10146262448267862,-0.17166197299957275,-0.3157232403755188,-0.02584474485354349,-0.2394448220729828,-0.46742647886276245,-0.07522122513489649,-0.2178671956062317,-0.5703060626983643,-0.10737755101160928,-0.1678536832332611,-0.6411961317062378,-0.12528467129902765,-0.21651414036750793,-0.2734348773956299,-0.07431255977587625,-0.3236638605594635,-0.3389941453933716,-0.1196179757638447,-0.347674697637558,-0.4090753495693207,-0.14043566536145136,-0.3340265452861786,-0.4691106975078583,-0.15102259766297266
F,0.0,0.0,0.0,0.10023468732833862,-0.1255086064338684,-0.03671232753174536,0.1539420485496521,-0.2208912968635559,-0.06249268495218985,0.18388092517852783,-0.3267398774623871,-0.09567313783543341,0.18935906887054443,-0.4355003833770752,-0.12571671002285711,-0.04702788591384888,-0.3172711730003357,0.02689424946231611,-0.0017769932746887207,-0.42815306782722473,-0.03162376352327101,0.0772470235824585,-0.4544146656990051,-0.08445870273487799,0.14876997470855713,-0.45247727632522583,-0.11435850851910345,-0.11229562759399414,-0.32551896572113037,0.011317138069102839,-0.11125767230987549,-0.46728307008743286,-0.034204182706048414,-0.04167121648788452,-0.5489907264709473,-0.06998135291712515,0.03182244300842285,-0.6004332900047302,-0.09005319469349615,-0.17039823532104492,-0.3101078271865845,-0.019195509634187147,-0.2390075922012329,-0.4590584635734558,-0.0657085269011759,-0.21899676322937012,-0.5582717657089233,-0.09152282171623938,-0.17399325966835022,-0.6273956000804901,-0.10431606464760534,-0.21714133024215698,-0.2685655355453491,-0.055743334374597,-0.3208353519439697,-0.33374953269958496,-0.09663308554070227,-0.3434200584888458,-0.404609352350235,-0.11420571946280234,-0.3315111994743347,-0.46643173694610596,-0.12229382388966314
