label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
G,0.0,0.0,0.0,0.04294395446777344,-0.10088503360748291,-0.06882045573765794,-0.0010251402854919434,-0.22891849279403687,-0.09294350601012269,-0.0942041277885437,-0.2858300805091858,-0.10980171120936433,-0.17921200394630432,-0.3113571107387543,-0.12660638398701707,-0.16168084740638733,-0.2231270670890808,-0.06310171789700547,-0.29091888666152954,-0.2719457745552063,-0.11713752306277314,-0.38465416431427,-0.29716354608535767,-0.15011874742085496,-0.4558820426464081,-0.31363731622695923,-0.17151587612206498,-0.19365698099136353,-0.14717048406600952,-0.055767172642298135,-0.2601911723613739,-0.18245315551757812,-0.1577189654784874,-0.16601896286010742,-0.12855905294418335,-0.1875651568847374,-0.08322036266326904,-0.08458143472671509,-0.18091189271981278,-0.21044886112213135,-0.07297748327255249,-0.054570594497270974,-0.2614314556121826,-0.09300118684768677,-0.15923019654328385,-0.1614806056022644,-0.04653841257095337,-0.15117114193017045,-0.08759307861328125,-0.016082167625427246,-0.1152254135089592,-0.2237999439239502,0.0064643025398254395,-0.05695732093627015,-0.26524510979652405,-0.016626179218292236,-0.13713040358597794,-0.17960959672927856,0.011839509010314941,-0.1299453467803673,-0.11734634637832642,0.028395116329193115,-0.10273180312687913
G,0.0,0.0,0.0,0.050546467304229736,-0.08862829208374023,-0.06469317050118661,0.004629194736480713,-0.2032405138015747,-0.08456729622025705,-0.07333606481552124,-0.25194087624549866,-0.09710329295535303,-0.1464638113975525,-0.2803955078125,-0.11063157291550851,-0.14418095350265503,-0.18565639853477478,-0.05579499797363496,-0.2621041536331177,-0.2320205569267273,-0.0987268564238093,-0.34681642055511475,-0.26583966612815857,-0.12415164978642679,-0.41380101442337036,-0.2885569930076599,-0.14042602003951288,-0.17730090022087097,-0.11752051115036011,-0.04634991557736612,-0.23989474773406982,-0.1624484658241272,-0.13142752171893335,-0.15612125396728516,-0.11707621812820435,-0.15494440020461298,-0.07980334758758545,-0.07227575778961182,-0.14542887629409051,-0.19611161947250366,-0.04547739028930664,-0.04230899260778642,-0.2413676381111145,-0.07841187715530396,-0.1340574574603579,-0.1467653214931488,-0.034596264362335205,-0.1271619451179049,-0.07718423008918762,-0.0006786584854125977,-0.09286742926974512,-0.2073332965373993,0.03159177303314209,-0.04103435100455499,-0.2517866790294647,-0.0033246874809265137,-0.11134919048686243,-0.17498070001602173,0.01844501495361328,-0.1025814962520144,-0.11357593536376953,0.03660011291503906,-0.07511310548920846
G,0.0,0.0,0.0,0.05191749334335327,-0.08971178531646729,-0.06149598294967973,0.01422208547592163,-0.2102278470993042,-0.07821791702980363,-0.06626704335212708,-0.25890079140663147,-0.08797413939709031,-0.14104723930358887,-0.28516480326652527,-0.0984392770575937,-0.13991910219192505,-0.1967363953590393,-0.04881154829735124,-0.25664222240448,-0.24426600337028503,-0.09147463822836244,-0.3479394167661667,-0.2768191695213318,-0.11760317618126237,-0.4198874235153198,-0.29891437292099,-0.1347690084027704,-0.17515969276428223,-0.13004863262176514,-0.039963857178634044,-0.23754945397377014,-0.1771259307861328,-0.12534870291227662,-0.15160003304481506,-0.12880659103393555,-0.14885369027132356,-0.07279312610626221,-0.08227622509002686,-0.1393151589679178,-0.19564297795295715,-0.05961698293685913,-0.0366188892173227,-0.2404603362083435,-0.09413182735443115,-0.12852245653147065,-0.14715394377708435,-0.04769706726074219,-0.12038926119083726,-0.07938125729560852,-0.01154780387878418,-0.08566336417669618,-0.2117009460926056,0.019715189933776855,-0.0360102475630697,-0.25282829999923706,-0.019010543823242188,-0.10658841664070451,-0.17276430130004883,0.006330549716949463,-0.09764433736080491,-0.11111101508140564,0.026458024978637695,-0.07047823900455796
G,0.0,0.0,0.0,0.04866623878479004,-0.14339661598205566,-0.08120060058377021,-0.0006165504455566406,-0.31441256403923035,-0.12162389697573417,-0.11828160285949707,-0.3998357951641083,-0.15710403861544364,-0.22609204053878784,-0.4368055611848831,-0.19173049273035758,-0.20638728141784668,-0.3272803723812103,-0.08376962782881492,-0.3604124188423157,-0.4097093939781189,-0.1715493732883715,-0.4744378924369812,-0.46327657997608185,-0.23083020092985862,-0.5637383162975311,-0.5029003769159317,-0.27025499286196464,-0.26330167055130005,-0.2332080900669098,-0.08757162185452216,-0.31193995475769043,-0.29869604110717773,-0.227747493405559,-0.19308751821517944,-0.22729527950286865,-0.27451845349810355,-0.09916579723358154,-0.15935063362121582,-0.2754965359165453,-0.29482030868530273,-0.13785481452941895,-0.1001348430111193,-0.32265931367874146,-0.177374005317688,-0.23675628842852348,-0.19164323806762695,-0.11328554153442383,-0.2269390309049868,-0.10351139307022095,-0.06197917461395264,-0.1848993385031008,-0.31959545612335205,-0.03645962476730347,-0.11861974092266792,-0.3375277519226074,-0.07793986797332764,-0.21960795762083762,-0.22694283723831177,-0.039476752281188965,-0.2110933745100283,-0.1506720781326294,-0.011817574501037598,-0.18002560081026786
G,0.0,0.0,0.0,0.05262887477874756,-0.14042872190475464,-0.07276089634197547,0.007443666458129883,-0.31598541140556335,-0.10752620692747428,-0.10273325443267822,-0.4089174270629883,-0.13930311943786933,-0.21342939138412476,-0.44677793979644775,-0.17064696695106818,-0.19109690189361572,-0.34055811166763306,-0.07015832658308341,-0.3445091247558594,-0.41886550188064575,-0.15347314025657965,-0.45325785875320435,-0.47074972093105316,-0.21043250109451606,-0.5424235761165619,-0.5116151720285416,-0.2490811958481629,-0.2488110065460205,-0.25286585092544556,-0.07666369672315909,-0.2984486222267151,-0.30761289596557617,-0.20896500493782355,-0.1764773726463318,-0.23364925384521484,-0.2555608167816956,-0.08502733707427979,-0.16917937994003296,-0.25865072156685187,-0.28184568881988525,-0.16067719459533691,-0.09163749362724616,-0.3112187385559082,-0.18936878442764282,-0.2238749280144532,-0.1773698925971985,-0.12264478206634521,-0.2181642368008454,-0.09009265899658203,-0.07403481006622314,-0.1806757911612351,-0.30666685104370117,-0.06195724010467529,-0.11159230913418128,-0.32298171520233154,-0.09188950061798096,-0.21133284415500952,-0.2128545045852661,-0.04915726184844971,-0.20651300396221473,-0.13734424114227295,-0.02306044101715088,-0.17919895197647406
G,0.0,0.0,0.0,0.049475789070129395,-0.0878828763961792,-0.05387601071306847,0.01747763156890869,-0.20711809396743774,-0.06590062567302368,-0.062064021825790405,-0.25663813948631287,-0.0718703959257283,-0.13460513949394226,-0.28069984912872314,-0.07900698670455597,-0.13148179650306702,-0.19517314434051514,-0.039861084905354005,-0.24072498083114624,-0.24404165148735046,-0.07891465910979889,-0.3272356241941452,-0.2784842252731323,-0.1022867504627385,-0.395404115319252,-0.30193305015563965,-0.11761813798257492,-0.16933965682983398,-0.13284331560134888,-0.033077897515980226,-0.22962620854377747,-0.18162041902542114,-0.11228572019645355,-0.14730066061019897,-0.13057160377502441,-0.13320598193713806,-0.07299768924713135,-0.0832599401473999,-0.12267451920816086,-0.19203710556030273,-0.06466299295425415,-0.03136784025737427,-0.2349846065044403,-0.09953105449676514,-0.11959188618966721,-0.1452699899673462,-0.05007249116897583,-0.11171093025514267,-0.0812852680683136,-0.01351994276046753,-0.07757689991304062,-0.20848733186721802,0.014635920524597168,-0.03143449687668465,-0.24839076399803162,-0.02499520778656006,-0.09966881760665558,-0.16908761858940125,0.002724945545196533,-0.09080238827773712,-0.10918065905570984,0.024290382862091064,-0.06394736656257294
G,0.0,0.0,0.0,0.04195141792297363,-0.12839734554290771,-0.08068965800944738,0.009422898292541504,-0.29739782214164734,-0.12180685677472525,-0.09287470579147339,-0.392691969871521,-0.15697282978240423,-0.19901955127716064,-0.4312204569578171,-0.1912063700789588,-0.19029444456100464,-0.3197118937969208,-0.0903569129938262,-0.3350890874862671,-0.40642064809799194,-0.17742255755607061,-0.44393861293792725,-0.46166351437568665,-0.23337497242633276,-0.5305382311344147,-0.5045912861824036,-0.2703460050458091,-0.24799764156341553,-0.23322275280952454,-0.09360313841048651,-0.28830069303512573,-0.2953794002532959,-0.2345013959044593,-0.173803448677063,-0.21305546164512634,-0.27765454777423315,-0.08088427782058716,-0.14266687631607056,-0.2749763322705405,-0.28048956394195557,-0.1433543562889099,-0.10517115571443014,-0.2944680452346802,-0.17279469966888428,-0.2417286826008933,-0.17124831676483154,-0.10271662473678589,-0.23176357575599127,-0.08516824245452881,-0.05180877447128296,-0.18859628268424444,-0.30650854110717773,-0.04641801118850708,-0.12235934712830954,-0.31459277868270874,-0.08009052276611328,-0.2226465237969535,-0.20945626497268677,-0.0390051007270813,-0.21501389571372442,-0.13594335317611694,-0.012243807315826416,-0.18394445308391028
G,0.0,0.0,0.0,0.04665035009384155,-0.1093606948852539,-0.07767373089896523,0.013960182666778564,-0.2780417799949646,-0.11391186480628335,-0.08497875928878784,-0.36489635705947876,-0.14327069883452737,-0.18212413787841797,-0.4086787551641464,-0.1724597192298063,-0.1813199520111084,-0.29622891545295715,-0.08915482227908456,-0.3172270655632019,-0.3839868903160095,-0.16495913033591592,-0.422476589679718,-0.4383849501609802,-0.21135203306781136,-0.5045906603336334,-0.4800490140914917,-0.24150189523803078,-0.23579585552215576,-0.21070104837417603,-0.08896415447102868,-0.26712357997894287,-0.26661351323127747,-0.21896858279811227,-0.15858006477355957,-0.1864592730998993,-0.2530514872561582,-0.07046705484390259,-0.11971133947372437,-0.24478253488646828,-0.26942145824432373,-0.1214209794998169,-0.09599169855223977,-0.2832900881767273,-0.15330559015274048,-0.22291972999678933,-0.16403692960739136,-0.0856361985206604,-0.20730726187335335,-0.08002305030822754,-0.03721630573272705,-0.16164593165026986,-0.29640358686447144,-0.02282583713531494,-0.1081320471058973,-0.3112683892250061,-0.06415647268295288,-0.20187966292010628,-0.20645368099212646,-0.02553802728652954,-0.189534319091905,-0.131955087184906,0.0015067458152770996,-0.15518204634295785
G,0.0,0.0,0.0,0.04587674140930176,-0.12192672491073608,-0.07961307949503293,0.013624727725982666,-0.2916107475757599,-0.11987768597086301,-0.08386737108230591,-0.38532763719558716,-0.15409479028662076,-0.18922722339630127,-0.4161452353000641,-0.18814497179468503,-0.18826556205749512,-0.3114872872829437,-0.0926804963417851,-0.3311119079589844,-0.39954669773578644,-0.1777707982726895,-0.4363243281841278,-0.45368824899196625,-0.23275116569479337,-0.51950603723526,-0.4957500398159027,-0.2693329948850476,-0.245930016040802,-0.2268872857093811,-0.096103069550594,-0.27829819917678833,-0.2845326066017151,-0.2352760333486401,-0.16628581285476685,-0.20414209365844727,-0.27756841964205137,-0.07891929149627686,-0.1367030143737793,-0.27500646299799314,-0.2784624695777893,-0.13623487949371338,-0.10740020609577527,-0.2875577211380005,-0.16229957342147827,-0.242288534707626,-0.16478466987609863,-0.0958142876625061,-0.23347926623304716,-0.08087188005447388,-0.048881471157073975,-0.1922448474832379,-0.3035200238227844,-0.03916275501251221,-0.12401278055389753,-0.30832451581954956,-0.06945717334747314,-0.22372752911527982,-0.2023535966873169,-0.031446754932403564,-0.21686123794992795,-0.12795770168304443,-0.00859302282333374,-0.1869318384595715
G,0.0,0.0,0.0,0.05099594593048096,-0.10705596208572388,-0.07953656231788386,0.0160750150680542,-0.2715757489204407,-0.11450915550616969,-0.07984626293182373,-0.3562978208065033,-0.14243960892585505,-0.17359668016433716,-0.3993901312351227,-0.17054166411784877,-0.1758410930633545,-0.28654175996780396,-0.08608060097125758,-0.3089657425880432,-0.3727201968431473,-0.16062011336711635,-0.4140302538871765,-0.4304405152797699,-0.20557468151477565,-0.49521687626838684,-0.4759708344936371,-0.23434304212955226,-0.23036348819732666,-0.20351514220237732,-0.08366581564573039,-0.26313382387161255,-0.26454299688339233,-0.21532024955180873,-0.1548140048980713,-0.18588489294052124,-0.24842809652713527,-0.06486713886260986,-0.11954763531684875,-0.23692931746867885,-0.26454025506973267,-0.11639967560768127,-0.08874775236276378,-0.2751619219779968,-0.15035519003868103,-0.21883194660571803,-0.15780115127563477,-0.08026981353759766,-0.20356147503284205,-0.07624554634094238,-0.03166782855987549,-0.15510240709213008,-0.29303300380706787,-0.019904136657714844,-0.0987535989823698,-0.3052886724472046,-0.06297916173934937,-0.19385806238082637,-0.20172154903411865,-0.023604214191436768,-0.18102305149463405,-0.12926506996154785,0.0038961172103881836,-0.14454433833984126
