label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
H,0.0,0.0,0.0,0.05358994007110596,-0.09303486347198486,-0.08208543967254833,-0.01798689365386963,-0.22451552748680115,-0.11575013559110836,-0.16045337915420532,-0.24847623705863953,-0.13800372343309597,-0.2724047303199768,-0.25147944688796997,-0.1592993603254147,-0.15118831396102905,-0.266722172498703,-0.06796804975517468,-0.21986430883407593,-0.34686407446861267,-0.11671601395853237,-0.24154752492904663,-0.3775023818016052,-0.1441226617599316,-0.24846118688583374,-0.3963966369628906,-0.16250358681925015,-0.21126097440719604,-0.18676096200942993,-0.056858731170970955,-0.2842181921005249,-0.2571958601474762,-0.12947946946867184,-0.19012147188186646,-0.21667370200157166,-0.15176673393495754,-0.11176097393035889,-0.1773713231086731,-0.1493237034583874,-0.23700368404388428,-0.09927171468734741,-0.05347420062668995,-0.31343144178390503,-0.17734229564666748,-0.15297086696870998,-0.19126421213150024,-0.1265903115272522,-0.14837436537988857,-0.10348647832870483,-0.08401507139205933,-0.12047486912258343,-0.23956245183944702,-0.0027577877044677734,-0.05269980963118748,-0.26289820671081543,-0.055290281772613525,-0.14991188209303097,-0.1603538990020752,-0.0236358642578125,-0.15414507847078518,-0.08755958080291748,0.0036593079566955566,-0.1364377902055569
H,0.0,0.0,0.0,0.047589898109436035,-0.12551772594451904,-0.051060450716136074,-0.013754844665527344,-0.2594056725502014,-0.09399797533285437,-0.13538789749145508,-0.3088688850402832,-0.14372988556158361,-0.2531530261039734,-0.3154579997062683,-0.19204682622682867,-0.17969566583633423,-0.3621812164783478,-0.06344404582512198,-0.33068573474884033,-0.4630644768476486,-0.14320840452444372,-0.4307372570037842,-0.5222274959087372,-0.2002855590416175,-0.5187132954597473,-0.5688173323869705,-0.2404200336767417,-0.2378220558166504,-0.28348228335380554,-0.09659873460066137,-0.4057006239891052,-0.3962422311306,-0.20279486988317785,-0.5142914950847626,-0.476639986038208,-0.2692256918979865,-0.6141114830970764,-0.5385563969612122,-0.3049314967228156,-0.26248544454574585,-0.18118274211883545,-0.13517545674574194,-0.32414937019348145,-0.2483542561531067,-0.26278394971620855,-0.18660908937454224,-0.20586857199668884,-0.2778154364658576,-0.09061229228973389,-0.17701315879821777,-0.2582195750309211,-0.2593687176704407,-0.07433491945266724,-0.1766847572160941,-0.2687498927116394,-0.12524372339248657,-0.2786178937984687,-0.15864568948745728,-0.099362313747406,-0.28197491679918585,-0.08635860681533813,-0.08320367336273193,-0.265265976531623
H,0.0,0.0,0.0,0.027356207370758057,-0.14385193586349487,-0.11159854212831988,-0.06261980533599854,-0.2880498766899109,-0.1491058153850986,-0.23497480154037476,-0.3177488446235657,-0.1707616729481174,-0.3781248927116394,-0.3165387511253357,-0.1879304481489612,-0.1431429386138916,-0.3899024724960327,-0.0495235455973102,-0.23358523845672607,-0.49900636076927185,-0.1099887920362903,-0.3011794090270996,-0.5749831795692444,-0.1510245038015796,-0.3505358099937439,-0.6266411542892456,-0.17869423160385622,-0.22419679164886475,-0.30385249853134155,-0.02586490118932261,-0.3692041039466858,-0.3477392792701721,-0.12101774493288531,-0.3216845989227295,-0.3079572319984436,-0.1635166687710239,-0.2666545510292053,-0.2749330401420593,-0.16729011962246432,-0.275562047958374,-0.20479124784469604,-0.015457342546994823,-0.3907826840877533,-0.25450652837753296,-0.1505721194488956,-0.2551397979259491,-0.20081734657287598,-0.16303168067764773,-0.1571195125579834,-0.16235780715942383,-0.1323194486839725,-0.3013097047805786,-0.09509313106536865,-0.009367758576388496,-0.34358346462249756,-0.14057379961013794,-0.1419666243536426,-0.22177553176879883,-0.10500174760818481,-0.16115473041367068,-0.13528525829315186,-0.08204811811447144,-0.1432846618635608
H,0.0,0.0,0.0,0.042978763580322266,-0.13173729181289673,-0.1101775969825951,-0.05089986324310303,-0.28285080194473267,-0.14372481214630284,-0.22836214303970337,-0.30990326404571533,-0.1609770338498322,-0.3702913820743561,-0.2967519164085388,-0.17490653502571263,-0.14977586269378662,-0.3832310736179352,-0.06165448385107197,-0.2610078454017639,-0.5007853507995605,-0.12005872088300862,-0.3600160777568817,-0.5769858956336975,-0.1571180205308167,-0.4384954273700714,-0.6276470422744751,-0.18405133294689335,-0.2279578447341919,-0.29422926902770996,-0.039894839700338025,-0.37150344252586365,-0.3275545835494995,-0.1409630607329575,-0.3139670193195343,-0.2823949456214905,-0.1813409458361832,-0.2488841414451599,-0.2516980767250061,-0.18205943512546696,-0.2712942659854889,-0.1927681565284729,-0.02987200761961617,-0.37798312306404114,-0.22747397422790527,-0.17202573823558964,-0.23909419775009155,-0.1740424633026123,-0.18295849668609776,-0.13415652513504028,-0.1410350799560547,-0.14950573253261723,-0.29153352975845337,-0.08191150426864624,-0.023747606154557843,-0.3397570848464966,-0.12944316864013672,-0.15972959804165043,-0.21950727701187134,-0.09007203578948975,-0.1766032557450501,-0.12894535064697266,-0.06322377920150757,-0.15640114056694188
H,0.0,0.0,0.0,0.038551926612854004,-0.12845516204833984,-0.12750565725207252,-0.04662710428237915,-0.27583086490631104,-0.17014294582247658,-0.21684497594833374,-0.30266278982162476,-0.1961329700314991,-0.3642713725566864,-0.29269939661026,-0.21537522691130562,-0.15267479419708252,-0.38001328706741333,-0.08312479871153755,-0.3030693233013153,-0.4926457405090332,-0.15577099936842842,-0.42448532581329346,-0.560748428106308,-0.20071875768542213,-0.5302594006061554,-0.6175346374511719,-0.22835100906729622,-0.23799031972885132,-0.29671353101730347,-0.06250928806900902,-0.4059663414955139,-0.3900856375694275,-0.15094098168253822,-0.5180720388889313,-0.4472658634185791,-0.197421696957349,-0.6096814572811127,-0.5009077191352844,-0.21234087365508003,-0.28284066915512085,-0.193712055683136,-0.05620420816183014,-0.38405275344848633,-0.24549168348312378,-0.21037733274340553,-0.23989814519882202,-0.18096697330474854,-0.2297803135478489,-0.1357845664024353,-0.1432480812072754,-0.1952910395228855,-0.29827383160591125,-0.07420563697814941,-0.05533493029713554,-0.34487980604171753,-0.12460815906524658,-0.20192882138132973,-0.22106033563613892,-0.08217519521713257,-0.2162619950139515,-0.13246995210647583,-0.055008888244628906,-0.18980599659323616
H,0.0,0.0,0.0,0.03487539291381836,-0.1371883749961853,-0.10255825345413427,-0.05919104814529419,-0.295881986618042,-0.136301217721865,-0.2350701093673706,-0.3282731771469116,-0.15787049953834753,-0.3792874813079834,-0.30658090114593506,-0.17582093005077581,-0.17538440227508545,-0.3509189188480377,-0.050795229273006726,-0.28332215547561646,-0.437872052192688,-0.11523976747886877,-0.2910584807395935,-0.4756011366844177,-0.1563325804938529,-0.279257595539093,-0.5076231062412262,-0.1791556460131858,-0.24309921264648438,-0.26584941148757935,-0.026605837168261814,-0.37145721912384033,-0.3335281014442444,-0.11198793177501898,-0.3167346715927124,-0.31379467248916626,-0.15499792818920355,-0.25605905055999756,-0.2951144576072693,-0.16191290144817572,-0.28728097677230835,-0.1762303113937378,-0.014452163251206684,-0.3974792957305908,-0.24666595458984375,-0.13374893193142157,-0.2679937481880188,-0.19835323095321655,-0.14774897520439367,-0.16812288761138916,-0.15600454807281494,-0.1223597285618041,-0.30948126316070557,-0.07505673170089722,-0.005940665612087059,-0.3484805226325989,-0.13527506589889526,-0.11810625915424566,-0.2326619029045105,-0.10539919137954712,-0.13319386367695074,-0.1473557949066162,-0.0800585150718689,-0.116252591954634
H,0.0,0.0,0.0,-0.04110461473464966,-0.1330360770225525,-0.08437277454049763,-0.16071242094039917,-0.2433542013168335,-0.18919269072921452,-0.3173595666885376,-0.2815372347831726,-0.2835981481066483,-0.446392297744751,-0.3009324073791504,-0.3891700737467545,-0.08372670412063599,-0.16513562202453613,-0.29566752242953953,-0.2865338921546936,-0.2959843873977661,-0.4065423243037003,-0.4261089563369751,-0.32415565848350525,-0.46962808895023045,-0.5318133533000946,-0.3299229145050049,-0.503084623097493,-0.123607337474823,-0.04293626546859741,-0.3092476658812302,-0.41848576068878174,-0.19213753938674927,-0.41444336700351414,-0.570954293012619,-0.24901807308197021,-0.44432785439403233,-0.664696991443634,-0.27658915519714355,-0.46410390067012486,-0.17779284715652466,0.05822408199310303,-0.31482451486499485,-0.472356379032135,-0.09259545803070068,-0.3960704736700791,-0.5809990167617798,-0.1453845500946045,-0.389060878037526,-0.6341102719306946,-0.16599005460739136,-0.3806386821261185,-0.23993223905563354,0.13509511947631836,-0.3261360459318894,-0.4649672508239746,-0.005411684513092041,-0.3825730018606919,-0.5483515858650208,-0.07879489660263062,-0.35922008085162815,-0.5928991138935089,-0.11787760257720947,-0.3378235034933823
H,0.0,0.0,0.0,0.053495943546295166,-0.14082670211791992,-0.06085149117194533,0.018116235733032227,-0.26303356885910034,-0.13529124774419188,-0.0779564380645752,-0.32320934534072876,-0.21482540585481047,-0.19138681888580322,-0.33818334341049194,-0.29668739356480955,-0.1357485055923462,-0.38749584555625916,-0.14565136947118162,-0.2863091826438904,-0.4852810353040695,-0.26609012402974486,-0.38567638397216797,-0.538213387131691,-0.3471590272375238,-0.4832450747489929,-0.5858498215675354,-0.39957210339986204,-0.19151806831359863,-0.3017575144767761,-0.18356113054238676,-0.35334599018096924,-0.4155067205429077,-0.3216460935064447,-0.45075640082359314,-0.49564626812934875,-0.3934592298456323,-0.5409833192825317,-0.5633635967969894,-0.43541452207051634,-0.22021591663360596,-0.19714319705963135,-0.22561819769822478,-0.2664874792098999,-0.2641097903251648,-0.36424165882550597,-0.1391681432723999,-0.21641939878463745,-0.37825265445195555,-0.04241955280303955,-0.1813875436782837,-0.3647002569624078,-0.22404015064239502,-0.09835934638977051,-0.27122843183957457,-0.2239629626274109,-0.14445137977600098,-0.3762464217134607,-0.11715435981750488,-0.1167823076248169,-0.3800559333749902,-0.03783738613128662,-0.10185819864273071,-0.3681930593439233
H,0.0,0.0,0.0,0.018165111541748047,-0.09930253028869629,-0.08827089652049835,-0.029874205589294434,-0.18069356679916382,-0.15176572039354141,-0.12897074222564697,-0.19244331121444702,-0.21044698491323288,-0.22628307342529297,-0.17205965518951416,-0.2647978080772191,-0.20311880111694336,-0.28719282150268555,-0.14116010203588303,-0.3401437997817993,-0.4025437831878662,-0.24458679690587815,-0.44243985414505005,-0.4742240905761719,-0.3038607551120549,-0.536106675863266,-0.5250089168548584,-0.3367044641040593,-0.26734185218811035,-0.20939159393310547,-0.15508765115964707,-0.4053187966346741,-0.31902870535850525,-0.27809286251294907,-0.5111305117607117,-0.39771202206611633,-0.3360609723590642,-0.6014010906219482,-0.45773541927337646,-0.35614672436940964,-0.2836175560951233,-0.10757654905319214,-0.17403216793763931,-0.26612919569015503,-0.11020737886428833,-0.3054510964416295,-0.16192924976348877,-0.07980608940124512,-0.31017264857518967,-0.08570921421051025,-0.06290173530578613,-0.27591666712987717,-0.2655114531517029,0.00624692440032959,-0.19956243171918686,-0.2241678237915039,0.0120927095413208,-0.2892912937663823,-0.13963276147842407,0.018772482872009277,-0.2784565104507237,-0.09001237154006958,0.017687857151031494,-0.2459507448934346
H,0.0,0.0,0.0,-0.008151471614837646,-0.18359947204589844,-0.015562108575977618,-0.10198706388473511,-0.33313554525375366,-0.06829424188254052,-0.2623170018196106,-0.3971758484840393,-0.12090121195433312,-0.377119779586792,-0.38336724042892456,-0.17026217267630273,-0.01623392105102539,-0.4092053174972534,-0.13295072302935296,-0.2738081216812134,-0.4355531930923462,-0.18600958571551018,-0.27633291482925415,-0.38155263662338257,-0.1933468131792324,-0.22501146793365479,-0.357890248298645,-0.19909517452833825,-0.00986635684967041,-0.298315167427063,-0.1685333697569149,-0.3294670581817627,-0.32027900218963623,-0.2239656446945446,-0.28366297483444214,-0.26123374700546265,-0.21937628076193505,-0.20257937908172607,-0.24085479974746704,-0.22250244007227593,-0.03121626377105713,-0.17947089672088623,-0.20021821544287377,-0.3304567337036133,-0.2206142544746399,-0.24925376460669213,-0.27119648456573486,-0.16968899965286255,-0.22004282460329705,-0.18556958436965942,-0.1550920009613037,-0.20418363795397454,-0.06681585311889648,-0.06030261516571045,-0.23191204652903252,-0.28587013483047485,-0.12330484390258789,-0.27888704822180443,-0.24526816606521606,-0.09704840183258057,-0.26056604073164635,-0.17253166437149048,-0.08367478847503662,-0.24441109583494836
