label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
I,0.0,0.0,0.0,0.1557360589504242,-0.06874090433120728,-0.056585134136696524,0.2564154267311096,-0.21218496561050415,-0.0678355257392127,0.1958177089691162,-0.36141619086265564,-0.08098212735654897,0.08119314908981323,-0.4095839858055115,-0.08101458953620977,0.20198523998260498,-0.337772399187088,0.02685366837380343,0.22208654880523682,-0.45575857162475586,-0.03091635102333612,0.18643543124198914,-0.3640672564506531,-0.06185992168190069,0.17109018564224243,-0.2929685711860657,-0.06610568718912191,0.10538312792778015,-0.3600359857082367,0.029112010133246713,0.1068439781665802,-0.4767724275588989,-0.05018175871970243,0.08975821733474731,-0.3605860769748688,-0.08416039602758474,0.08561694622039795,-0.2808408737182617,-0.07944154100420064,0.014235377311706543,-0.3675956130027771,0.016376581844667726,0.01312631368637085,-0.4737975001335144,-0.06807719277145452,0.01765042543411255,-0.3462163507938385,-0.08025988297464437,0.017412126064300537,-0.24040621519088745,-0.05373923959137983,-0.08112658560276031,-0.37108945846557617,-0.00028504912785365377,-0.06365031003952026,-0.5104186534881592,-0.0335470821142394,-0.046972066164016724,-0.6036349833011627,-0.03854242445828504,-0.032450586557388306,-0.6929803788661957,-0.029291593599339194
I,0.0,0.0,0.0,0.1524016559123993,-0.0844658613204956,-0.057856112071817734,0.24503952264785767,-0.23983979225158691,-0.07043242389852367,0.18487221002578735,-0.394985169172287,-0.0846099474518951,0.06470993161201477,-0.4389820396900177,-0.08478598231965861,0.18224242329597473,-0.3560042977333069,0.022446100315505646,0.19747334718704224,-0.4814377427101135,-0.04010758484298549,0.17047688364982605,-0.37621596455574036,-0.07565886462623439,0.1592145562171936,-0.2988353371620178,-0.08229869539434276,0.08753490447998047,-0.3778745234012604,0.025555438077503823,0.08628243207931519,-0.5004571080207825,-0.051230329373424865,0.07968416810035706,-0.3731573820114136,-0.08326286757881007,0.08270588517189026,-0.29404401779174805,-0.07930516386920772,-0.0008667111396789551,-0.3844902217388153,0.01340774232005515,-0.00753939151763916,-0.4985290467739105,-0.06381460214549861,0.004658699035644531,-0.3693205714225769,-0.06899435753518901,0.01141086220741272,-0.26441848278045654,-0.04141228208834491,-0.09623225033283234,-0.38604649901390076,-0.0037193557299133317,-0.08444611728191376,-0.5318972170352936,-0.030531474673693992,-0.06873586773872375,-0.6236090362071991,-0.030280907922929146,-0.054388999938964844,-0.7111561894416809,-0.019380797916596748
I,0.0,0.0,0.0,0.10400980710983276,-0.05233663320541382,-0.027736788815445834,0.1686200499534607,-0.14617663621902466,-0.033055102652497226,0.13379627466201782,-0.23756557703018188,-0.04090796989817136,0.06569558382034302,-0.27025139331817627,-0.04322844577450269,0.11906754970550537,-0.22732886672019958,0.009819094823114938,0.12908297777175903,-0.3087899386882782,-0.02409026046711915,0.11223602294921875,-0.256784588098526,-0.04305901584643834,0.10521960258483887,-0.2070886790752411,-0.04677600992340558,0.060093700885772705,-0.2368636429309845,0.009323702925257749,0.06003659963607788,-0.3167033791542053,-0.036954598701186114,0.053181231021881104,-0.24717432260513306,-0.05811382291335576,0.051176488399505615,-0.1879976987838745,-0.05764739421624654,0.005248010158538818,-0.23824572563171387,0.0018143838135529222,0.0034750699996948242,-0.31417495012283325,-0.045280104702897006,0.008956849575042725,-0.24333402514457703,-0.051841238713450366,0.013620913028717041,-0.17786574363708496,-0.03842133862394803,-0.05276864767074585,-0.23460239171981812,-0.0075650757314633665,-0.04641193151473999,-0.32435745000839233,-0.027880586883611613,-0.038921356201171875,-0.3851315379142761,-0.03191891518849843,-0.031629085540771484,-0.43953537940979004,-0.02848627065736764
I,0.0,0.0,0.0,0.10400712490081787,-0.053896546363830566,-0.029108289404121024,0.1644589900970459,-0.1518809199333191,-0.034215792788472754,0.13104361295700073,-0.2423858940601349,-0.04104272626182137,0.06266814470291138,-0.272752046585083,-0.04199575237771569,0.11029934883117676,-0.2270517349243164,0.005993437247070688,0.12037944793701172,-0.3093622326850891,-0.028997212423291785,0.10534733533859253,-0.25652000308036804,-0.0472692137195736,0.09909248352050781,-0.20735684037208557,-0.050227928681579215,0.050382137298583984,-0.23468035459518433,0.006641260107699054,0.05170845985412598,-0.32013675570487976,-0.042231958134379965,0.04472321271896362,-0.24928155541419983,-0.06261320762178002,0.042917490005493164,-0.18713265657424927,-0.06005415670415459,-0.004234790802001953,-0.23553180694580078,0.000374059650766867,-0.005306839942932129,-0.3127211928367615,-0.048363860471454245,-0.0007069706916809082,-0.24532750248908997,-0.05526607833644448,0.004193782806396484,-0.1825363039970398,-0.04102633498450814,-0.05978190898895264,-0.23217201232910156,-0.007654639201518876,-0.052824974060058594,-0.32291775941848755,-0.02845619410118161,-0.04534417390823364,-0.38348257541656494,-0.03278760216971932,-0.037656962871551514,-0.43729570508003235,-0.029288211612310988
I,0.0,0.0,0.0,0.09985929727554321,-0.05700278282165527,-0.030505517575875274,0.15828055143356323,-0.15447282791137695,-0.036121208298936835,0.12526941299438477,-0.2475149929523468,-0.0434350968189392,0.05518823862075806,-0.2782896161079407,-0.0444717221744213,0.10414206981658936,-0.231645405292511,0.006488868422820815,0.11657470464706421,-0.31432729959487915,-0.028416788283720962,0.10210013389587402,-0.2595527768135071,-0.046686925072208396,0.0962214469909668,-0.2116878628730774,-0.049930900413528434,0.04664117097854614,-0.2382400631904602,0.0071475803069915855,0.04802381992340088,-0.322629451751709,-0.040447633791700355,0.042989492416381836,-0.2526372969150543,-0.05984802551938628,0.0435943603515625,-0.19471120834350586,-0.05769593276454543,-0.006770074367523193,-0.23743873834609985,0.0004782476262334967,-0.007833540439605713,-0.3139157295227051,-0.04861673348023032,-0.0009933710098266602,-0.2454099953174591,-0.054146416563526145,0.005228400230407715,-0.18274575471878052,-0.03944234930349921,-0.06270676851272583,-0.23294058442115784,-0.008237970139816753,-0.05810064077377319,-0.3240794241428375,-0.02979352519287204,-0.050893306732177734,-0.38490915298461914,-0.03355147697402572,-0.04312390089035034,-0.4401713013648987,-0.029792111445203773
I,0.0,0.0,0.0,0.09826487302780151,-0.05366098880767822,-0.028640226968491334,0.1591445803642273,-0.14466893672943115,-0.03527770894106652,0.1241309642791748,-0.2334493100643158,-0.044221575879419106,0.05824798345565796,-0.26548969745635986,-0.04729479136403825,0.10874956846237183,-0.22402501106262207,0.007762880022710306,0.1197327971458435,-0.3027108907699585,-0.02749575632151391,0.10617303848266602,-0.2486993670463562,-0.04627914684351708,0.10078674554824829,-0.20037099719047546,-0.04925288962658669,0.05089324712753296,-0.23282843828201294,0.00733061037499283,0.052243947982788086,-0.30967485904693604,-0.03975010993417527,0.04754042625427246,-0.2374204397201538,-0.05977565380271699,0.04621928930282593,-0.17953753471374512,-0.05816947253879334,-0.0028299689292907715,-0.23356571793556213,-0.0003187961247022031,-0.0027466416358947754,-0.30549120903015137,-0.04850308927234437,0.004438161849975586,-0.2344311773777008,-0.054860971444213646,0.00921553373336792,-0.17106086015701294,-0.0407883595162275,-0.05934274196624756,-0.2291412651538849,-0.009776599281394738,-0.05407381057739258,-0.31743091344833374,-0.030088403769696015,-0.046823084354400635,-0.3763819634914398,-0.03359266328152444,-0.0402677059173584,-0.429076611995697,-0.02945490697857167
I,0.0,0.0,0.0,0.10167056322097778,-0.04999643564224243,-0.029379500970208028,0.15913569927215576,-0.14638257026672363,-0.034685349985920766,0.1181383728981018,-0.23732739686965942,-0.04141434930261312,0.04602861404418945,-0.2664223909378052,-0.04200938247140584,0.10460489988327026,-0.2236587107181549,0.006011415775901696,0.11716794967651367,-0.3052968382835388,-0.02723025619980035,0.10600090026855469,-0.2502918243408203,-0.04371793098744092,0.10086262226104736,-0.20194783806800842,-0.045611782893502095,0.04699808359146118,-0.23152238130569458,0.007002941835708043,0.04888772964477539,-0.3118811845779419,-0.038272212222182134,0.045299232006073,-0.23945391178131104,-0.05629422791298566,0.0431361198425293,-0.17952311038970947,-0.05336001045998273,-0.0059261322021484375,-0.23147565126419067,0.0009117769450313062,-0.006908059120178223,-0.3046000301837921,-0.047131027057730535,0.002715170383453369,-0.23403653502464294,-0.05303732953962026,0.008366525173187256,-0.16998803615570068,-0.038546792194210866,-0.06065094470977783,-0.22805318236351013,-0.006806533746384957,-0.05479991436004639,-0.31629955768585205,-0.027799925729595998,-0.04690098762512207,-0.37606269121170044,-0.031941140964590886,-0.04082989692687988,-0.43027040362358093,-0.028441774621569493
I,0.0,0.0,0.0,0.10035961866378784,-0.05596417188644409,-0.02860607541515492,0.158136248588562,-0.1483861207962036,-0.03534891232266091,0.12474018335342407,-0.23614346981048584,-0.04452516286983155,0.057471394538879395,-0.26876652240753174,-0.047542510175844654,0.10472512245178223,-0.2235334813594818,0.0069979400432202965,0.11509168148040771,-0.3042156398296356,-0.029505893209716305,0.10120832920074463,-0.2509998083114624,-0.0489687301160302,0.09566342830657959,-0.20418038964271545,-0.05265002473606728,0.047187209129333496,-0.23154863715171814,0.006690353533485904,0.04849368333816528,-0.31094324588775635,-0.041499035054584965,0.044297635555267334,-0.2418653666973114,-0.06096536069526337,0.04450786113739014,-0.1852228045463562,-0.058916436129948124,-0.005223393440246582,-0.23248982429504395,-0.0008975431846920401,-0.005948305130004883,-0.30361488461494446,-0.049886958295246586,0.0029039382934570312,-0.23358610272407532,-0.054564067715546116,0.010400056838989258,-0.17129850387573242,-0.03919509201659821,-0.05847012996673584,-0.2292722761631012,-0.010430573107441887,-0.052750349044799805,-0.31581026315689087,-0.031406415248056874,-0.04617464542388916,-0.37356996536254883,-0.03405743240728043,-0.04007697105407715,-0.4264920949935913,-0.029271144041558728
I,0.0,0.0,0.0,0.10043931007385254,-0.054214537143707275,-0.02692357002655399,0.15895551443099976,-0.14628243446350098,-0.03193987830439937,0.12965339422225952,-0.23332443833351135,-0.03918065427700412,0.0637444257736206,-0.2639341652393341,-0.04066877364078891,0.10621333122253418,-0.21797743439674377,0.007869142863057732,0.11967837810516357,-0.29629307985305786,-0.02654626703719032,0.10594743490219116,-0.2436327040195465,-0.04518216027776134,0.10080516338348389,-0.19656068086624146,-0.04907629563371074,0.04958903789520264,-0.22579890489578247,0.007653608276598334,0.05536091327667236,-0.30993399024009705,-0.04049593879739177,0.04928833246231079,-0.2420560121536255,-0.06008383928696048,0.049022555351257324,-0.1838330626487732,-0.05780033691684139,-0.0024021267890930176,-0.22764307260513306,0.000634298774969011,0.0007256269454956055,-0.3050123453140259,-0.046886678029693485,0.006615638732910156,-0.23839837312698364,-0.05133981182137859,0.012715339660644531,-0.17691487073898315,-0.0362919486955775,-0.05529463291168213,-0.22597402334213257,-0.008253295150495887,-0.048947274684906006,-0.31286677718162537,-0.028334991251028896,-0.04164135456085205,-0.3705155551433563,-0.03139640315333736,-0.033834874629974365,-0.4232900142669678,-0.027487500746644855
I,0.0,0.0,0.0,0.0998690128326416,-0.05397516489028931,-0.024068637250820757,0.16241031885147095,-0.14041858911514282,-0.028232794686118723,0.1322527527809143,-0.22602659463882446,-0.035921888857046724,0.06726133823394775,-0.25767022371292114,-0.038383225410143496,0.11361455917358398,-0.21741721034049988,0.014331740827401518,0.12342464923858643,-0.29184234142303467,-0.02001282057062781,0.10763043165206909,-0.23981258273124695,-0.03943505367533362,0.1015896201133728,-0.19173845648765564,-0.043078476994196535,0.05628323554992676,-0.22646445035934448,0.012439819553037523,0.057946622371673584,-0.2992722690105438,-0.034379600047032,0.0514872670173645,-0.22917041182518005,-0.05496033137933409,0.05093199014663696,-0.17339062690734863,-0.05385059347645438,0.004131197929382324,-0.2275015413761139,0.003536589478244423,0.004494011402130127,-0.2961711287498474,-0.044749511836926104,0.011262118816375732,-0.22490933537483215,-0.05054119458691275,0.018197953701019287,-0.16155558824539185,-0.03608066445485747,-0.05009055137634277,-0.2244189977645874,-0.006915594416568638,-0.04360556602478027,-0.30947422981262207,-0.027633632033030153,-0.037717461585998535,-0.36764025688171387,-0.031018712057630182,-0.03129613399505615,-0.4210430383682251,-0.026765644981423975
