label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
J,0.0,0.0,0.0,0.05447870492935181,-0.12557923793792725,-0.0653141997753437,0.014516353607177734,-0.264913946390152,-0.08096297457802848,-0.11782598495483398,-0.3173845410346985,-0.09294628724444465,-0.20697632431983948,-0.27855977416038513,-0.09011789783824042,-0.06709164381027222,-0.3205280005931854,0.009380578063542089,-0.1364455223083496,-0.39605140686035156,-0.042909868061428824,-0.10229110717773438,-0.3232349455356598,-0.07081376388657645,-0.06610947847366333,-0.2740297317504883,-0.07438933476794318,-0.13920444250106812,-0.28239667415618896,0.024770302698129854,-0.21266159415245056,-0.3407096266746521,-0.035745404660588065,-0.1587408185005188,-0.2651791572570801,-0.06038007140148238,-0.12232887744903564,-0.23653358221054077,-0.05550421029317931,-0.19678837060928345,-0.23454639315605164,0.02543179504584714,-0.2682822048664093,-0.28543969988822937,-0.03907759487617568,-0.20020627975463867,-0.2146560251712799,-0.04826860129821853,-0.13992011547088623,-0.15666908025741577,-0.02737344801414565,-0.2534467875957489,-0.1812455654144287,0.020787457004303178,-0.3370409309864044,-0.2664761245250702,-0.00659666117269353,-0.39762964844703674,-0.31772953271865845,-0.013898588716870108,-0.44890841841697693,-0.3627176880836487,-0.008317980915194312
J,0.0,0.0,0.0,0.0654672384262085,-0.12325859069824219,-0.06268403046829008,0.02659541368484497,-0.2666934132575989,-0.07604989522201322,-0.11098343133926392,-0.3175423741340637,-0.08824236058694623,-0.20746150612831116,-0.28513017296791077,-0.0859364356945207,-0.05730491876602173,-0.3227444291114807,0.020636726905877367,-0.12525588274002075,-0.39510828256607056,-0.03856450059515737,-0.08969676494598389,-0.32091397047042847,-0.06777645760280393,-0.051772356033325195,-0.27421286702156067,-0.06978920959932111,-0.13071924448013306,-0.28002649545669556,0.03152873626845576,-0.20476752519607544,-0.33892953395843506,-0.04846934714419149,-0.14859849214553833,-0.2571239173412323,-0.08113094531995557,-0.10425800085067749,-0.21173295378684998,-0.0749353256176164,-0.1932099461555481,-0.2304820418357849,0.0267559036512921,-0.2652662694454193,-0.2799324691295624,-0.058474951619928106,-0.19440796971321106,-0.20448148250579834,-0.07513768338662885,-0.13472455739974976,-0.14673516154289246,-0.05169275515777372,-0.25521713495254517,-0.17975550889968872,0.018016653870517985,-0.33273810148239136,-0.26373496651649475,-0.017730252082174047,-0.38813522458076477,-0.3133796751499176,-0.027374425167863592,-0.4398423731327057,-0.3633148968219757,-0.02039610521001123
J,0.0,0.0,0.0,0.054765522480010986,-0.14335012435913086,-0.057057395568108404,-0.0017568469047546387,-0.32111936807632446,-0.06949522717854961,-0.14778518676757812,-0.38214004039764404,-0.0815964527334927,-0.24542653560638428,-0.31023168563842773,-0.0816284306254147,-0.14944565296173096,-0.36276400089263916,-0.0011141330376176484,-0.22452977299690247,-0.45278072357177734,-0.05619730054399952,-0.17120271921157837,-0.37429696321487427,-0.08162199332377895,-0.123196542263031,-0.3200368881225586,-0.08401809259316906,-0.21755871176719666,-0.3011472225189209,0.0008344806358309143,-0.30719518661499023,-0.38261693716049194,-0.07797007634303554,-0.21669989824295044,-0.2990017533302307,-0.10758267714641079,-0.15134352445602417,-0.2433605194091797,-0.10137822105548366,-0.27286988496780396,-0.2331860065460205,-0.009615863664066637,-0.3625198304653168,-0.30066823959350586,-0.08710287882945522,-0.25426051020622253,-0.24122536182403564,-0.09787715598008617,-0.16986173391342163,-0.18784618377685547,-0.0761216841544865,-0.3242088556289673,-0.16041916608810425,-0.024366626506662215,-0.43742549419403076,-0.24028348922729492,-0.05415746941230282,-0.5089380145072937,-0.29548341035842896,-0.060515303155398215,-0.5770192444324493,-0.34735339879989624,-0.056317005297159994
J,0.0,0.0,0.0,0.046884357929229736,-0.1391165852546692,-0.06294495033387193,-0.009869158267974854,-0.31549179553985596,-0.07884712683323869,-0.1589510440826416,-0.3773319125175476,-0.09400237517718324,-0.26387935876846313,-0.31432998180389404,-0.09565924274090776,-0.15545755624771118,-0.3550037741661072,0.007143974506220729,-0.22978028655052185,-0.44626280665397644,-0.05292938815716752,-0.17615628242492676,-0.3701935410499573,-0.08432237224940309,-0.128761887550354,-0.3124536871910095,-0.08925566988352784,-0.22423601150512695,-0.29348695278167725,0.011081445232889564,-0.3181057274341583,-0.368272602558136,-0.07438532429102906,-0.2239191234111786,-0.2938067317008972,-0.11193095313672075,-0.15477246046066284,-0.24098056554794312,-0.10884040760163316,-0.27958589792251587,-0.22594058513641357,0.0010028411326175046,-0.3668798506259918,-0.2888796925544739,-0.08294209258917817,-0.2562912702560425,-0.23859363794326782,-0.09931040721301088,-0.17147952318191528,-0.1893754005432129,-0.07854258435133943,-0.33149006962776184,-0.15425097942352295,-0.013768198697903244,-0.4398674964904785,-0.23481255769729614,-0.04770277234081277,-0.5119490623474121,-0.29006683826446533,-0.05687216835383424,-0.5826617777347565,-0.34275007247924805,-0.05270818786982545
J,0.0,0.0,0.0,0.051615357398986816,-0.1421893835067749,-0.0643139929533163,-0.008980810642242432,-0.3193708658218384,-0.08006871501208934,-0.15766620635986328,-0.38254326581954956,-0.09503363082410488,-0.2577970325946808,-0.31304752826690674,-0.095997288918511,-0.1562148928642273,-0.35948944091796875,0.002963772181033164,-0.23213019967079163,-0.45257097482681274,-0.05769117186071071,-0.17401283979415894,-0.37349164485931396,-0.08730238685609493,-0.1255245804786682,-0.31816136837005615,-0.09042294332982692,-0.2255568504333496,-0.2984422445297241,0.007866791354103952,-0.31355297565460205,-0.37863266468048096,-0.07417958984376583,-0.2215740978717804,-0.2985811233520508,-0.10649086544515285,-0.159412682056427,-0.24768853187561035,-0.1003399939298788,-0.2813708186149597,-0.23027175664901733,-0.0015052855968633594,-0.36843910813331604,-0.29932790994644165,-0.08235190073253307,-0.25878772139549255,-0.2397734522819519,-0.09324231753350887,-0.1744280457496643,-0.18513184785842896,-0.06901095817090663,-0.3334064483642578,-0.15782767534255981,-0.01600798787774238,-0.4458071291446686,-0.24053901433944702,-0.046680469161287874,-0.5171811878681183,-0.29725128412246704,-0.05215481678249034,-0.5847706198692322,-0.350139856338501,-0.04549599075915012
J,0.0,0.0,0.0,0.04318457841873169,-0.14201778173446655,-0.06413583418645885,-0.015807926654815674,-0.31335967779159546,-0.08154943546571758,-0.15871268510818481,-0.37745827436447144,-0.09800294002809551,-0.2605494260787964,-0.3173910975456238,-0.10069858243980434,-0.1607222557067871,-0.35600781440734863,-0.003943682260000969,-0.2375068962574005,-0.45141035318374634,-0.06543545386114147,-0.18276113271713257,-0.371360719203949,-0.0960791330627444,-0.13734054565429688,-0.315618097782135,-0.1004014979890826,-0.23034226894378662,-0.29703038930892944,0.001107290309732889,-0.31940776109695435,-0.3805994391441345,-0.07938258311071422,-0.2280450463294983,-0.3002889156341553,-0.11082507631101635,-0.16887247562408447,-0.25428110361099243,-0.10600528827228572,-0.28545594215393066,-0.23043495416641235,-0.007549567691171433,-0.37350237369537354,-0.30356723070144653,-0.08516939690628078,-0.26402345299720764,-0.24100929498672485,-0.09255908390798595,-0.18048745393753052,-0.18428999185562134,-0.06813600620546367,-0.33721038699150085,-0.15821224451065063,-0.021624791978979374,-0.453114777803421,-0.24017584323883057,-0.051139939188146855,-0.5242673456668854,-0.29659146070480347,-0.0553139630548003,-0.5905450284481049,-0.3498848080635071,-0.0485971864155772
J,0.0,0.0,0.0,0.04030126333236694,-0.140020489692688,-0.06221899671891151,-0.01939070224761963,-0.31114864349365234,-0.07839193476775108,-0.1659567952156067,-0.37355339527130127,-0.09275520129540382,-0.2737826108932495,-0.3153538703918457,-0.09403508438208519,-0.15962332487106323,-0.35471564531326294,0.0025181327719110413,-0.2369251847267151,-0.43956151604652405,-0.057796313450126036,-0.18366080522537231,-0.36503028869628906,-0.08960822506287514,-0.1389303207397461,-0.30775266885757446,-0.0941651193652433,-0.2304878830909729,-0.29605984687805176,0.00835634951999964,-0.32311320304870605,-0.3675433397293091,-0.07031870915034233,-0.22875481843948364,-0.29226893186569214,-0.1033642171178144,-0.1666470766067505,-0.24545133113861084,-0.09869864864685951,-0.2849149703979492,-0.22845244407653809,0.0008599906350355013,-0.3674101233482361,-0.2905994653701782,-0.07820789797642647,-0.25634443759918213,-0.23567676544189453,-0.08828209622242866,-0.17418229579925537,-0.18339776992797852,-0.06414863003828941,-0.3357090651988983,-0.15347981452941895,-0.01102363227346359,-0.4514791965484619,-0.23246389627456665,-0.04351986108758865,-0.524139016866684,-0.28548330068588257,-0.04771597592571197,-0.5939473211765289,-0.3364797830581665,-0.03921032606103836
J,0.0,0.0,0.0,0.04141014814376831,-0.14311450719833374,-0.06559800264062687,-0.014575600624084473,-0.31021958589553833,-0.08353375550927922,-0.15822112560272217,-0.3753010034561157,-0.10044064280214116,-0.2610389292240143,-0.3206251263618469,-0.10317700263681218,-0.1559239625930786,-0.3576169013977051,0.002165419742368613,-0.23375913500785828,-0.45282554626464844,-0.06118349265875622,-0.1801854968070984,-0.3730335235595703,-0.09569449630203053,-0.13296061754226685,-0.3166833519935608,-0.10195851978483006,-0.22630974650382996,-0.29805171489715576,0.008781039150335346,-0.31441670656204224,-0.37930095195770264,-0.07206483837785527,-0.22444921731948853,-0.2988245487213135,-0.10719425138654515,-0.16504305601119995,-0.2559851408004761,-0.10506833252134129,-0.2825784981250763,-0.23199814558029175,0.0010269425054048043,-0.3689907491207123,-0.3025709390640259,-0.07666034158887669,-0.2614518105983734,-0.2408626675605774,-0.08714705613078877,-0.17727971076965332,-0.1846979856491089,-0.06481727865161702,-0.33572661876678467,-0.1601346731185913,-0.012221739633105244,-0.4524354338645935,-0.23942232131958008,-0.04013533052625462,-0.5260170102119446,-0.2920216917991638,-0.04427518230500027,-0.5938648283481598,-0.3429402709007263,-0.037746566353462185
J,0.0,0.0,0.0,0.03571772575378418,-0.14165300130844116,-0.060161237539546164,-0.01841282844543457,-0.3089933395385742,-0.07723437708784786,-0.16114509105682373,-0.3746981620788574,-0.09377129090000835,-0.26620426774024963,-0.3139219880104065,-0.09819901448656765,-0.15870940685272217,-0.35372394323349,0.0072607380060389914,-0.23452293872833252,-0.4406191408634186,-0.05195713129808155,-0.18325471878051758,-0.367877721786499,-0.08635671150852886,-0.13882195949554443,-0.3088564872741699,-0.09314644795824734,-0.22920376062393188,-0.29700130224227905,0.012133752992554037,-0.3215753734111786,-0.3686940670013428,-0.06101922032405582,-0.2277984917163849,-0.29422706365585327,-0.09416322869230953,-0.16891855001449585,-0.2516326904296875,-0.09168610435892788,-0.28255495429039,-0.23083990812301636,0.0036052899157539287,-0.36302098631858826,-0.29310333728790283,-0.07007385504414287,-0.25207120180130005,-0.23503732681274414,-0.07875203800369945,-0.17019760608673096,-0.1774839162826538,-0.05555779946018902,-0.33259668946266174,-0.15671467781066895,-0.009737140433685454,-0.45201054215431213,-0.2358836531639099,-0.039581340672270926,-0.5258552730083466,-0.2907141447067261,-0.042603966714636954,-0.5942867398262024,-0.34136831760406494,-0.034200829388396414
J,0.0,0.0,0.0,0.03256988525390625,-0.13107866048812866,-0.06807467663020361,-0.020870685577392578,-0.30362778902053833,-0.08989645117253531,-0.16435003280639648,-0.36977607011795044,-0.10885534757107962,-0.27419453859329224,-0.3132075071334839,-0.11413283222645987,-0.16400039196014404,-0.3551830053329468,-0.0022481809864984825,-0.23900222778320312,-0.43946367502212524,-0.06396989100903738,-0.18665200471878052,-0.3683198094367981,-0.09710039519995917,-0.1410316824913025,-0.30995774269104004,-0.10173449241847266,-0.23554390668869019,-0.29717111587524414,0.005998396823997609,-0.322922945022583,-0.367672324180603,-0.06935362839431036,-0.227657288312912,-0.2891024351119995,-0.100930992004578,-0.16988736391067505,-0.2446441650390625,-0.09590148502320517,-0.2892298996448517,-0.23109376430511475,0.00032893304887693375,-0.3690894544124603,-0.29233938455581665,-0.07477746480435599,-0.2603221535682678,-0.23511803150177002,-0.08309669369191397,-0.18087202310562134,-0.18066686391830444,-0.05897012674540747,-0.33955004811286926,-0.15673190355300903,-0.010494529691641219,-0.4568265974521637,-0.2365594506263733,-0.0401651630672859,-0.5291832387447357,-0.2890031337738037,-0.04238376715511549,-0.5987507998943329,-0.33988720178604126,-0.03272247263521422
