label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
K,0.0,0.0,0.0,0.09636169672012329,-0.07124346494674683,-0.07164959681279015,0.11306685209274292,-0.21595245599746704,-0.09161012691504311,0.023304998874664307,-0.3261812925338745,-0.10707487982756447,-0.043973565101623535,-0.41147178411483765,-0.11882121187693429,0.10699653625488281,-0.3253527283668518,-0.031152079599564786,0.13943034410476685,-0.4748999774456024,-0.07188851458079171,0.15381914377212524,-0.5722787082195282,-0.096699558916157,0.1651475429534912,-0.6553250253200531,-0.11100449484831643,0.01171863079071045,-0.3167237639427185,-0.030195650430982823,-0.01876002550125122,-0.4858977198600769,-0.08633870703226876,-0.039311885833740234,-0.5931326746940613,-0.12346316945797753,-0.05922746658325195,-0.6790026426315308,-0.1378251321340258,-0.06609240174293518,-0.27018094062805176,-0.037513614418571706,-0.08695852756500244,-0.34703725576400757,-0.13953788650280785,-0.0465756356716156,-0.24045288562774658,-0.15526411009079766,-0.02273651957511902,-0.16886502504348755,-0.13157720935589623,-0.13447633385658264,-0.2034575343132019,-0.047397800507610555,-0.13979411125183105,-0.28138673305511475,-0.1365630037809069,-0.1051638126373291,-0.1943150758743286,-0.1345491118455584,-0.08482038974761963,-0.12898868322372437,-0.10856524181610894
K,0.0,0.0,0.0,0.10021454095840454,-0.07551729679107666,-0.08119177364392272,0.11286342144012451,-0.2158430814743042,-0.10679158859534255,0.020412862300872803,-0.32358264923095703,-0.12643719755692473,-0.05091187357902527,-0.41114121675491333,-0.14167966984791747,0.09931224584579468,-0.343633234500885,-0.03611502342505446,0.1445711851119995,-0.4869576692581177,-0.08107400976700774,0.1649044156074524,-0.5784475207328796,-0.11044784926457396,0.18023818731307983,-0.6600159704685211,-0.1280406221060275,0.0016921162605285645,-0.33179378509521484,-0.031478638878297716,-0.03690025210380554,-0.49932605028152466,-0.09739379130883208,-0.06616532802581787,-0.6041492521762848,-0.14076174341721526,-0.09351301193237305,-0.6906101405620575,-0.15757576667351714,-0.07560178637504578,-0.2800077795982361,-0.03581118502302161,-0.09987401962280273,-0.351520299911499,-0.14965837739987364,-0.05379080772399902,-0.24121558666229248,-0.16864518367333403,-0.02651923894882202,-0.16753900051116943,-0.14381223463101378,-0.14044737815856934,-0.20901262760162354,-0.04297893040461531,-0.14489787817001343,-0.28001195192337036,-0.1423979952244281,-0.10633814334869385,-0.18670344352722168,-0.14295784675164214,-0.08347362279891968,-0.11899089813232422,-0.11608509265465727
K,0.0,0.0,0.0,0.08922934532165527,-0.09286129474639893,-0.06984331250373543,0.09642380475997925,-0.23123806715011597,-0.08756697714511574,0.011720120906829834,-0.3346867859363556,-0.10123766750280083,-0.07204604148864746,-0.40712225437164307,-0.11053522467796029,0.07610532641410828,-0.33613666892051697,-0.01589490451101483,0.10852420330047607,-0.47778645157814026,-0.05531261280361832,0.11937302350997925,-0.5697561502456665,-0.08122340381328286,0.12460833787918091,-0.6500299274921417,-0.09681460797969521,-0.011418133974075317,-0.32132408022880554,-0.014159864524344812,-0.055015742778778076,-0.4850490093231201,-0.0741773673910302,-0.08161884546279907,-0.5870260000228882,-0.11236002832833947,-0.10865974426269531,-0.6689543128013611,-0.12660714030448617,-0.08374640345573425,-0.2688385248184204,-0.021530112029950033,-0.09648725390434265,-0.35170334577560425,-0.12969011604968728,-0.041145846247673035,-0.25133490562438965,-0.14516203642074288,-0.014668494462966919,-0.1814873218536377,-0.11987421453181923,-0.1489296704530716,-0.19872653484344482,-0.031332159193198095,-0.13588160276412964,-0.26964548230171204,-0.12835683465186776,-0.08701440691947937,-0.18780702352523804,-0.1306005173939866,-0.06768140196800232,-0.12737518548965454,-0.10654261499826134
K,0.0,0.0,0.0,0.08601981401443481,-0.09741204977035522,-0.06855480963849914,0.09212008118629456,-0.23592954874038696,-0.08758973921203506,0.007413893938064575,-0.3392243981361389,-0.10261529529952895,-0.07478642463684082,-0.41032713651657104,-0.11353751862907302,0.06771218776702881,-0.33598849177360535,-0.02176718818509471,0.10070908069610596,-0.48187267780303955,-0.0635241105642308,0.11068582534790039,-0.5751875340938568,-0.090201793560027,0.11629924178123474,-0.6566513180732727,-0.10542858237886321,-0.01925143599510193,-0.3213442862033844,-0.019622369059561606,-0.06456547975540161,-0.48741257190704346,-0.08075617844724547,-0.09301088750362396,-0.591696172952652,-0.11890034223461043,-0.11972132325172424,-0.675643265247345,-0.13327436740064513,-0.0918394923210144,-0.26919302344322205,-0.025729261660217162,-0.10379534959793091,-0.35501331090927124,-0.13023803228998077,-0.049183622002601624,-0.2567569613456726,-0.14291447991990935,-0.022244423627853394,-0.1842639446258545,-0.1167298018422116,-0.15670515596866608,-0.19912666082382202,-0.03423713366055381,-0.145095556974411,-0.2747834622859955,-0.12426970744991195,-0.09856158494949341,-0.19570422172546387,-0.12169127757215392,-0.08055302500724792,-0.13318520784378052,-0.09520437414312255
K,0.0,0.0,0.0,0.08547255396842957,-0.09551024436950684,-0.06852308114105199,0.0914706289768219,-0.22988170385360718,-0.0894682799749944,0.006389230489730835,-0.3300958275794983,-0.1062919442825887,-0.07270720601081848,-0.40317562222480774,-0.11900560011201833,0.06707316637039185,-0.33089497685432434,-0.027785595627960902,0.10126259922981262,-0.47493934631347656,-0.07106395264202092,0.11078751087188721,-0.5676161348819733,-0.09755337436729405,0.11548584699630737,-0.6475385129451752,-0.11202258070045445,-0.020470410585403442,-0.3150830864906311,-0.0268199370526645,-0.06377451121807098,-0.4820750951766968,-0.08865232964092229,-0.09145009517669678,-0.5851061940193176,-0.12579208810859654,-0.11717742681503296,-0.6679691672325134,-0.13887848158412908,-0.09290552139282227,-0.26276206970214844,-0.03362762753897641,-0.1034291684627533,-0.34665295481681824,-0.13836296101146672,-0.049496203660964966,-0.2513313591480255,-0.14985621173912023,-0.02213028073310852,-0.18049472570419312,-0.12277151097589467,-0.15794014930725098,-0.191822350025177,-0.042724060016212206,-0.14506667852401733,-0.2665911912918091,-0.13231049676471685,-0.09617067873477936,-0.18979322910308838,-0.1278826465182874,-0.07648086547851562,-0.12818032503128052,-0.0997028147154424
K,0.0,0.0,0.0,0.0829395055770874,-0.09123140573501587,-0.07040026101901731,0.09377455711364746,-0.22747963666915894,-0.09216152194574079,0.011255055665969849,-0.33083388209342957,-0.10936179820134839,-0.07130065560340881,-0.4010242521762848,-0.12238635930850705,0.06775903701782227,-0.33246275782585144,-0.031513456885363667,0.09919309616088867,-0.47753727436065674,-0.07478722992971143,0.10849177837371826,-0.5704293251037598,-0.10103661629989347,0.11437344551086426,-0.6501742899417877,-0.11524656478002271,-0.018488377332687378,-0.316279798746109,-0.029270388816144077,-0.06406673789024353,-0.4825628697872162,-0.09106592151954374,-0.09201416373252869,-0.584794819355011,-0.12790285113885602,-0.11718776822090149,-0.6668284237384796,-0.14088246289327344,-0.08969303965568542,-0.26349225640296936,-0.03463031787111959,-0.10412096977233887,-0.347221702337265,-0.1394034332378169,-0.05000689625740051,-0.2502833306789398,-0.15098504785134992,-0.021242260932922363,-0.17765891551971436,-0.12389489326312741,-0.1539037525653839,-0.19288623332977295,-0.042362314347769825,-0.1445140689611435,-0.2664346992969513,-0.13236244085862836,-0.09506312012672424,-0.18931841850280762,-0.12831533018186292,-0.0737488716840744,-0.127374529838562,-0.10022325131728849
K,0.0,0.0,0.0,0.08546239137649536,-0.0978231430053711,-0.0661216269736542,0.09301650524139404,-0.2332979440689087,-0.08544325488855975,0.011137396097183228,-0.3363388478755951,-0.10095321792414325,-0.06861254572868347,-0.4070798456668854,-0.11257734555056231,0.06600373983383179,-0.33135613799095154,-0.02613274972190993,0.09676331281661987,-0.4778594970703125,-0.06808294016173022,0.10490718483924866,-0.5705608427524567,-0.09342975574782031,0.1102851927280426,-0.6509495079517365,-0.10665613073160785,-0.017237484455108643,-0.3163022994995117,-0.02473676610043185,-0.060381174087524414,-0.4842055141925812,-0.08473583716204303,-0.0902426689863205,-0.5897034704685211,-0.12061492013981479,-0.1162768006324768,-0.6746541857719421,-0.13321075993826526,-0.08721946179866791,-0.2642848789691925,-0.030730843872333935,-0.10012075304985046,-0.34804388880729675,-0.13243360477736132,-0.04695376753807068,-0.2540763020515442,-0.14374956148913043,-0.017573803663253784,-0.1824437975883484,-0.11710354346087115,-0.15100856125354767,-0.19448095560073853,-0.0387529324298157,-0.14204087853431702,-0.2672746479511261,-0.12493656981041568,-0.09222385287284851,-0.1917394995689392,-0.11999688702871936,-0.06970885396003723,-0.13059550523757935,-0.09209169107725756
K,0.0,0.0,0.0,0.0850788950920105,-0.10093557834625244,-0.0625724956061049,0.09295967221260071,-0.23791170120239258,-0.0807340681220694,0.009305030107498169,-0.33615151047706604,-0.09476170089499192,-0.07253903150558472,-0.4013611972332001,-0.1050267830158873,0.06347888708114624,-0.33766359090805054,-0.026889789443771406,0.09629619121551514,-0.4839070737361908,-0.06618377712027268,0.10495695471763611,-0.5744685530662537,-0.09054177400128083,0.11018893122673035,-0.653171956539154,-0.10347750183598237,-0.01970994472503662,-0.32300281524658203,-0.02617765363709168,-0.06397724151611328,-0.48860496282577515,-0.08148792531744675,-0.09123247861862183,-0.5913753807544708,-0.11482013162628846,-0.11618450284004211,-0.6756705939769745,-0.12676150497452454,-0.08862419426441193,-0.2685850262641907,-0.03184862580553727,-0.10327748954296112,-0.3535253703594208,-0.12655484076992707,-0.048088401556015015,-0.2634352445602417,-0.13498097058788971,-0.020034581422805786,-0.1960660219192505,-0.10892707255140976,-0.15041868388652802,-0.1946781873703003,-0.03927528631345467,-0.14733314514160156,-0.2689502537250519,-0.11957024183527665,-0.09699547290802002,-0.19542253017425537,-0.11131497618214325,-0.07579877972602844,-0.13633817434310913,-0.08269842859760956
K,0.0,0.0,0.0,0.08786922693252563,-0.09942644834518433,-0.06408974888745433,0.0929487943649292,-0.2370152473449707,-0.0810733622593034,0.007554471492767334,-0.33867594599723816,-0.09368685248318798,-0.07123833894729614,-0.4066624641418457,-0.10233922663155681,0.06573784351348877,-0.33508849143981934,-0.026149451611672703,0.09927690029144287,-0.4810718894004822,-0.0647382250708688,0.10803842544555664,-0.5719233006238937,-0.08850287261429912,0.1134675145149231,-0.6503188610076904,-0.1009037083667863,-0.017000466585159302,-0.3206861615180969,-0.02361293497506267,-0.058841198682785034,-0.48513197898864746,-0.07890373828831798,-0.08726680278778076,-0.5893566906452179,-0.11286358895722515,-0.11217519640922546,-0.673965185880661,-0.12531718972149974,-0.08630776405334473,-0.2681446373462677,-0.027815710632239643,-0.09969562292098999,-0.3520878255367279,-0.12319863202992565,-0.04561421275138855,-0.2618430554866791,-0.13444699707451946,-0.016066253185272217,-0.19234484434127808,-0.10994535299960262,-0.1488339900970459,-0.19734102487564087,-0.03390227618638164,-0.14197507500648499,-0.2692202627658844,-0.11523475858393795,-0.09335555136203766,-0.19512873888015747,-0.1101667619032014,-0.07108533382415771,-0.1343408226966858,-0.08362444105569011
K,0.0,0.0,0.0,0.08724087476730347,-0.09388887882232666,-0.06832082190658184,0.09560644626617432,-0.23869258165359497,-0.08624332019235226,0.010011374950408936,-0.34214457869529724,-0.09885538735534283,-0.07048580050468445,-0.4139598608016968,-0.10729977854634853,0.06807911396026611,-0.33621639013290405,-0.03165802725698086,0.09474903345108032,-0.48454391956329346,-0.07184246548558804,0.1022154688835144,-0.5766772031784058,-0.09525786706353756,0.10870587825775146,-0.6549763381481171,-0.1068236789956245,-0.017515331506729126,-0.3201912045478821,-0.02842168689812752,-0.06281542778015137,-0.48887866735458374,-0.08287500211145016,-0.09062051773071289,-0.5936015248298645,-0.11510284611131283,-0.11496475338935852,-0.6763050556182861,-0.12583823123122784,-0.08886867761611938,-0.26736295223236084,-0.032695051218524895,-0.101767897605896,-0.3514266014099121,-0.13000651815082165,-0.04509422183036804,-0.25786811113357544,-0.14167856791164013,-0.015287637710571289,-0.18758845329284668,-0.1164771802082214,-0.15312519669532776,-0.1972726583480835,-0.03915150084640118,-0.14384640753269196,-0.27109071612358093,-0.12283279367829891,-0.09389227628707886,-0.194488525390625,-0.1182191036000404,-0.07271260023117065,-0.1329798698425293,-0.09137650945331188
