label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
L,0.0,0.0,0.0,0.1503019630908966,-0.0005409121513366699,-0.10734861364139192,0.29452720284461975,-0.07173675298690796,-0.15671926011813753,0.41160526871681213,-0.14469343423843384,-0.19547895362151735,0.5040389597415924,-0.1952354907989502,-0.2343281733013498,0.22554919123649597,-0.2831774652004242,-0.08706410249246233,0.23816552758216858,-0.4544771611690521,-0.1494239496208536,0.22440433502197266,-0.5685645341873169,-0.19044613113177888,0.20805120468139648,-0.6617314219474792,-0.21911890079749696,0.13453713059425354,-0.29667022824287415,-0.06340486576331728,0.11595889925956726,-0.3779206871986389,-0.1753565745569574,0.08223786950111389,-0.2556842565536499,-0.2064392643190729,0.07168188691139221,-0.16083413362503052,-0.19895891120208375,0.04412822425365448,-0.28760212659835815,-0.05045304467452638,0.026110902428627014,-0.35401248931884766,-0.16335693766845338,0.006190896034240723,-0.2247692346572876,-0.15322417785895937,0.0050497353076934814,-0.14001113176345825,-0.11308684965146654,-0.045454591512680054,-0.26389625668525696,-0.045140020749698806,-0.05416063964366913,-0.33074596524238586,-0.12877909114135377,-0.05960091948509216,-0.22517430782318115,-0.11749956031812303,-0.050763919949531555,-0.14971089363098145,-0.08496963252795808
L,0.0,0.0,0.0,0.1470620036125183,0.0035671591758728027,-0.07894574621257533,0.3022700250148773,-0.04929304122924805,-0.10993672677812327,0.42370036244392395,-0.11991515755653381,-0.1356646917158102,0.5176645815372467,-0.1600075364112854,-0.16131039479312648,0.2509881854057312,-0.2626408338546753,-0.03937693828282107,0.282166987657547,-0.41208192706108093,-0.08759190657672633,0.2786860764026642,-0.5103626549243927,-0.12304925689038981,0.2730150520801544,-0.5851849615573883,-0.14743073800143947,0.16135042905807495,-0.28430265188217163,-0.026261087074253453,0.1516110897064209,-0.3684145510196686,-0.12175137320098628,0.1102587878704071,-0.2583773136138916,-0.155803357749555,0.08971142768859863,-0.1675255298614502,-0.15334658840236415,0.07011005282402039,-0.28512507677078247,-0.02239151255724181,0.05750986933708191,-0.35467642545700073,-0.12118013718662013,0.02916446328163147,-0.2345091700553894,-0.11642543741998423,0.018149033188819885,-0.1502407193183899,-0.08333407857951869,-0.02369469404220581,-0.27462711930274963,-0.024138461365673436,-0.023460179567337036,-0.3402636647224426,-0.09647123286065806,-0.03820216655731201,-0.24498650431632996,-0.08793670454559077,-0.038872718811035156,-0.17286619544029236,-0.06012763225970019
L,0.0,0.0,0.0,0.15222501754760742,0.02967625856399536,-0.09005444807765706,0.3292282521724701,-0.04162114858627319,-0.1273414672708295,0.4618009030818939,-0.12218707799911499,-0.156693342456796,0.5665728747844696,-0.16953271627426147,-0.18661491883752568,0.26783302426338196,-0.2607802152633667,-0.0691580505466245,0.29895034432411194,-0.43555402755737305,-0.126609313616731,0.2971286475658417,-0.5526697337627411,-0.16455322814939244,0.29135534167289734,-0.642671674489975,-0.191690701374986,0.17061492800712585,-0.281907320022583,-0.05650770602581723,0.1741158664226532,-0.37629109621047974,-0.1695865721797727,0.1289365291595459,-0.2557566165924072,-0.20405529750344975,0.0996919572353363,-0.1532590389251709,-0.1982636333799146,0.07441750168800354,-0.2832444906234741,-0.05310347242114766,0.07303845882415771,-0.3615714907646179,-0.16650224042890294,0.03918084502220154,-0.2304515242576599,-0.15847175134179814,0.024701744318008423,-0.13580775260925293,-0.12014314843175633,-0.02403312921524048,-0.2739558815956116,-0.05590889541266186,-0.018028169870376587,-0.33702749013900757,-0.1413095922565244,-0.03358358144760132,-0.23055899143218994,-0.13466975403783543,-0.03484302759170532,-0.15091460943222046,-0.10631423009393437
L,0.0,0.0,0.0,0.1524432897567749,0.03252667188644409,-0.09479538726046144,0.3325469493865967,-0.031999170780181885,-0.1345000453515297,0.4618324041366577,-0.11432206630706787,-0.16284415500595628,0.5630018711090088,-0.16784369945526123,-0.19086012618973314,0.2656661868095398,-0.25292807817459106,-0.07927110420897066,0.2987799644470215,-0.43078476190567017,-0.13315044718220292,0.30086749792099,-0.550919771194458,-0.16667886453106462,0.29600584506988525,-0.6419506072998047,-0.19124125318958818,0.16658532619476318,-0.27656078338623047,-0.06259388851358949,0.16997045278549194,-0.3710494637489319,-0.16760699825718461,0.12583696842193604,-0.24598276615142822,-0.19533995168640672,0.10015857219696045,-0.1426333785057068,-0.18707268314793168,0.06844648718833923,-0.27814072370529175,-0.05538677798941194,0.07314079999923706,-0.3500322103500366,-0.1648667641206032,0.041211068630218506,-0.21781432628631592,-0.15825744348003923,0.02828437089920044,-0.1254214644432068,-0.12280010806753694,-0.028568297624588013,-0.26836317777633667,-0.05394053833916246,-0.020957201719284058,-0.3279925584793091,-0.13866882400944291,-0.03463870286941528,-0.21918398141860962,-0.13360207157566606,-0.03468236327171326,-0.13993138074874878,-0.10741870480015336
L,0.0,0.0,0.0,0.15921317040920258,0.03380829095840454,-0.10232041518958113,0.3293023556470871,-0.03820323944091797,-0.14615599553854963,0.45874975621700287,-0.11842858791351318,-0.1795432690885832,0.5601222366094589,-0.16693782806396484,-0.21392558257849714,0.2688627988100052,-0.2532331347465515,-0.08568965386422178,0.29836927354335785,-0.4290856719017029,-0.14651266973288557,0.29563097655773163,-0.5555166900157928,-0.1846145216730406,0.28769342601299286,-0.6544575095176697,-0.2121043328550627,0.17301572859287262,-0.27608537673950195,-0.0666170988586714,0.17232729494571686,-0.3745027184486389,-0.18141270916731855,0.13249550759792328,-0.25488781929016113,-0.212511924317198,0.10889367759227753,-0.14843857288360596,-0.20323359709055921,0.07607080042362213,-0.2772851586341858,-0.057615802845077724,0.07380945980548859,-0.34951549768447876,-0.1726906273868849,0.04272468388080597,-0.2202141284942627,-0.1624478672054579,0.028830990195274353,-0.12534213066101074,-0.12098936479361555,-0.02265302836894989,-0.26326847076416016,-0.0557974029687216,-0.015032947063446045,-0.33078598976135254,-0.1410078082588484,-0.03109242022037506,-0.22540181875228882,-0.1315766547230055,-0.03399287164211273,-0.14413100481033325,-0.10021812956603071
L,0.0,0.0,0.0,0.15787076950073242,0.03272545337677002,-0.09879029867366285,0.33071228861808777,-0.04176938533782959,-0.14192624715283841,0.4597282111644745,-0.12083327770233154,-0.1753602060408923,0.5631905496120453,-0.16806280612945557,-0.20993951288178891,0.2638393044471741,-0.2516937851905823,-0.08452939567283124,0.29285678267478943,-0.42912542819976807,-0.147783744606528,0.2902005612850189,-0.554420530796051,-0.18713812855199308,0.28403177857398987,-0.6517070233821869,-0.21471156505063504,0.166936993598938,-0.27120059728622437,-0.06730066564992399,0.1653885543346405,-0.36681658029556274,-0.18528464761689634,0.12278282642364502,-0.24416124820709229,-0.21624425378755063,0.10036960244178772,-0.13842260837554932,-0.20572044280484647,0.07059940695762634,-0.27055782079696655,-0.06005034920886487,0.06492474675178528,-0.3423081636428833,-0.17656320658639402,0.033090054988861084,-0.21111911535263062,-0.16492519107774228,0.022185608744621277,-0.11757266521453857,-0.12182400700763196,-0.02734266221523285,-0.2558428645133972,-0.05964101058557958,-0.02192932367324829,-0.32445746660232544,-0.14418395188764066,-0.03829343616962433,-0.21773988008499146,-0.13268168595746488,-0.03837566077709198,-0.13819116353988647,-0.09960612979844541
L,0.0,0.0,0.0,0.15113207697868347,0.035628437995910645,-0.1120628540116968,0.2974742352962494,-0.01695263385772705,-0.1690249119598093,0.41525158286094666,-0.08093655109405518,-0.21559926613156222,0.5017690360546112,-0.12728166580200195,-0.26370137675587557,0.24301305413246155,-0.2302994728088379,-0.11396597816531084,0.2606493830680847,-0.4126012325286865,-0.18468409522358797,0.2566266357898712,-0.5371625423431396,-0.22725055857483767,0.24516326189041138,-0.6335822939872742,-0.25614565356556795,0.1411021649837494,-0.2514517903327942,-0.09476527317349337,0.14861774444580078,-0.344931423664093,-0.2201149587232294,0.10638323426246643,-0.22052180767059326,-0.2541359339553537,0.07710963487625122,-0.11098068952560425,-0.2454941843349161,0.04366825520992279,-0.25056546926498413,-0.08555710806433581,0.043605729937553406,-0.32749927043914795,-0.2115211014348688,0.01130858063697815,-0.1981489658355713,-0.20588324709717654,-0.006026163697242737,-0.09709477424621582,-0.16561916216198824,-0.04827670753002167,-0.2346544861793518,-0.08356359346691988,-0.05321201682090759,-0.3012235164642334,-0.1767090086538019,-0.06656631827354431,-0.20275485515594482,-0.16908606632534884,-0.06802693009376526,-0.12115371227264404,-0.1377872054177942
L,0.0,0.0,0.0,0.15970952808856964,0.02962315082550049,-0.10820670139028721,0.31574608385562897,-0.0393599271774292,-0.15921409141256504,0.44450224936008453,-0.11545372009277344,-0.20099338602258854,0.5403469949960709,-0.1653185486793518,-0.2446231962366312,0.2602265328168869,-0.2554497718811035,-0.09197687815859013,0.2784782201051712,-0.4358714818954468,-0.15869615685178928,0.2727387398481369,-0.5633785724639893,-0.20157821189596348,0.2614969164133072,-0.661839485168457,-0.23143896173669987,0.16001637279987335,-0.27572351694107056,-0.07373877327873402,0.160260871052742,-0.37158817052841187,-0.19597401928140812,0.12162037193775177,-0.2448708415031433,-0.2336109698934763,0.09925021231174469,-0.13434332609176636,-0.22745081495477848,0.059406399726867676,-0.27475327253341675,-0.06603257816269092,0.060162708163261414,-0.3545990586280823,-0.19162399779989414,0.0306197851896286,-0.218306303024292,-0.18709964763357334,0.015423193573951721,-0.11430692672729492,-0.1463788570089548,-0.038420215249061584,-0.2588459253311157,-0.06534423392250233,-0.04110036790370941,-0.33115190267562866,-0.15628167700006657,-0.050381138920784,-0.2284221649169922,-0.14699968408777409,-0.049346908926963806,-0.14496827125549316,-0.11400782775118046
L,0.0,0.0,0.0,0.1519739180803299,0.03970205783843994,-0.1058746462801139,0.3201288431882858,-0.034326910972595215,-0.1528714632728736,0.44663287699222565,-0.11988365650177002,-0.18833372351915045,0.543666198849678,-0.16990727186203003,-0.22552816924840613,0.25471271574497223,-0.2422277331352234,-0.09647579101115866,0.27435092628002167,-0.42569851875305176,-0.1633709704616706,0.26999013125896454,-0.5546965003013611,-0.2079663610199134,0.26206354796886444,-0.6515126526355743,-0.24020706472188635,0.14996199309825897,-0.2631493806838989,-0.07712485996276541,0.1578696221113205,-0.36747705936431885,-0.20253265259057684,0.1155606359243393,-0.23972100019454956,-0.24093194660932227,0.08625176548957825,-0.12503153085708618,-0.2354953771570365,0.050897419452667236,-0.2653084993362427,-0.06729330477506323,0.055575594305992126,-0.3520859479904175,-0.19255990144998236,0.024003297090530396,-0.2140958309173584,-0.18598121759683295,0.006624490022659302,-0.10794693231582642,-0.14526202139646216,-0.04683126509189606,-0.25557827949523926,-0.06416179594785376,-0.04415266215801239,-0.3268408179283142,-0.15594047663003607,-0.057484373450279236,-0.22002941370010376,-0.14773953316003485,-0.05906571447849274,-0.13658887147903442,-0.11657438782245322
L,0.0,0.0,0.0,0.14820830523967743,0.006680667400360107,-0.08768775288536368,0.30819548666477203,-0.050385475158691406,-0.12323665593340216,0.43504519760608673,-0.11843037605285645,-0.15169718090965567,0.5345567017793655,-0.1557852327823639,-0.17965403918697653,0.26381947100162506,-0.2583518326282501,-0.047062836331866365,0.2946915775537491,-0.41046421229839325,-0.09752591673805533,0.2924109250307083,-0.5089452564716339,-0.13391984228565512,0.28762187063694,-0.5825634300708771,-0.1588726264662963,0.1728474646806717,-0.28214898705482483,-0.03077154581024466,0.16089586913585663,-0.3710714429616928,-0.1314368468947631,0.11992217600345612,-0.25972387194633484,-0.1662271392770034,0.09909184277057648,-0.16389375925064087,-0.1621408832497817,0.08009861409664154,-0.28448551893234253,-0.024623509240887742,0.06558497250080109,-0.35494281351566315,-0.1293526661820632,0.037946030497550964,-0.23166349530220032,-0.12558222536518393,0.028449803590774536,-0.1439984142780304,-0.09065666769220648,-0.013276323676109314,-0.2728714942932129,-0.024516548705838304,-0.018195554614067078,-0.335989385843277,-0.1013251689501029,-0.032673075795173645,-0.2383013665676117,-0.09399335805847464,-0.030850157141685486,-0.16501739621162415,-0.06554298822357474
