label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
M,0.0,0.0,0.0,0.0985119640827179,0.012102007865905762,-0.1094626837409578,0.1615857183933258,0.0404849648475647,-0.20171861881385666,0.17186036705970764,0.1138569712638855,-0.27852802509437424,0.14913144707679749,0.19084703922271729,-0.35678165191779954,0.09454390406608582,-0.18065384030342102,-0.22887179786334855,0.10703793168067932,-0.012690186500549316,-0.33373620146880967,0.09439423680305481,0.1288928985595703,-0.39795803064475876,0.08154883980751038,0.2437680959701538,-0.4293959342874132,-0.02394881844520569,-0.18960970640182495,-0.21185380751262528,-0.018506675958633423,0.008716285228729248,-0.3009423219598375,-0.024182885885238647,0.1662752628326416,-0.32604174846778733,-0.023048460483551025,0.2937006950378418,-0.33644162649284226,-0.12694382667541504,-0.15419414639472961,-0.19627748960624558,-0.11496639251708984,0.04427480697631836,-0.2709864282048784,-0.09424805641174316,0.1782693862915039,-0.2719869517720781,-0.07622253894805908,0.2794867753982544,-0.2619164192117296,-0.20754672586917877,-0.09410130977630615,-0.18916762406001908,-0.19106243550777435,0.049710988998413086,-0.2350684457458101,-0.15265873074531555,0.14069271087646484,-0.22547968262801987,-0.12419527769088745,0.20839416980743408,-0.20942700440059525
M,0.0,0.0,0.0,0.08955705165863037,0.04831892251968384,-0.145043888080977,0.10593307018280029,0.10974019765853882,-0.24116743444290023,0.08777928352355957,0.1883000135421753,-0.3039521062263475,0.0628015398979187,0.2593865990638733,-0.3671629214176164,0.07978028059005737,-0.09924864768981934,-0.3104588770755754,0.10857957601547241,0.08614891767501831,-0.41039029597129684,0.1056022047996521,0.22745048999786377,-0.454486289013289,0.09390205144882202,0.32701361179351807,-0.47866199253883224,-0.01835837960243225,-0.11377182602882385,-0.2724906289466844,-0.004247426986694336,0.09322187304496765,-0.36794395088043075,0.0012483596801757812,0.2576580047607422,-0.39144516824569564,0.009547531604766846,0.37367933988571167,-0.4095279657730089,-0.11276310682296753,-0.08264416456222534,-0.23408926366653304,-0.10153347253799438,0.11590635776519775,-0.33108256100501876,-0.068073570728302,0.2673065662384033,-0.347687908399962,-0.046645015478134155,0.37024712562561035,-0.35331872938957076,-0.19101950526237488,-0.02566593885421753,-0.2024428778776155,-0.1724255084991455,0.14358913898468018,-0.2831124448665605,-0.13517405092716217,0.253743052482605,-0.2998613500484453,-0.1148119866847992,0.33016782999038696,-0.3051578485855089
M,0.0,0.0,0.0,0.12673452496528625,0.0730539858341217,-0.15633964654773536,0.18447566032409668,0.1657658815383911,-0.26913647469848456,0.1752353012561798,0.26379460096359253,-0.34468640503257575,0.15060195326805115,0.3530564308166504,-0.42052208003372016,0.18229183554649353,-0.060192644596099854,-0.3852370541986829,0.2078692615032196,0.0983630120754242,-0.5095422726568586,0.20080146193504333,0.22224396467208862,-0.5600594144758588,0.19102641940116882,0.3147839903831482,-0.5875020485815412,0.07929906249046326,-0.06795856356620789,-0.3470630806383497,0.08138975501060486,0.11629760265350342,-0.4622891109880811,0.08565297722816467,0.26493752002716064,-0.48240082082122626,0.10072347521781921,0.37039971351623535,-0.504149304002226,-0.02264651656150818,-0.036129117012023926,-0.30790452775329413,-0.010006159543991089,0.1440436840057373,-0.4285689156946546,0.01172107458114624,0.2868306040763855,-0.45081131276458564,0.034318357706069946,0.38903355598449707,-0.46409948286384406,-0.11110979318618774,0.013051331043243408,-0.27433107909530463,-0.08436892926692963,0.15669119358062744,-0.3733638685640699,-0.04319119453430176,0.25252240896224976,-0.4010115128454572,-0.008620113134384155,0.3259294629096985,-0.4211471539434797
M,0.0,0.0,0.0,0.10257643461227417,0.0016675889492034912,-0.12871608497221132,0.14613252878189087,0.03143519163131714,-0.22951844693739076,0.12929898500442505,0.10457488894462585,-0.30459176363069673,0.09164053201675415,0.17988958954811096,-0.37947439016420503,0.08960360288619995,-0.18302622437477112,-0.28386129798013826,0.11321389675140381,-0.02076086401939392,-0.3905324822815146,0.09944891929626465,0.12852361798286438,-0.45007311166841646,0.08010023832321167,0.24827340245246887,-0.4820551461132254,-0.0266246497631073,-0.19367393851280212,-0.2547745293529715,-0.006701648235321045,-0.0008263289928436279,-0.3499022013099875,-0.012302637100219727,0.1684724986553192,-0.37667544545251985,-0.010618448257446289,0.29517462849617004,-0.39292796315271517,-0.12941843271255493,-0.15643754601478577,-0.22450517477113863,-0.11196735501289368,0.03283700346946716,-0.30561967553217073,-0.09035709500312805,0.17632821202278137,-0.3118319994362082,-0.07014936208724976,0.2825221121311188,-0.3108040577324118,-0.21068859100341797,-0.08680948615074158,-0.20241885246355196,-0.17637181282043457,0.0757422149181366,-0.26633401574213167,-0.13524767756462097,0.1751936972141266,-0.2726220673473563,-0.10606706142425537,0.24055364727973938,-0.26970743002016206
M,0.0,0.0,0.0,0.12449777126312256,0.07142746448516846,-0.15018565567345377,0.18509453535079956,0.16460171341896057,-0.2592868468365168,0.19125613570213318,0.25230443477630615,-0.33171635480732675,0.17164751887321472,0.31315064430236816,-0.4063404759964442,0.17359578609466553,-0.04254043102264404,-0.3680260738930201,0.21723705530166626,0.1320509910583496,-0.47744896622509714,0.21512269973754883,0.2676941752433777,-0.5229117235741114,0.20621204376220703,0.36329853534698486,-0.5513247212967372,0.07582235336303711,-0.05012670159339905,-0.33416261883587595,0.09465336799621582,0.13433924317359924,-0.4380670449337458,0.10722613334655762,0.29038894176483154,-0.4577010235390162,0.1226520836353302,0.39852380752563477,-0.48075189801068063,-0.02092227339744568,-0.013745099306106567,-0.29771199436993356,-0.013773500919342041,0.16486695408821106,-0.40348887058109995,0.019396066665649414,0.30707108974456787,-0.41788684936375375,0.04199501872062683,0.40661555528640747,-0.42992090793461557,-0.10384403169155121,0.044138193130493164,-0.2672895452579951,-0.08155748248100281,0.20589327812194824,-0.3594346603950953,-0.03583717346191406,0.31183886528015137,-0.3784301838478541,-0.0053746700286865234,0.38902199268341064,-0.39203914614529367
M,0.0,0.0,0.0,0.09022083878517151,0.005241751670837402,-0.11079008413344127,0.128936767578125,0.04063645005226135,-0.20666952712326747,0.12598657608032227,0.12634992599487305,-0.28163968307762843,0.10212111473083496,0.2136257290840149,-0.3595271883705209,0.0915113091468811,-0.15208786725997925,-0.2637356398799966,0.1143118143081665,0.013815164566040039,-0.3620687900283883,0.1056523323059082,0.16433250904083252,-0.41884090287476283,0.09162640571594238,0.28488320112228394,-0.4489673851230691,-0.0257718563079834,-0.15740278363227844,-0.24199895841866237,-0.007848173379898071,0.03713378310203552,-0.32747079713135463,-0.011196106672286987,0.20803427696228027,-0.3513687728145669,-0.006157815456390381,0.34012454748153687,-0.3666162369945596,-0.13054192066192627,-0.12090057134628296,-0.21756796819954616,-0.11309489607810974,0.07365226745605469,-0.28689764721184474,-0.0908995270729065,0.22072190046310425,-0.2922037420967172,-0.06991702318191528,0.328609824180603,-0.29278432113915187,-0.21286645531654358,-0.05838292837142944,-0.20014488978176814,-0.17999683320522308,0.09974074363708496,-0.24854994101315242,-0.13795945048332214,0.20502370595932007,-0.24678203744679195,-0.10714134573936462,0.2797200083732605,-0.2413212089040826
M,0.0,0.0,0.0,0.09674391150474548,-0.00023260712623596191,-0.11237584725336092,0.14944800734519958,0.022350341081619263,-0.20632222220615404,0.15929195284843445,0.08998620510101318,-0.2802662245960619,0.1407845914363861,0.17075872421264648,-0.3575338117809679,0.08978056907653809,-0.15545013546943665,-0.2636251442165758,0.10900482535362244,0.0019527971744537354,-0.36241722032741563,0.10407450795173645,0.148415207862854,-0.42003270909503954,0.08776041865348816,0.26728546619415283,-0.4489733867378618,-0.026714861392974854,-0.15567299723625183,-0.23997287378028886,-0.013709396123886108,0.03910118341445923,-0.32285070345119493,-0.018014580011367798,0.20116198062896729,-0.3461573116512682,-0.016714662313461304,0.33123159408569336,-0.36080530211643236,-0.12941598892211914,-0.11787086725234985,-0.2137482754917528,-0.11816057562828064,0.08258509635925293,-0.2789083115787889,-0.09538224339485168,0.21819955110549927,-0.28205805942729967,-0.07349565625190735,0.32292187213897705,-0.2804879836769487,-0.21049582958221436,-0.05698978900909424,-0.19542251453117387,-0.1879003942012787,0.09119200706481934,-0.2371409378977205,-0.14635595679283142,0.18818259239196777,-0.23004613742546098,-0.1135607659816742,0.2640199661254883,-0.2207007251711275
M,0.0,0.0,0.0,0.11611860990524292,0.07095038890838623,-0.15104493912645012,0.1687089204788208,0.15422958135604858,-0.26324947592206627,0.1742868423461914,0.23933768272399902,-0.34073214646764427,0.15739959478378296,0.3093128204345703,-0.42170279141851097,0.1351090669631958,-0.04676288366317749,-0.3694760095734182,0.17415159940719604,0.13670018315315247,-0.4819873463768545,0.17177069187164307,0.2723718285560608,-0.5292301070351186,0.16242188215255737,0.3664315938949585,-0.5587234985489431,0.040309250354766846,-0.05746352672576904,-0.33742316481061607,0.05246990919113159,0.14022770524024963,-0.44897322770543724,0.06407666206359863,0.30012863874435425,-0.4752378058094564,0.07820868492126465,0.4146770238876343,-0.50059365149923,-0.05170094966888428,-0.022926509380340576,-0.3025012802738729,-0.04534873366355896,0.1695343255996704,-0.4153069150108877,-0.008421778678894043,0.323394238948822,-0.4354347180981222,0.01670697331428528,0.4310704469680786,-0.44955738302655845,-0.1286284476518631,0.03858858346939087,-0.27345373150296837,-0.10368716716766357,0.2172260284423828,-0.37233268138356834,-0.05876156687736511,0.341952383518219,-0.39814158197827965,-0.032922208309173584,0.4320099353790283,-0.41501559730954796
M,0.0,0.0,0.0,0.09685888886451721,0.04973950982093811,-0.13897065884464155,0.12967318296432495,0.1196334958076477,-0.23568831450336347,0.12166714668273926,0.20132184028625488,-0.3016745305716313,0.09984755516052246,0.26907652616500854,-0.3706566250979222,0.07455354928970337,-0.0857006311416626,-0.3100983358084477,0.11082571744918823,0.11072170734405518,-0.41089658505313764,0.1078113317489624,0.2520025968551636,-0.456997141903571,0.10041588544845581,0.34426718950271606,-0.4843178547083653,-0.017405927181243896,-0.09425872564315796,-0.2782118476092137,0.004088908433914185,0.11754491925239563,-0.3761589384733952,0.015062153339385986,0.28093987703323364,-0.4036156392752446,0.02791622281074524,0.3946186900138855,-0.42545975810878645,-0.10048657655715942,-0.05702030658721924,-0.24470412797325025,-0.081886887550354,0.14971154928207397,-0.3447718477904118,-0.04224482178688049,0.30611079931259155,-0.36133791572444807,-0.01666244864463806,0.41099828481674194,-0.3685186958967961,-0.16551034152507782,0.007486909627914429,-0.21715331143730054,-0.13356518745422363,0.19246172904968262,-0.30332936412685285,-0.09001153707504272,0.31467753648757935,-0.3206867731272496,-0.0657494068145752,0.3970634937286377,-0.3267750299631871
M,0.0,0.0,0.0,0.10338425636291504,0.00755956768989563,-0.12542900312678285,0.14310699701309204,0.042701542377471924,-0.2228799747301764,0.13042384386062622,0.12695521116256714,-0.2935499237848944,0.09616881608963013,0.2117067575454712,-0.3665821539236731,0.09541049599647522,-0.15160402655601501,-0.2934235023333258,0.12312275171279907,0.016445934772491455,-0.3940741108729071,0.11146140098571777,0.16775739192962646,-0.44595876205698914,0.09069043397903442,0.2859891653060913,-0.4729194628073401,-0.020129799842834473,-0.1539248824119568,-0.26249363888041444,-0.006906181573867798,0.050255149602890015,-0.3484612094237036,-0.004514098167419434,0.22312211990356445,-0.3685352491213507,0.002630293369293213,0.3484206795692444,-0.38323470819727845,-0.1238754391670227,-0.11105868220329285,-0.2284101681782431,-0.11357411742210388,0.08587384223937988,-0.30370399225489564,-0.08389568328857422,0.2316896915435791,-0.3063714789225287,-0.057686030864715576,0.33848321437835693,-0.3049615906550116,-0.20423978567123413,-0.04213827848434448,-0.20121183861033387,-0.17791599035263062,0.1153327226638794,-0.2578191446139044,-0.13221079111099243,0.21558773517608643,-0.257826028950376,-0.09738174080848694,0.2859177589416504,-0.25276726353899903
