label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
N,0.0,0.0,0.0,0.09535986185073853,-0.00042134523391723633,-0.09154821625338627,0.1762218475341797,-0.0039421916007995605,-0.16685331305848194,0.18121588230133057,0.02293980121612549,-0.22981903395043446,0.1307443380355835,0.07756108045578003,-0.2905338748394115,0.053034424781799316,-0.19622854888439178,-0.18489549002038075,0.060824811458587646,-0.00785154104232788,-0.28467348656045033,0.051555514335632324,0.12380445003509521,-0.34760794481621815,0.041729629039764404,0.21591830253601074,-0.3780829950271709,-0.05437403917312622,-0.18731456995010376,-0.17292803964005543,-0.028880774974822998,0.02114325761795044,-0.2521289928852184,-0.010288238525390625,0.12490952014923096,-0.2752276404796703,0.006153106689453125,0.19700801372528076,-0.28428787431107594,-0.13768821954727173,-0.1448119878768921,-0.16343322834359242,-0.09490156173706055,0.05478891730308533,-0.21765384516106678,-0.056386470794677734,0.1253986954689026,-0.20508382162438465,-0.032010436058044434,0.16591286659240723,-0.18925385615216328,-0.1973203718662262,-0.08418262004852295,-0.16374513944970204,-0.16235408186912537,0.04391700029373169,-0.19074622234688832,-0.12377363443374634,0.0785641074180603,-0.1750585629640682,-0.10147732496261597,0.08679896593093872,-0.1563427641092403
N,0.0,0.0,0.0,0.10575693845748901,-0.011209279298782349,-0.08462628074244094,0.19161182641983032,-0.028808414936065674,-0.14843274750069213,0.19420528411865234,-0.01574644446372986,-0.20116707779720855,0.14062577486038208,0.027611374855041504,-0.2519591162379129,0.0655716061592102,-0.21400590240955353,-0.16186824538067413,0.06404215097427368,-0.027972638607025146,-0.25933644272640777,0.057512760162353516,0.09143584966659546,-0.32043266393498016,0.05280786752700806,0.1710439920425415,-0.34924417831257415,-0.042218148708343506,-0.20390498638153076,-0.1518387059147699,-0.020941615104675293,0.005170047283172607,-0.22743013598278594,-0.0056473612785339355,0.10624009370803833,-0.24731333650902343,0.0023218393325805664,0.17238134145736694,-0.25396588541821075,-0.12367013096809387,-0.157832533121109,-0.1460122475798471,-0.08632954955101013,0.03731706738471985,-0.20099492468193603,-0.05263620615005493,0.10275357961654663,-0.1879162500079019,-0.036267638206481934,0.1345950961112976,-0.17042566932991576,-0.1818903386592865,-0.09472662210464478,-0.14937679566696715,-0.14718180894851685,0.03162297606468201,-0.18043840028599334,-0.10917243361473083,0.06989246606826782,-0.16717842318371368,-0.08865538239479065,0.07576948404312134,-0.14887550570324493
N,0.0,0.0,0.0,0.09681642055511475,-0.005396157503128052,-0.08205435081265477,0.18514388799667358,-0.01712551712989807,-0.14789782120726613,0.1969294548034668,-0.009589016437530518,-0.20299128844283132,0.144789457321167,0.029154270887374878,-0.25531385495207815,0.06309223175048828,-0.19538407027721405,-0.16677747323058156,0.06836575269699097,-0.0127430260181427,-0.26278943969748525,0.059436917304992676,0.10491231083869934,-0.32078887178442983,0.048660099506378174,0.18649885058403015,-0.34777916624091176,-0.04397517442703247,-0.19027644395828247,-0.1582758392288497,-0.021293222904205322,0.018186062574386597,-0.23515869333289174,-0.0049825310707092285,0.12001010775566101,-0.2539110894396117,0.0024510622024536133,0.18856534361839294,-0.25954006268523244,-0.12517094612121582,-0.14988964796066284,-0.15301844133875875,-0.08717682957649231,0.04838797450065613,-0.20837799860976247,-0.05245077610015869,0.11643621325492859,-0.19423924042723684,-0.036383628845214844,0.15262553095817566,-0.1763613487675002,-0.18245628476142883,-0.09150347113609314,-0.15674925996802358,-0.14837896823883057,0.036569565534591675,-0.18839604808829336,-0.10962775349617004,0.07762762904167175,-0.1753145272924712,-0.08905893564224243,0.08852085471153259,-0.15745027019522695
N,0.0,0.0,0.0,0.09668475389480591,-0.0044116973876953125,-0.07863542500774656,0.1828112006187439,-0.019251614809036255,-0.14203720603029524,0.1930919885635376,-0.01537904143333435,-0.1952219388250569,0.13770157098770142,0.02038249373435974,-0.24666137311498915,0.0626523494720459,-0.19253984093666077,-0.16306059870760237,0.06740152835845947,-0.012487947940826416,-0.25814885709326063,0.055944204330444336,0.10555025935173035,-0.31880638811628614,0.04222714900970459,0.18703684210777283,-0.34782103512327467,-0.04301077127456665,-0.18823644518852234,-0.1547091088060597,-0.02131599187850952,0.018644899129867554,-0.22803063008825575,-0.002263307571411133,0.11600467562675476,-0.2473612210516194,0.009121358394622803,0.18307778239250183,-0.25449062202017103,-0.12332892417907715,-0.14908677339553833,-0.14927623484175,-0.08888170123100281,0.04706853628158569,-0.20019916508238111,-0.0563088059425354,0.11283621191978455,-0.1857839754585484,-0.03987997770309448,0.14996203780174255,-0.16875394496958052,-0.18080240488052368,-0.09212180972099304,-0.1527695587639073,-0.15063875913619995,0.034481823444366455,-0.18067648325006758,-0.11247512698173523,0.0720391571521759,-0.16673273656408583,-0.09003594517707825,0.08223125338554382,-0.1490519574646214
N,0.0,0.0,0.0,0.08780509233474731,0.0011070668697357178,-0.09207050665645511,0.15807145833969116,-0.009838193655014038,-0.1625174672844878,0.16347354650497437,0.012278258800506592,-0.21703583910493762,0.12653964757919312,0.059059739112854004,-0.2688399197104445,0.04231137037277222,-0.17489522695541382,-0.1933123411181441,0.04594987630844116,-0.008999288082122803,-0.27571695461301715,0.035710930824279785,0.10221272706985474,-0.32054340257673175,0.025733768939971924,0.1774471402168274,-0.3417819978240004,-0.05911916494369507,-0.16962480545043945,-0.17605333938627155,-0.04769015312194824,0.029021859169006348,-0.24340630486040027,-0.037168800830841064,0.12760430574417114,-0.25867455616025836,-0.024248957633972168,0.18671578168869019,-0.2651310504916182,-0.1359342336654663,-0.1347200572490692,-0.15882206871538074,-0.10751187801361084,0.05573248863220215,-0.20522699668435962,-0.06817448139190674,0.11741828918457031,-0.1914725990536681,-0.03891175985336304,0.1463068127632141,-0.1783890218976012,-0.1915113925933838,-0.08296871185302734,-0.15076195611982257,-0.16658219695091248,0.03983449935913086,-0.17812120332746417,-0.1259138584136963,0.07424193620681763,-0.16325370385675342,-0.09722232818603516,0.08055680990219116,-0.1460762114766112
N,0.0,0.0,0.0,0.08569836616516113,0.00048410892486572266,-0.08475340381244223,0.1572268009185791,-0.010883927345275879,-0.15504119023660223,0.1552114486694336,0.0038254857063293457,-0.21241328343728583,0.10022103786468506,0.0470011830329895,-0.26746526584008734,0.0462338924407959,-0.18884500861167908,-0.17776575908044379,0.051664531230926514,-0.018176376819610596,-0.26399806365350287,0.039765000343322754,0.09164124727249146,-0.31819391474107306,0.027151823043823242,0.171866774559021,-0.3448712848124842,-0.05251264572143555,-0.18529677391052246,-0.16555345281938116,-0.035221993923187256,0.0035316944122314453,-0.23556062802651923,-0.026838719844818115,0.09923195838928223,-0.2582512520251612,-0.017837464809417725,0.17093247175216675,-0.2690881811080317,-0.12931212782859802,-0.1513652503490448,-0.15398667976239722,-0.09434765577316284,0.03173306584358215,-0.20298095270970862,-0.06424015760421753,0.10306680202484131,-0.1944174341855387,-0.04366481304168701,0.15399259328842163,-0.18289867266992132,-0.18668070435523987,-0.09859159588813782,-0.15122203752378027,-0.16266027092933655,0.018095940351486206,-0.1767465345559458,-0.1255723237991333,0.05216771364212036,-0.1636813454327921,-0.09939515590667725,0.06723076105117798,-0.1480665676293711
N,0.0,0.0,0.0,0.09442466497421265,-0.009265422821044922,-0.06928616696552581,0.17262256145477295,-0.029706984758377075,-0.1255150430794174,0.18665051460266113,-0.03630274534225464,-0.17292249137119597,0.12724727392196655,-0.010680556297302246,-0.21941870385364837,0.05749773979187012,-0.19052201509475708,-0.14991891318516082,0.057400643825531006,-0.013157486915588379,-0.2395846986170227,0.04423868656158447,0.08591997623443604,-0.2992371612186844,0.029541313648223877,0.1548556089401245,-0.32798331910328216,-0.04541712999343872,-0.1889805793762207,-0.1435511999721939,-0.029287993907928467,0.012295544147491455,-0.21121174031452483,-0.015256822109222412,0.09908604621887207,-0.22768942946152038,-0.006815731525421143,0.16364800930023193,-0.23386828535751647,-0.12258478999137878,-0.1535397469997406,-0.13975183600143737,-0.0945940911769867,0.03500092029571533,-0.18625582689003295,-0.06414878368377686,0.09368109703063965,-0.17150808805183715,-0.045011043548583984,0.1282978057861328,-0.15461024576381988,-0.17852085828781128,-0.09985822439193726,-0.14450059765533751,-0.15152686834335327,0.015831589698791504,-0.16886995667175597,-0.11640793085098267,0.045666277408599854,-0.15535613828853911,-0.09279483556747437,0.052950382232666016,-0.13922753864483184
N,0.0,0.0,0.0,0.08674877882003784,-0.0069703757762908936,-0.07054657817911902,0.1651170253753662,-0.03540840744972229,-0.1278830799562911,0.18028736114501953,-0.051997631788253784,-0.17652359933686057,0.12150037288665771,-0.02779558300971985,-0.22488682300877372,0.050264060497283936,-0.20186591148376465,-0.1494980636341552,0.05651956796646118,-0.028969883918762207,-0.23805369765591422,0.0428849458694458,0.07300588488578796,-0.2989462497932891,0.024373292922973633,0.1489017903804779,-0.3280227366192321,-0.05082195997238159,-0.19746538996696472,-0.14261396558117667,-0.026294231414794922,-0.009625226259231567,-0.20957175226044455,-0.019665002822875977,0.08189317584037781,-0.23025100261997977,-0.019601523876190186,0.15909019112586975,-0.23964690000843802,-0.1265040934085846,-0.16159185767173767,-0.13783684701752463,-0.09415769577026367,0.011860668659210205,-0.18476944000553885,-0.06973594427108765,0.08549758791923523,-0.17348650426697532,-0.05584138631820679,0.14225080609321594,-0.15865493149590293,-0.18187165260314941,-0.10702633857727051,-0.14132424027752677,-0.15769252181053162,-0.008379071950912476,-0.1616377565367202,-0.12741020321846008,0.03071191906929016,-0.14561401636433402,-0.1071547269821167,0.05490109324455261,-0.12844291658234397
N,0.0,0.0,0.0,0.0803636908531189,-0.0019001960754394531,-0.07869719379868911,0.1529940962791443,-0.02776801586151123,-0.1421040412160437,0.1577523946762085,-0.03637593984603882,-0.1943530555936377,0.10326337814331055,-0.004025191068649292,-0.2442914363118689,0.04917353391647339,-0.1954416036605835,-0.16350550615516113,0.053108155727386475,-0.03416556119918823,-0.24661326074328827,0.03982281684875488,0.06665211915969849,-0.2995137240859549,0.02433156967163086,0.14151400327682495,-0.32529309057918,-0.049461424350738525,-0.19523954391479492,-0.15332032406058715,-0.028033316135406494,-0.01425182819366455,-0.22272355520453857,-0.02023988962173462,0.07907962799072266,-0.2457324978086035,-0.014004051685333252,0.15348970890045166,-0.25595894121852325,-0.12575706839561462,-0.16463619470596313,-0.1440421458455603,-0.08955353498458862,0.008816182613372803,-0.19294599854674743,-0.06270039081573486,0.08349335193634033,-0.18597252332892822,-0.04553329944610596,0.14043515920639038,-0.17458761894431518,-0.1829851269721985,-0.11484092473983765,-0.14321446084704803,-0.15807297825813293,-0.007211565971374512,-0.166926231619982,-0.123239666223526,0.029713213443756104,-0.15479348265853332,-0.09969651699066162,0.05058610439300537,-0.13989145719733642
N,0.0,0.0,0.0,0.0758623480796814,0.011610090732574463,-0.08651260181352427,0.14434587955474854,-0.0023077726364135742,-0.15288345410510829,0.15222519636154175,-0.008754074573516846,-0.2050476808755093,0.10532605648040771,0.01937568187713623,-0.2544836987464123,0.044605791568756104,-0.1656973958015442,-0.18052308156177332,0.05148053169250488,-0.011081576347351074,-0.25953838123962214,0.03253847360610962,0.09243535995483398,-0.30534520640060236,0.012601256370544434,0.16985464096069336,-0.3277619470565014,-0.050983965396881104,-0.1684664487838745,-0.16589784516975215,-0.03604549169540405,0.01905602216720581,-0.2305845458714657,-0.03297245502471924,0.11453652381896973,-0.2494570453374081,-0.026000678539276123,0.17867738008499146,-0.25925910367652705,-0.12501665949821472,-0.1398766040802002,-0.1512403179614239,-0.09660351276397705,0.04162496328353882,-0.19870734109565547,-0.06885790824890137,0.11072659492492676,-0.18911246850177577,-0.04764831066131592,0.15353578329086304,-0.17845801903888514,-0.18163898587226868,-0.09043541550636292,-0.14512550725623896,-0.15977734327316284,0.026307910680770874,-0.17135639383479884,-0.12536782026290894,0.06098830699920654,-0.15791667892619898,-0.10104566812515259,0.07337474822998047,-0.14290642633125117
