label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
P,0.0,0.0,0.0,-0.06264042854309082,0.07071706652641296,-0.20801058971790098,-0.17454558610916138,0.1005922257900238,-0.29326010310558104,-0.2852076292037964,0.1425991952419281,-0.3250408228626611,-0.39094316959381104,0.19446101784706116,-0.3382235225429895,-0.2663425803184509,-0.125331312417984,-0.25693542325404906,-0.4385387897491455,-0.06696677207946777,-0.2913722749939325,-0.44142425060272217,0.039580076932907104,-0.29981023633388304,-0.40374094247817993,0.12221357226371765,-0.295131510137594,-0.28219032287597656,-0.1363394558429718,-0.1336483862390878,-0.4641803503036499,-0.14894142746925354,-0.1659929063310983,-0.5740081518888474,-0.15042302012443542,-0.1850935723772409,-0.6468184590339661,-0.16174504160881042,-0.20007554256824278,-0.27973419427871704,-0.12357175350189209,-0.014700545943355792,-0.41451218724250793,-0.07819512486457825,-0.03560571560171866,-0.45168066024780273,0.016562581062316895,-0.056165603934800856,-0.45307624340057373,0.08906897902488708,-0.06830766612199568,-0.27753233909606934,-0.10632950067520142,0.09134716725441194,-0.37035512924194336,-0.057785630226135254,0.06725261545273042,-0.39458924531936646,0.008017361164093018,0.04683433285447336,-0.39649999141693115,0.0626542866230011,0.03545808231922365
P,0.0,0.0,0.0,-0.01742410659790039,0.11864739656448364,-0.2279397470202298,-0.12131166458129883,0.19836413860321045,-0.3289802593436093,-0.2457241415977478,0.24630498886108398,-0.370173893615231,-0.36179226636886597,0.29310142993927,-0.40266700808666656,-0.21113258600234985,-0.04160028696060181,-0.3575365466322751,-0.39633071422576904,-0.05518674850463867,-0.4823320430960507,-0.5317130088806152,-0.055040061473846436,-0.5577272993769498,-0.6296282410621643,-0.046864867210388184,-0.5950168592181058,-0.24783527851104736,-0.08069097995758057,-0.24902700607441375,-0.4326542615890503,0.007735908031463623,-0.35602765504978606,-0.45096802711486816,0.1413496732711792,-0.3803057891573758,-0.41427645087242126,0.22862327098846436,-0.37941142146252105,-0.27754753828048706,-0.07569944858551025,-0.14876099650524566,-0.4254969656467438,0.029533684253692627,-0.2536730689253659,-0.41977450251579285,0.15847045183181763,-0.2728811723437161,-0.3836206793785095,0.22754478454589844,-0.25996705119274566,-0.3022922873497009,-0.062268078327178955,-0.05952672634981582,-0.3946191072463989,0.0280991792678833,-0.1291221005167813,-0.40036967396736145,0.11512714624404907,-0.14179965083263824,-0.3708038926124573,0.16558122634887695,-0.13461489205025146
P,0.0,0.0,0.0,-0.026828110218048096,0.11630523204803467,-0.23870808888102601,-0.13167178630828857,0.1869836449623108,-0.34987873840952943,-0.24971157312393188,0.2281348705291748,-0.39647642779971193,-0.36361169815063477,0.28397202491760254,-0.4348663787903888,-0.2238239049911499,-0.049545109272003174,-0.3928826551499469,-0.38694649934768677,-0.06427204608917236,-0.5370618503155811,-0.5218119919300079,-0.06462204456329346,-0.6327104370656116,-0.6164366900920868,-0.05749225616455078,-0.682905892616759,-0.25709038972854614,-0.08757460117340088,-0.276173065191756,-0.43296509981155396,0.0021024346351623535,-0.3839125137391193,-0.4480508267879486,0.13239127397537231,-0.4053096275391681,-0.4133736491203308,0.21816641092300415,-0.40626595426226686,-0.28389209508895874,-0.08409041166305542,-0.16782366741324495,-0.42711564898490906,0.014770030975341797,-0.2655236821236713,-0.42510485649108887,0.13862663507461548,-0.2745376329484088,-0.3965899348258972,0.20704883337020874,-0.259628156906615,-0.306149423122406,-0.07016277313232422,-0.07233660179997514,-0.3979855477809906,0.008476853370666504,-0.1361963998141391,-0.40955013036727905,0.09741765260696411,-0.1426712523760898,-0.3860032558441162,0.15225738286972046,-0.13408258069182466
P,0.0,0.0,0.0,-0.030856609344482422,0.106609046459198,-0.23284679347432302,-0.14123618602752686,0.17574965953826904,-0.32514279776967214,-0.2599371671676636,0.2232869267463684,-0.35436477953351186,-0.3773602843284607,0.27064645290374756,-0.3739550381318395,-0.23417478799819946,-0.0700637698173523,-0.35182657534039663,-0.4186787009239197,-0.08184707164764404,-0.46405809813893484,-0.5499897301197052,-0.08018076419830322,-0.5352130501881902,-0.65036940574646,-0.06975865364074707,-0.5709783404485052,-0.2651340365409851,-0.10256034135818481,-0.2302705466166799,-0.4461718499660492,-0.009711861610412598,-0.32005142861760305,-0.4604179561138153,0.12604504823684692,-0.33986654573834585,-0.4165388345718384,0.21951550245285034,-0.3396430581227605,-0.2931520938873291,-0.09228366613388062,-0.1174170195475881,-0.44435006380081177,0.0051871538162231445,-0.20680139655030416,-0.4354645013809204,0.12710678577423096,-0.23265665465748953,-0.39552026987075806,0.1962990164756775,-0.228056070150501,-0.31625574827194214,-0.07576614618301392,-0.01614791596091436,-0.4076141119003296,0.006173074245452881,-0.07629719072735952,-0.41843467950820923,0.08683568239212036,-0.0971024751082723,-0.3910256624221802,0.1406295895576477,-0.09840546989596533
P,0.0,0.0,0.0,-0.03187286853790283,0.10109078884124756,-0.23760700132379498,-0.1430147886276245,0.16665834188461304,-0.33559460844526257,-0.25958937406539917,0.2129077911376953,-0.3689654609156605,-0.3762315809726715,0.26437973976135254,-0.3933466812563893,-0.244873046875,-0.07635825872421265,-0.3665354093504902,-0.433988094329834,-0.08629542589187622,-0.47772787417898144,-0.5688087642192841,-0.08364558219909668,-0.5467248698664662,-0.6699871718883514,-0.07598519325256348,-0.5801779767466542,-0.2722488045692444,-0.10868644714355469,-0.2389366468382832,-0.45010441541671753,-0.019823133945465088,-0.32549993600378,-0.46945369243621826,0.12059032917022705,-0.3376566311312672,-0.4258229434490204,0.21382898092269897,-0.331985189576244,-0.2967965006828308,-0.09499877691268921,-0.11987790371904339,-0.44406598806381226,-0.0027309060096740723,-0.2048271587086674,-0.4452998638153076,0.12035393714904785,-0.22698599006662334,-0.4113340973854065,0.18929100036621094,-0.22112834360132183,-0.3175172209739685,-0.07651209831237793,-0.012464265335893288,-0.4058431088924408,0.001826465129852295,-0.06956256087551083,-0.4214220643043518,0.08130389451980591,-0.08884095307121243,-0.39856845140457153,0.13456666469573975,-0.08947695698270763
P,0.0,0.0,0.0,-0.043173909187316895,0.10101640224456787,-0.24278134241222915,-0.15497106313705444,0.16258352994918823,-0.34282113745331344,-0.26957809925079346,0.20962423086166382,-0.37693663075089034,-0.38713952898979187,0.2624795436859131,-0.40113805368065414,-0.25705671310424805,-0.0918128490447998,-0.369148240829702,-0.43717455863952637,-0.09514790773391724,-0.4870020313513237,-0.5753786861896515,-0.09291714429855347,-0.5599062605154472,-0.6722516119480133,-0.08320248126983643,-0.5938022895109611,-0.2806755304336548,-0.12316024303436279,-0.23757486178993759,-0.4575735032558441,-0.01671779155731201,-0.3250020904791313,-0.46797502040863037,0.12348556518554688,-0.3363139493715721,-0.42201662063598633,0.2167472243309021,-0.3297163112413841,-0.3015438914299011,-0.11042237281799316,-0.11584478005289611,-0.44828081130981445,-0.012517333030700684,-0.20361849799274978,-0.45086178183555603,0.1137697696685791,-0.22648662462353286,-0.42064785957336426,0.1903935670852661,-0.21967959537624893,-0.32253891229629517,-0.0917888879776001,-0.006119101713295549,-0.4172084927558899,-0.02309703826904297,-0.06592921301245269,-0.44156545400619507,0.057430922985076904,-0.08847014739632186,-0.42468416690826416,0.1156889796257019,-0.09125891461491165
P,0.0,0.0,0.0,-0.03380918502807617,0.10020184516906738,-0.25298790317299336,-0.14389395713806152,0.1604369878768921,-0.34823979120972126,-0.2534559965133667,0.2103765606880188,-0.3733294425559279,-0.37152451276779175,0.265142023563385,-0.38687260132553547,-0.257088303565979,-0.08729785680770874,-0.36815954428436726,-0.4421921670436859,-0.09323829412460327,-0.47136129122498005,-0.5744908452033997,-0.09186893701553345,-0.5374137280535933,-0.6775224208831787,-0.08434414863586426,-0.5699303863597152,-0.2812347412109375,-0.1069144606590271,-0.22675971370460957,-0.45242559909820557,-0.019168198108673096,-0.3014993784976241,-0.456034779548645,0.12321901321411133,-0.31263453942062824,-0.4070403575897217,0.21503734588623047,-0.3088497934890029,-0.30587804317474365,-0.08686459064483643,-0.09560563098909824,-0.44491732120513916,-0.003929316997528076,-0.17070069592716663,-0.43393051624298096,0.11920994520187378,-0.19883057158710926,-0.399602472782135,0.18799883127212524,-0.19971868079426258,-0.326938271522522,-0.06484001874923706,0.022478091900325126,-0.4140159487724304,0.00018084049224853516,-0.02715958524765938,-0.4340783357620239,0.0746733546257019,-0.05188207011940449,-0.4182279109954834,0.12738996744155884,-0.059306953663849526
P,0.0,0.0,0.0,-0.04594087600708008,0.09912675619125366,-0.2449916337801028,-0.15631544589996338,0.15328174829483032,-0.3467158709837008,-0.26580530405044556,0.20037060976028442,-0.3843149875474978,-0.381003201007843,0.26258522272109985,-0.4129320715738345,-0.2775583267211914,-0.09785300493240356,-0.351019326336484,-0.466641902923584,-0.10041171312332153,-0.44293460596333034,-0.6040997803211212,-0.1011272668838501,-0.49655253041515834,-0.7023031115531921,-0.101595938205719,-0.5193605755640078,-0.293623685836792,-0.11465579271316528,-0.21206757772694118,-0.4641000032424927,-0.023001372814178467,-0.27855021107922084,-0.4645642936229706,0.12106889486312866,-0.2811827694250155,-0.41938841342926025,0.20584523677825928,-0.26981342185268886,-0.3097761869430542,-0.09597676992416382,-0.08277384538183696,-0.4510498344898224,-0.009852111339569092,-0.1492240761591006,-0.4405677020549774,0.11413806676864624,-0.17328788686523922,-0.40402528643608093,0.1806720495223999,-0.17167152810822017,-0.3258446455001831,-0.07724201679229736,0.03401546206345074,-0.41987162828445435,-0.014113128185272217,-0.007057644165854526,-0.4462873041629791,0.06504368782043457,-0.029476158059935642,-0.4332578480243683,0.11878681182861328,-0.035864282138447834
P,0.0,0.0,0.0,-0.042407989501953125,0.0959235429763794,-0.24534486458475158,-0.14975666999816895,0.15194886922836304,-0.3439294867294507,-0.2582067847251892,0.20094233751296997,-0.3751527838485913,-0.3729078471660614,0.2641982436180115,-0.39616276548082396,-0.27498018741607666,-0.09140384197235107,-0.356588619210072,-0.4590409994125366,-0.0979573130607605,-0.45661108420068786,-0.6007142066955566,-0.09982109069824219,-0.5216178469436841,-0.7014276087284088,-0.09473943710327148,-0.5523461870926099,-0.29170313477516174,-0.10866284370422363,-0.2140512190836148,-0.4598485827445984,-0.016521930694580078,-0.27567674443895385,-0.4566632807254791,0.12731754779815674,-0.2750333719032483,-0.40881580114364624,0.2153114676475525,-0.2635557822960095,-0.3099423348903656,-0.0904509425163269,-0.08168012873107955,-0.44839492440223694,-0.009104013442993164,-0.1434028022068219,-0.43839317560195923,0.1138339638710022,-0.16140580401594207,-0.4042752981185913,0.1815330982208252,-0.15703524873430297,-0.32406309247016907,-0.07202315330505371,0.03779529555862382,-0.41396117210388184,-0.011960864067077637,-0.0031671027264223994,-0.4385470151901245,0.06486690044403076,-0.022374989845104665,-0.4249888062477112,0.11921405792236328,-0.026019979648538083
P,0.0,0.0,0.0,-0.04378896951675415,0.0980423092842102,-0.24528211938496725,-0.15574002265930176,0.15357911586761475,-0.3388006298458208,-0.2705734372138977,0.20011448860168457,-0.36377697276230947,-0.3896053433418274,0.26014256477355957,-0.377631685010158,-0.2697167992591858,-0.09388607740402222,-0.3499098627483477,-0.45847731828689575,-0.10035663843154907,-0.44453810738679067,-0.594011127948761,-0.1003575325012207,-0.5027420132076372,-0.6918182969093323,-0.09329807758331299,-0.5286044089710344,-0.2875342071056366,-0.11628580093383789,-0.20671687113400594,-0.46546489000320435,-0.01650702953338623,-0.2684009878551592,-0.4654165506362915,0.12433171272277832,-0.26941060113068716,-0.4147965908050537,0.2130778431892395,-0.2578186302101244,-0.3071766197681427,-0.1019865870475769,-0.07359066443797246,-0.4508196711540222,-0.014805793762207031,-0.13695951389428274,-0.4442892372608185,0.1108507513999939,-0.15815547691937581,-0.4117778539657593,0.1841936707496643,-0.15439564572926656,-0.32567891478538513,-0.0872197151184082,0.046951858081854425,-0.41398733854293823,-0.027173519134521484,0.0033244897956024033,-0.43785613775253296,0.0511474609375,-0.019533129653893866,-0.4233652353286743,0.10923027992248535,-0.024692783377133765
