label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
R,0.0,0.0,0.0,0.1167999804019928,-0.0694655179977417,-0.1518403029045885,0.14085093140602112,-0.2536029815673828,-0.16926212962482623,0.03176146745681763,-0.3656536042690277,-0.15896122511242083,-0.0857681930065155,-0.4072708487510681,-0.1338186895451372,0.1730174720287323,-0.4007765054702759,-0.06191165726397685,0.14777317643165588,-0.5730598866939545,-0.1132101302943056,0.11067637801170349,-0.6904707551002502,-0.1479892468056505,0.07401922345161438,-0.788559764623642,-0.16866197045658282,0.0843687355518341,-0.398784339427948,-0.02608692254636935,0.10518866777420044,-0.5980020761489868,-0.07729401793096713,0.11660626530647278,-0.7136932909488678,-0.10505529846761874,0.12154430150985718,-0.8071319758892059,-0.11047217603538684,-0.010860338807106018,-0.3644695281982422,-0.0146083196601694,-0.05226512253284454,-0.4849375784397125,-0.1424295192560976,-0.02443110942840576,-0.34712111949920654,-0.17652431484077624,-0.0021631717681884766,-0.2697490453720093,-0.15378535147522143,-0.09903921186923981,-0.30712419748306274,-0.013541825858396805,-0.10811857879161835,-0.39712241291999817,-0.1253515517315691,-0.07105797529220581,-0.3003731369972229,-0.1416411137184923,-0.061420053243637085,-0.22937923669815063,-0.126114714702112
R,0.0,0.0,0.0,0.06384873390197754,-0.06646931171417236,-0.05938880786874279,0.08195793628692627,-0.1676991581916809,-0.07542805269935116,0.015440642833709717,-0.23912495374679565,-0.08691813693025097,-0.05254805088043213,-0.28298020362854004,-0.09352056578376278,0.07932853698730469,-0.27297472953796387,-0.017385021677398527,0.056012094020843506,-0.3847721815109253,-0.05535570800878986,0.02785956859588623,-0.4526993930339813,-0.08190140024402126,-0.005210161209106445,-0.5121190845966339,-0.09581284121253475,0.021589934825897217,-0.268427312374115,-0.012687042249524438,0.025164663791656494,-0.40377146005630493,-0.05686509505488857,0.0220869779586792,-0.48286306858062744,-0.08089919284560665,0.014961719512939453,-0.5475228726863861,-0.08572807804324611,-0.032150328159332275,-0.24158281087875366,-0.01803796448388084,-0.06748205423355103,-0.29856640100479126,-0.09603851929881557,-0.04634314775466919,-0.2184232473373413,-0.10999013379790767,-0.02424168586730957,-0.1665632128715515,-0.09079630569198116,-0.08186769485473633,-0.20195531845092773,-0.026803334137582624,-0.09684324264526367,-0.24684518575668335,-0.08801032499053463,-0.07488405704498291,-0.18375277519226074,-0.08598128602483257,-0.05668729543685913,-0.13924705982208252,-0.06646567479350551
R,0.0,0.0,0.0,0.0683596134185791,-0.06705212593078613,-0.052353378708346554,0.08151274919509888,-0.1737111210823059,-0.06306913899896927,0.011349201202392578,-0.24451416730880737,-0.07086086678026504,-0.05303722620010376,-0.285042941570282,-0.0736790116381485,0.07763040065765381,-0.27461785078048706,-0.0047982799325723136,0.054343342781066895,-0.38435202836990356,-0.03872656854508705,0.028886616230010986,-0.45127367973327637,-0.0636191110563118,-0.0008506178855895996,-0.5083295106887817,-0.07757431673525161,0.021068096160888672,-0.2676171660423279,-0.004575567643030354,0.02289515733718872,-0.40477675199508667,-0.04554845425008125,0.018181681632995605,-0.4838307499885559,-0.07006765561817474,0.008039593696594238,-0.548705130815506,-0.07608977365015335,-0.030486226081848145,-0.23838144540786743,-0.01433116136757917,-0.06631845235824585,-0.2976340651512146,-0.09159579532860107,-0.0417017936706543,-0.21865421533584595,-0.10711545902012176,-0.0182112455368042,-0.1690869927406311,-0.08946258979557342,-0.0801091194152832,-0.19464826583862305,-0.026981667007191845,-0.09491515159606934,-0.24313348531723022,-0.08873890745161361,-0.06936722993850708,-0.18071061372756958,-0.08839369970081634,-0.04994606971740723,-0.13737761974334717,-0.0708185698342163
R,0.0,0.0,0.0,0.06627881526947021,-0.07206416130065918,-0.0503003493473102,0.07612490653991699,-0.18096184730529785,-0.06114618932457461,0.007503330707550049,-0.25384020805358887,-0.070462555490451,-0.05811864137649536,-0.287747859954834,-0.07548380722852244,0.06858563423156738,-0.27586829662323,-0.00494494322316541,0.04058384895324707,-0.38755714893341064,-0.04075027336926951,0.012971222400665283,-0.4547509551048279,-0.06617435892673029,-0.018321514129638672,-0.5116108655929565,-0.0801434077844192,0.015386998653411865,-0.2677285671234131,-0.005162993311898845,0.016113698482513428,-0.40702348947525024,-0.04949322050066485,0.008209049701690674,-0.48650169372558594,-0.07439742317052378,-0.004373371601104736,-0.5509739220142365,-0.07966419389100565,-0.03320646286010742,-0.23913872241973877,-0.014994212292151587,-0.07621991634368896,-0.30133694410324097,-0.09358186354489817,-0.051297903060913086,-0.2248052954673767,-0.10723632653804316,-0.02441006898880005,-0.17349565029144287,-0.08768896838279261,-0.07993811368942261,-0.19634169340133667,-0.02755911541731848,-0.10505765676498413,-0.2474895715713501,-0.08823833694310679,-0.07967185974121094,-0.18658190965652466,-0.08538503279538645,-0.05534738302230835,-0.14169204235076904,-0.06574496706576838
R,0.0,0.0,0.0,0.06811171770095825,-0.07133418321609497,-0.05219518859405525,0.07178902626037598,-0.18450027704238892,-0.055967834782791215,-0.00711512565612793,-0.24691057205200195,-0.05635766778607376,-0.07906031608581543,-0.2786988615989685,-0.05161032919306763,0.05164617300033569,-0.2878149747848511,0.007600621781307382,0.022124826908111572,-0.3921314477920532,-0.01740718912799366,-0.005864143371582031,-0.4548805058002472,-0.03643688653130539,-0.036024630069732666,-0.5085744857788086,-0.04773090500850685,-0.003576338291168213,-0.276294469833374,0.007368096145796699,-0.009187400341033936,-0.41420483589172363,-0.02333760727663048,-0.010394036769866943,-0.4878506064414978,-0.04259409849066742,-0.017237365245819092,-0.5481978058815002,-0.04602551553864487,-0.05234891176223755,-0.24110692739486694,-0.004000730351549464,-0.08985406160354614,-0.30602192878723145,-0.07948277984280594,-0.053765833377838135,-0.2231290340423584,-0.09546154086012848,-0.029436588287353516,-0.17460912466049194,-0.07809367869515427,-0.09552192687988281,-0.18736696243286133,-0.018060932871890145,-0.11477643251419067,-0.2452741265296936,-0.08072216157336243,-0.08006882667541504,-0.18415474891662598,-0.08022635523695953,-0.059150516986846924,-0.1392914056777954,-0.06279915664811142
R,0.0,0.0,0.0,0.07228332757949829,-0.0695960521697998,-0.05418273023809661,0.07579940557479858,-0.18450742959976196,-0.06138291172231902,-0.0023050904273986816,-0.2518450617790222,-0.06464037633980979,-0.07473880052566528,-0.2807939648628235,-0.06294042951907386,0.054536402225494385,-0.27581334114074707,-0.002525479155735866,0.023385167121887207,-0.3847789764404297,-0.03104350491906871,-0.006970584392547607,-0.45079195499420166,-0.0513828914567398,-0.040820181369781494,-0.5058879852294922,-0.06310052014435996,-0.00021958351135253906,-0.26349937915802,-0.00045425302363355513,-0.009670138359069824,-0.40445858240127563,-0.03518637977089156,-0.013507664203643799,-0.48017647862434387,-0.05480190328802337,-0.024101078510284424,-0.540759801864624,-0.05817278809394111,-0.048234760761260986,-0.23023086786270142,-0.008750915150301353,-0.08657699823379517,-0.3018209934234619,-0.08388274497832526,-0.050553321838378906,-0.22252488136291504,-0.0967116687401699,-0.025627613067626953,-0.17170047760009766,-0.07766188270892371,-0.09297680854797363,-0.1812138557434082,-0.019970982889788047,-0.10918056964874268,-0.24294400215148926,-0.08107152170981635,-0.07605904340744019,-0.18395107984542847,-0.07902361042346229,-0.05652880668640137,-0.13892537355422974,-0.060941319535629646
R,0.0,0.0,0.0,0.07379961013793945,-0.07054662704467773,-0.05063958959908632,0.08072829246520996,-0.1836342215538025,-0.05968321236105112,0.0041970014572143555,-0.250252902507782,-0.06660368042321352,-0.06997078657150269,-0.28016912937164307,-0.06883930163712648,0.06183934211730957,-0.27346426248550415,-0.001794061323380447,0.026849210262298584,-0.38471317291259766,-0.03013233402998594,-0.006199300289154053,-0.4507080316543579,-0.05055068554611353,-0.04381394386291504,-0.5046713948249817,-0.06239479156465677,0.005747437477111816,-0.2625543475151062,-0.00278106290170399,-0.0036602020263671875,-0.4029104709625244,-0.038726342192603624,-0.011397719383239746,-0.4822307229042053,-0.05996900545687822,-0.0278283953666687,-0.5434711575508118,-0.06450924771161226,-0.045126259326934814,-0.22941988706588745,-0.013471574804498232,-0.08041304349899292,-0.29988229274749756,-0.08911515521140245,-0.04433411359786987,-0.22075366973876953,-0.10209151106209902,-0.020725905895233154,-0.1681276559829712,-0.08319185422988085,-0.09430325031280518,-0.17998260259628296,-0.0267483771804109,-0.10483717918395996,-0.2403773069381714,-0.08830944197507051,-0.07161962985992432,-0.18111801147460938,-0.08599694567055849,-0.0529746413230896,-0.13560271263122559,-0.06751906620593218
R,0.0,0.0,0.0,0.07303279638290405,-0.0657607913017273,-0.05202512864718756,0.08270490169525146,-0.17895513772964478,-0.0655055460775884,0.0069699883460998535,-0.24703609943389893,-0.07593964461932501,-0.0694534182548523,-0.2765388488769531,-0.08191578511844,0.056051552295684814,-0.2703518867492676,-0.014545379697779026,0.022490501403808594,-0.37841397523880005,-0.04678000558863005,-0.01074439287185669,-0.44350308179855347,-0.06947854582915625,-0.05085176229476929,-0.4973958134651184,-0.08293021891961416,-0.0010139942169189453,-0.2589219808578491,-0.015548252991834488,-0.012056529521942139,-0.3969845175743103,-0.05388698403487524,-0.017495572566986084,-0.47671133279800415,-0.07542254452357611,-0.032812535762786865,-0.5387272238731384,-0.0806882945145162,-0.05187612771987915,-0.2245488166809082,-0.02529295583019575,-0.07889211177825928,-0.2946206331253052,-0.09880295817504248,-0.043009936809539795,-0.22037875652313232,-0.10963337545047125,-0.02259904146194458,-0.16864311695098877,-0.09089421902547201,-0.09891706705093384,-0.17446470260620117,-0.03778223742494902,-0.10172957181930542,-0.23290187120437622,-0.09724646483311972,-0.06943035125732422,-0.17740017175674438,-0.09366860662350973,-0.054538726806640625,-0.13295674324035645,-0.07495200310597738
R,0.0,0.0,0.0,0.07303017377853394,-0.050193607807159424,-0.053397541914876,0.08357805013656616,-0.15663361549377441,-0.06751707014888098,0.011871039867401123,-0.21810698509216309,-0.07825471279471685,-0.06255167722702026,-0.24406957626342773,-0.0849815290912943,0.047424137592315674,-0.2537528872489929,-0.01784842093735506,0.019483089447021484,-0.358829140663147,-0.05027600568979551,-0.00722050666809082,-0.4262080788612366,-0.07143869814723303,-0.04223114252090454,-0.4784832000732422,-0.0827598181113558,-0.004587233066558838,-0.24027961492538452,-0.01786932167857458,-0.011572003364562988,-0.3744499683380127,-0.05746446368544866,-0.012060999870300293,-0.45462483167648315,-0.07848867592662145,-0.025907933712005615,-0.5166160464286804,-0.08165811565964987,-0.04988652467727661,-0.20447182655334473,-0.026452709038551347,-0.07424604892730713,-0.26381397247314453,-0.10283832070678045,-0.034111618995666504,-0.1915501356124878,-0.11430437681525518,-0.013214588165283203,-0.14016568660736084,-0.09398124930709173,-0.09298896789550781,-0.15314584970474243,-0.037556367044146555,-0.09393537044525146,-0.20663177967071533,-0.09938703296035101,-0.05974256992340088,-0.15164613723754883,-0.0962548833832102,-0.04595351219177246,-0.10612106323242188,-0.0763852876171427
R,0.0,0.0,0.0,0.071391761302948,-0.05222886800765991,-0.05298051531121928,0.08532088994979858,-0.158860981464386,-0.06954120020077426,0.017165064811706543,-0.22084355354309082,-0.08330143163607318,-0.056707143783569336,-0.25284773111343384,-0.09343089828894335,0.05727356672286987,-0.25175029039382935,-0.02311082477376658,0.02839970588684082,-0.3609762191772461,-0.056683077613570276,-0.0031842589378356934,-0.4300723075866699,-0.07947737644121844,-0.04085409641265869,-0.4860178232192993,-0.09287583748505313,0.004151523113250732,-0.24248677492141724,-0.024686291019179407,-0.0016478300094604492,-0.37785983085632324,-0.06520038018629748,-0.007539033889770508,-0.45923852920532227,-0.08748234728977877,-0.024637341499328613,-0.5220629274845123,-0.09324035714075762,-0.044262707233428955,-0.2100996971130371,-0.034325881997801844,-0.06699568033218384,-0.28416746854782104,-0.11035822997496325,-0.02975362539291382,-0.20582681894302368,-0.11987380603954989,-0.009653329849243164,-0.14870482683181763,-0.10005051563189227,-0.091366708278656,-0.16125309467315674,-0.046668789486147944,-0.08963209390640259,-0.22432559728622437,-0.1096441067259093,-0.05662333965301514,-0.16668516397476196,-0.10591300497458178,-0.04220098257064819,-0.11754077672958374,-0.08647961835072238
