label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
T,0.0,0.0,0.0,0.18965137004852295,-0.031105995178222656,-0.09336632407221046,0.36887413263320923,-0.10779285430908203,-0.14346185988697258,0.4949619770050049,-0.23299753665924072,-0.1909539467743322,0.5581241250038147,-0.35636526346206665,-0.22959896094116417,0.25951850414276123,-0.3695516586303711,-0.005819184341905981,0.26811397075653076,-0.5210109949111938,-0.06804405814918724,0.258931040763855,-0.5668472051620483,-0.09819488144430366,0.24004989862442017,-0.5596124231815338,-0.10711686975273338,0.1452440619468689,-0.3853062391281128,0.007684641881407828,0.1660454273223877,-0.5062404274940491,-0.05615600488099304,0.14549338817596436,-0.3615713119506836,-0.055543071692316204,0.15383696556091309,-0.3200342655181885,-0.031221400117008358,0.0345856249332428,-0.3766658902168274,0.0016486609964907473,0.05319017171859741,-0.46687567234039307,-0.07509624875101295,0.04567071795463562,-0.33651435375213623,-0.03610956213387695,0.047972530126571655,-0.30936360359191895,0.012966856258483261,-0.0857384204864502,-0.3508129119873047,-0.014224705388276249,-0.0626882016658783,-0.4241800904273987,-0.05996324039015022,-0.05197390913963318,-0.3282269835472107,-0.02405465683850494,-0.0498661994934082,-0.29562926292419434,0.01685444907334599
T,0.0,0.0,0.0,0.1738821268081665,-0.0036597251892089844,-0.07255918827419805,0.3688535690307617,-0.08347654342651367,-0.10636726316576528,0.4948993921279907,-0.189922034740448,-0.13625712242489385,0.5459946990013123,-0.294661283493042,-0.1613610937870078,0.26065558195114136,-0.3446499705314636,-0.00658560326834845,0.2722564935684204,-0.4729901850223541,-0.04442362782125997,0.31437408924102783,-0.5233877599239349,-0.05617343184118795,0.3447532653808594,-0.544672966003418,-0.06043797281151342,0.1627497673034668,-0.3674967288970947,-0.0034439753885351365,0.23509573936462402,-0.4875833988189697,-0.05652350109582471,0.2037683129310608,-0.3359617590904236,-0.050032793698363776,0.18059223890304565,-0.2927917242050171,-0.023162772101812834,0.06594076752662659,-0.36612367630004883,-0.014079220747106547,0.12884080410003662,-0.461445689201355,-0.09798640307550954,0.11284589767456055,-0.311001181602478,-0.06327612992888021,0.07970952987670898,-0.28358036279678345,-0.014873282206707472,-0.05127227306365967,-0.3490391969680786,-0.029441055995874876,0.016769111156463623,-0.42290329933166504,-0.08862089660530614,0.01846301555633545,-0.31873267889022827,-0.05860706341033506,-0.014778316020965576,-0.29618287086486816,-0.02174593989317941
T,0.0,0.0,0.0,0.17148372530937195,-0.014962077140808105,-0.07978383911645892,0.3613320291042328,-0.09570711851119995,-0.11780422640836719,0.484404593706131,-0.1974160075187683,-0.1512715415457535,0.5260215699672699,-0.3089746832847595,-0.18089728517330173,0.24964842200279236,-0.3518458604812622,-0.005797809864048986,0.2613026201725006,-0.46939119696617126,-0.041519434134130506,0.3040001690387726,-0.5243836045265198,-0.05610973475373271,0.3382292687892914,-0.5522044897079468,-0.06358401937282565,0.1532168686389923,-0.375652551651001,0.0006660675852288023,0.22344961762428284,-0.49728304147720337,-0.05175317911303523,0.1914403736591339,-0.35004305839538574,-0.04901741905010226,0.16767868399620056,-0.3025323748588562,-0.02425563050306323,0.055269092321395874,-0.37538015842437744,-0.006962451095347433,0.11849042773246765,-0.4715700149536133,-0.08725861174858096,0.10322913527488708,-0.328696072101593,-0.05484129948413852,0.07007232308387756,-0.2973178029060364,-0.008153979609375028,-0.06302928924560547,-0.3588247299194336,-0.020253647992973356,0.00601622462272644,-0.4325285851955414,-0.07703379256523135,0.009503930807113647,-0.33231788873672485,-0.04723072511947635,-0.022248536348342896,-0.3060809373855591,-0.010381921137337713
T,0.0,0.0,0.0,0.22691884636878967,-0.02512127161026001,-0.12120295504086354,0.427597314119339,-0.12236571311950684,-0.20367713460677006,0.5595612823963165,-0.2625035047531128,-0.28503872642271855,0.6330559551715851,-0.4074558615684509,-0.3545110989546094,0.2975878417491913,-0.43238815665245056,-0.06052123570793011,0.3331785500049591,-0.6307521462440491,-0.17442432234042027,0.31774523854255676,-0.6525280922651291,-0.21912442335837223,0.3042505085468292,-0.6184462308883667,-0.22679948994868138,0.15380063652992249,-0.45587462186813354,-0.04656780326717236,0.197864830493927,-0.617423802614212,-0.16949555465929844,0.1727440357208252,-0.4223596751689911,-0.17520037481539585,0.152571439743042,-0.35143131017684937,-0.14012280294649937,0.013054192066192627,-0.45531022548675537,-0.057024443540504954,0.0567624568939209,-0.5904680788516998,-0.18159462699644902,0.03527349233627319,-0.4019150137901306,-0.1385370213722501,0.011839717626571655,-0.3374713659286499,-0.0709766838883672,-0.13579249382019043,-0.4314652681350708,-0.07829567978136875,-0.09044718742370605,-0.5372576117515564,-0.14291495272868016,-0.0810062438249588,-0.40199291706085205,-0.10009947607272007,-0.08947613835334778,-0.34004995226860046,-0.046243673208883784
T,0.0,0.0,0.0,0.17866650223731995,-0.03981149196624756,-0.13477202163866053,0.311960369348526,-0.16342347860336304,-0.23209712313344966,0.3999861776828766,-0.2959250211715698,-0.32564656840494166,0.44903674721717834,-0.40414372086524963,-0.4105289171808053,0.10950198769569397,-0.3648645281791687,-0.1490715484493066,0.14870670437812805,-0.5698240995407104,-0.2554369758241464,0.15216806530952454,-0.5897981822490692,-0.30623524295022975,0.13332697749137878,-0.6358172595500946,-0.339242983924656,-0.04403230547904968,-0.3790850043296814,-0.14211917327573786,-0.000616222620010376,-0.6056608557701111,-0.26922591434648524,0.0016453266143798828,-0.4643181562423706,-0.2909802089803506,-0.04619419574737549,-0.3775445520877838,-0.2874374579065133,-0.18803748488426208,-0.3632453680038452,-0.15291248665979396,-0.1507960557937622,-0.576118990778923,-0.28316398369005213,-0.13580545783042908,-0.4312371611595154,-0.2860772203080941,-0.1729588657617569,-0.33802729845046997,-0.263039667474537,-0.31957168877124786,-0.3172090947628021,-0.17453329669168482,-0.30953870713710785,-0.49489107728004456,-0.25662629710367213,-0.2865116596221924,-0.4057213366031647,-0.2551649402253915,-0.3028583377599716,-0.31987154483795166,-0.24187729166677485
T,0.0,0.0,0.0,0.20496433973312378,-0.039127469062805176,-0.125291256015025,0.3954732418060303,-0.15638846158981323,-0.21230324894639097,0.5007448196411133,-0.2936493754386902,-0.3013538995430096,0.5610883235931396,-0.4193847179412842,-0.38164582640381894,0.22369223833084106,-0.4059195816516876,-0.07405499905797086,0.26970183849334717,-0.6185363233089447,-0.18282094389649473,0.25877249240875244,-0.639323890209198,-0.23607750028821073,0.2422792911529541,-0.6644351482391357,-0.263145921532832,0.07246997952461243,-0.42662930488586426,-0.06701779157372556,0.13372570276260376,-0.6237458735704422,-0.20076685935708127,0.11159366369247437,-0.45065775513648987,-0.230753240887843,0.05641353130340576,-0.3734799921512604,-0.22059260100575528,-0.0713542103767395,-0.4265013337135315,-0.08206704795809827,-0.023422688245773315,-0.6045819073915482,-0.2203043082401379,-0.02886795997619629,-0.4249802827835083,-0.2140937724754437,-0.074042409658432,-0.34725362062454224,-0.17481225520821653,-0.21350166201591492,-0.395743191242218,-0.10718470603676877,-0.17804698646068573,-0.5491011440753937,-0.18797103852482877,-0.15486548840999603,-0.4214751720428467,-0.1705875971958264,-0.17206016182899475,-0.3401222825050354,-0.13834559709282956
T,0.0,0.0,0.0,0.1680004894733429,-0.0020061731338500977,-0.08175094985156761,0.3659203350543976,-0.08562707901000977,-0.11716195755391823,0.4977788031101227,-0.18686354160308838,-0.14564033412128197,0.5496422350406647,-0.29437726736068726,-0.16942729615360008,0.2609514892101288,-0.3446478843688965,-0.02057439648299919,0.27194246649742126,-0.46919459104537964,-0.057974016300732956,0.31221118569374084,-0.52141273021698,-0.07067807578235374,0.34205153584480286,-0.5424803793430328,-0.0759739559212278,0.16167601943016052,-0.3692927360534668,-0.012424421503538952,0.23104175925254822,-0.4884464740753174,-0.06219214760452019,0.20026656985282898,-0.3397546410560608,-0.05367839523344742,0.17943856120109558,-0.2893930673599243,-0.026563294238741264,0.062171608209609985,-0.36854296922683716,-0.018569922081525192,0.12215295433998108,-0.46088969707489014,-0.09689729475169884,0.10600653290748596,-0.3146795630455017,-0.06248878874569641,0.07628330588340759,-0.283663272857666,-0.016072848818595276,-0.05539602041244507,-0.35158616304397583,-0.030578259385521278,0.01002568006515503,-0.423164039850235,-0.08734179102569328,0.011208266019821167,-0.321074903011322,-0.058700988076026306,-0.018135488033294678,-0.29577916860580444,-0.02368549816995369
T,0.0,0.0,0.0,0.22727662324905396,-0.03062736988067627,-0.11878522106546541,0.4223194718360901,-0.12891298532485962,-0.2051831669463553,0.5456411242485046,-0.2690308690071106,-0.2918787486209311,0.6106892824172974,-0.4054795801639557,-0.3686295635356345,0.2846097946166992,-0.43124693632125854,-0.0717055908693709,0.31922030448913574,-0.6267792582511902,-0.18348844715494295,0.3008641004562378,-0.6584424078464508,-0.22863491245645662,0.28320592641830444,-0.6552186012268066,-0.24219897755521913,0.13873162865638733,-0.44898420572280884,-0.0613119154526629,0.18364191055297852,-0.6051706224679947,-0.1817204988850989,0.16381141543388367,-0.4133918285369873,-0.18855333694357057,0.12853369116783142,-0.35820820927619934,-0.159751001681272,0.000508725643157959,-0.44536054134368896,-0.07380830862659593,0.03967353701591492,-0.5816198885440826,-0.20188741752046724,0.026554852724075317,-0.39428454637527466,-0.1660663969172873,-0.007532477378845215,-0.34017831087112427,-0.10748485841888566,-0.14635887742042542,-0.41851431131362915,-0.09591074654001375,-0.10524028539657593,-0.5252040028572083,-0.16929974028009553,-0.08576469123363495,-0.3862040638923645,-0.13300897547144075,-0.09307955205440521,-0.3258926272392273,-0.08539384969610353
T,0.0,0.0,0.0,0.208185076713562,-0.03552401065826416,-0.10487983405553791,0.40721678733825684,-0.12947583198547363,-0.1628872457143018,0.5403659343719482,-0.27122294902801514,-0.21787995129787419,0.6107974648475647,-0.40617382526397705,-0.26608762174808476,0.28698068857192993,-0.4309097230434418,-9.266961504295068e-05,0.300828754901886,-0.5800682604312897,-0.05826876342260334,0.2851729989051819,-0.6471078842878342,-0.07864246547185871,0.2755473256111145,-0.6510545909404755,-0.07893273264133427,0.1516781449317932,-0.4573788046836853,0.016499891579513815,0.18225428462028503,-0.5988288670778275,-0.06476041704380009,0.14611339569091797,-0.4151807725429535,-0.05738680466973278,0.14033639430999756,-0.33872610330581665,-0.013631262182826731,0.012357831001281738,-0.45151010155677795,0.012108698189621236,0.03573644161224365,-0.5640777200460434,-0.07905916899406407,0.01536029577255249,-0.39404892921447754,-0.030698214023942683,0.00936901569366455,-0.33997294306755066,0.03768147498405483,-0.1394346058368683,-0.4164738953113556,-0.0017371216738695239,-0.10707277059555054,-0.5185313820838928,-0.046669487207765314,-0.09935328364372253,-0.3911629319190979,0.002117336430018213,-0.09780961275100708,-0.3354247212409973,0.0582588796321204
T,0.0,0.0,0.0,0.205500990152359,-0.017763614654541016,-0.11356613342076116,0.4078938066959381,-0.11025333404541016,-0.1687125221303063,0.5460516512393951,-0.25552159547805786,-0.2158362374117928,0.61390420794487,-0.39294350147247314,-0.25143900070696645,0.2962612807750702,-0.41888654232025146,-0.01913048629074865,0.30506202578544617,-0.6040730029344559,-0.08095345203190618,0.29380473494529724,-0.6363763511180878,-0.09983355854063802,0.2756110727787018,-0.6173080503940582,-0.09842813317089849,0.16309237480163574,-0.445850133895874,0.006433307431791491,0.18525493144989014,-0.5874931365251541,-0.06634749029188924,0.15712633728981018,-0.40833860635757446,-0.058126199286277824,0.16279169917106628,-0.3514314889907837,-0.022361145581896835,0.02578851580619812,-0.4415972828865051,0.010974082868699497,0.043277233839035034,-0.5519716143608093,-0.07850177143126302,0.02919137477874756,-0.3845134377479553,-0.033470249961908394,0.03191760182380676,-0.3383394777774811,0.02680220152825541,-0.11985155940055847,-0.41107243299484253,0.005695097852651543,-0.09684357047080994,-0.49925604462623596,-0.04994669486194425,-0.08592620491981506,-0.3772781491279602,-0.012866248603756958,-0.08076569437980652,-0.32792457938194275,0.0340998030790729
