label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
V,0.0,0.0,0.0,0.13652414083480835,-0.07100200653076172,-0.06677325367240883,0.16246283054351807,-0.24002885818481445,-0.08730174898414589,0.0201798677444458,-0.32782864570617676,-0.10533294379024483,-0.09946224093437195,-0.34658801555633545,-0.1201870694687841,0.1447013020515442,-0.3386647701263428,-0.041984173648643264,0.18717968463897705,-0.5286775231361389,-0.09178375750093437,0.20266908407211304,-0.6556990146636963,-0.11731297820119835,0.21675711870193481,-0.7541498839855194,-0.12955238967447258,0.03845536708831787,-0.33841943740844727,-0.049267920844840773,0.033924102783203125,-0.5526205897331238,-0.11338395922689415,0.03035449981689453,-0.696265459060669,-0.15099486260919548,0.024986863136291504,-0.8106730580329895,-0.16318930237798668,-0.05542409420013428,-0.30660706758499146,-0.06451935618429161,-0.08819249272346497,-0.42019400000572205,-0.1798750713398931,-0.049105674028396606,-0.3047347664833069,-0.19601854234247185,-0.02792942523956299,-0.21879756450653076,-0.16689927428274132,-0.14276474714279175,-0.2511058449745178,-0.08156626223831154,-0.14224377274513245,-0.3344178795814514,-0.1714953437378881,-0.09617429971694946,-0.24498498439788818,-0.1646119162371633,-0.07723766565322876,-0.17169368267059326,-0.13503658323793388
V,0.0,0.0,0.0,0.15607398748397827,-0.08357149362564087,-0.07285233405468716,0.1852979063987732,-0.26946932077407837,-0.09194639888642087,0.029383182525634766,-0.351643443107605,-0.10858157840607419,-0.10815927386283875,-0.3316704034805298,-0.12315266397831692,0.15349769592285156,-0.3775554299354553,-0.0395413432740952,0.18895703554153442,-0.5780626535415649,-0.09246476558087124,0.20472288131713867,-0.710307389497757,-0.12187488195536389,0.2212337851524353,-0.8145319223403931,-0.1367860567295338,0.03417867422103882,-0.372417688369751,-0.04600699064371838,0.025299668312072754,-0.5896709561347961,-0.11158384946224942,0.022010445594787598,-0.7370376288890839,-0.1527341884100224,0.017295122146606445,-0.8536967933177948,-0.16734573063490643,-0.07011145353317261,-0.33317136764526367,-0.0616023969375874,-0.09339398145675659,-0.45148640871047974,-0.18659813520548596,-0.04267525672912598,-0.325386106967926,-0.20890162703631177,-0.016586363315582275,-0.223732590675354,-0.18007691022990002,-0.16648799180984497,-0.2670660614967346,-0.07895099935171856,-0.16131842136383057,-0.35664111375808716,-0.179145930381992,-0.10123872756958008,-0.2646493911743164,-0.17563964244959607,-0.07335400581359863,-0.1814630627632141,-0.14550454733011975
V,0.0,0.0,0.0,0.1564953327178955,-0.07904398441314697,-0.06926759135922111,0.1894211769104004,-0.2687574028968811,-0.08214780491789497,0.03358757495880127,-0.353268027305603,-0.09276868206461586,-0.10861927270889282,-0.3290119767189026,-0.10181614560087837,0.15342473983764648,-0.3839048445224762,-0.024783350424968376,0.19766664505004883,-0.5783936083316803,-0.06553955924709953,0.21733415126800537,-0.706314206123352,-0.08886907053192772,0.23707258701324463,-0.8080305755138397,-0.10241998535593666,0.033458828926086426,-0.3769313395023346,-0.030882898615800514,0.023940622806549072,-0.582598865032196,-0.08527231764992393,0.025144755840301514,-0.7230744361877441,-0.12294120890101112,0.024552881717681885,-0.834753155708313,-0.13844618749817528,-0.07094252109527588,-0.33334505558013916,-0.04646730971535362,-0.0946776270866394,-0.456428200006485,-0.1669989581127993,-0.04396393895149231,-0.32865679264068604,-0.19386734616955437,-0.019154012203216553,-0.2252519726753235,-0.1706814224739901,-0.1689540147781372,-0.2630542516708374,-0.06318884146412529,-0.16084140539169312,-0.35413849353790283,-0.16763561022480644,-0.10094821453094482,-0.25724226236343384,-0.17117709469994224,-0.07282370328903198,-0.16978168487548828,-0.14681937349041618
V,0.0,0.0,0.0,0.1368337869644165,-0.054317474365234375,-0.07248915595687322,0.16892218589782715,-0.2066936492919922,-0.08939673615373067,0.04328787326812744,-0.28874701261520386,-0.1011561216203063,-0.06475967168807983,-0.29579341411590576,-0.11051650209105901,0.14777356386184692,-0.33290475606918335,-0.04047599671162061,0.17939072847366333,-0.5092853307723999,-0.08461053533233098,0.1892327070236206,-0.6196037828922272,-0.1095414222565978,0.19800442457199097,-0.7096849083900452,-0.12217797947801046,0.04643365740776062,-0.32819461822509766,-0.041272832581171315,0.03716900944709778,-0.5219783186912537,-0.09741701049483709,0.030876606702804565,-0.649247482419014,-0.13408522171653203,0.02722829580307007,-0.7536064982414246,-0.14747097952044896,-0.04057362675666809,-0.28925657272338867,-0.05053563652313642,-0.06317675113677979,-0.3854196071624756,-0.15914182228721074,-0.03366351127624512,-0.27835404872894287,-0.18137945098555974,-0.01552090048789978,-0.19878828525543213,-0.15875774485743932,-0.1231352835893631,-0.2281322479248047,-0.061723581084379475,-0.12375609576702118,-0.29945307970046997,-0.1509310142484992,-0.08310997486114502,-0.2158685326576233,-0.1491994993177741,-0.05946233868598938,-0.14718914031982422,-0.12348121268428258
V,0.0,0.0,0.0,0.12725844979286194,-0.06618928909301758,-0.057531584011712766,0.1521507203578949,-0.22420883178710938,-0.0682528502813966,0.03324350714683533,-0.3044867515563965,-0.07719807695070813,-0.06705889105796814,-0.31501132249832153,-0.08400231223026822,0.13986560702323914,-0.3366544246673584,-0.024098902898231245,0.1752561330795288,-0.5097475051879883,-0.06406344096581051,0.18727746605873108,-0.6178690791130066,-0.08472399781862805,0.19646701216697693,-0.7042461037635803,-0.09432216356913159,0.0416511595249176,-0.3330702781677246,-0.03155338387409756,0.03735989332199097,-0.5209739208221436,-0.08537599812666485,0.032719552516937256,-0.6435719728469849,-0.11966732512632916,0.02986791729927063,-0.7442685663700104,-0.13069139044205258,-0.043014973402023315,-0.2952970266342163,-0.04684935505906651,-0.0709603875875473,-0.3865317106246948,-0.1534201614133508,-0.04433754086494446,-0.2794651985168457,-0.17636854569832394,-0.026142805814743042,-0.20180702209472656,-0.15410455684582303,-0.12091414630413055,-0.23313641548156738,-0.06292284648338864,-0.12880286574363708,-0.3009544014930725,-0.1517668775788934,-0.09051007032394409,-0.21571576595306396,-0.15200242023388455,-0.06676134467124939,-0.14781445264816284,-0.12730137627045224
V,0.0,0.0,0.0,0.12635692954063416,-0.07402819395065308,-0.06024794278630452,0.155624121427536,-0.23470169305801392,-0.07200733570346074,0.034047067165374756,-0.3137754201889038,-0.08105383811482625,-0.07569938898086548,-0.3054254651069641,-0.08850202707537846,0.13749155402183533,-0.3438482880592346,-0.031330712120620774,0.17133617401123047,-0.5161401629447937,-0.07199541477450566,0.18176376819610596,-0.6222648918628693,-0.09348060933837132,0.19216737151145935,-0.7079481184482574,-0.1035497635413094,0.0412352979183197,-0.3408185839653015,-0.03686920924076276,0.03921312093734741,-0.5260602235794067,-0.08756956456193166,0.03389677405357361,-0.6464206576347351,-0.11898043004759984,0.03127884864807129,-0.7444612979888916,-0.12900960443505483,-0.04162988066673279,-0.3028457760810852,-0.05017505956777768,-0.06592924892902374,-0.391714870929718,-0.1487971693087502,-0.03849300742149353,-0.2884448766708374,-0.16938714681157307,-0.020338863134384155,-0.21122491359710693,-0.14795821903237538,-0.11781106889247894,-0.24030262231826782,-0.06510251758584218,-0.12570415437221527,-0.3077441453933716,-0.14395217595586018,-0.08481103181838989,-0.23143494129180908,-0.14089758692273335,-0.05938613414764404,-0.1664014458656311,-0.11616335807332234
V,0.0,0.0,0.0,0.12286072969436646,-0.06189918518066406,-0.054778352533503494,0.15029782056808472,-0.21255308389663696,-0.06884316370360466,0.028674989938735962,-0.2953646779060364,-0.08123718217484566,-0.07512834668159485,-0.30904972553253174,-0.09193472579590889,0.13986700773239136,-0.31515538692474365,-0.033934120242520294,0.16876807808876038,-0.4881528913974762,-0.0742943362938604,0.1785096824169159,-0.5954632759094238,-0.09456324592702003,0.1861836314201355,-0.6798730790615082,-0.10456985250584694,0.04435849189758301,-0.3129301071166992,-0.04092526451222511,0.036957889795303345,-0.501738429069519,-0.09396953151099297,0.03292486071586609,-0.6196664273738861,-0.12668703511826607,0.03080812096595764,-0.7142834961414337,-0.13807447270028206,-0.03838169574737549,-0.2771264910697937,-0.05401866525880905,-0.06541939079761505,-0.3690439462661743,-0.1522829385148725,-0.03790023922920227,-0.2719564437866211,-0.1705305726873121,-0.01999300718307495,-0.19816595315933228,-0.1494576634513578,-0.11596043407917023,-0.22097879648208618,-0.06788458690516563,-0.12349392473697662,-0.2853732705116272,-0.1493978203880033,-0.08774019777774811,-0.21062195301055908,-0.1477929951297483,-0.06447944045066833,-0.14952528476715088,-0.12466275707356544
V,0.0,0.0,0.0,0.11858195066452026,-0.07724034786224365,-0.04681514922367569,0.14884686470031738,-0.2256367802619934,-0.05597000915395256,0.04353061318397522,-0.3000457286834717,-0.06606391791092392,-0.051532164216041565,-0.3103320002555847,-0.07430846217857834,0.13032808899879456,-0.3290819525718689,-0.01475101962523695,0.15928548574447632,-0.49770742654800415,-0.05183875907050606,0.16959121823310852,-0.6013239026069641,-0.07241515789019104,0.17854243516921997,-0.6848483383655548,-0.08239892843948837,0.03874751925468445,-0.323495090007782,-0.024537818243970833,0.02838057279586792,-0.5039910674095154,-0.07472021106468674,0.02302435040473938,-0.6221142411231995,-0.10787428144203659,0.020808368921279907,-0.718468427658081,-0.11985785487877365,-0.040734559297561646,-0.2851528525352478,-0.041002288198342285,-0.06112964451313019,-0.3753102421760559,-0.13547129902826782,-0.03476434946060181,-0.27804362773895264,-0.15418849859224792,-0.018548280000686646,-0.20463019609451294,-0.1338180896996164,-0.11335057020187378,-0.22550839185714722,-0.05821249980317589,-0.12025140225887299,-0.2898164987564087,-0.1353766617535257,-0.08555296063423157,-0.21705055236816406,-0.13331246349798676,-0.06443454325199127,-0.15788906812667847,-0.11022437337624069
V,0.0,0.0,0.0,0.11968261003494263,-0.07004988193511963,-0.052356613233087046,0.14369046688079834,-0.2206541895866394,-0.06301747764587162,0.03651612997055054,-0.3048185706138611,-0.07370634879112004,-0.058840587735176086,-0.3231944441795349,-0.08212428297042607,0.12932822108268738,-0.32337236404418945,-0.0183017713868594,0.15867939591407776,-0.48708581924438477,-0.0563852874481654,0.16696736216545105,-0.5902000367641449,-0.0780060341501212,0.17490971088409424,-0.6735880672931671,-0.08934152628421543,0.03797468543052673,-0.31659364700317383,-0.025681858315465433,0.024819612503051758,-0.494608998298645,-0.08120694513559101,0.018085449934005737,-0.6145370900630951,-0.11730071659326313,0.016502857208251953,-0.71227166056633,-0.13081795479297398,-0.03975746035575867,-0.2783423066139221,-0.03977373744487522,-0.06780470907688141,-0.3699758052825928,-0.14096045996188877,-0.039985865354537964,-0.2708396911621094,-0.1590180745267844,-0.02139824628829956,-0.19553261995315552,-0.13624318446159123,-0.11101210117340088,-0.2204611897468567,-0.054851648762223704,-0.12526704370975494,-0.28994643688201904,-0.13924906159877537,-0.08727328479290009,-0.2163478136062622,-0.13878062869548558,-0.063179150223732,-0.15506577491760254,-0.1152728399181342
V,0.0,0.0,0.0,0.11006742715835571,-0.08059650659561157,-0.054424858581910485,0.13043805956840515,-0.23037755489349365,-0.06975030426372086,0.01873922348022461,-0.3165520429611206,-0.08473688636411225,-0.08134335279464722,-0.3320118188858032,-0.09644925866712128,0.12236553430557251,-0.32053321599960327,-0.025720504042396897,0.1529984474182129,-0.4921252727508545,-0.06479209933866059,0.1621975600719452,-0.5944427847862244,-0.08533074979175126,0.169339120388031,-0.6782739162445068,-0.0956060988127092,0.03260695934295654,-0.31946784257888794,-0.032840280723462456,0.025161415338516235,-0.5016944110393524,-0.08446239952434098,0.02222442626953125,-0.616235077381134,-0.11531655017722642,0.019246846437454224,-0.7097465395927429,-0.12588031117309129,-0.045781493186950684,-0.2852487564086914,-0.04746208239782845,-0.07573547959327698,-0.3732665777206421,-0.14401724461902177,-0.0481051504611969,-0.2797093391418457,-0.16452978078712022,-0.0288742333650589,-0.2078905701637268,-0.14502049509871995,-0.11631180346012115,-0.23189204931259155,-0.06351746891130006,-0.1286163628101349,-0.29620224237442017,-0.13968663935054337,-0.09442029893398285,-0.22958534955978394,-0.14031481270183122,-0.07106888294219971,-0.1719878911972046,-0.12025152419198548
