label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
Y,0.0,0.0,0.0,0.0940365195274353,-0.11690431833267212,-0.05820896468856063,0.1688435673713684,-0.23293536901474,-0.08452273525097098,0.19016480445861816,-0.34438204765319824,-0.11254401124813285,0.1863480806350708,-0.4216133952140808,-0.13005995370247092,-0.003192424774169922,-0.29665589332580566,-0.011204142978272102,-0.05918765068054199,-0.3599749803543091,-0.07836424924232688,-0.026113510131835938,-0.2772510349750519,-0.11625253028967109,0.010968208312988281,-0.22092142701148987,-0.12522762633659568,-0.08020645380020142,-0.25630971789360046,-0.007378727121135853,-0.13219010829925537,-0.324271023273468,-0.08359302945234504,-0.07786035537719727,-0.22837737202644348,-0.1101819313297483,-0.0342174768447876,-0.18141096830368042,-0.10838045544721808,-0.14303463697433472,-0.20863395929336548,-0.016942713333151005,-0.19182798266410828,-0.2645648717880249,-0.0886721200475904,-0.13403403759002686,-0.18778538703918457,-0.08776185281374183,-0.08220618963241577,-0.13985860347747803,-0.06433232493498053,-0.1964455544948578,-0.15792977809906006,-0.03234765670993056,-0.27797195315361023,-0.23236656188964844,-0.0649604461322042,-0.33387964963912964,-0.2759383022785187,-0.0645324624309751,-0.3849056661128998,-0.32462459802627563,-0.054549306554577015
Y,0.0,0.0,0.0,0.09516924619674683,-0.12276333570480347,-0.04971407928132976,0.17744231224060059,-0.23002475500106812,-0.06615197115206684,0.20648789405822754,-0.33845651149749756,-0.08323625676894153,0.20040977001190186,-0.41853944957256317,-0.09000864826703037,0.019186675548553467,-0.29814451932907104,0.005436401193946949,-0.054945170879364014,-0.363042950630188,-0.05328813024425472,-0.021149933338165283,-0.2831689715385437,-0.08837934040093387,0.022300899028778076,-0.22723686695098877,-0.0962850248124596,-0.05965033173561096,-0.25882452726364136,0.0077346943635348,-0.12679526209831238,-0.3299160599708557,-0.0625442137625214,-0.07747951149940491,-0.24076825380325317,-0.09339685939812625,-0.03259629011154175,-0.18982428312301636,-0.09599273108506168,-0.12559276819229126,-0.21409091353416443,-0.0031493072547164047,-0.1848151981830597,-0.26627084612846375,-0.07255654983782733,-0.12715190649032593,-0.19612112641334534,-0.08201656692290271,-0.07256722450256348,-0.15069276094436646,-0.06741627507472003,-0.18205305933952332,-0.16494831442832947,-0.018193598991274484,-0.2684803605079651,-0.2403484284877777,-0.05060144343042339,-0.32498490810394287,-0.28530797362327576,-0.05553907730245555,-0.37749284505844116,-0.3373304009437561,-0.05056834422612155
Y,0.0,0.0,0.0,0.05992007255554199,-0.08571863174438477,-0.029079312518604183,0.11150062084197998,-0.1564040184020996,-0.04502766026593008,0.13060736656188965,-0.22938016057014465,-0.06424236862397947,0.13120031356811523,-0.28095895051956177,-0.07671154110170164,-0.008240103721618652,-0.2035321295261383,0.00275160878487668,-0.03122889995574951,-0.24977226555347443,-0.038201326564319515,-0.008096754550933838,-0.19703629612922668,-0.05901287315822401,0.009545326232910156,-0.15959328413009644,-0.06195673166251936,-0.058406054973602295,-0.18174532055854797,0.0005818644986561594,-0.07768720388412476,-0.23232349753379822,-0.04435727192498007,-0.03921949863433838,-0.16670984029769897,-0.05735121859646597,-0.019143342971801758,-0.13936012983322144,-0.05418930394984045,-0.09868258237838745,-0.15260255336761475,-0.009713193461664105,-0.12006920576095581,-0.20117440819740295,-0.05240531830526152,-0.07975417375564575,-0.1449185013771057,-0.04463871388173857,-0.054731667041778564,-0.11067432165145874,-0.025895424247153187,-0.13340359926223755,-0.11781179904937744,-0.02334771125055113,-0.18389558792114258,-0.17387297749519348,-0.04243599815703192,-0.20676720142364502,-0.20864099264144897,-0.03741510032153883,-0.23219656944274902,-0.24919335544109344,-0.027846768558390522
Y,0.0,0.0,0.0,0.058114051818847656,-0.08730721473693848,-0.027990199640555602,0.10899418592453003,-0.15887171030044556,-0.0437061507405474,0.12721145153045654,-0.23364713788032532,-0.06179311686770461,0.1317814588546753,-0.28292660415172577,-0.07245545649544738,-0.006241917610168457,-0.20519566535949707,0.0012479001738370243,-0.03238105773925781,-0.25353942811489105,-0.03888916784541152,-0.010388016700744629,-0.19964870810508728,-0.05976432749645255,0.007567942142486572,-0.16093605756759644,-0.06333784574286483,-0.05807536840438843,-0.18473953008651733,0.00031467615866631604,-0.08064508438110352,-0.23433297872543335,-0.04339992815272353,-0.04310405254364014,-0.1692844033241272,-0.056382222116155845,-0.022802352905273438,-0.14430350065231323,-0.05458612555281661,-0.09987270832061768,-0.15486061573028564,-0.007902266472740394,-0.12161874771118164,-0.20274236798286438,-0.04768695497529052,-0.08304101228713989,-0.14735367894172668,-0.03701082059757255,-0.05763363838195801,-0.11329451203346252,-0.017753116801543456,-0.13473659753799438,-0.1195266842842102,-0.019460940748615485,-0.1863616704940796,-0.1763606071472168,-0.03630481848136924,-0.20906978845596313,-0.21108543872833252,-0.02896068991736911,-0.2340347170829773,-0.2526346743106842,-0.01846913436071418
Y,0.0,0.0,0.0,0.058558106422424316,-0.09099307656288147,-0.02640958365930146,0.10899168252944946,-0.16285011172294617,-0.041386075810919465,0.12608462572097778,-0.23860570788383484,-0.05843026985360211,0.12934434413909912,-0.2876588702201843,-0.06759246860576695,-0.005459189414978027,-0.20905014872550964,0.00042370555627258,-0.03305351734161377,-0.2558315396308899,-0.0394093659980399,-0.008980751037597656,-0.20168069005012512,-0.060069904224405946,0.01003795862197876,-0.16283243894577026,-0.0641189334256751,-0.058165907859802246,-0.18735399842262268,-0.0005220604635951531,-0.08084964752197266,-0.2363123595714569,-0.044883803026209534,-0.04164135456085205,-0.16853851079940796,-0.05778461371494359,-0.021136164665222168,-0.14460250735282898,-0.05685187925530499,-0.09969508647918701,-0.15616032481193542,-0.008234909297357262,-0.12454742193222046,-0.20350992679595947,-0.047184512512217225,-0.08556842803955078,-0.14784324169158936,-0.03551985000206059,-0.05930066108703613,-0.11432391405105591,-0.016982056693564118,-0.13281011581420898,-0.11899769306182861,-0.019196576000581445,-0.18601161241531372,-0.17579859495162964,-0.037442427621613206,-0.210587739944458,-0.2086418867111206,-0.031553507344256104,-0.2395133376121521,-0.24941343069076538,-0.022694681332836808
Y,0.0,0.0,0.0,0.06000787019729614,-0.09081867337226868,-0.028205171918045835,0.10890829563140869,-0.1620955765247345,-0.04372402163363631,0.12486964464187622,-0.23677045106887817,-0.06190023081518348,0.12943077087402344,-0.28609055280685425,-0.0730519245765322,-0.007110893726348877,-0.2063359022140503,0.001591456130597635,-0.03396427631378174,-0.25561630725860596,-0.038878763785135106,-0.012243807315826416,-0.2007317841053009,-0.05996517347313102,0.0056536197662353516,-0.1601971685886383,-0.06372370081163581,-0.058952391147613525,-0.18398839235305786,0.0001518938158255878,-0.08353006839752197,-0.2349855899810791,-0.0468329701027983,-0.045798301696777344,-0.16822651028633118,-0.061222552081119375,-0.023586809635162354,-0.13876968622207642,-0.05943934874750312,-0.10061454772949219,-0.1523122489452362,-0.008668975663852052,-0.12572509050369263,-0.1995648741722107,-0.05223455162860091,-0.08560377359390259,-0.14369189739227295,-0.0437402788004988,-0.057205259799957275,-0.1090320348739624,-0.02476740697539981,-0.13485997915267944,-0.11468890309333801,-0.020645101313959913,-0.18808722496032715,-0.17170530557632446,-0.03994915517188247,-0.21434855461120605,-0.20596569776535034,-0.03450059401012595,-0.2428773045539856,-0.24735498428344727,-0.025134420712959127
Y,0.0,0.0,0.0,0.05628013610839844,-0.09289363026618958,-0.02764618749984038,0.1031917929649353,-0.16554182767868042,-0.0429652294076277,0.11890000104904175,-0.2408379316329956,-0.060452692017634035,0.12666648626327515,-0.29076266288757324,-0.0696245131946398,-0.011696994304656982,-0.21030911803245544,0.0021997729384111153,-0.040784478187561035,-0.2586418092250824,-0.0397921277142359,-0.013643085956573486,-0.20402321219444275,-0.0610289869762255,0.008147895336151123,-0.16582003235816956,-0.06430128197439444,-0.06321769952774048,-0.18786084651947021,0.0012249174362750637,-0.08797359466552734,-0.23736953735351562,-0.04580014924772513,-0.046140849590301514,-0.1698211133480072,-0.05941096301444304,-0.02365434169769287,-0.14499086141586304,-0.05735236387022269,-0.10547441244125366,-0.15540894865989685,-0.007202917516906382,-0.12961357831954956,-0.20175117254257202,-0.05073978360064757,-0.08785569667816162,-0.14508330821990967,-0.0400515271282984,-0.05907195806503296,-0.11263248324394226,-0.019776640266854884,-0.13976800441741943,-0.1179962158203125,-0.0187248362160517,-0.19289839267730713,-0.17641595005989075,-0.03776022027500403,-0.21777623891830444,-0.2089499831199646,-0.030815841437060953,-0.24622392654418945,-0.24970883131027222,-0.020165763602335574
Y,0.0,0.0,0.0,0.05636173486709595,-0.08910882472991943,-0.032585535070722926,0.10557466745376587,-0.16675102710723877,-0.0490612237368282,0.12247562408447266,-0.24436524510383606,-0.06692623706800305,0.12872600555419922,-0.2960367798805237,-0.07630341114742123,-0.009801924228668213,-0.21261441707611084,0.0013470261005181783,-0.03782951831817627,-0.25855889916419983,-0.042703226080959666,-0.01320338249206543,-0.20251011848449707,-0.06635576101285778,0.00812387466430664,-0.16365501284599304,-0.07061948241931759,-0.060849547386169434,-0.18981456756591797,0.0026944399691615217,-0.08569079637527466,-0.23823672533035278,-0.045831162354772914,-0.044777095317840576,-0.17112576961517334,-0.060103092214887965,-0.02189052104949951,-0.1436218023300171,-0.05699802177292668,-0.10367071628570557,-0.15671223402023315,-0.004452774173444141,-0.12711167335510254,-0.20058944821357727,-0.04891987132174336,-0.08594900369644165,-0.14560666680335999,-0.039972629270380367,-0.05643177032470703,-0.11282509565353394,-0.019614556676572192,-0.13722676038742065,-0.1200486421585083,-0.015166695101981986,-0.18894141912460327,-0.17748579382896423,-0.03333645673734509,-0.21373271942138672,-0.2115350365638733,-0.026782384014552463,-0.2403113842010498,-0.2517237961292267,-0.015931200108354915
Y,0.0,0.0,0.0,0.05658525228500366,-0.09067210555076599,-0.03427195390082716,0.10492300987243652,-0.1671871840953827,-0.050931817193998086,0.11940759420394897,-0.24519819021224976,-0.06839057644225477,0.12730664014816284,-0.2974814772605896,-0.07738972296334623,-0.013434290885925293,-0.2112806737422943,0.0009319694540295131,-0.042002737522125244,-0.25540056824684143,-0.041505085577739464,-0.017353355884552002,-0.2016822099685669,-0.0644055216512811,0.0044509172439575195,-0.1642029881477356,-0.06863580485202192,-0.06400763988494873,-0.18798258900642395,0.003789272584469927,-0.09047281742095947,-0.2362368106842041,-0.04273848449207662,-0.05032765865325928,-0.1697326898574829,-0.05653696720816015,-0.027292191982269287,-0.14377915859222412,-0.05370513190842985,-0.10702574253082275,-0.15460801124572754,-0.0018536462853830926,-0.1308954358100891,-0.19877350330352783,-0.045722713967336404,-0.09117436408996582,-0.1448819637298584,-0.03700329576946615,-0.061431944370269775,-0.11272281408309937,-0.017092868959082352,-0.14091581106185913,-0.11782136559486389,-0.011121709173096406,-0.19377082586288452,-0.1760050356388092,-0.029970260610355126,-0.21979671716690063,-0.2089245319366455,-0.024004349758399712,-0.24719440937042236,-0.24829450249671936,-0.01356437736518501
Y,0.0,0.0,0.0,0.05478048324584961,-0.09618633985519409,-0.033772398819962746,0.10313451290130615,-0.1716238558292389,-0.0510241474116242,0.11652535200119019,-0.25040769577026367,-0.06935956432465673,0.12189733982086182,-0.30270957946777344,-0.07867673142794729,-0.02054882049560547,-0.2164798080921173,0.0062063777727985325,-0.04591649770736694,-0.26220837235450745,-0.03597868337277532,-0.019801318645477295,-0.2066090703010559,-0.059430708279649025,0.002023935317993164,-0.16954192519187927,-0.06349456413630605,-0.06891274452209473,-0.19321542978286743,0.010170199806054825,-0.09300988912582397,-0.24327173829078674,-0.03656415744666219,-0.050953447818756104,-0.1759105622768402,-0.05152941226009489,-0.026929378509521484,-0.1512550711631775,-0.04883325203303457,-0.10911804437637329,-0.16051477193832397,0.005771345822324747,-0.13127171993255615,-0.20435509085655212,-0.0365709300244248,-0.09074229001998901,-0.1496945023536682,-0.027556785484591728,-0.0617290735244751,-0.11699989438056946,-0.0069887019785142,-0.14226043224334717,-0.12446615099906921,-0.0021165282091146764,-0.1946868896484375,-0.18345093727111816,-0.018310905536452537,-0.2208099365234375,-0.2160625159740448,-0.010460011763314014,-0.25072765350341797,-0.25474196672439575,0.0017191989023217502
