label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
Z,0.0,0.0,0.0,0.11536464095115662,-0.0017347335815429688,-0.10803810231084299,0.2130039930343628,-0.09149503707885742,-0.1536368923603959,0.15695014595985413,-0.21028012037277222,-0.18257201187009287,0.06966602802276611,-0.27970919013023376,-0.20823872558469247,0.26160547137260437,-0.25292786955833435,-0.08771612964267206,0.3650106191635132,-0.3808196783065796,-0.1558678048073716,0.4252655804157257,-0.4690716415643692,-0.2038201587616868,0.4688415825366974,-0.5409264862537384,-0.23498020045155954,0.1649654507637024,-0.285798579454422,-0.06597672871941995,0.16796085238456726,-0.355067640542984,-0.17679408661717844,0.12320157885551453,-0.2385859191417694,-0.21601354054803323,0.09854789078235626,-0.14834457635879517,-0.213635687750525,0.0740172266960144,-0.2970333397388458,-0.05430318139190149,0.059319302439689636,-0.34141266345977783,-0.17035553328389597,0.04238021373748779,-0.21815642714500427,-0.1739265220581956,0.036803096532821655,-0.1389470100402832,-0.14199002556199503,-0.011861398816108704,-0.2868572175502777,-0.0489453906535573,-0.01654161512851715,-0.32819563150405884,-0.13736944369668436,-0.01934163272380829,-0.229811429977417,-0.13198575846547556,-0.020925745368003845,-0.16010022163391113,-0.10182802848214578
Z,0.0,0.0,0.0,0.11286413669586182,0.03269928693771362,-0.050358767965676066,0.2356266975402832,-0.0453336238861084,-0.0692461499663608,0.23547464609146118,-0.17413312196731567,-0.08399406016791033,0.17308968305587769,-0.2539987564086914,-0.09944701881134677,0.2830422520637512,-0.18013525009155273,-0.05036989168250727,0.38382041454315186,-0.2945328950881958,-0.08883567840778994,0.44611847400665283,-0.3627464771270752,-0.1165871688815372,0.49465638399124146,-0.4296182692050934,-0.14114963204586672,0.2085055112838745,-0.2230568528175354,-0.053351986566426035,0.2400771975517273,-0.2946026921272278,-0.12613838107311892,0.19571805000305176,-0.19168829917907715,-0.14925827772343325,0.15617644786834717,-0.12295293807983398,-0.14915532560074496,0.12967300415039062,-0.2413848638534546,-0.05931599752032923,0.15454858541488647,-0.3103131651878357,-0.13656800181591677,0.13275527954101562,-0.19527941942214966,-0.12508980126106906,0.10412049293518066,-0.126181960105896,-0.09861552656614947,0.040030479431152344,-0.2429472804069519,-0.06857059092247653,0.076102614402771,-0.29387038946151733,-0.13301550538265872,0.07328999042510986,-0.20363909006118774,-0.12223417253220248,0.05577492713928223,-0.1426790952682495,-0.0996036523672359
Z,0.0,0.0,0.0,0.11144399642944336,0.03422367572784424,-0.05605398422770236,0.23486816883087158,-0.045986175537109375,-0.0752845697730038,0.23178154230117798,-0.17653006315231323,-0.08868794820003245,0.16555386781692505,-0.2547459006309509,-0.10234262726001475,0.28714627027511597,-0.18557769060134888,-0.04981017417006228,0.3859562277793884,-0.2968885898590088,-0.08664735338382457,0.447534441947937,-0.3644348382949829,-0.11419077149324153,0.4946918487548828,-0.43052762746810913,-0.13890299877814982,0.21133273839950562,-0.2276044487953186,-0.04972858286194537,0.24390220642089844,-0.2981928586959839,-0.11861784687928889,0.1982961893081665,-0.19380295276641846,-0.14056252619914744,0.15908890962600708,-0.12637925148010254,-0.14015611192874644,0.13154494762420654,-0.24493277072906494,-0.05349592423729632,0.15623533725738525,-0.3110237717628479,-0.12939024648360942,0.13282865285873413,-0.1967388391494751,-0.1189370521038029,0.10476380586624146,-0.1308823823928833,-0.09336738965205882,0.0408664345741272,-0.24574220180511475,-0.06098249113850329,0.07670104503631592,-0.29717808961868286,-0.12640719792537425,0.07138371467590332,-0.20640528202056885,-0.11625325611524318,0.052542150020599365,-0.14587938785552979,-0.09380076757364009
Z,0.0,0.0,0.0,0.11600202322006226,0.033060550689697266,-0.05341834192425665,0.23983019590377808,-0.04507571458816528,-0.0711712091162866,0.23770582675933838,-0.1771237850189209,-0.08413103957921919,0.17509520053863525,-0.2565556764602661,-0.09713306268007216,0.2899174094200134,-0.18592804670333862,-0.04825896387249884,0.39099037647247314,-0.30131566524505615,-0.08654183139354643,0.4514564275741577,-0.3690442442893982,-0.11352819194347319,0.4989279508590698,-0.43519294261932373,-0.1373970507577127,0.2142813801765442,-0.22791236639022827,-0.050288371641940444,0.24675780534744263,-0.3001706600189209,-0.12337131788284239,0.2006669044494629,-0.1951560378074646,-0.14570696641952452,0.1619035005569458,-0.12581253051757812,-0.1443012355759805,0.13499313592910767,-0.24549901485443115,-0.05616994564682898,0.1587424874305725,-0.3125075101852417,-0.13544303168804106,0.1343628168106079,-0.19647282361984253,-0.12380053092986998,0.10794264078140259,-0.13063400983810425,-0.09634979804307875,0.04543137550354004,-0.24629205465316772,-0.06559432287961897,0.08099645376205444,-0.2951890826225281,-0.13070620586425719,0.07504206895828247,-0.20444846153259277,-0.11931484927684721,0.05732148885726929,-0.14702433347702026,-0.09593750526458678
Z,0.0,0.0,0.0,0.11503845453262329,0.028822898864746094,-0.04808089122407466,0.24119824171066284,-0.04770272970199585,-0.06214947983853847,0.2390245795249939,-0.17591196298599243,-0.07203610971801311,0.17541760206222534,-0.25195199251174927,-0.08198262736432582,0.2831544876098633,-0.18893110752105713,-0.04819974661104709,0.38881993293762207,-0.30218809843063354,-0.08549470439784557,0.44836658239364624,-0.3705857992172241,-0.11265172794692546,0.4953448176383972,-0.4389726519584656,-0.13735751047961742,0.209023118019104,-0.2294025421142578,-0.05234688505761653,0.24230962991714478,-0.29775482416152954,-0.12105308458440334,0.19217771291732788,-0.1874384880065918,-0.14046836629741222,0.1507803201675415,-0.11990475654602051,-0.1387427373253587,0.13056224584579468,-0.24880099296569824,-0.06005752444498569,0.16006577014923096,-0.31884562969207764,-0.13337589040629894,0.13350909948349,-0.19778233766555786,-0.12128902212016612,0.102897047996521,-0.13034147024154663,-0.09543055281274349,0.04065406322479248,-0.2512238025665283,-0.07134030744664699,0.07883840799331665,-0.30374616384506226,-0.13287844494216472,0.07399153709411621,-0.21138858795166016,-0.12181648597352535,0.05228370428085327,-0.15131253004074097,-0.09997078761689693
Z,0.0,0.0,0.0,0.11849606037139893,0.026535749435424805,-0.05601905457230316,0.23833626508712769,-0.04859566688537598,-0.08029354907127129,0.23852777481079102,-0.17833083868026733,-0.10051656312795387,0.18309950828552246,-0.26385414600372314,-0.12181924826951729,0.29062962532043457,-0.18751919269561768,-0.05221611059756981,0.3887249231338501,-0.2993813157081604,-0.09415858037324654,0.4488678574562073,-0.36951541900634766,-0.12343223191352592,0.4969888925552368,-0.43503403663635254,-0.14791871405692802,0.2132798433303833,-0.22952532768249512,-0.05222471229286896,0.2431858777999878,-0.29885387420654297,-0.12853245235534416,0.2043958306312561,-0.20152854919433594,-0.1534114459857534,0.17068350315093994,-0.13138818740844727,-0.15367509223075615,0.13273191452026367,-0.245618999004364,-0.05591543934794174,0.1555725336074829,-0.309985876083374,-0.13827308810802208,0.135625958442688,-0.20012050867080688,-0.12767946518512474,0.11027288436889648,-0.12874048948287964,-0.10012665934415566,0.043421030044555664,-0.24454087018966675,-0.06306105650516258,0.07921111583709717,-0.29526007175445557,-0.13262966073604332,0.0746532678604126,-0.20777630805969238,-0.12352317370029198,0.05887120962142944,-0.14517360925674438,-0.10017201102824913
Z,0.0,0.0,0.0,0.11394548416137695,0.03242528438568115,-0.056633765132687586,0.23717308044433594,-0.04523324966430664,-0.07294217708852102,0.23324447870254517,-0.17767804861068726,-0.0827487877323847,0.1702967882156372,-0.25784623622894287,-0.09209476623084356,0.2883473038673401,-0.1835230588912964,-0.04866925466205885,0.38982224464416504,-0.29649579524993896,-0.08648426297452261,0.449648916721344,-0.36283618211746216,-0.11384607318188955,0.49769335985183716,-0.4288727641105652,-0.1383457503035288,0.21471494436264038,-0.22543883323669434,-0.048900513233206766,0.2481757402420044,-0.3003033995628357,-0.11862602296616842,0.19967371225357056,-0.19241249561309814,-0.14050051781680395,0.16160398721694946,-0.12315505743026733,-0.13925551089789678,0.13586246967315674,-0.243699312210083,-0.053562557579539316,0.15980976819992065,-0.31241506338119507,-0.13243299934413244,0.13357359170913696,-0.1927991509437561,-0.12308509114529897,0.1081995964050293,-0.12682151794433594,-0.09702844384457876,0.04484015703201294,-0.2449536919593811,-0.061813758940957086,0.07823550701141357,-0.2962380647659302,-0.1294074675753336,0.07182729244232178,-0.202775239944458,-0.12025986078526785,0.05436718463897705,-0.1433984637260437,-0.09804211023595144
Z,0.0,0.0,0.0,0.11629921197891235,0.03338301181793213,-0.05646067943438027,0.23782122135162354,-0.04644829034805298,-0.0744465858863208,0.22996556758880615,-0.1789429783821106,-0.08654328893884156,0.1640745997428894,-0.255499005317688,-0.09879209559424851,0.28688371181488037,-0.18529140949249268,-0.049542796723685,0.3881010413169861,-0.296786904335022,-0.0860980273412082,0.44872742891311646,-0.36383283138275146,-0.11231064509614441,0.49650031328201294,-0.4282512664794922,-0.13569023918374512,0.2104448676109314,-0.22727912664413452,-0.04902727615102265,0.2456972599029541,-0.29989004135131836,-0.11771305363639328,0.20187151432037354,-0.19715440273284912,-0.1397355766223285,0.16298526525497437,-0.1288372278213501,-0.13905796121819947,0.1306246519088745,-0.2439795732498169,-0.05242784407003853,0.15795856714248657,-0.31155580282211304,-0.13004131328328583,0.13491159677505493,-0.1961933970451355,-0.12089131485684845,0.10692411661148071,-0.1295715570449829,-0.0953383119033191,0.040120482444763184,-0.24340581893920898,-0.059313912801584934,0.07827937602996826,-0.2966897487640381,-0.12583806823953125,0.0732850432395935,-0.20631974935531616,-0.11635917138322327,0.05354654788970947,-0.14533263444900513,-0.09401625853045914
Z,0.0,0.0,0.0,0.11765378713607788,0.02785491943359375,-0.055092469511464515,0.23861724138259888,-0.05018305778503418,-0.07456457307739583,0.2328265905380249,-0.18213820457458496,-0.08949993243618337,0.1697399616241455,-0.26170772314071655,-0.1049177913944277,0.28678858280181885,-0.18858790397644043,-0.049295705465510764,0.3898018002510071,-0.3010387420654297,-0.08794164350433675,0.45043057203292847,-0.36807548999786377,-0.11503787776632635,0.4990581274032593,-0.4324709177017212,-0.13865476539535848,0.20953631401062012,-0.23105162382125854,-0.050995849726632514,0.2415594458580017,-0.30763930082321167,-0.1251296519319567,0.1993732452392578,-0.20506435632705688,-0.14936525812549917,0.16089528799057007,-0.13168245553970337,-0.14877500822944967,0.129597008228302,-0.24799656867980957,-0.0564454539696726,0.1540147066116333,-0.3151065707206726,-0.13766447892589895,0.13212192058563232,-0.20031851530075073,-0.12839068165226308,0.10450237989425659,-0.13023018836975098,-0.10159056326551763,0.04028803110122681,-0.2470390796661377,-0.06529549947185842,0.07573652267456055,-0.30000537633895874,-0.13248599758549062,0.06983721256256104,-0.20989513397216797,-0.12229289552374212,0.050996243953704834,-0.1477184295654297,-0.09891076078815786
Z,0.0,0.0,0.0,0.11372804641723633,0.030605614185333252,-0.05340120252822089,0.23626595735549927,-0.04775428771972656,-0.07374458071444678,0.23836874961853027,-0.17872369289398193,-0.08937830534432578,0.17843979597091675,-0.2591966390609741,-0.10584452804778266,0.2864742875099182,-0.18386876583099365,-0.05514119249437499,0.39171236753463745,-0.2983841300010681,-0.09458048698161292,0.453690767288208,-0.3655173182487488,-0.12257441934798408,0.5023751258850098,-0.4318242073059082,-0.14720653053973365,0.21121370792388916,-0.22670966386795044,-0.05651730355475593,0.24811536073684692,-0.29796379804611206,-0.1299482291624372,0.2000400424003601,-0.1928178071975708,-0.15177935418341804,0.1581019163131714,-0.1236957311630249,-0.15054987427447486,0.13221412897109985,-0.24567633867263794,-0.06104762908671546,0.16242355108261108,-0.3134453296661377,-0.1381863063261335,0.1371673345565796,-0.19920921325683594,-0.1249416401669805,0.10589790344238281,-0.1315145492553711,-0.09724140968774009,0.04255768656730652,-0.24806421995162964,-0.06911188420508552,0.08248895406723022,-0.30144548416137695,-0.1333078151628797,0.07662677764892578,-0.21302354335784912,-0.12144040372822928,0.056165218353271484,-0.15307247638702393,-0.09789905008528876
