label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
B,0.0,0.0,0.0,0.02403634786605835,-0.0498618483543396,-0.056197054465258134,0.02808910608291626,-0.11483633518218994,-0.08211436100765468,0.020185530185699463,-0.17342567443847656,-0.09890345462127925,0.009661644697189331,-0.2119869589805603,-0.113367460449183,-0.00033280253410339355,-0.1690349578857422,-0.0683826131419778,0.0006683170795440674,-0.24644839763641357,-0.10027527042194606,-0.005104392766952515,-0.2987561821937561,-0.12107609190508128,-0.011506885290145874,-0.34294891357421875,-0.13515059628053905,-0.0406264066696167,-0.15697169303894043,-0.053847148795568955,-0.07709395885467529,-0.22346168756484985,-0.09252389498516322,-0.10263484716415405,-0.27281737327575684,-0.11483365275427104,-0.12327152490615845,-0.3128788471221924,-0.12802256621881725,-0.06905028223991394,-0.12350183725357056,-0.04249093659683467,-0.08518457412719727,-0.15174537897109985,-0.08245174564882518,-0.06244906783103943,-0.1300228238105774,-0.08854329564138652,-0.04550632834434509,-0.10816752910614014,-0.08474944510027171,-0.08727630972862244,-0.08728694915771484,-0.03512770288153888,-0.09559452533721924,-0.10523253679275513,-0.06632445730730296,-0.07695570588111877,-0.08850818872451782,-0.07005562611385585,-0.06418183445930481,-0.07169806957244873,-0.06734702714248897
B,0.0,0.0,0.0,0.027953654527664185,-0.03150111436843872,-0.022760243058741025,0.037380069494247437,-0.08344167470932007,-0.03162040458673232,0.013231486082077026,-0.12719321250915527,-0.03747661308997863,-0.014563918113708496,-0.13910740613937378,-0.042836184517085485,0.03668519854545593,-0.15241634845733643,-0.01759125934594863,0.04160240292549133,-0.21625769138336182,-0.028258197844564847,0.043121546506881714,-0.2563638687133789,-0.03826783867233985,0.0426349937915802,-0.28939560055732727,-0.045306197271287374,0.010691672563552856,-0.15723061561584473,-0.01476026782447093,0.013070374727249146,-0.22302931547164917,-0.02185175465100997,0.013308197259902954,-0.2666178345680237,-0.03019455345028632,0.013257533311843872,-0.3015996217727661,-0.03626144947165244,-0.0123157799243927,-0.14831620454788208,-0.01449138475263112,-0.01495969295501709,-0.20846664905548096,-0.022047650903999738,-0.014483273029327393,-0.24941736459732056,-0.03028172896856063,-0.013952940702438354,-0.28100234270095825,-0.0357606735979914,-0.03576585650444031,-0.12919074296951294,-0.016463612109959058,-0.0427950918674469,-0.1790238618850708,-0.024559612289607458,-0.045613497495651245,-0.21200308203697205,-0.02855147132331126,-0.04730880260467529,-0.23888474702835083,-0.03066590325587981
B,0.0,0.0,0.0,0.029633522033691406,-0.03690457344055176,-0.015983689734781592,0.038955509662628174,-0.0918574333190918,-0.020864246571505873,0.016305148601531982,-0.13187086582183838,-0.02469864503487429,-0.009192556142807007,-0.14243733882904053,-0.02831686117693266,0.033380746841430664,-0.15102553367614746,-0.007216394571656792,0.04184609651565552,-0.21002843976020813,-0.01687301152392706,0.04566168785095215,-0.24715262651443481,-0.026491543436492293,0.04739958047866821,-0.2792500853538513,-0.033607997158611624,0.009832382202148438,-0.15703266859054565,-0.007365988725865691,0.014756977558135986,-0.22116807103157043,-0.01408287432983002,0.017151713371276855,-0.2628626525402069,-0.02214807474061331,0.01888906955718994,-0.29592058062553406,-0.02835489080294451,-0.011667877435684204,-0.15001451969146729,-0.010046890163863509,-0.01116374135017395,-0.20854651927947998,-0.01663010769530615,-0.008539825677871704,-0.24671891331672668,-0.0238974095974811,-0.006092369556427002,-0.27637559175491333,-0.029165823170984595,-0.03398627042770386,-0.13280320167541504,-0.014696126962149947,-0.03946492075920105,-0.17818918824195862,-0.020494356909836142,-0.04102709889411926,-0.20779597759246826,-0.023168176570976584,-0.0423225462436676,-0.23247846961021423,-0.02515742384835562
B,0.0,0.0,0.0,0.031164169311523438,-0.03708094358444214,-0.01449471180603723,0.04154485464096069,-0.09151202440261841,-0.018675905925192637,0.018290698528289795,-0.13047677278518677,-0.022001094457664294,-0.008119344711303711,-0.1370100975036621,-0.025199958396115107,0.03921365737915039,-0.14505982398986816,-0.005189465631701751,0.048426806926727295,-0.2018284797668457,-0.013187959131755633,0.051561713218688965,-0.23755061626434326,-0.021672428858437343,0.052780091762542725,-0.2687915563583374,-0.02832553283587913,0.016333937644958496,-0.15185242891311646,-0.005646732908644481,0.023107945919036865,-0.2137654423713684,-0.010734757681348128,0.025606870651245117,-0.2537998557090759,-0.01752405361548881,0.02720850706100464,-0.2862827479839325,-0.02309538171903114,-0.004786252975463867,-0.1458134651184082,-0.008501618442096515,-0.00192183256149292,-0.20369869470596313,-0.013704565626539988,0.0014867782592773438,-0.24065274000167847,-0.019833321955957217,0.0036448240280151367,-0.2702317237854004,-0.02465938338355045,-0.02679973840713501,-0.13004159927368164,-0.013226798077084823,-0.02967137098312378,-0.17333507537841797,-0.017797411692299647,-0.02985215187072754,-0.2013852596282959,-0.019490973365464015,-0.03085428476333618,-0.22485405206680298,-0.02111289584354381
B,0.0,0.0,0.0,0.03167623281478882,-0.035431861877441406,-0.013231978328974492,0.041783690452575684,-0.08868294954299927,-0.016623843038530595,0.020698606967926025,-0.126883864402771,-0.019381740639062173,-0.005417168140411377,-0.1336054801940918,-0.021982244724483735,0.040722429752349854,-0.13853555917739868,-0.003755736906157381,0.04871165752410889,-0.19359856843948364,-0.010954689743073232,0.05132216215133667,-0.22841781377792358,-0.01857012468025232,0.05187201499938965,-0.25890469551086426,-0.02461100327417398,0.018432319164276123,-0.1449604034423828,-0.004447277212591416,0.02478545904159546,-0.2055341899394989,-0.009161959910841233,0.027623474597930908,-0.24429431557655334,-0.015372991139145142,0.02938944101333618,-0.2761192321777344,-0.020469178954215295,-0.0024491548538208008,-0.1392492651939392,-0.007417569911183364,0.00043213367462158203,-0.19405215978622437,-0.012081972831936127,0.005154013633728027,-0.22870659828186035,-0.017239141786546952,0.00865262746810913,-0.2566530108451843,-0.021316567013116128,-0.02375972270965576,-0.125174880027771,-0.012215023437590844,-0.02571454644203186,-0.16730201244354248,-0.01582250329300905,-0.02413162589073181,-0.19468063116073608,-0.016795390794129617,-0.022816181182861328,-0.217992901802063,-0.01801530974552179
B,0.0,0.0,0.0,0.028924524784088135,-0.03257352113723755,-0.014017735281015575,0.03923529386520386,-0.08161717653274536,-0.017823978000308216,0.01908433437347412,-0.1214250922203064,-0.02054240987541789,-0.006561338901519775,-0.13314080238342285,-0.022825297572637737,0.040941059589385986,-0.13274991512298584,-0.004375580371345222,0.04887491464614868,-0.18955069780349731,-0.010771277033711613,0.05073469877243042,-0.22413384914398193,-0.01811122023406142,0.050292909145355225,-0.2552076578140259,-0.023973376163269222,0.019341349601745605,-0.1399504542350769,-0.004069009934539736,0.026727378368377686,-0.19912683963775635,-0.00755478455590719,0.02995932102203369,-0.23668432235717773,-0.0137175849163782,0.031747519969940186,-0.2682201862335205,-0.01896493756117934,-0.0007387399673461914,-0.1352909803390503,-0.005931736108834684,0.0018848776817321777,-0.18715167045593262,-0.009224606350983322,0.00710064172744751,-0.22061368823051453,-0.014281749398435295,0.010367274284362793,-0.2470533847808838,-0.01852732584717387,-0.02160400152206421,-0.1225893497467041,-0.009675160654808224,-0.022878944873809814,-0.16357207298278809,-0.012481306352640331,-0.020876646041870117,-0.18993237614631653,-0.013188532226706684,-0.019380152225494385,-0.21127787232398987,-0.014170799077476204
B,0.0,0.0,0.0,0.028742849826812744,-0.032247066497802734,-0.01485040784261571,0.041253864765167236,-0.07939070463180542,-0.019061558883706198,0.02220970392227173,-0.11643213033676147,-0.02247266751162158,-0.0018404126167297363,-0.12825191020965576,-0.025491892363945112,0.03993767499923706,-0.13216984272003174,-0.00262978161133276,0.04612576961517334,-0.18598827719688416,-0.009747025560656652,0.04719799757003784,-0.21862882375717163,-0.017441394742647276,0.046974778175354004,-0.2476271390914917,-0.02340059634677516,0.018798112869262695,-0.1377044916152954,-0.002469678646022544,0.025366604328155518,-0.19515451788902283,-0.006997563880005941,0.02741152048110962,-0.2311306595802307,-0.013798660602489576,0.028727591037750244,-0.26126378774642944,-0.019231245856801138,-0.0007501840591430664,-0.13186293840408325,-0.004861127123305664,0.003248274326324463,-0.18340256810188293,-0.008865109648624525,0.007525146007537842,-0.21479064226150513,-0.014076340016046629,0.01106727123260498,-0.24035322666168213,-0.01822813507548915,-0.02046412229537964,-0.11814934015274048,-0.009307784032145605,-0.018980026245117188,-0.15695762634277344,-0.011730886999586687,-0.014986097812652588,-0.18003830313682556,-0.012041124519029722,-0.011320769786834717,-0.1991746723651886,-0.012788781900027857
B,0.0,0.0,0.0,0.028984248638153076,-0.030522644519805908,-0.014642432876826206,0.04249829053878784,-0.07330679893493652,-0.01982721740841953,0.024821698665618896,-0.10891532897949219,-0.02422186786770908,0.0017174482345581055,-0.12469029426574707,-0.02828961479008285,0.042746663093566895,-0.12736260890960693,-0.005682450332642475,0.048104822635650635,-0.18290209770202637,-0.014339755834043899,0.048572540283203125,-0.21757203340530396,-0.022821188517809787,0.04744225740432739,-0.24789798259735107,-0.02908663133621303,0.022284090518951416,-0.1326887011528015,-0.0059710187697419315,0.028471708297729492,-0.1910560131072998,-0.012244790405929962,0.0302736759185791,-0.2284930944442749,-0.01997178102374164,0.03113001585006714,-0.25925737619400024,-0.025767503851056972,0.0030409693717956543,-0.12765616178512573,-0.00857390517830936,0.00658804178237915,-0.18005409836769104,-0.014521569558382907,0.010776102542877197,-0.21247851848602295,-0.020283492826820293,0.013776659965515137,-0.23767709732055664,-0.024278773539663234,-0.017145097255706787,-0.11513304710388184,-0.013071968764961639,-0.01580631732940674,-0.15472984313964844,-0.017824383997322002,-0.012100160121917725,-0.17972427606582642,-0.019346712701917568,-0.008449733257293701,-0.20046144723892212,-0.020333568179012218
B,0.0,0.0,0.0,0.02982860803604126,-0.03158658742904663,-0.01474042713780932,0.04344660043716431,-0.0766027569770813,-0.01961983751644425,0.024981260299682617,-0.11326205730438232,-0.023490570598738714,0.0011032819747924805,-0.12761300802230835,-0.027008971312540098,0.042631685733795166,-0.128814697265625,-0.005583719463544412,0.04848635196685791,-0.18525952100753784,-0.013671437391536756,0.04957491159439087,-0.22024491429328918,-0.021680483707683607,0.04900020360946655,-0.25029242038726807,-0.02750325400521092,0.021575927734375,-0.1343982219696045,-0.005294500497626586,0.027746081352233887,-0.19284969568252563,-0.010988754333453699,0.029668331146240234,-0.23042339086532593,-0.018241154143112226,0.03061068058013916,-0.2604081332683563,-0.023513244578140302,0.002285897731781006,-0.12955868244171143,-0.007236157657104059,0.006052732467651367,-0.18223682045936584,-0.012370415145056768,0.010675787925720215,-0.21539545059204102,-0.0177895111231976,0.014078855514526367,-0.2405974268913269,-0.021445144081013723,-0.0173301100730896,-0.1169666051864624,-0.011057348103719278,-0.015597403049468994,-0.1568548083305359,-0.015021394120054765,-0.011197030544281006,-0.18297603726387024,-0.016172066444056554,-0.006846070289611816,-0.20430922508239746,-0.016788160541551633
B,0.0,0.0,0.0,0.029738128185272217,-0.031939923763275146,-0.01420029202259343,0.04386460781097412,-0.07618361711502075,-0.019001968631215505,0.0270194411277771,-0.11161202192306519,-0.022989664653010777,0.00422358512878418,-0.12760263681411743,-0.026638459840484074,0.043309032917022705,-0.12884217500686646,-0.005573274062641076,0.04920917749404907,-0.18552839756011963,-0.014193296858735494,0.050135254859924316,-0.22095859050750732,-0.022413297051258496,0.04938787221908569,-0.2510562539100647,-0.02827261803454917,0.022323668003082275,-0.1345568299293518,-0.005755957642264775,0.028388798236846924,-0.19337716698646545,-0.01217764472372096,0.03027212619781494,-0.23128008842468262,-0.019899139607019833,0.031108379364013672,-0.26153361797332764,-0.025415266358919553,0.00297391414642334,-0.1298534870147705,-0.008168393240936211,0.0063918232917785645,-0.18296849727630615,-0.014058828780122212,0.010548233985900879,-0.21602284908294678,-0.019949393773146085,0.01360386610031128,-0.24114298820495605,-0.023809897208280972,-0.016603171825408936,-0.11734169721603394,-0.012386550621755532,-0.014803767204284668,-0.15757441520690918,-0.017040482217140607,-0.010836362838745117,-0.18377166986465454,-0.018718470314212254,-0.006858110427856445,-0.20525765419006348,-0.019612906926937512
