label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
H,0.0,0.0,0.0,-0.02035045623779297,-0.08811455965042114,-0.030783532605880737,-0.08444622159004211,-0.13763582706451416,-0.03612975072991276,-0.14848646521568298,-0.13152861595153809,-0.04124153447281742,-0.2028348445892334,-0.12578850984573364,-0.044151641847008705,-0.15476736426353455,-0.1749243140220642,0.0026839969685283904,-0.21818572282791138,-0.20874851942062378,-0.012852020980233192,-0.2591548264026642,-0.22340154647827148,-0.02378315520417118,-0.29801586270332336,-0.229927659034729,-0.029164499090427398,-0.16763567924499512,-0.12451910972595215,0.0019174332736042743,-0.24717757105827332,-0.16895270347595215,-0.01849298221003437,-0.2939590811729431,-0.1932663917541504,-0.031241082073563575,-0.3332197517156601,-0.20891010761260986,-0.03387466859948063,-0.1633756160736084,-0.0658828616142273,-0.004772421391123771,-0.19089990854263306,-0.09129977226257324,-0.048759043635243415,-0.13512074947357178,-0.07963413000106812,-0.05670811277758503,-0.09859126806259155,-0.06650108098983765,-0.045733005226963996,-0.14926940202713013,-0.005282759666442871,-0.0131445205299201,-0.1747356653213501,-0.037058889865875244,-0.04905770015847111,-0.12785476446151733,-0.03153872489929199,-0.046609562308901786,-0.09096306562423706,-0.02163153886795044,-0.03415661347042942
H,0.0,0.0,0.0,-0.01998281478881836,-0.08833801746368408,-0.030408119725450433,-0.08391407132148743,-0.13955652713775635,-0.03528885165081874,-0.14732280373573303,-0.13526380062103271,-0.03995026642309085,-0.20121294260025024,-0.12871623039245605,-0.042632054480179704,-0.15392473340034485,-0.17599010467529297,0.002432205305979096,-0.2186681032180786,-0.2103116512298584,-0.012721165957316316,-0.26055800914764404,-0.22553789615631104,-0.023407850357159532,-0.3001585602760315,-0.23308533430099487,-0.028613418283327974,-0.16665643453598022,-0.12576895952224731,0.0016160492660333148,-0.24683985114097595,-0.17020130157470703,-0.018702007772787965,-0.29410821199417114,-0.1939796805381775,-0.03176616499052898,-0.33342888951301575,-0.20935344696044922,-0.03458580741511241,-0.16277793049812317,-0.06710833311080933,-0.004881616158797897,-0.19154495000839233,-0.0956764817237854,-0.04871093103514568,-0.1362515389919281,-0.08274292945861816,-0.05671367043481723,-0.09945493936538696,-0.0684589147567749,-0.04576426366196529,-0.14939352869987488,-0.006238579750061035,-0.012963320071264661,-0.17480289936065674,-0.03919100761413574,-0.049014538469180025,-0.1276220977306366,-0.03213465213775635,-0.04652022192107097,-0.09008735418319702,-0.020689725875854492,-0.03390394518004314
H,0.0,0.0,0.0,-0.019542455673217773,-0.0881263017654419,-0.03133485319401075,-0.08364611864089966,-0.1406306028366089,-0.03562046813155462,-0.14782005548477173,-0.1367398500442505,-0.039471211306107534,-0.20306697487831116,-0.13180750608444214,-0.041140402130139364,-0.1564626395702362,-0.18036812543869019,0.005434888952123629,-0.22112563252449036,-0.21347689628601074,-0.008602743431282533,-0.26288583874702454,-0.22815734148025513,-0.018973498068106665,-0.30241525173187256,-0.23386144638061523,-0.024087377286804212,-0.16897571086883545,-0.1292162537574768,0.004948887114125,-0.24940896034240723,-0.1737348437309265,-0.014241625017774595,-0.2962389588356018,-0.19668656587600708,-0.02724227348650743,-0.3353552520275116,-0.21011817455291748,-0.0298010990240698,-0.1642870306968689,-0.06963849067687988,-0.0015945305799220932,-0.19394320249557495,-0.09711307287216187,-0.04555807488347341,-0.13894122838974,-0.0844951868057251,-0.05465589316870023,-0.10288229584693909,-0.07049566507339478,-0.044214656970751776,-0.1498541533946991,-0.007714986801147461,-0.00979377182508756,-0.17562180757522583,-0.04064929485321045,-0.04725579770590116,-0.12706461548805237,-0.03359055519104004,-0.04593094291473676,-0.08850714564323425,-0.022597551345825195,-0.033742918095839514
H,0.0,0.0,0.0,-0.01978898048400879,-0.09104114770889282,-0.032329126601808866,-0.08373230695724487,-0.14448142051696777,-0.03658995718299707,-0.14789262413978577,-0.14196383953094482,-0.04049088001787027,-0.20377129316329956,-0.1384366750717163,-0.042061596518152555,-0.15598320960998535,-0.18295830488204956,0.006986284287876288,-0.22050052881240845,-0.21684736013412476,-0.007135409736775955,-0.26249897480010986,-0.23251628875732422,-0.017557294448607763,-0.3018367886543274,-0.23967474699020386,-0.022650474091761907,-0.16868287324905396,-0.13248425722122192,0.006677486127472321,-0.2502647042274475,-0.17724144458770752,-0.013071706859165033,-0.29774010181427,-0.20186179876327515,-0.02638186827837785,-0.336545392870903,-0.21656662225723267,-0.028990679761164984,-0.16428866982460022,-0.07294225692749023,-0.00013199964317323065,-0.19287961721420288,-0.10107600688934326,-0.045515585100048384,-0.13630473613739014,-0.08707863092422485,-0.05493607685505708,-0.10019683837890625,-0.0719536542892456,-0.04414068475901445,-0.15068799257278442,-0.010309219360351562,-0.008662498896711668,-0.1773163080215454,-0.045410990715026855,-0.04638329089223703,-0.12884122133255005,-0.037566184997558594,-0.04487290546833833,-0.09141972661018372,-0.02530723810195923,-0.03261086658179124
H,0.0,0.0,0.0,-0.02173745632171631,-0.0916411280632019,-0.03373810635159202,-0.08542060852050781,-0.14374029636383057,-0.0394497996682901,-0.1510489284992218,-0.1407448649406433,-0.044756736468769986,-0.2088039219379425,-0.13828498125076294,-0.04741764427373596,-0.15543118119239807,-0.18490922451019287,0.0057421486338000705,-0.2212296724319458,-0.21850645542144775,-0.010026174459852655,-0.26336848735809326,-0.23337769508361816,-0.02152248271951862,-0.30325809121131897,-0.23954427242279053,-0.02726405286441036,-0.1685996651649475,-0.134158194065094,0.005776062279693406,-0.2505970299243927,-0.17801207304000854,-0.015542951274909456,-0.2993929982185364,-0.20167559385299683,-0.029829164829351384,-0.3402063846588135,-0.21583205461502075,-0.03312141434500404,-0.16457194089889526,-0.07403087615966797,-0.0009108775782067369,-0.19203966856002808,-0.09950530529022217,-0.047364879261948545,-0.13530749082565308,-0.0853375792503357,-0.056833755087353666,-0.10002675652503967,-0.07060182094573975,-0.04587413729379364,-0.15111646056175232,-0.011273205280303955,-0.00948466812471338,-0.17815908789634705,-0.04576033353805542,-0.047103952478863675,-0.1306176483631134,-0.038367390632629395,-0.04527959586332031,-0.09413617849349976,-0.026594996452331543,-0.032787408542134244
H,0.0,0.0,0.0,-0.018857240676879883,-0.0895841121673584,-0.03390049095636982,-0.08040168881416321,-0.1429654359817505,-0.040774541901413386,-0.14407649636268616,-0.14200663566589355,-0.04698179941064495,-0.2008078396320343,-0.13825756311416626,-0.05063984076863903,-0.15470001101493835,-0.18344414234161377,0.0007195249255858016,-0.2211979329586029,-0.21787673234939575,-0.016333351837459986,-0.2641182243824005,-0.2325780987739563,-0.028030977578822558,-0.3047833740711212,-0.23830878734588623,-0.03361041005140919,-0.16781723499298096,-0.132704496383667,0.000208143004925887,-0.2520960867404938,-0.1781536340713501,-0.021881443442765658,-0.30060094594955444,-0.2026638388633728,-0.03538323845154423,-0.3406483829021454,-0.216871976852417,-0.03781355451232571,-0.16374734044075012,-0.07226037979125977,-0.00663683702609319,-0.1910923719406128,-0.10056716203689575,-0.05321664641982693,-0.13388344645500183,-0.08653229475021362,-0.060956305818621104,-0.09834462404251099,-0.07125741243362427,-0.048712505953375285,-0.15023821592330933,-0.009251296520233154,-0.015354977915052359,-0.17788973450660706,-0.04557150602340698,-0.05240265558845181,-0.13018426299095154,-0.037564992904663086,-0.04861289914137501,-0.09389150142669678,-0.02398163080215454,-0.034688173787657206
H,0.0,0.0,0.0,-0.018680572509765625,-0.09203022718429565,-0.034241981472774796,-0.08208474516868591,-0.14542055130004883,-0.04010742497067099,-0.14719009399414062,-0.1434856653213501,-0.045254349376961045,-0.20476144552230835,-0.14077341556549072,-0.04787005823473578,-0.15484967827796936,-0.18532729148864746,0.002860606979623981,-0.22209209203720093,-0.2213478684425354,-0.012790078896983914,-0.2654178738594055,-0.23682254552841187,-0.023947359662457757,-0.30629247426986694,-0.24327337741851807,-0.029469638731285386,-0.1683116853237152,-0.13485246896743774,0.0031674328316455558,-0.2512487471103668,-0.18065482378005981,-0.017404252331658654,-0.29983288049697876,-0.2056606411933899,-0.0310625728629077,-0.34054745733737946,-0.22057241201400757,-0.034143332060381226,-0.16451233625411987,-0.07481247186660767,-0.003060405975162439,-0.1920987367630005,-0.10261332988739014,-0.04891713302950507,-0.13533809781074524,-0.0891193151473999,-0.05809761550645476,-0.1004687249660492,-0.07422399520874023,-0.047273497696920685,-0.15134188532829285,-0.012107789516448975,-0.011188789870544724,-0.17825284600257874,-0.047912657260894775,-0.04869504984836226,-0.13036638498306274,-0.04115867614746094,-0.04674122076849585,-0.09382173418998718,-0.029408037662506104,-0.03430937942485457
H,0.0,0.0,0.0,-0.018903017044067383,-0.09200859069824219,-0.035027427528774524,-0.08236688375473022,-0.14675265550613403,-0.04169793233720043,-0.1480616331100464,-0.1461871862411499,-0.04748442203251102,-0.20647871494293213,-0.14111816883087158,-0.0506672653600333,-0.15428858995437622,-0.18732941150665283,0.001716623734893119,-0.22280588746070862,-0.22226202487945557,-0.014925358746921802,-0.2668612599372864,-0.2372339963912964,-0.026560993795072818,-0.30814290046691895,-0.24351352453231812,-0.03225852355805614,-0.16789698600769043,-0.13606905937194824,0.0021384612892063615,-0.25213468074798584,-0.1813531517982483,-0.019611075450455928,-0.30192679166793823,-0.2060146927833557,-0.03349112153497913,-0.34312206506729126,-0.2204851508140564,-0.03637977123705127,-0.16433924436569214,-0.07517474889755249,-0.004002875578379417,-0.19165468215942383,-0.10282480716705322,-0.050979638402139926,-0.13433602452278137,-0.08935928344726562,-0.05955444455591419,-0.09890139102935791,-0.07443422079086304,-0.0478373634859679,-0.15109190344810486,-0.012033522129058838,-0.012083231401419425,-0.1773347556591034,-0.04862028360366821,-0.05008662671295383,-0.12900125980377197,-0.041504502296447754,-0.04744852513519504,-0.09256303310394287,-0.02894490957260132,-0.034219605778133655
H,0.0,0.0,0.0,-0.018350064754486084,-0.09175747632980347,-0.03493340098279418,-0.0822860598564148,-0.1468161940574646,-0.04190673091429176,-0.14734351634979248,-0.14637833833694458,-0.04786909901517333,-0.20565536618232727,-0.14072346687316895,-0.05121678271311225,-0.15444809198379517,-0.18656891584396362,0.0002130664048820563,-0.22316986322402954,-0.22249937057495117,-0.016518162274536508,-0.2673899531364441,-0.23786330223083496,-0.02784630627351703,-0.3088412284851074,-0.24455881118774414,-0.03334235184806289,-0.16782543063163757,-0.1349724531173706,0.000342569573746232,-0.2533511519432068,-0.18071162700653076,-0.021462505394396203,-0.3027190864086151,-0.2059003710746765,-0.03467618831413688,-0.3434513062238693,-0.22093766927719116,-0.03714074351805152,-0.16427886486053467,-0.07372087240219116,-0.005984696270701306,-0.19172754883766174,-0.10379433631896973,-0.05329741694944801,-0.13379669189453125,-0.09035617113113403,-0.061117456937012093,-0.09826022386550903,-0.07478731870651245,-0.04884511389749946,-0.15128913521766663,-0.010695815086364746,-0.014235039884027856,-0.17777025699615479,-0.048666417598724365,-0.052580574238476174,-0.12905651330947876,-0.04169875383377075,-0.04950703465360107,-0.09268614649772644,-0.028522491455078125,-0.03597698890584411
H,0.0,0.0,0.0,-0.018260180950164795,-0.09251576662063599,-0.036819278983898585,-0.08254343271255493,-0.1473602056503296,-0.04448292755944294,-0.14910301566123962,-0.14780950546264648,-0.050666074989862864,-0.20868545770645142,-0.14461934566497803,-0.053997043310232584,-0.15251904726028442,-0.18673795461654663,-0.0017242579716594264,-0.22211939096450806,-0.22319084405899048,-0.019712146161623423,-0.26732951402664185,-0.23872876167297363,-0.031445737718172495,-0.3091321587562561,-0.2457258105278015,-0.037093404470510905,-0.16657042503356934,-0.13489341735839844,-0.0007739985240959868,-0.25319936871528625,-0.18083298206329346,-0.0239164845780806,-0.30387869477272034,-0.20582622289657593,-0.037254467396564905,-0.3454553633928299,-0.22129672765731812,-0.0395764780924992,-0.16357603669166565,-0.07356595993041992,-0.006500388285644476,-0.19201889634132385,-0.10275506973266602,-0.05542324089867634,-0.13365161418914795,-0.08862853050231934,-0.06301328518850369,-0.09768730401992798,-0.07386940717697144,-0.050165459303684656,-0.15063795447349548,-0.01084047555923462,-0.014235419011242811,-0.17664361000061035,-0.04725426435470581,-0.05402192452413601,-0.12743845582008362,-0.039420247077941895,-0.05115745940668148,-0.09123018383979797,-0.026736319065093994,-0.03745364376766247
