label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
J,0.0,0.0,0.0,0.0005860328674316406,-0.09684675931930542,-0.01852649256153427,-0.054478585720062256,-0.21015942096710205,-0.023827016274765356,-0.11983722448348999,-0.26239246129989624,-0.03135935581786953,-0.16707921028137207,-0.22973966598510742,-0.034677762459352834,-0.129623144865036,-0.21629327535629272,4.6242936775797716e-05,-0.15751448273658752,-0.2556094527244568,-0.024672860200837476,-0.11786258220672607,-0.2082369327545166,-0.037943623881176336,-0.08732768893241882,-0.1632136106491089,-0.04078608370883785,-0.1574188470840454,-0.17158478498458862,-0.003937485548988207,-0.19149908423423767,-0.2136145830154419,-0.03945697836144291,-0.1317385733127594,-0.16304713487625122,-0.05241779230101429,-0.0879640281200409,-0.11477482318878174,-0.04974027715189777,-0.17913612723350525,-0.12009114027023315,-0.012997854422167165,-0.22494399547576904,-0.1722751259803772,-0.04600682101710163,-0.1641877293586731,-0.14380347728729248,-0.04921346894963108,-0.11380764842033386,-0.10698181390762329,-0.04021700091226421,-0.1944056749343872,-0.0645449161529541,-0.02366366415782295,-0.269412100315094,-0.08149045705795288,-0.04061213127835117,-0.3160190284252167,-0.10094106197357178,-0.047650031666591985,-0.3601374328136444,-0.12476712465286255,-0.04946872956617199
J,0.0,0.0,0.0,0.0005896091461181641,-0.09203803539276123,-0.02212650627387802,-0.05302596092224121,-0.2056618332862854,-0.029502810170185967,-0.11448845267295837,-0.2676311135292053,-0.03905229382706921,-0.1640165150165558,-0.24600732326507568,-0.0437517773409013,-0.13187026977539062,-0.2213200330734253,-0.0009960961344290808,-0.15969285368919373,-0.261594295501709,-0.030804149066341324,-0.1161288321018219,-0.21334487199783325,-0.046433166791928215,-0.08522471785545349,-0.16922223567962646,-0.04916450120998661,-0.1594012975692749,-0.17511659860610962,-0.00411751885457079,-0.19309177994728088,-0.22028499841690063,-0.04488713033987324,-0.13207101821899414,-0.16718769073486328,-0.05829284824920933,-0.08973613381385803,-0.11778247356414795,-0.053756148745549126,-0.18203192949295044,-0.12223809957504272,-0.013298665364516182,-0.22479432821273804,-0.17730498313903809,-0.05097153522564213,-0.1640630066394806,-0.14555633068084717,-0.05359916501237194,-0.11596614122390747,-0.10764139890670776,-0.04186051451159756,-0.19868236780166626,-0.06654965877532959,-0.024419387062323494,-0.27113354206085205,-0.0862436294555664,-0.042986062546503945,-0.31723980605602264,-0.10549658536911011,-0.049016651888621254,-0.362068772315979,-0.1295912265777588,-0.04854682945205013
J,0.0,0.0,0.0,-0.0008441805839538574,-0.09722381830215454,-0.021233932775714948,-0.056159257888793945,-0.21051985025405884,-0.029119122502663686,-0.11889532208442688,-0.2693949341773987,-0.03954418721542652,-0.16744187474250793,-0.24204659461975098,-0.0450076048348933,-0.13505101203918457,-0.2172318696975708,-0.00021917861005249506,-0.16128534078598022,-0.2600739300251007,-0.029483711076238706,-0.11714869737625122,-0.21448266506195068,-0.04417677569136913,-0.08556908369064331,-0.17052501440048218,-0.046696617928603246,-0.1611330509185791,-0.17230355739593506,-0.0042705593717187185,-0.195582777261734,-0.2205946445465088,-0.044036410478213384,-0.13363990187644958,-0.17018038034439087,-0.05638952526197727,-0.09213048219680786,-0.12248677015304565,-0.05162470388160045,-0.18203669786453247,-0.12072896957397461,-0.01443987964586313,-0.22565233707427979,-0.17686223983764648,-0.05166022079930599,-0.16265785694122314,-0.1460668444633484,-0.05342131826029117,-0.11408132314682007,-0.10764789581298828,-0.041592940417388036,-0.19692271947860718,-0.06624174118041992,-0.026595905152419164,-0.2700466513633728,-0.08342862129211426,-0.045823454586127355,-0.31594766676425934,-0.10320806503295898,-0.05265361788616474,-0.36144669353961945,-0.12771737575531006,-0.05315005379662807
J,0.0,0.0,0.0,0.0007871389389038086,-0.09900426864624023,-0.02052794596829699,-0.05433565378189087,-0.21445274353027344,-0.02770797735729502,-0.11847549676895142,-0.27265483140945435,-0.0374622774747877,-0.16708123683929443,-0.2414029836654663,-0.04259886792578982,-0.13313782215118408,-0.22121387720108032,0.00016726715830372996,-0.15875083208084106,-0.2651360034942627,-0.028341716292288766,-0.11515986919403076,-0.2172873616218567,-0.04299663207211779,-0.0840795636177063,-0.17017698287963867,-0.045585045727875695,-0.16029906272888184,-0.17582440376281738,-0.0036649125599979016,-0.19388562440872192,-0.22349333763122559,-0.04193580350556658,-0.13286259770393372,-0.1721401810646057,-0.05426333299556063,-0.09149664640426636,-0.12272918224334717,-0.05006469241061495,-0.1818247139453888,-0.12357622385025024,-0.013362110729303822,-0.22410309314727783,-0.17885488271713257,-0.04952579191603945,-0.16153579950332642,-0.14665907621383667,-0.05123545801916407,-0.11294430494308472,-0.10648554563522339,-0.0396767390398054,-0.19747841358184814,-0.06813567876815796,-0.0249506683526306,-0.27121463418006897,-0.08582085371017456,-0.04348772591629313,-0.3172173500061035,-0.10604709386825562,-0.04989079213419245,-0.3624052107334137,-0.13083165884017944,-0.05023931911864565
J,0.0,0.0,0.0,0.001528620719909668,-0.09835952520370483,-0.018888604584901714,-0.05303281545639038,-0.21463298797607422,-0.02545081334170618,-0.1171732246875763,-0.2719784379005432,-0.034792325217097186,-0.16540151834487915,-0.23686671257019043,-0.039606208670704746,-0.13382738828659058,-0.21680480241775513,0.0003189604125850565,-0.15895149111747742,-0.2604995369911194,-0.027953452188342,-0.11389350891113281,-0.21303153038024902,-0.04184602083620348,-0.08344721794128418,-0.165499746799469,-0.04383624600228586,-0.1599218249320984,-0.17191773653030396,-0.00422245984879055,-0.1931278109550476,-0.22017234563827515,-0.042462195027439975,-0.12963899970054626,-0.16923671960830688,-0.05399349587020197,-0.08881622552871704,-0.11844176054000854,-0.04918528230842867,-0.18085989356040955,-0.1201622486114502,-0.014476822446852111,-0.2246459424495697,-0.17566382884979248,-0.050779397357075595,-0.16049593687057495,-0.146084725856781,-0.05267917620000162,-0.11253875494003296,-0.10635650157928467,-0.04130817459878244,-0.1964791715145111,-0.06490111351013184,-0.026336532775133037,-0.2699509859085083,-0.08392280340194702,-0.045030294675200366,-0.3158877193927765,-0.104827880859375,-0.05187649534997263,-0.36219097673892975,-0.12867844104766846,-0.05271087842044153
J,0.0,0.0,0.0,0.0012296438217163086,-0.09509474039077759,-0.021267495819756732,-0.0528949499130249,-0.21180784702301025,-0.028894565769860492,-0.11590224504470825,-0.2705898582935333,-0.038687648022005305,-0.16609326004981995,-0.2405158281326294,-0.043278412663767085,-0.13305872678756714,-0.22184717655181885,-0.001275015881674335,-0.15820646286010742,-0.265055388212204,-0.03247520863396858,-0.11305668950080872,-0.21273475885391235,-0.04822256206853126,-0.08337089419364929,-0.16429632902145386,-0.050899551951715694,-0.1604042947292328,-0.17680251598358154,-0.005006582246551261,-0.1941925287246704,-0.2249944806098938,-0.046000262492725597,-0.12978863716125488,-0.1700364351272583,-0.0577509680329058,-0.0888967514038086,-0.12050807476043701,-0.05220067664367889,-0.18197056651115417,-0.12390971183776855,-0.01491594477874969,-0.22487086057662964,-0.17893922328948975,-0.05324008851630424,-0.15914759039878845,-0.1449265480041504,-0.053383486115762935,-0.11075389385223389,-0.10506248474121094,-0.039877349281141505,-0.19805708527565002,-0.06744641065597534,-0.026719402292201266,-0.2717053294181824,-0.08729666471481323,-0.046201800697872386,-0.3174895793199539,-0.10660213232040405,-0.051694797122308955,-0.364458292722702,-0.13041448593139648,-0.05083321570737098
J,0.0,0.0,0.0,0.0012445449829101562,-0.09658610820770264,-0.022065985983772407,-0.05236619710922241,-0.21407157182693481,-0.03034837733821405,-0.11609071493148804,-0.27254799008369446,-0.040751371568603645,-0.16563254594802856,-0.24027544260025024,-0.04600236195938123,-0.13327807188034058,-0.2227197289466858,-0.0019846496065838437,-0.15746960043907166,-0.2653884291648865,-0.03164328265802396,-0.11354562640190125,-0.214765727519989,-0.046390894836349617,-0.08467283844947815,-0.16843724250793457,-0.049035150593681465,-0.16140803694725037,-0.17695331573486328,-0.005612708198441396,-0.19340208172798157,-0.22450286149978638,-0.04529964182393087,-0.12988078594207764,-0.17107218503952026,-0.05687925223128332,-0.08975771069526672,-0.12324893474578857,-0.05188937488810552,-0.18335679173469543,-0.12418651580810547,-0.015280152706964145,-0.2252369523048401,-0.1800295114517212,-0.05268389362709058,-0.159743070602417,-0.14484000205993652,-0.05272952843324674,-0.11176082491874695,-0.10358697175979614,-0.03981892395631803,-0.19911551475524902,-0.06857812404632568,-0.026996184176368843,-0.27301812171936035,-0.08668643236160278,-0.046125542408390174,-0.31829600036144257,-0.10594290494918823,-0.05166192356364263,-0.3644960820674896,-0.13041603565216064,-0.051177196240587364
J,0.0,0.0,0.0,0.0007131099700927734,-0.0969846248626709,-0.02077778495856819,-0.05289369821548462,-0.21508073806762695,-0.02822715111085472,-0.11629992723464966,-0.27310603857040405,-0.03811562314638195,-0.16527536511421204,-0.24092286825180054,-0.042850221246567344,-0.13606670498847961,-0.2232433557510376,2.0402251379891823e-05,-0.1607164740562439,-0.26438719034194946,-0.03095718912788925,-0.11412078142166138,-0.21254384517669678,-0.04660868525513706,-0.08323577046394348,-0.16517001390457153,-0.04906465739020405,-0.1632665991783142,-0.176735520362854,-0.004138437770393466,-0.19563919305801392,-0.22361046075820923,-0.04528506726035175,-0.13050472736358643,-0.1696091890335083,-0.057505367994394874,-0.08914178609848022,-0.12020903825759888,-0.05212837338456211,-0.18417897820472717,-0.12350517511367798,-0.014405659139242744,-0.2245023548603058,-0.17690646648406982,-0.052935621440497016,-0.15754136443138123,-0.14243543148040771,-0.05338887378582058,-0.10898903012275696,-0.1019507646560669,-0.039835299104538535,-0.19914892315864563,-0.06758785247802734,-0.026530504897323226,-0.272712379693985,-0.08779311180114746,-0.04536911726006565,-0.31763535737991333,-0.10780543088912964,-0.05020059898504314,-0.363788440823555,-0.13209986686706543,-0.048766198307362174
J,0.0,0.0,0.0,0.0002263188362121582,-0.09697622060775757,-0.02140839001100403,-0.05336594581604004,-0.21439027786254883,-0.02955864159326893,-0.11637109518051147,-0.2747036814689636,-0.040085309873632013,-0.16524231433868408,-0.24442028999328613,-0.045492073278239786,-0.13603046536445618,-0.22267669439315796,-0.0005440906289209124,-0.16109231114387512,-0.2634665369987488,-0.03161997882585865,-0.11523953080177307,-0.21292847394943237,-0.047103212903550684,-0.08498165011405945,-0.16537797451019287,-0.049293016772082865,-0.16300752758979797,-0.1767910122871399,-0.004225887115410387,-0.19505950808525085,-0.22379010915756226,-0.044999899099877894,-0.12956121563911438,-0.16836142539978027,-0.05640467045765263,-0.08934924006462097,-0.11810863018035889,-0.05045349685411793,-0.18429964780807495,-0.12415927648544312,-0.014110116045287668,-0.2263694703578949,-0.17886590957641602,-0.052286622803023874,-0.16023612022399902,-0.14440351724624634,-0.052138054500630915,-0.11206662654876709,-0.10318022966384888,-0.038255730401090204,-0.19988900423049927,-0.06797963380813599,-0.02588805904548508,-0.2743433117866516,-0.08813309669494629,-0.0447058544860397,-0.3195912092924118,-0.10915082693099976,-0.04945562196832043,-0.3659149259328842,-0.1340864896774292,-0.04792438981991154
J,0.0,0.0,0.0,-0.0006111264228820801,-0.09685462713241577,-0.021747683379146565,-0.05421257019042969,-0.21301501989364624,-0.030565393361541737,-0.11626222729682922,-0.27630671858787537,-0.04175163360247325,-0.16486337780952454,-0.2491093873977661,-0.04771654980191897,-0.13683006167411804,-0.2211511731147766,-0.001666120224911083,-0.16311794519424438,-0.26241856813430786,-0.03285868020662974,-0.11731034517288208,-0.21518325805664062,-0.04829521031984996,-0.08630335330963135,-0.16891777515411377,-0.05035467373141955,-0.16345816850662231,-0.17654681205749512,-0.0051626830541522395,-0.19704613089561462,-0.22479963302612305,-0.045310738700720776,-0.1315920054912567,-0.17091971635818481,-0.05620243700155925,-0.09196871519088745,-0.12215322256088257,-0.050000782328936566,-0.1849307119846344,-0.12538683414459229,-0.014827177132758607,-0.2278887927532196,-0.18090558052062988,-0.051953743416163434,-0.16168418526649475,-0.14585256576538086,-0.05053340198406886,-0.11400702595710754,-0.10359042882919312,-0.03616226391801547,-0.2006637156009674,-0.0702131986618042,-0.026564131695124615,-0.2755056619644165,-0.08986055850982666,-0.044599368441197385,-0.3202696889638901,-0.11142826080322266,-0.04838138373503398,-0.3662368059158325,-0.1373416781425476,-0.04631538243899058
