label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
K,0.0,0.0,0.0,-0.008337408304214478,-0.0684477686882019,-0.10457581644840275,0.0010844171047210693,-0.1987529993057251,-0.11537161087579761,0.012195199728012085,-0.3052079677581787,-0.10057427352256809,0.010829269886016846,-0.4066765308380127,-0.07878508036918674,0.06362438201904297,-0.2719506621360779,-0.07572695231027637,0.060386598110198975,-0.41924428939819336,-0.09216954177207981,0.06215876340866089,-0.5060081481933594,-0.10198044395036732,0.0640905499458313,-0.5886189341545105,-0.10719401752538715,0.027769654989242554,-0.2624136805534363,-0.024484205897522315,-0.03918316960334778,-0.36368322372436523,-0.04662808394022022,-0.10112118721008301,-0.421298086643219,-0.06821095561571155,-0.15116283297538757,-0.46937626600265503,-0.07769783949441944,-0.008169829845428467,-0.24988502264022827,0.018179928977417603,-0.06699240207672119,-0.279691219329834,-0.022710943501067504,-0.0671822726726532,-0.20464736223220825,-0.04938409468121563,-0.05078575015068054,-0.17012113332748413,-0.0535154267210487,-0.03499501943588257,-0.23671090602874756,0.053916901443528786,-0.08498632907867432,-0.2223365306854248,0.01584214353971447,-0.07678413391113281,-0.1578507423400879,-0.0029413966923925727,-0.057404547929763794,-0.1210373044013977,-0.005285738873851642
K,0.0,0.0,0.0,-0.009651333093643188,-0.06560772657394409,-0.10573077585893031,-0.001516789197921753,-0.1990383267402649,-0.11768699821429607,0.010490000247955322,-0.3080930709838867,-0.10199221607642528,0.006626099348068237,-0.40704137086868286,-0.07962097611623165,0.06595543026924133,-0.27157336473464966,-0.08128108468251583,0.06168791651725769,-0.41722017526626587,-0.09447592135863658,0.0613228976726532,-0.5020502209663391,-0.10400516923861858,0.0628686249256134,-0.5862720906734467,-0.11159828689294216,0.03097262978553772,-0.26442813873291016,-0.02858901407914516,-0.037625521421432495,-0.3659254312515259,-0.0465095156093156,-0.09687826037406921,-0.412497878074646,-0.06683524337010738,-0.14148089289665222,-0.4483775496482849,-0.07795209076600429,-0.0046873390674591064,-0.25390130281448364,0.015999751050301825,-0.07112741470336914,-0.3124656081199646,-0.01694458920853492,-0.09270063042640686,-0.28380149602890015,-0.04485291254120227,-0.09463223814964294,-0.2807570695877075,-0.056107595678142275,-0.029496461153030396,-0.23990118503570557,0.05340801540417317,-0.08101272583007812,-0.2303747534751892,0.018255434815117155,-0.07812315225601196,-0.1745503544807434,-0.002404350436947311,-0.06295359134674072,-0.13912945985794067,-0.009655229862502779
K,0.0,0.0,0.0,-0.006138205528259277,-0.06784641742706299,-0.10228115904391188,0.0023788511753082275,-0.1986689567565918,-0.11441201555788894,0.011677831411361694,-0.30575430393218994,-0.10265172857106108,0.011001914739608765,-0.408134400844574,-0.084666414440278,0.062165647745132446,-0.2730066180229187,-0.07177163499653716,0.0598846971988678,-0.42107468843460083,-0.08868024337351699,0.06260070204734802,-0.5094861388206482,-0.09824663984835524,0.06458941102027893,-0.5911456048488617,-0.10285665679037947,0.026138275861740112,-0.26469099521636963,-0.02247162188649554,-0.040921956300735474,-0.3659515976905823,-0.046329671770934056,-0.10528138279914856,-0.4276440143585205,-0.06741056430399794,-0.15853121876716614,-0.47968143224716187,-0.07544569510281462,-0.009981900453567505,-0.24966710805892944,0.018310995518561413,-0.06651034951210022,-0.275678813457489,-0.024593886241916607,-0.061683207750320435,-0.19284111261367798,-0.048587220043543766,-0.04245036840438843,-0.15267431735992432,-0.04916079554021735,-0.037177205085754395,-0.23345106840133667,0.05245637309491258,-0.08653494715690613,-0.22611093521118164,0.013589136048551609,-0.07870396971702576,-0.16192007064819336,-0.002511946505535434,-0.060557931661605835,-0.126398503780365,-0.001848757520917843
K,0.0,0.0,0.0,-0.007116138935089111,-0.06645500659942627,-0.09000825403444424,0.0033865272998809814,-0.20060569047927856,-0.10023162035457744,0.013664960861206055,-0.31253647804260254,-0.09017024455778255,0.009611248970031738,-0.40960001945495605,-0.07459740607254162,0.06488418579101562,-0.2695552706718445,-0.06293548910133495,0.06162130832672119,-0.41964298486709595,-0.08100635824911251,0.06106990575790405,-0.5074847340583801,-0.09047591207735195,0.06166321039199829,-0.58838751912117,-0.09512491790763988,0.028064608573913574,-0.2670668959617615,-0.020846075249835394,-0.04242068529129028,-0.3658703565597534,-0.045617407990619085,-0.10550159215927124,-0.4287232756614685,-0.06700989125482693,-0.15421640872955322,-0.4837086796760559,-0.07576882360689297,-0.006602972745895386,-0.25767964124679565,0.013701137283817388,-0.0673750638961792,-0.2750323414802551,-0.02996902806870594,-0.06556177139282227,-0.19595718383789062,-0.05283269180171146,-0.04947260022163391,-0.1536208987236023,-0.05273951484076633,-0.030480891466140747,-0.24430739879608154,0.04245604308135853,-0.08283689618110657,-0.22618412971496582,0.0037490091174845475,-0.07736960053443909,-0.1595594882965088,-0.011161149350925825,-0.061460673809051514,-0.11987334489822388,-0.009455031586810492
K,0.0,0.0,0.0,-0.0012232959270477295,-0.06692087650299072,-0.0873193082456254,0.009828060865402222,-0.2031431794166565,-0.09628407778784265,0.015648245811462402,-0.31589335203170776,-0.08614850165888299,0.013534843921661377,-0.41432666778564453,-0.07014519097849359,0.06610646843910217,-0.2781525254249573,-0.05876193689748277,0.06428262591362,-0.4269576668739319,-0.08013438555046548,0.065667062997818,-0.5153088569641113,-0.09206424775167932,0.0674680769443512,-0.5972492694854736,-0.09846492233320703,0.02788931131362915,-0.27397674322128296,-0.020669489452686207,-0.03639152646064758,-0.37360644340515137,-0.05031956108852853,-0.09827765822410583,-0.43141692876815796,-0.07432688894316186,-0.14614617824554443,-0.4844404458999634,-0.08384117605730523,-0.0076535046100616455,-0.2619256377220154,0.00970243354693423,-0.06517675518989563,-0.28481411933898926,-0.038490646803822415,-0.06543940305709839,-0.20624250173568726,-0.061107804352488415,-0.050406187772750854,-0.1656876802444458,-0.05973908426805963,-0.03172740340232849,-0.24317872524261475,0.03452981141761313,-0.08313342928886414,-0.23583924770355225,-0.006623218121077912,-0.07582461833953857,-0.169619619846344,-0.019349270785298245,-0.058961838483810425,-0.12867462635040283,-0.015399308228936093
K,0.0,0.0,0.0,-0.0056715309619903564,-0.06922852993011475,-0.0990413288136125,0.005089849233627319,-0.2060544490814209,-0.10922347852188352,0.013071984052658081,-0.318697988986969,-0.09653971442180875,0.009639739990234375,-0.4183095693588257,-0.07728943326669935,0.061514824628829956,-0.28386199474334717,-0.06819419660764936,0.0597514808177948,-0.432582288980484,-0.0874606380720735,0.06110301613807678,-0.5220846235752106,-0.09817235269743207,0.06284543871879578,-0.6038704514503479,-0.10333747514683012,0.024553894996643066,-0.2748236656188965,-0.021855468909919296,-0.041675299406051636,-0.3765292167663574,-0.047866963829577,-0.10518360137939453,-0.437813401222229,-0.07064533331590894,-0.1556510031223297,-0.4865255355834961,-0.07964508333402875,-0.010944277048110962,-0.2602667808532715,0.015915487844765153,-0.0674901008605957,-0.2827041745185852,-0.029695698108255897,-0.06658145785331726,-0.20607048273086548,-0.05524112382131818,-0.05158722400665283,-0.16500985622406006,-0.05624365159469846,-0.0356268584728241,-0.2419447898864746,0.047257929060876336,-0.08465394377708435,-0.23233211040496826,0.007901468266069855,-0.07658949494361877,-0.16823828220367432,-0.007734580944955383,-0.061195433139801025,-0.1263735294342041,-0.006422679453820024
K,0.0,0.0,0.0,-0.006911426782608032,-0.07128721475601196,-0.09267133393439053,0.0014978349208831787,-0.21217703819274902,-0.10172583826931714,0.00945824384689331,-0.3270205855369568,-0.08977211930903195,0.006368845701217651,-0.4253179430961609,-0.07143055566700696,0.06245794892311096,-0.2831026315689087,-0.06427579292210339,0.05937597155570984,-0.4341695308685303,-0.08456773975046872,0.0599847137928009,-0.5238631963729858,-0.09625331976565121,0.061226457357406616,-0.6061713993549347,-0.10223123350294827,0.023580223321914673,-0.27660655975341797,-0.02189603553267716,-0.04277077317237854,-0.381220281124115,-0.04828375497015713,-0.10683193802833557,-0.4465906620025635,-0.07146296569260358,-0.15683218836784363,-0.5002062320709229,-0.08145230182560681,-0.01330190896987915,-0.2644534707069397,0.012473306496417536,-0.06766149401664734,-0.28905773162841797,-0.03252777748855351,-0.06485804915428162,-0.2108418345451355,-0.05581754365118741,-0.04828760027885437,-0.1680106520652771,-0.055803745175921904,-0.03887262940406799,-0.24858003854751587,0.04073378524628879,-0.08795240521430969,-0.24187588691711426,0.002300157089507593,-0.08029040694236755,-0.17716830968856812,-0.01117414713951348,-0.06394568085670471,-0.1355668306350708,-0.008651305112266527
K,0.0,0.0,0.0,-0.009024739265441895,-0.07303857803344727,-0.10399191953156617,-0.0011290311813354492,-0.2111632227897644,-0.11124502248976853,0.00867915153503418,-0.32018929719924927,-0.09194779522631791,0.003561079502105713,-0.42010587453842163,-0.06453362233851578,0.06384247541427612,-0.28101301193237305,-0.07516542203639176,0.06043940782546997,-0.4281686544418335,-0.09411592163060334,0.06136190891265869,-0.5179827213287354,-0.10678158827040818,0.06348222494125366,-0.6015645563602448,-0.1130567727229419,0.028220832347869873,-0.2694551348686218,-0.023231101556760336,-0.040098488330841064,-0.371549129486084,-0.043950942679387595,-0.1048908531665802,-0.4360327422618866,-0.06655079252932694,-0.1564176082611084,-0.48678940534591675,-0.07745869584296372,-0.007590234279632568,-0.25900524854660034,0.019781463445085024,-0.06757047772407532,-0.2841513156890869,-0.021874034180385138,-0.06405624747276306,-0.19989681243896484,-0.049504098816854025,-0.04497849941253662,-0.1575685739517212,-0.05317476518366959,-0.03227335214614868,-0.25013333559036255,0.05595899991776321,-0.08581656217575073,-0.23864907026290894,0.01894981846298549,-0.0787041187286377,-0.16990065574645996,0.0016534077151817428,-0.061760932207107544,-0.12842226028442383,0.0008498716781986104
K,0.0,0.0,0.0,-0.012018799781799316,-0.07009518146514893,-0.1050276301290296,-0.00632128119468689,-0.2058444619178772,-0.11505351135986075,0.002736002206802368,-0.3155066967010498,-0.09901267955558524,0.0014595389366149902,-0.41777223348617554,-0.07565694222705588,0.0634823739528656,-0.27264124155044556,-0.08086754302041754,0.05935141444206238,-0.42520028352737427,-0.10038006971137747,0.059780508279800415,-0.5148701369762421,-0.11197767327087149,0.06157448887825012,-0.5990848541259766,-0.1177299610759519,0.0273762047290802,-0.2626097798347473,-0.029320568912794442,-0.043260157108306885,-0.36751872301101685,-0.05191828603403792,-0.10911685228347778,-0.4337228238582611,-0.07357862512128577,-0.16139844059944153,-0.4873262643814087,-0.08380371252553687,-0.008642435073852539,-0.25247722864151,0.013615252314934878,-0.07143175601959229,-0.2807392477989197,-0.02994291591005549,-0.06935754418373108,-0.19662851095199585,-0.05662344316499457,-0.05038437247276306,-0.1546790599822998,-0.059686883487870546,-0.033939510583877563,-0.24281126260757446,0.049731907299587874,-0.08976137638092041,-0.23169618844985962,0.009426501444409041,-0.08293336629867554,-0.16202116012573242,-0.008818593942692132,-0.06377938389778137,-0.12091904878616333,-0.009945472837557645
K,0.0,0.0,0.0,-0.010264813899993896,-0.06887304782867432,-0.10675505938307595,-0.002890348434448242,-0.2019253969192505,-0.1166886428214724,0.0054978132247924805,-0.30945736169815063,-0.09993359836117577,0.0031853020191192627,-0.4115910530090332,-0.07562187703625511,0.06520354747772217,-0.2703259587287903,-0.08106133731381249,0.061177849769592285,-0.4210604429244995,-0.10127587260977577,0.06187939643859863,-0.5108283758163452,-0.11343776079193901,0.06367093324661255,-0.5951181054115295,-0.11932780983225655,0.029634416103363037,-0.2588585615158081,-0.02866167964712929,-0.040913671255111694,-0.3636123538017273,-0.0516072476126368,-0.10712164640426636,-0.42803123593330383,-0.07326505722777199,-0.15985751152038574,-0.4811270236968994,-0.08296288939492058,-0.006150037050247192,-0.24745988845825195,0.014775493011612184,-0.06904527544975281,-0.2753222584724426,-0.02977779897229027,-0.06618931889533997,-0.18977975845336914,-0.05709685029761147,-0.04609328508377075,-0.14939922094345093,-0.059928815982502215,-0.03162834048271179,-0.23705655336380005,0.05136606825216461,-0.08799290657043457,-0.22435319423675537,0.01033301727547098,-0.08071392774581909,-0.15453147888183594,-0.008324675432604067,-0.06150716543197632,-0.11536824703216553,-0.009359112180035822
