label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
L,0.0,0.0,0.0,0.07518616318702698,-0.011696219444274902,-0.06357312214701949,0.15934479236602783,-0.06418806314468384,-0.09860326361983596,0.23866790533065796,-0.09771108627319336,-0.12865345937341033,0.30655568838119507,-0.092623770236969,-0.15861416620343505,0.1318795084953308,-0.24619269371032715,-0.061503216746743306,0.1466044783592224,-0.3837929964065552,-0.10067889851659118,0.14418721199035645,-0.47448980808258057,-0.12529835862248717,0.14193838834762573,-0.550750344991684,-0.1430280284318286,0.07822799682617188,-0.25716739892959595,-0.05121183407634078,0.04875057935714722,-0.3026997447013855,-0.12283711147635756,0.031630873680114746,-0.20228296518325806,-0.14128958446114837,0.030216753482818604,-0.1269906759262085,-0.1368169860276538,0.0246218740940094,-0.25350773334503174,-0.04688406747906981,-0.008374840021133423,-0.2763559818267822,-0.11347711098521529,-0.008898645639419556,-0.17973202466964722,-0.10934062314360915,0.0013436377048492432,-0.11593002080917358,-0.08779092145293532,-0.025049149990081787,-0.2418227195739746,-0.04791520920723258,-0.04604971408843994,-0.272924542427063,-0.09347536427110015,-0.043028950691223145,-0.19510561227798462,-0.08837037545769988,-0.030487418174743652,-0.14050358533859253,-0.0711758659514743
L,0.0,0.0,0.0,0.07381987571716309,-0.01128917932510376,-0.06608137865979558,0.15780088305473328,-0.06475532054901123,-0.10224954416472798,0.23775020241737366,-0.09849536418914795,-0.13278267165143376,0.30590787529945374,-0.09378671646118164,-0.1630727388473261,0.13171282410621643,-0.2449663281440735,-0.0658328347416628,0.14660301804542542,-0.38287997245788574,-0.1063657440753687,0.14433416724205017,-0.4742165207862854,-0.1317539401860941,0.1420629322528839,-0.550727367401123,-0.14980374654252415,0.07757297158241272,-0.257983922958374,-0.05425039683897381,0.04897835850715637,-0.3027005195617676,-0.12775862594563847,0.03118687868118286,-0.20145952701568604,-0.14640543242413884,0.028685331344604492,-0.12390023469924927,-0.1414977498861063,0.023652970790863037,-0.25654488801956177,-0.048748850873302274,-0.008425503969192505,-0.2775096297264099,-0.11653834958989506,-0.009768158197402954,-0.18046963214874268,-0.1125469916077364,-0.0005795657634735107,-0.11470228433609009,-0.09065657486636525,-0.025986135005950928,-0.24676841497421265,-0.04882924263794308,-0.04570707678794861,-0.2749437093734741,-0.09554501255471592,-0.04347258806228638,-0.19710028171539307,-0.09119867166001683,-0.03173455595970154,-0.14158082008361816,-0.07417352130133992
L,0.0,0.0,0.0,0.07330939173698425,-0.011031568050384521,-0.06707499952280216,0.15821173787117004,-0.06266868114471436,-0.10331308872663669,0.23909756541252136,-0.09636938571929932,-0.1336998570080965,0.3067041337490082,-0.09429246187210083,-0.16391264678203754,0.13098624348640442,-0.24271243810653687,-0.06556563110315494,0.14643177390098572,-0.37955957651138306,-0.10570450158083133,0.14439722895622253,-0.4714491069316864,-0.13100614429676227,0.142502099275589,-0.5487155914306641,-0.14906289459430866,0.07798492908477783,-0.2552330493927002,-0.053303566139575764,0.04816544055938721,-0.30190783739089966,-0.12641967118942432,0.03045925498008728,-0.20165538787841797,-0.1452946144458025,0.028478503227233887,-0.12377959489822388,-0.14060235799514942,0.02492406964302063,-0.25342845916748047,-0.04719529704415493,-0.00912657380104065,-0.275881290435791,-0.11475458027088337,-0.010693997144699097,-0.17901724576950073,-0.111119039666292,-0.0012664198875427246,-0.11299723386764526,-0.08950378776752643,-0.023981958627700806,-0.24373912811279297,-0.04673980579936199,-0.04600706696510315,-0.2729550004005432,-0.09333512963020496,-0.043856531381607056,-0.19544726610183716,-0.08928819031679325,-0.03154584765434265,-0.13984209299087524,-0.07254246653282337
L,0.0,0.0,0.0,0.07262027263641357,-0.011059939861297607,-0.06722925871703467,0.15626373887062073,-0.06283408403396606,-0.10434287309739432,0.23569002747535706,-0.09707516431808472,-0.13569230854604086,0.3032715618610382,-0.09489595890045166,-0.16690550267789206,0.12958267331123352,-0.24479275941848755,-0.0665246051559194,0.14429113268852234,-0.38192158937454224,-0.10736874014232001,0.14190009236335754,-0.4734008312225342,-0.13321950554940543,0.1395447552204132,-0.5504505038261414,-0.15160209953877768,0.07586026191711426,-0.25697916746139526,-0.05444459140393576,0.04684573411941528,-0.3005613684654236,-0.12849317014310202,0.029716432094573975,-0.19942599534988403,-0.14762544155213675,0.02743038535118103,-0.12187868356704712,-0.14298216521832785,0.022391051054000854,-0.25502753257751465,-0.04855636403057417,-0.01052752137184143,-0.27630722522735596,-0.11677289277407965,-0.01154106855392456,-0.1784626841545105,-0.11306414276454291,-0.0021252334117889404,-0.11221057176589966,-0.09134852409455618,-0.026701122522354126,-0.24530011415481567,-0.048316626698706955,-0.047548145055770874,-0.2732536196708679,-0.0954499569544538,-0.044950276613235474,-0.19425153732299805,-0.09148227691743216,-0.032553672790527344,-0.13813906908035278,-0.07471014082524619
L,0.0,0.0,0.0,0.0718429684638977,-0.011147916316986084,-0.07029368429434157,0.15502643585205078,-0.06432771682739258,-0.10805327146303512,0.23600566387176514,-0.0979953408241272,-0.1393614530469165,0.3051185607910156,-0.09656935930252075,-0.17031319140446044,0.12991952896118164,-0.24348539113998413,-0.06920630930912353,0.1444326639175415,-0.3816388249397278,-0.11090541332018233,0.14231759309768677,-0.47374916076660156,-0.13693186341774322,0.14008444547653198,-0.5511733591556549,-0.15536878704082824,0.0763365626335144,-0.25587886571884155,-0.055564568182347784,0.0445898175239563,-0.3028210401535034,-0.13058601020824767,0.027472764253616333,-0.20072662830352783,-0.1494295716191516,0.026757627725601196,-0.122464120388031,-0.1443404227401004,0.022842079401016235,-0.25438404083251953,-0.04848668797862388,-0.01175740361213684,-0.27723419666290283,-0.11805046050798751,-0.01327553391456604,-0.17877745628356934,-0.11421525924455977,-0.0032461583614349365,-0.11280691623687744,-0.09203334598791457,-0.026217758655548096,-0.2455306053161621,-0.047336202850459586,-0.04874098300933838,-0.2736501097679138,-0.09581410585892058,-0.046841323375701904,-0.19502472877502441,-0.09240642636072494,-0.034123361110687256,-0.1401118040084839,-0.07577649204981185
L,0.0,0.0,0.0,0.07215702533721924,-0.010174036026000977,-0.06878661845607326,0.15553277730941772,-0.06250452995300293,-0.10536792610568568,0.2360992431640625,-0.09715032577514648,-0.13580232594890163,0.30497831106185913,-0.09605652093887329,-0.16591350470466182,0.13107836246490479,-0.24102884531021118,-0.06657895927114055,0.14584732055664062,-0.38046795129776,-0.1071233648507075,0.143751323223114,-0.47251540422439575,-0.1324391636697726,0.14167654514312744,-0.549839586019516,-0.1504181448070483,0.07793068885803223,-0.25322115421295166,-0.05329217497987315,0.04599356651306152,-0.30076050758361816,-0.12706091736239955,0.028744637966156006,-0.19954168796539307,-0.14563819502276942,0.02808094024658203,-0.12179481983184814,-0.1405754659025149,0.0246468186378479,-0.25156670808792114,-0.04644076634926364,-0.00992467999458313,-0.27577531337738037,-0.11514045034331843,-0.011786937713623047,-0.17760896682739258,-0.1112778905479388,-0.0021771788597106934,-0.11117386817932129,-0.08922472332400844,-0.02441936731338501,-0.2423892617225647,-0.04539151598496005,-0.04654186964035034,-0.2717186212539673,-0.09359111373109386,-0.04497802257537842,-0.19312363862991333,-0.090119999989696,-0.032761335372924805,-0.13727325201034546,-0.07344270978850886
L,0.0,0.0,0.0,0.07304388284683228,-0.010555446147918701,-0.06799672012292746,0.15699133276939392,-0.06503194570541382,-0.10448338304721716,0.2370358407497406,-0.10200381278991699,-0.13465345119201544,0.30482277274131775,-0.1010810136795044,-0.16452770148479345,0.13103070855140686,-0.24372225999832153,-0.06810727183782461,0.14535453915596008,-0.3832882046699524,-0.10908183668815497,0.14293155074119568,-0.4762781262397766,-0.1347203872080982,0.14023086428642273,-0.5542684495449066,-0.15311898504459265,0.07696950435638428,-0.2561212182044983,-0.055286931144827633,0.04629585146903992,-0.30313241481781006,-0.12949213598930243,0.029203563928604126,-0.20023876428604126,-0.14763091717922094,0.02805161476135254,-0.12163138389587402,-0.14233584915363195,0.023230552673339844,-0.25444990396499634,-0.04877776493393782,-0.010752230882644653,-0.27797067165374756,-0.11740752522909048,-0.011767327785491943,-0.17919403314590454,-0.11283237700425985,-0.0018946826457977295,-0.11301058530807495,-0.09058933173381689,-0.02605023980140686,-0.24491983652114868,-0.04798718382679823,-0.0478493869304657,-0.2738507390022278,-0.0959495029326618,-0.046248823404312134,-0.19469225406646729,-0.09215941493474844,-0.03411415219306946,-0.13966381549835205,-0.07556186084710959
L,0.0,0.0,0.0,0.07252970337867737,-0.012418091297149658,-0.06912006938871684,0.15632152557373047,-0.06670862436294556,-0.10631931329187694,0.23652690649032593,-0.10412544012069702,-0.13695116842207256,0.304720401763916,-0.10360997915267944,-0.1672450801175529,0.12992286682128906,-0.2464350461959839,-0.06950498873409572,0.1436721682548523,-0.3850880265235901,-0.11039643490728679,0.14127600193023682,-0.4780847728252411,-0.13594793284353557,0.13870644569396973,-0.5557982921600342,-0.15420239174780193,0.07586669921875,-0.2585732340812683,-0.056025551055043366,0.04456394910812378,-0.3051653504371643,-0.1304396739047462,0.027793705463409424,-0.2023913860321045,-0.14868172014173808,0.026443898677825928,-0.12275785207748413,-0.14322345459875407,0.022369384765625,-0.25661700963974,-0.04885157698807063,-0.012094378471374512,-0.2787114381790161,-0.11745600158390346,-0.012878447771072388,-0.18023896217346191,-0.11343078071293178,-0.0030615627765655518,-0.11348968744277954,-0.09136717522558513,-0.026546448469161987,-0.2469349503517151,-0.04748882854399028,-0.049025118350982666,-0.2748523950576782,-0.0955486273210937,-0.046764254570007324,-0.1957274079322815,-0.09237393492874446,-0.03414192795753479,-0.14006644487380981,-0.07603326195892635
L,0.0,0.0,0.0,0.07363972067832947,-0.013203322887420654,-0.0675046540422457,0.157340407371521,-0.0668991208076477,-0.10346857678127463,0.23623645305633545,-0.10523754358291626,-0.13325520824623283,0.3045068383216858,-0.10486471652984619,-0.16261963020992454,0.13028323650360107,-0.24555128812789917,-0.0657835624737757,0.14326530694961548,-0.384635329246521,-0.10528487931919273,0.1407908797264099,-0.47686001658439636,-0.12994840215873893,0.13844430446624756,-0.553928792476654,-0.14753065478038963,0.07621639966964722,-0.25729358196258545,-0.052811576388599235,0.04469349980354309,-0.30482202768325806,-0.125656882636072,0.02873438596725464,-0.20282739400863647,-0.14370613764953788,0.027812838554382324,-0.12339764833450317,-0.13824232887458976,0.02278265357017517,-0.2549668550491333,-0.046083251349450904,-0.011398613452911377,-0.27832818031311035,-0.11355982940626319,-0.01195564866065979,-0.18023836612701416,-0.10962379198503669,-0.0024122297763824463,-0.11347424983978271,-0.08769093673658546,-0.026301532983779907,-0.24488449096679688,-0.045076409689905006,-0.04841738939285278,-0.27367037534713745,-0.09210936199855979,-0.046032845973968506,-0.19502615928649902,-0.0886160604281443,-0.03383550047874451,-0.13932675123214722,-0.07213382642698463
L,0.0,0.0,0.0,0.07383725047111511,-0.013962745666503906,-0.06518696786800149,0.15772870182991028,-0.06739705801010132,-0.10032918097415688,0.23629936575889587,-0.10540109872817993,-0.12968443872371438,0.30371424555778503,-0.10447490215301514,-0.15880889238754037,0.12914738059043884,-0.24541503190994263,-0.06466649265924218,0.1423710286617279,-0.38455647230148315,-0.10393226684966805,0.13972553610801697,-0.4767473340034485,-0.12868033887782815,0.136986643075943,-0.5541382133960724,-0.14648581089416268,0.07492318749427795,-0.2565910816192627,-0.05286190824547532,0.04388636350631714,-0.3045498728752136,-0.12478914650121453,0.028691977262496948,-0.2032451033592224,-0.14278333427348855,0.028231322765350342,-0.12492632865905762,-0.13779175819793466,0.021708190441131592,-0.2535877227783203,-0.04702896418014291,-0.01218375563621521,-0.2771313190460205,-0.11352890523114922,-0.01201203465461731,-0.18011653423309326,-0.10933615060487512,-0.0021049678325653076,-0.11409413814544678,-0.08774001689592126,-0.02694106101989746,-0.24273771047592163,-0.0467150861207557,-0.04869881272315979,-0.27242642641067505,-0.09292974861303094,-0.04599747061729431,-0.19490784406661987,-0.0889274233762336,-0.033749282360076904,-0.13982731103897095,-0.0724419036690307
