label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
N,0.0,0.0,0.0,0.06000182032585144,-0.08726197481155396,-0.03180747722242927,0.07693490386009216,-0.2027742862701416,-0.04398503397558784,0.031156808137893677,-0.298664927482605,-0.056455499129043574,-0.009092181921005249,-0.3618289828300476,-0.06338835005615806,0.08222118020057678,-0.25284862518310547,0.006232123254193311,0.10228684544563293,-0.3213537335395813,-0.04580076281879997,0.07986953854560852,-0.2599925994873047,-0.07891701404903984,0.06692597270011902,-0.1904274821281433,-0.09174179528807258,0.0331898033618927,-0.2503979802131653,0.0033133899703159386,0.05741497874259949,-0.3517281413078308,-0.06116211284850692,0.03688648343086243,-0.2659711241722107,-0.08632700388287162,0.029118746519088745,-0.17359817028045654,-0.08164847140167808,-0.011155486106872559,-0.23304367065429688,-0.008231585481809134,-0.004434138536453247,-0.28805840015411377,-0.07079708819244956,-0.0056022703647613525,-0.19159036874771118,-0.07217629496906852,-0.0005936026573181152,-0.11905759572982788,-0.05013972018812751,-0.05554518103599548,-0.20450401306152344,-0.022017915369616503,-0.048778146505355835,-0.23203939199447632,-0.06339490656708335,-0.04278472065925598,-0.16663002967834473,-0.060020575867639536,-0.03337973356246948,-0.12563520669937134,-0.04316830505584335
N,0.0,0.0,0.0,0.06173396110534668,-0.08699196577072144,-0.03237704116423856,0.07481497526168823,-0.2055777907371521,-0.045456628534395804,0.025740742683410645,-0.29991984367370605,-0.05852350893934499,-0.013254731893539429,-0.3623146414756775,-0.06531986895521413,0.08085036277770996,-0.2559380531311035,0.005043851923744569,0.10116720199584961,-0.32647907733917236,-0.04720761555751096,0.080452561378479,-0.26597267389297485,-0.07989262345751058,0.06807750463485718,-0.19659364223480225,-0.09185991737564336,0.03094947338104248,-0.25370848178863525,0.0028151339055852986,0.05726313591003418,-0.3555569350719452,-0.06007596034129392,0.041123270988464355,-0.2764686346054077,-0.08411334756334554,0.034850895404815674,-0.18756705522537231,-0.07914457026441823,-0.014996856451034546,-0.23795866966247559,-0.008116645957727542,-0.003537088632583618,-0.2938486933708191,-0.06970529559572469,-0.00366818904876709,-0.19652193784713745,-0.07005684379060995,5.117058753967285e-05,-0.12391424179077148,-0.04758735302408468,-0.060259878635406494,-0.21024644374847412,-0.021349041941959968,-0.04607883095741272,-0.2381277084350586,-0.06180742311795484,-0.03974851965904236,-0.16718381643295288,-0.05685245919545423,-0.03254818916320801,-0.12155628204345703,-0.03886115852316152
N,0.0,0.0,0.0,0.0611054003238678,-0.0828980803489685,-0.03445769192916259,0.0751064121723175,-0.2046852707862854,-0.048144576123775096,0.02433636784553528,-0.2985759377479553,-0.06103663610559806,-0.015370547771453857,-0.36111950874328613,-0.06733664589268074,0.08148506283760071,-0.2551705837249756,-0.00032460309597581727,0.10227581858634949,-0.32942014932632446,-0.05316822322350845,0.08013448119163513,-0.2706819176673889,-0.08491006212574348,0.06733885407447815,-0.20015352964401245,-0.09606671052318916,0.03106704354286194,-0.2529917359352112,-0.001966526017383785,0.0577339231967926,-0.35922932624816895,-0.06577370779854164,0.040993303060531616,-0.28150343894958496,-0.08890735822063789,0.03487977385520935,-0.1913127303123474,-0.08294310139757499,-0.01564157009124756,-0.23777616024017334,-0.012249313278914542,-0.002158433198928833,-0.29389649629592896,-0.07503859417778358,-0.0031243860721588135,-0.19558870792388916,-0.07498436140161857,0.00031504034996032715,-0.12295466661453247,-0.052073326877177806,-0.061410486698150635,-0.21119606494903564,-0.024849136344016642,-0.04513856768608093,-0.23652005195617676,-0.06662872897726402,-0.03986039757728577,-0.1633889079093933,-0.061630976370395274,-0.03382882475852966,-0.1172446608543396,-0.04344781952244148
N,0.0,0.0,0.0,0.061227887868881226,-0.08719664812088013,-0.029569330863665755,0.074247807264328,-0.20577633380889893,-0.04290555534512919,0.024323076009750366,-0.29796522855758667,-0.05651803059132021,-0.01390373706817627,-0.3622973561286926,-0.06406644848735255,0.08088317513465881,-0.2536708116531372,-0.0011597218746430826,0.09993883967399597,-0.3277931809425354,-0.05163125065715235,0.07947877049446106,-0.2647717595100403,-0.08210141328723353,0.06864282488822937,-0.1960434913635254,-0.09358541039378565,0.03106817603111267,-0.25043511390686035,-0.005280161980550702,0.05468663573265076,-0.35492387413978577,-0.06568119046838206,0.040102213621139526,-0.2738470435142517,-0.08725801972300928,0.03579095005989075,-0.18643105030059814,-0.08245136705787104,-0.01506727933883667,-0.23396837711334229,-0.01711085555703562,-0.0034603476524353027,-0.29149967432022095,-0.07492276398093622,-0.0027816295623779297,-0.19104355573654175,-0.0717521396055929,0.0006930828094482422,-0.11851263046264648,-0.04915180174262446,-0.05927363038063049,-0.20620542764663696,-0.031174634821724112,-0.0452827513217926,-0.23293370008468628,-0.06813999382407587,-0.03716358542442322,-0.16706132888793945,-0.06119123963267725,-0.030456990003585815,-0.1276416778564453,-0.043524121172737296
N,0.0,0.0,0.0,0.059110432863235474,-0.08312034606933594,-0.03283924049677012,0.07162752747535706,-0.204678475856781,-0.0471399221474087,0.023591846227645874,-0.2975192666053772,-0.06086204013766405,-0.01348009705543518,-0.363477885723114,-0.06811161152066347,0.0838100016117096,-0.25363558530807495,-0.004119483744517538,0.10231360793113708,-0.3291229009628296,-0.05525141394676325,0.08172157406806946,-0.26579898595809937,-0.08607698789776919,0.06891760230064392,-0.1961612105369568,-0.09728371164740679,0.034386008977890015,-0.2508217692375183,-0.006180087094918463,0.056021541357040405,-0.35517293214797974,-0.06603865138234255,0.04185137152671814,-0.27465999126434326,-0.08718544802607653,0.03746280074119568,-0.1885945200920105,-0.08203268608988878,-0.011671334505081177,-0.2362605333328247,-0.016335634505168173,-2.16066837310791e-05,-0.29474538564682007,-0.07442714831771013,-0.00020644068717956543,-0.1964154839515686,-0.0724985655301964,0.002481788396835327,-0.12517493963241577,-0.05064958891810534,-0.05620545148849487,-0.21136319637298584,-0.028910450627819273,-0.04252082109451294,-0.23698121309280396,-0.06724507919491884,-0.03602340817451477,-0.16716665029525757,-0.061623835926667425,-0.030094772577285767,-0.12419623136520386,-0.04454922116340754
N,0.0,0.0,0.0,0.06059327721595764,-0.08264899253845215,-0.03309428836303141,0.07387766242027283,-0.20547187328338623,-0.04619044954972651,0.023211032152175903,-0.2973780632019043,-0.05858711670236971,-0.014521121978759766,-0.35987454652786255,-0.06455655912952807,0.08362141251564026,-0.25394493341445923,-0.0028584646535136926,0.10309633612632751,-0.3279675245285034,-0.05342223639684107,0.08053401112556458,-0.2665192484855652,-0.08333708862858202,0.06811025738716125,-0.1982099413871765,-0.09414563844995882,0.03393825888633728,-0.25196075439453125,-0.0049707172912576425,0.058555036783218384,-0.35761964321136475,-0.06540117929773714,0.04172012209892273,-0.2787177562713623,-0.08663514773445513,0.03663650155067444,-0.1914297342300415,-0.08089576433496859,-0.012514710426330566,-0.23762673139572144,-0.015337019740513824,9.125471115112305e-05,-0.29203206300735474,-0.07441358040171053,0.00034675002098083496,-0.195498526096344,-0.07392020295458224,0.005334347486495972,-0.12517982721328735,-0.05262611205773737,-0.05720019340515137,-0.21247929334640503,-0.028109598486594223,-0.042719900608062744,-0.23440700769424438,-0.06814511637287524,-0.03579998016357422,-0.1634177565574646,-0.06415349016981509,-0.027879148721694946,-0.11907374858856201,-0.0479612178643265
N,0.0,0.0,0.0,0.05868688225746155,-0.08279597759246826,-0.033768806774332916,0.07270976901054382,-0.20618033409118652,-0.04814066382141391,0.02296707034111023,-0.2995260953903198,-0.06162378953786174,-0.01585334539413452,-0.36234182119369507,-0.06874915974231044,0.08098670840263367,-0.25512492656707764,-0.005820404905989562,0.10223981738090515,-0.3287201225757599,-0.057266764510586654,0.08131888508796692,-0.2650336027145386,-0.08798702077956477,0.0684346854686737,-0.19632995128631592,-0.09915055351348201,0.03139224648475647,-0.25249361991882324,-0.007762120273127948,0.05750587582588196,-0.3570297062397003,-0.06856678443045894,0.042352527379989624,-0.2768373489379883,-0.08983138965459148,0.036600321531295776,-0.18955880403518677,-0.08430556224675456,-0.014192283153533936,-0.23760986328125,-0.017748626116826927,-0.0007885396480560303,-0.29324740171432495,-0.0765508489498643,-0.0008466839790344238,-0.19560319185256958,-0.0748118461856393,0.002292841672897339,-0.12463265657424927,-0.05276757122965137,-0.057803601026535034,-0.21183621883392334,-0.03022488037140647,-0.043079882860183716,-0.23597627878189087,-0.06906777637095729,-0.036273807287216187,-0.16529667377471924,-0.06330920772643367,-0.029749542474746704,-0.12084919214248657,-0.04594727249832431
N,0.0,0.0,0.0,0.06019783020019531,-0.08514440059661865,-0.031288527180890924,0.07067263126373291,-0.20326268672943115,-0.04598092683170307,0.02115631103515625,-0.29491132497787476,-0.06043146200988758,-0.014189422130584717,-0.36312493681907654,-0.06852070637557972,0.0789031982421875,-0.2523916959762573,-0.0047007647766577065,0.09868675470352173,-0.3286169767379761,-0.056972503890733606,0.0815926194190979,-0.26731181144714355,-0.08849344052885044,0.07090884447097778,-0.19845759868621826,-0.10002322145317066,0.029325902462005615,-0.25049370527267456,-0.007791690757017022,0.05434238910675049,-0.35541242361068726,-0.06886498280380238,0.04335135221481323,-0.27623480558395386,-0.09037139662120808,0.03979301452636719,-0.19043737649917603,-0.08559982874010075,-0.01725780963897705,-0.2366517186164856,-0.01872519985352028,-0.0030312538146972656,-0.29133689403533936,-0.07758780219171513,-0.0016288161277770996,-0.19120323657989502,-0.07479860283945072,0.0012279748916625977,-0.11965250968933105,-0.05239704274151791,-0.06264302134513855,-0.21173280477523804,-0.032005787124376184,-0.04446893930435181,-0.23405462503433228,-0.0709675068459319,-0.03679591417312622,-0.1618233323097229,-0.06462327041242588,-0.031472742557525635,-0.11759442090988159,-0.046936530848483926
N,0.0,0.0,0.0,0.059027254581451416,-0.08216291666030884,-0.0329406589204666,0.06871861219406128,-0.19951671361923218,-0.047960630797803105,0.018774688243865967,-0.2903750538825989,-0.06220868899768561,-0.014774978160858154,-0.36121994256973267,-0.0697070799702999,0.08091503381729126,-0.25282567739486694,-0.005230007407277526,0.10016632080078125,-0.32900458574295044,-0.05704153626507491,0.08214551210403442,-0.2662036418914795,-0.08842395170873374,0.07022160291671753,-0.19626092910766602,-0.099908574664056,0.030726253986358643,-0.2508810758590698,-0.007120309111684264,0.05354321002960205,-0.3554078936576843,-0.06700702681487769,0.043215274810791016,-0.2769755721092224,-0.08869606926387519,0.04043775796890259,-0.19278407096862793,-0.08449812903350562,-0.016388297080993652,-0.2374253273010254,-0.01693681179827422,-0.0018861889839172363,-0.29197120666503906,-0.07532502635663718,-0.0005961060523986816,-0.19231802225112915,-0.07315802499002189,0.0015057921409606934,-0.12232470512390137,-0.051543126993834676,-0.06264221668243408,-0.21322107315063477,-0.02916549443548888,-0.04320114850997925,-0.2322707176208496,-0.06876194401925773,-0.03592634201049805,-0.15775883197784424,-0.06303084566539496,-0.03157365322113037,-0.113797128200531,-0.04576315283125609
N,0.0,0.0,0.0,0.058749258518218994,-0.08036458492279053,-0.034442075753247536,0.07061213254928589,-0.19781768321990967,-0.04986745979789475,0.020557820796966553,-0.28916382789611816,-0.06420748423937539,-0.014291882514953613,-0.3574981093406677,-0.07194760184887627,0.08233851194381714,-0.251481831073761,-0.0068244833886978995,0.10090011358261108,-0.32682403922080994,-0.059701019191777505,0.08135241270065308,-0.2638556957244873,-0.09159882854822854,0.06943356990814209,-0.1931479573249817,-0.10324836265448312,0.03218042850494385,-0.24853861331939697,-0.008456904666161336,0.05445140600204468,-0.3530547618865967,-0.07041248422268609,0.04228353500366211,-0.2741253972053528,-0.09292105328444222,0.03934365510940552,-0.1876068115234375,-0.08843565475348214,-0.014354407787322998,-0.23400896787643433,-0.01812935922447423,-0.0006792545318603516,-0.28670454025268555,-0.07906398665312508,0.00016075372695922852,-0.18719953298568726,-0.07778458785418252,0.003609895706176758,-0.11663860082626343,-0.055830833727156914,-0.06009569764137268,-0.20936113595962524,-0.03019970957342366,-0.043055176734924316,-0.22821050882339478,-0.0717680652082322,-0.0368228554725647,-0.15274649858474731,-0.0665226851046441,-0.03138294816017151,-0.10778212547302246,-0.04900568094257096
