label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
O,0.0,0.0,0.0,0.09110504388809204,-0.12771332263946533,0.09119855072810878,0.1262771487236023,-0.2216370701789856,0.10829264875962963,0.1633244752883911,-0.2740374207496643,0.09770470317914715,0.1998385190963745,-0.30596989393234253,0.08430842515542736,0.012599170207977295,-0.3697936534881592,0.06074330416038265,0.08212912082672119,-0.48055511713027954,0.031036684480454824,0.1505473256111145,-0.4351732134819031,0.007907581706490419,0.17702752351760864,-0.3676018714904785,-0.004217189545784095,-0.0016737580299377441,-0.3443206548690796,-0.013035110938403704,0.08133721351623535,-0.48279547691345215,-0.045989973279688456,0.16117703914642334,-0.4208049774169922,-0.06192990187093983,0.17990440130233765,-0.34371787309646606,-0.0682057047216631,5.328655242919922e-05,-0.3117309808731079,-0.08289295229599247,0.06448370218276978,-0.455391526222229,-0.10898389461920033,0.14057862758636475,-0.39975571632385254,-0.09973636064216862,0.15996026992797852,-0.32947492599487305,-0.0884417423932291,0.015127718448638916,-0.27562427520751953,-0.14655247870371113,0.062141239643096924,-0.39592695236206055,-0.16526280883238087,0.1184760332107544,-0.37521493434906006,-0.15337266567632923,0.14277195930480957,-0.3210148215293884,-0.14130992237016926
O,0.0,0.0,0.0,0.08970755338668823,-0.12955963611602783,0.09713472862026151,0.12450861930847168,-0.22102051973342896,0.12323099810859617,0.15999853610992432,-0.2734113335609436,0.12104997474929746,0.19812309741973877,-0.307439923286438,0.1166095777251428,0.014221012592315674,-0.36968427896499634,0.08303098816654142,0.0805928111076355,-0.47534388303756714,0.05763747979185041,0.14577597379684448,-0.43505120277404785,0.03427930612346586,0.1740688681602478,-0.3695948123931885,0.021888176614851318,-0.0008282661437988281,-0.3454883098602295,0.009584552312702499,0.07802635431289673,-0.47863340377807617,-0.020404669751911797,0.15336114168167114,-0.4205237627029419,-0.038912813474922814,0.1736927628517151,-0.3449738025665283,-0.04643052007773463,3.2782554626464844e-06,-0.3136236071586609,-0.06056722562530581,0.06351703405380249,-0.45129823684692383,-0.08555902849653307,0.13673293590545654,-0.3989475965499878,-0.08086491685131136,0.15816694498062134,-0.33215099573135376,-0.07172850828388277,0.014342248439788818,-0.27917832136154175,-0.1238822520873839,0.061962902545928955,-0.3957071900367737,-0.1420920522115523,0.11607414484024048,-0.3747212886810303,-0.1328738064668471,0.1418265700340271,-0.32333481311798096,-0.12212817679861132
O,0.0,0.0,0.0,0.09138280153274536,-0.13357144594192505,0.09282629653304753,0.12702488899230957,-0.228118896484375,0.11770291342824635,0.16319572925567627,-0.27765846252441406,0.1154718519696587,0.19786131381988525,-0.3095929026603699,0.11114578410476383,0.009797155857086182,-0.37170010805130005,0.07616729750722584,0.07694864273071289,-0.48032456636428833,0.052203309679924814,0.14422202110290527,-0.4405295252799988,0.03044833518057999,0.17269742488861084,-0.37844181060791016,0.018282460937797396,-0.005222499370574951,-0.34809398651123047,0.004166686865090696,0.0760837197303772,-0.4835910201072693,-0.024517663796842726,0.15437942743301392,-0.42449715733528137,-0.043236932759583624,0.17430543899536133,-0.35066884756088257,-0.05195069969207111,-0.003223717212677002,-0.3164079785346985,-0.06440419242292705,0.06126892566680908,-0.4563595652580261,-0.08775189802557293,0.1365950107574463,-0.40263378620147705,-0.08476377562195125,0.15715748071670532,-0.3367423415184021,-0.07809830740600887,0.013431847095489502,-0.2808610796928406,-0.12665623710066143,0.06106215715408325,-0.40215039253234863,-0.1447968511334068,0.11689406633377075,-0.3837965130805969,-0.13763696238905254,0.14160233736038208,-0.3348578214645386,-0.12939988360315624
O,0.0,0.0,0.0,0.09214013814926147,-0.13442105054855347,0.0913740050434626,0.1282743215560913,-0.22700923681259155,0.1127394538759745,0.1640791893005371,-0.2785765528678894,0.10721098896260628,0.19761157035827637,-0.308292031288147,0.09964252527947792,0.011875927448272705,-0.37229466438293457,0.06594155248399147,0.07855427265167236,-0.4807801842689514,0.034588224106983034,0.14592117071151733,-0.4383479952812195,0.00873066563303837,0.17454630136489868,-0.3715848922729492,-0.005324152445837171,-0.002309560775756836,-0.34449630975723267,-0.007268884366794737,0.07491528987884521,-0.48149725794792175,-0.04376870501641861,0.15289247035980225,-0.4232545495033264,-0.06494705859427086,0.17445790767669678,-0.34804314374923706,-0.07459380213026634,-0.0013841986656188965,-0.3105506896972656,-0.07706052545313469,0.058112502098083496,-0.44938480854034424,-0.10781362388138405,0.13403630256652832,-0.39837515354156494,-0.10673554722075096,0.15760350227355957,-0.3326137661933899,-0.10004242990021339,0.013166964054107666,-0.27268731594085693,-0.14013635847572914,0.05716896057128906,-0.39038950204849243,-0.16181950006489387,0.1124388575553894,-0.37192386388778687,-0.15506137642864815,0.13881522417068481,-0.32081151008605957,-0.14678451154236427
O,0.0,0.0,0.0,0.09189480543136597,-0.13314223289489746,0.09510994171409948,0.12804275751113892,-0.22420728206634521,0.11972090070753438,0.1648520827293396,-0.27411574125289917,0.11718444740085943,0.2001165747642517,-0.309040367603302,0.11297215735226018,0.013946831226348877,-0.3715101480484009,0.07190928077011449,0.0797162652015686,-0.47877436876296997,0.04328563650756223,0.14604049921035767,-0.4364607632160187,0.019546227805903982,0.17237454652786255,-0.36891835927963257,0.00684069357498629,-0.0004538297653198242,-0.3456752896308899,-0.0019282047435353888,0.07709050178527832,-0.48112261295318604,-0.03575217509956019,0.15386927127838135,-0.42124682664871216,-0.05520038092822688,0.1717829704284668,-0.3456292152404785,-0.06381218666524546,-0.00035774707794189453,-0.3130846619606018,-0.07217413718194621,0.06034272909164429,-0.4489993453025818,-0.10078902328700678,0.1347866654396057,-0.39523518085479736,-0.09775479669065135,0.1542428731918335,-0.32889091968536377,-0.09001294309587138,0.012421011924743652,-0.27681034803390503,-0.13548369491786616,0.05833619832992554,-0.39267706871032715,-0.15751091922015803,0.1131637692451477,-0.3717808723449707,-0.15051986063213008,0.13655728101730347,-0.3196113109588623,-0.14170934046001094
O,0.0,0.0,0.0,0.09233993291854858,-0.13328814506530762,0.09631667108567399,0.12795090675354004,-0.22491955757141113,0.12220048726828736,0.16402238607406616,-0.27485644817352295,0.12050854982169312,0.1989288330078125,-0.3084896206855774,0.11691191614897889,0.016162216663360596,-0.37160515785217285,0.07532471240790528,0.08126705884933472,-0.47850242257118225,0.046818962407428444,0.14747405052185059,-0.4359513521194458,0.0220862646523301,0.17429852485656738,-0.36885249614715576,0.008574389008003891,0.000823676586151123,-0.34522324800491333,0.0004619814566240166,0.07702559232711792,-0.4802650213241577,-0.03342921091882545,0.15388262271881104,-0.4201822578907013,-0.05464505581824142,0.17264658212661743,-0.344605028629303,-0.06465661703316528,-0.00036209821701049805,-0.31236714124679565,-0.07092546104161102,0.05940455198287964,-0.44873884320259094,-0.0996892842528041,0.13451439142227173,-0.3944483995437622,-0.09883340625731307,0.155287504196167,-0.32872772216796875,-0.09269549875227767,0.011389195919036865,-0.276069700717926,-0.13530370770661193,0.057528793811798096,-0.39328277111053467,-0.15724945245949584,0.1139633059501648,-0.3738841414451599,-0.1514204758283313,0.13901710510253906,-0.3237088918685913,-0.14374956666199523
O,0.0,0.0,0.0,0.08991962671279907,-0.12757956981658936,0.09700030889555933,0.12530547380447388,-0.21699637174606323,0.12382081952139856,0.16132843494415283,-0.26804137229919434,0.12229624446675302,0.19791734218597412,-0.3035268783569336,0.11843017544791223,0.018700838088989258,-0.3667481541633606,0.08338417913958551,0.08111077547073364,-0.4707612693309784,0.05553944464966776,0.14698529243469238,-0.42969197034835815,0.029147217610926646,0.1749500036239624,-0.36415916681289673,0.014440818319172877,0.003940105438232422,-0.34237682819366455,0.008765617946238535,0.07558411359786987,-0.4748075604438782,-0.02459698673143862,0.1527974009513855,-0.41709601879119873,-0.04828320760086058,0.1736425757408142,-0.34250807762145996,-0.059559121167211515,0.0021609067916870117,-0.3115217089653015,-0.06269839349940298,0.05870276689529419,-0.44426944851875305,-0.09063078407004355,0.13428336381912231,-0.3940977454185486,-0.09157323036149023,0.15726494789123535,-0.3299853801727295,-0.08633482400134085,0.012538373470306396,-0.27816295623779297,-0.1272037843222904,0.05751514434814453,-0.39086949825286865,-0.148784063195734,0.11323392391204834,-0.3728017807006836,-0.14401350114300726,0.13948237895965576,-0.3241615891456604,-0.13666851017430304
O,0.0,0.0,0.0,0.09022104740142822,-0.12904107570648193,0.09467417160661284,0.1262403130531311,-0.22020632028579712,0.11979068229587142,0.16244834661483765,-0.27054470777511597,0.11717111776263778,0.19858640432357788,-0.3032764196395874,0.11226579705865447,0.014332354068756104,-0.3686208724975586,0.07823479334504668,0.08000004291534424,-0.47318029403686523,0.05188723439962928,0.14599508047103882,-0.42892739176750183,0.02746447148413722,0.1721455454826355,-0.3637148141860962,0.013729182730031653,-0.00018268823623657227,-0.34495800733566284,0.004758400103611393,0.07652688026428223,-0.47608762979507446,-0.026865855132626848,0.15357643365859985,-0.41628581285476685,-0.049212949623751,0.17263847589492798,-0.3423216938972473,-0.060063464840339975,-0.00020545721054077148,-0.3129129409790039,-0.06522060771791871,0.06004619598388672,-0.44442325830459595,-0.09103405316679414,0.13531798124313354,-0.392378568649292,-0.09114474644272264,0.15717917680740356,-0.3283929228782654,-0.08606432219355042,0.012304723262786865,-0.2772306203842163,-0.12848131199686463,0.05865389108657837,-0.3905463218688965,-0.14844004650919373,0.11529302597045898,-0.3731164336204529,-0.14321827729551728,0.14213919639587402,-0.3261973261833191,-0.13601748486368592
O,0.0,0.0,0.0,0.09033560752868652,-0.12975186109542847,0.09378446472197766,0.12592357397079468,-0.22155338525772095,0.11732089353114361,0.16201621294021606,-0.27160829305648804,0.11307273638755078,0.19723570346832275,-0.30417895317077637,0.10626618397742504,0.014684796333312988,-0.3685435652732849,0.07406991553813214,0.08061426877975464,-0.4768303632736206,0.04618326035648579,0.14714312553405762,-0.430503249168396,0.02125473340362305,0.17219918966293335,-0.3631652593612671,0.007409168140441125,-0.000702977180480957,-0.344659686088562,0.0005206319279409399,0.07784813642501831,-0.47857195138931274,-0.03262064399808651,0.15599048137664795,-0.4155799150466919,-0.05480815264076,0.1742537021636963,-0.33890724182128906,-0.0656048448631168,-0.0017905831336975098,-0.3123777508735657,-0.0694812999913097,0.05991703271865845,-0.44873154163360596,-0.09629871862620121,0.1357712745666504,-0.3935900330543518,-0.09575148093193775,0.15654456615447998,-0.32677751779556274,-0.09036895054072147,0.009086966514587402,-0.2749648094177246,-0.1327950971075893,0.055040717124938965,-0.39267510175704956,-0.15347133743256336,0.112537682056427,-0.37435394525527954,-0.14782434868305927,0.1392156481742859,-0.3252326250076294,-0.14051005410641437
O,0.0,0.0,0.0,0.09038591384887695,-0.13122087717056274,0.09418006002775314,0.12684106826782227,-0.22383826971054077,0.1182510307418454,0.16336041688919067,-0.2729467749595642,0.11532101541629913,0.19868940114974976,-0.30612820386886597,0.11024996399751785,0.011653661727905273,-0.3685917854309082,0.07025424897543076,0.07839381694793701,-0.477841854095459,0.04085540160409096,0.14658379554748535,-0.4335235357284546,0.015714536829506187,0.17342805862426758,-0.36623281240463257,0.002145995095958142,-0.003445237874984741,-0.34406477212905884,-0.0027090071806412652,0.07643955945968628,-0.4791421890258789,-0.037034387291754456,0.1555916666984558,-0.41790881752967834,-0.05785920709499237,0.17454862594604492,-0.34147870540618896,-0.0672883340729129,-0.0033075809478759766,-0.31231439113616943,-0.07194236904510376,0.05928695201873779,-0.45009922981262207,-0.10000209748872635,0.13528162240982056,-0.39640867710113525,-0.09830137580760834,0.15660607814788818,-0.33015990257263184,-0.0915602394951236,0.00965738296508789,-0.276663601398468,-0.13429618120321152,0.05619329214096069,-0.39221441745758057,-0.15605297923215744,0.11227422952651978,-0.3734004497528076,-0.15017012000211594,0.13762593269348145,-0.32388031482696533,-0.14217202603944656
