label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
P,0.0,0.0,0.0,-0.048101186752319336,0.023779630661010742,-0.1291248342990592,-0.14107027649879456,0.039381980895996094,-0.1549676350354865,-0.21713149547576904,0.057718098163604736,-0.15310309743878392,-0.2943331003189087,0.07682400941848755,-0.14770291662213353,-0.2260695993900299,-0.03562551736831665,-0.09401403284070042,-0.33271118998527527,0.01566493511199951,-0.11218358492848424,-0.40003395080566406,0.026008248329162598,-0.13274954175946263,-0.464570552110672,0.029535353183746338,-0.1504369667768195,-0.20787963271141052,-0.004406332969665527,-0.0285008429586604,-0.2535817325115204,0.10113710165023804,-0.0688973954915717,-0.2429947853088379,0.19744014739990234,-0.116450800657244,-0.223190039396286,0.2675474286079407,-0.14520606315133122,-0.18818199634552002,0.03341132402420044,0.028201189726619447,-0.22420811653137207,0.11547374725341797,-0.02155937916037587,-0.2130213975906372,0.21417874097824097,-0.08463609880206135,-0.20519369840621948,0.28379642963409424,-0.11923143929240254,-0.17190143465995789,0.05421334505081177,0.07815200173857662,-0.18991994857788086,0.13033360242843628,0.03333560088279697,-0.18221452832221985,0.19143211841583252,-0.014318327516289031,-0.1746198534965515,0.2376134991645813,-0.043292070835800445
P,0.0,0.0,0.0,-0.05088376998901367,0.023746252059936523,-0.1261336387001588,-0.14371827244758606,0.03854471445083618,-0.15116618879667065,-0.21971777081489563,0.05720549821853638,-0.14961585708490155,-0.29491305351257324,0.07742893695831299,-0.14459155805936597,-0.2281692624092102,-0.035254061222076416,-0.08831313558450482,-0.3349580466747284,0.016362130641937256,-0.1059329540335252,-0.402749627828598,0.026874661445617676,-0.12647316165796063,-0.4674537479877472,0.03020334243774414,-0.14431009002557538,-0.20904746651649475,-0.0035175681114196777,-0.024429488261850096,-0.2552827298641205,0.10201746225357056,-0.06512911178699277,-0.24546349048614502,0.19747865200042725,-0.11372799732318661,-0.22628822922706604,0.2659375071525574,-0.14314391024938367,-0.18841737508773804,0.03395289182662964,0.03077955237993457,-0.22469699382781982,0.11537516117095947,-0.01870620184174321,-0.21516582369804382,0.21486151218414307,-0.08214847304454587,-0.20760616660118103,0.28442567586898804,-0.11700184949270032,-0.17117366194725037,0.05505448579788208,0.07934982023605563,-0.18932470679283142,0.12953400611877441,0.034841042677252076,-0.18316492438316345,0.19153869152069092,-0.013134327983172156,-0.17628121376037598,0.23784703016281128,-0.042298401971967436
P,0.0,0.0,0.0,-0.04959428310394287,0.022713899612426758,-0.12568134042494705,-0.1431463658809662,0.03799927234649658,-0.15198776098959854,-0.22010409832000732,0.05870175361633301,-0.15202511820071152,-0.2953627407550812,0.08007270097732544,-0.14870858165495804,-0.22861498594284058,-0.03517967462539673,-0.09157494428627899,-0.3359098434448242,0.01669013500213623,-0.11193768653147629,-0.40351346135139465,0.026870906352996826,-0.1336993423389714,-0.4680483639240265,0.03001701831817627,-0.15201534303896835,-0.21129155158996582,-0.0035573840141296387,-0.028978809444836884,-0.2571781873703003,0.10125786066055298,-0.07301754477494171,-0.2454948127269745,0.19735872745513916,-0.12142635854952744,-0.22510170936584473,0.26657944917678833,-0.14967909428351334,-0.19140729308128357,0.033529579639434814,0.02514298845953533,-0.22832763195037842,0.11449342966079712,-0.02642919282489231,-0.21788358688354492,0.2139938473701477,-0.08746372136347702,-0.20944607257843018,0.283713698387146,-0.11989226165287903,-0.17369616031646729,0.05370151996612549,0.0726086723519046,-0.19278669357299805,0.12789535522460938,0.02698499550051281,-0.18583929538726807,0.1896464228630066,-0.019082762031487732,-0.1774732768535614,0.236200749874115,-0.046148288725547104
P,0.0,0.0,0.0,-0.04837125539779663,0.021554946899414062,-0.1301608539138721,-0.14153724908828735,0.03549164533615112,-0.1569487906013416,-0.21848061680793762,0.05496704578399658,-0.15567264025553929,-0.2953812777996063,0.07529526948928833,-0.15080158477172123,-0.2267737090587616,-0.038003385066986084,-0.0958787358318256,-0.33424919843673706,0.013697028160095215,-0.11424975906953083,-0.40200911462306976,0.02440708875656128,-0.13446013694152104,-0.4667004644870758,0.027823448181152344,-0.15179064934596287,-0.2093403935432434,-0.006742894649505615,-0.0296764268492149,-0.25578662753105164,0.10021620988845825,-0.07012091641768681,-0.24521729350090027,0.19648641347885132,-0.11724723195180164,-0.22579550743103027,0.2656205892562866,-0.14551812475070225,-0.1896234154701233,0.031049907207489014,0.02793221297219528,-0.2263452410697937,0.11394745111465454,-0.02141355042800175,-0.2155366837978363,0.21241849660873413,-0.08310270374163853,-0.20804551243782043,0.28100717067718506,-0.11665028398379551,-0.17291641235351562,0.052583932876586914,0.07867640937224163,-0.1914915144443512,0.1292405128479004,0.03398439968481792,-0.1841425597667694,0.19040632247924805,-0.012804651348738538,-0.17587703466415405,0.2357584834098816,-0.04080909182771908
P,0.0,0.0,0.0,-0.04908198118209839,0.024895846843719482,-0.12238019923513122,-0.14263951778411865,0.04189485311508179,-0.14827794800346084,-0.22045111656188965,0.06154310703277588,-0.14905629525726027,-0.29495134949684143,0.08258140087127686,-0.14669687519614882,-0.22952336072921753,-0.030479848384857178,-0.08926049838607497,-0.33610087633132935,0.02015542984008789,-0.11049665729348845,-0.40401364862918854,0.030595779418945312,-0.13291781614368148,-0.4687008559703827,0.0340123176574707,-0.15191116402690596,-0.2126440703868866,0.0012854933738708496,-0.029488588076283406,-0.258296936750412,0.10611432790756226,-0.07463825712745376,-0.2472439408302307,0.20208466053009033,-0.1236125774199266,-0.2284049391746521,0.2709074020385742,-0.152345562678029,-0.19242209196090698,0.03796464204788208,0.022005749542067576,-0.22857415676116943,0.11893719434738159,-0.029948469575693082,-0.21938982605934143,0.2181902527809143,-0.09054102967326827,-0.21131888031959534,0.2882464528083801,-0.12279369900767989,-0.17294740676879883,0.05813533067703247,0.06691797604019456,-0.19216132164001465,0.1315104365348816,0.020958883363555003,-0.186767578125,0.1935909390449524,-0.025097785841872167,-0.17960426211357117,0.2410479187965393,-0.052210210215498876
P,0.0,0.0,0.0,-0.046402931213378906,0.019784927368164062,-0.12612500225074763,-0.13934451341629028,0.03528237342834473,-0.1531954053498077,-0.21744874119758606,0.05616647005081177,-0.15285963748462672,-0.29456397891044617,0.07673501968383789,-0.14902682040699,-0.22837093472480774,-0.038087546825408936,-0.09529270415075297,-0.3362496495246887,0.014077544212341309,-0.11266943250663752,-0.40340158343315125,0.02318286895751953,-0.1309771332598495,-0.46780064702033997,0.02363353967666626,-0.1468511167622375,-0.21196681261062622,-0.006731390953063965,-0.03101997447081084,-0.25757670402526855,0.10192877054214478,-0.06949566488035197,-0.24639448523521423,0.19979006052017212,-0.11291741763122554,-0.2279147505760193,0.26872676610946655,-0.13860591684349055,-0.19110465049743652,0.03148728609085083,0.025180919125003864,-0.22827959060668945,0.11494612693786621,-0.02212078493900771,-0.21630343794822693,0.21366626024246216,-0.07883991484411235,-0.20982182025909424,0.28277266025543213,-0.10920738612182612,-0.1726262867450714,0.053167104721069336,0.07478973086111074,-0.19250637292861938,0.12929463386535645,0.03151448632709508,-0.185996413230896,0.19133782386779785,-0.012170483329074333,-0.18060925602912903,0.2373659610748291,-0.03769584183462138
P,0.0,0.0,0.0,-0.05138188600540161,0.02717369794845581,-0.12674857378447868,-0.14558619260787964,0.04438924789428711,-0.15234970748866417,-0.2232849895954132,0.06460779905319214,-0.15123076439345695,-0.298165500164032,0.08647561073303223,-0.14656914473021843,-0.23054879903793335,-0.029005110263824463,-0.0919202014848075,-0.3379582464694977,0.022549688816070557,-0.11312766075576164,-0.40618962049484253,0.033213794231414795,-0.13578696251357414,-0.47112590074539185,0.03686338663101196,-0.15471973717654564,-0.2123280167579651,0.0019420385360717773,-0.028717112545617596,-0.259082168340683,0.10959553718566895,-0.07237604707921363,-0.24916505813598633,0.20651262998580933,-0.12182243615830757,-0.2303791344165802,0.27560293674468994,-0.15156773925269462,-0.19244906306266785,0.03845161199569702,0.025732499729148373,-0.2293691337108612,0.12168574333190918,-0.025733173643001095,-0.2205984890460968,0.22192102670669556,-0.0887340500995002,-0.2120441198348999,0.29189467430114746,-0.12298320681298591,-0.17418751120567322,0.05853170156478882,0.0732987999871888,-0.19304871559143066,0.13246876001358032,0.027332724253884777,-0.18720972537994385,0.19407278299331665,-0.020611178879388348,-0.17887341976165771,0.24077504873275757,-0.04940352291310646
P,0.0,0.0,0.0,-0.047106027603149414,0.02050483226776123,-0.12874259864428428,-0.1396651268005371,0.03581470251083374,-0.15591832315066245,-0.21747547388076782,0.05671846866607666,-0.15502337431052116,-0.2953927516937256,0.07818681001663208,-0.1502373150501528,-0.2293432056903839,-0.03618907928466797,-0.09614724730589774,-0.33823227882385254,0.0163457989692688,-0.1129528439555445,-0.4055802971124649,0.02589571475982666,-0.1312457255039492,-0.4702255129814148,0.026919245719909668,-0.1473505279932299,-0.21226778626441956,-0.004673779010772705,-0.03042087209859279,-0.26021504402160645,0.10535198450088501,-0.06797265326121238,-0.24887299537658691,0.20325708389282227,-0.11263476376870063,-0.22956830263137817,0.271190881729126,-0.13996120606997398,-0.19150134921073914,0.033758342266082764,0.026895364099355668,-0.23020166158676147,0.1166413426399231,-0.02081926604249862,-0.2194424867630005,0.21663016080856323,-0.08143833344319251,-0.2122305929660797,0.2864551544189453,-0.11494707380869773,-0.17365938425064087,0.055419921875,0.07753067398926827,-0.19352713227272034,0.13164019584655762,0.033162712403746575,-0.18676990270614624,0.19405752420425415,-0.013761082379905254,-0.18004870414733887,0.24005216360092163,-0.04217983101942924
P,0.0,0.0,0.0,-0.04834306240081787,0.022733688354492188,-0.12958358871956221,-0.1396861970424652,0.03691822290420532,-0.15791786360760085,-0.2152400016784668,0.05857795476913452,-0.15857513892670028,-0.2896680235862732,0.08259493112564087,-0.15604368495960586,-0.226936936378479,-0.03337287902832031,-0.102061136543945,-0.33407220244407654,0.01827836036682129,-0.12449988621492736,-0.401590496301651,0.030112028121948242,-0.14713134515304915,-0.46599364280700684,0.03503698110580444,-0.16584660756607406,-0.20815905928611755,-0.0015875697135925293,-0.03753108802457206,-0.2564157247543335,0.10483193397521973,-0.08177889782209746,-0.24448546767234802,0.20097029209136963,-0.13064632463474624,-0.22452592849731445,0.269115686416626,-0.16013408350963942,-0.18834593892097473,0.035386621952056885,0.018687016412421542,-0.2271880805492401,0.11730563640594482,-0.03392056646962516,-0.21642696857452393,0.2172132134437561,-0.0972199727894818,-0.2080446183681488,0.2866781949996948,-0.13169481503982894,-0.1713932454586029,0.05648016929626465,0.06822120499591477,-0.1922437846660614,0.1320536732673645,0.021500504657431918,-0.18603584170341492,0.19393551349639893,-0.026453698903516454,-0.17733606696128845,0.2406996488571167,-0.055430817336038274
P,0.0,0.0,0.0,-0.045292675495147705,0.022083520889282227,-0.13113946524264186,-0.13609129190444946,0.03723806142807007,-0.15919259992243617,-0.210982084274292,0.05942213535308838,-0.15895923283697933,-0.28602054715156555,0.08116596937179565,-0.1552533289492306,-0.22611120343208313,-0.031463444232940674,-0.10021556970478862,-0.3319927155971527,0.018643319606781006,-0.11999702510239452,-0.3985266387462616,0.027598202228546143,-0.14103154149653285,-0.4623163640499115,0.030126094818115234,-0.15871471968294948,-0.20832130312919617,0.00028771162033081055,-0.03397609722616046,-0.25537410378456116,0.10555469989776611,-0.07473183479906886,-0.24394488334655762,0.20031291246414185,-0.12203654703499645,-0.22413915395736694,0.2685224413871765,-0.15069399085642665,-0.1884988248348236,0.03713846206665039,0.02374135832486779,-0.22594019770622253,0.11812537908554077,-0.025893556520360406,-0.2142552137374878,0.2167748212814331,-0.0884409105479893,-0.2059130072593689,0.2861444354057312,-0.12282047477366298,-0.17194941639900208,0.05732715129852295,0.0745677420794788,-0.19108515977859497,0.13249903917312622,0.029918362751585548,-0.18301314115524292,0.19274061918258667,-0.01725767609478801,-0.173656165599823,0.23838192224502563,-0.04587088581921428
