label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
R,0.0,0.0,0.0,0.03301644325256348,-0.04473036527633667,-0.05546133069987036,0.04439100623130798,-0.13821148872375488,-0.07356560825104452,0.026406526565551758,-0.21835434436798096,-0.08617319761509634,0.017568647861480713,-0.2839937210083008,-0.09430605767960287,0.0776313841342926,-0.24525386095046997,-0.025933118897626173,0.07186201214790344,-0.356492817401886,-0.05276037974948622,0.06492570042610168,-0.43178796768188477,-0.07168572245831228,0.053585320711135864,-0.49543073773384094,-0.0826783090710137,0.0402354896068573,-0.24501818418502808,-0.01700549795026518,0.06292131543159485,-0.36678773164749146,-0.051417468476245176,0.06685641407966614,-0.44243085384368896,-0.07143173216576315,0.06385120749473572,-0.5043808817863464,-0.07664926944966055,-0.0007668435573577881,-0.22394192218780518,-0.015550715278038751,-0.014656305313110352,-0.2850688099861145,-0.07422909735436178,-0.013251036405563354,-0.2088192105293274,-0.0869413152217362,-0.0077307820320129395,-0.1552896499633789,-0.07535786776537634,-0.04014080762863159,-0.19195961952209473,-0.017508946719715368,-0.04682454466819763,-0.2287577986717224,-0.06757182477707602,-0.04110175371170044,-0.16585934162139893,-0.07175296394819952,-0.03399011492729187,-0.12128239870071411,-0.061165826755711805
R,0.0,0.0,0.0,0.03235882520675659,-0.04451262950897217,-0.0554288984762934,0.04372420907020569,-0.1379956603050232,-0.07347136228554518,0.026395529508590698,-0.21803522109985352,-0.08598218350880416,0.01709139347076416,-0.2846013307571411,-0.0940479138421324,0.07733523845672607,-0.2456645369529724,-0.025641199715664698,0.07161986827850342,-0.3566347360610962,-0.05187389119737418,0.06465953588485718,-0.43174871802330017,-0.0705917799400595,0.05332070589065552,-0.495151549577713,-0.08163672923319609,0.03993648290634155,-0.24514740705490112,-0.01673669791989596,0.062249720096588135,-0.3669978380203247,-0.0503881597446707,0.06604325771331787,-0.44235894083976746,-0.07022594898216994,0.06287813186645508,-0.5042426884174347,-0.0756274187492636,-0.0012366175651550293,-0.22357511520385742,-0.015297721654405905,-0.015011847019195557,-0.2860472798347473,-0.07347364961378844,-0.01343923807144165,-0.21009427309036255,-0.08623861759178908,-0.008177071809768677,-0.1567942500114441,-0.07503325729840071,-0.04078516364097595,-0.19103646278381348,-0.017265055842926813,-0.04737532138824463,-0.22911572456359863,-0.06724120169155867,-0.04179340600967407,-0.16640210151672363,-0.07155094533436568,-0.03499400615692139,-0.12192046642303467,-0.06126322462432654
R,0.0,0.0,0.0,0.0334162712097168,-0.043587565422058105,-0.05502191134871737,0.043768078088760376,-0.1376209855079651,-0.07346101054133669,0.02541026473045349,-0.21822106838226318,-0.08666482516707674,0.015838205814361572,-0.2849283814430237,-0.09556049802483813,0.07638111710548401,-0.2469080090522766,-0.0257107889759709,0.07051554322242737,-0.35735148191452026,-0.0522919701892306,0.06344541907310486,-0.43222081661224365,-0.07131059416713015,0.052084535360336304,-0.49563077092170715,-0.08257295140208498,0.03872412443161011,-0.24600821733474731,-0.017419265072362577,0.06064090132713318,-0.36755067110061646,-0.051316361363547,0.06438747048377991,-0.4425815939903259,-0.07134972461642519,0.06133750081062317,-0.5045961439609528,-0.07701997407855288,-0.002579033374786377,-0.2241072654724121,-0.01653303899945513,-0.01642325520515442,-0.2873836159706116,-0.07498113759936587,-0.015138983726501465,-0.21144908666610718,-0.08767509409369723,-0.010138481855392456,-0.15722298622131348,-0.07647922583998934,-0.042238712310791016,-0.19092106819152832,-0.019039052959101355,-0.04856261610984802,-0.23010671138763428,-0.06943014958085314,-0.0428832471370697,-0.16682344675064087,-0.07368849911870257,-0.03630012273788452,-0.12069463729858398,-0.0633235717672278
R,0.0,0.0,0.0,0.032806456089019775,-0.04326009750366211,-0.06094459802130814,0.042871177196502686,-0.13576066493988037,-0.08181866616229172,0.026203572750091553,-0.21621644496917725,-0.09636386841754074,0.018900573253631592,-0.2830650210380554,-0.10653410464743729,0.07829910516738892,-0.2462848424911499,-0.0299255101404583,0.07158440351486206,-0.3583189845085144,-0.05747195691088791,0.06437170505523682,-0.4339747428894043,-0.07734250635127182,0.053316712379455566,-0.49782422184944153,-0.08893079668501969,0.04020422697067261,-0.24473971128463745,-0.01835859552244301,0.06139636039733887,-0.3662363290786743,-0.05340454340199585,0.0645303726196289,-0.4416758418083191,-0.07430874914149399,0.06121957302093506,-0.5026664733886719,-0.0802216193101799,-0.0013746023178100586,-0.22337836027145386,-0.01474330559591408,-0.016235530376434326,-0.2839077115058899,-0.07466898471335526,-0.015878260135650635,-0.2079249620437622,-0.08887654900769348,-0.010600149631500244,-0.152818500995636,-0.0781580469034111,-0.041380614042282104,-0.192085862159729,-0.014923341425458148,-0.04825550317764282,-0.2287583351135254,-0.06652252733925934,-0.043178021907806396,-0.16417688131332397,-0.0720271652958786,-0.03605040907859802,-0.11667031049728394,-0.062219973506728365
R,0.0,0.0,0.0,0.03193145990371704,-0.04258328676223755,-0.06286866982696893,0.04168510437011719,-0.13552314043045044,-0.08429597337959649,0.025765836238861084,-0.21601063013076782,-0.09894628097532632,0.018800407648086548,-0.2828789949417114,-0.10918778200863244,0.07764747738838196,-0.24554163217544556,-0.031472038675531167,0.07028815150260925,-0.3573441505432129,-0.05939011668084504,0.062435001134872437,-0.43325239419937134,-0.07944662888763787,0.05057212710380554,-0.49721622467041016,-0.0911376999807203,0.03974279761314392,-0.2438402771949768,-0.018838906858547944,0.06159433722496033,-0.3653622269630432,-0.05436634664653184,0.06433364748954773,-0.44196340441703796,-0.07552161087511422,0.060442835092544556,-0.5043163299560547,-0.0814679788541639,-0.0017047226428985596,-0.22261732816696167,-0.014323069911881703,-0.016801059246063232,-0.2830078601837158,-0.07471711208341958,-0.01710343360900879,-0.20704549551010132,-0.08920731415270211,-0.011794954538345337,-0.1523643136024475,-0.07848827560661675,-0.04147416353225708,-0.1920509934425354,-0.013754015054985302,-0.04886177182197571,-0.22738897800445557,-0.06585249324558617,-0.044090062379837036,-0.16294491291046143,-0.07185678203819634,-0.03658267855644226,-0.11612492799758911,-0.06229199488876702
R,0.0,0.0,0.0,0.03289702534675598,-0.04299497604370117,-0.061383112019882446,0.04182597994804382,-0.136005699634552,-0.08280920485316301,0.025510340929031372,-0.21686828136444092,-0.09802197912989641,0.01666271686553955,-0.28522080183029175,-0.1089381004339316,0.07601937651634216,-0.2455189824104309,-0.030646095669851547,0.06906870007514954,-0.3574381470680237,-0.05886705095230127,0.061589449644088745,-0.43352097272872925,-0.07900227109252,0.04962971806526184,-0.49762555956840515,-0.09069261202870393,0.038165390491485596,-0.24375545978546143,-0.019136155641660935,0.060690730810165405,-0.36595457792282104,-0.055155544227943665,0.0643106997013092,-0.44299381971359253,-0.07645214597044969,0.060789018869400024,-0.5060346722602844,-0.08245653162060762,-0.0032691359519958496,-0.22210878133773804,-0.015604299179301506,-0.01731809973716736,-0.28356003761291504,-0.07615337768851305,-0.016697824001312256,-0.20729196071624756,-0.08989554891644502,-0.011508435010910034,-0.15225183963775635,-0.07860461870490099,-0.04310047626495361,-0.19075584411621094,-0.01592235515175844,-0.049282222986221313,-0.22832083702087402,-0.06781568626223589,-0.04367634654045105,-0.16381359100341797,-0.07294268409071947,-0.036534518003463745,-0.11635935306549072,-0.06273064265309358
R,0.0,0.0,0.0,0.03101709485054016,-0.04266619682312012,-0.05971897040063823,0.04150503873825073,-0.13512223958969116,-0.08025841061527217,0.02640700340270996,-0.21639549732208252,-0.09473355506116832,0.017593860626220703,-0.28412163257598877,-0.10493690912181819,0.07628172636032104,-0.24653774499893188,-0.02941699531430686,0.07053858041763306,-0.3601696491241455,-0.05639421586448634,0.0645480751991272,-0.43716275691986084,-0.07566722874099696,0.05424630641937256,-0.5013597309589386,-0.08677956853563273,0.03870260715484619,-0.2446792721748352,-0.018242972162909155,0.06025290489196777,-0.36524099111557007,-0.052924916339463834,0.06324702501296997,-0.4407159090042114,-0.07333838586265529,0.05949884653091431,-0.5022709667682648,-0.07879759017879451,-0.0022573769092559814,-0.2228410243988037,-0.014773337361759786,-0.017123937606811523,-0.2824626564979553,-0.07375645284110988,-0.016448944807052612,-0.20698684453964233,-0.08676603828126872,-0.011216819286346436,-0.15253764390945435,-0.07527643833810771,-0.04168581962585449,-0.19119369983673096,-0.01504349448288167,-0.049004316329956055,-0.22863024473190308,-0.06555428002531016,-0.04389965534210205,-0.1648721694946289,-0.06985995565111125,-0.03700751066207886,-0.11757665872573853,-0.05912762154395068
R,0.0,0.0,0.0,0.03194335103034973,-0.04191774129867554,-0.060998847720952654,0.04178991913795471,-0.13441604375839233,-0.08266406321320119,0.025071054697036743,-0.21609872579574585,-0.09808599018845143,0.015798211097717285,-0.2835266590118408,-0.10924777948650899,0.07634225487709045,-0.24543315172195435,-0.031877832500072145,0.06948551535606384,-0.3597877025604248,-0.060578743008704805,0.061957091093063354,-0.43626606464385986,-0.0808557551482636,0.050014764070510864,-0.5005591511726379,-0.09237868153843465,0.038334429264068604,-0.24321776628494263,-0.020250655723543787,0.06036534905433655,-0.3647199869155884,-0.05717140251192632,0.06230005621910095,-0.44207146763801575,-0.07899550908598485,0.0573788583278656,-0.5049753785133362,-0.08507449739965978,-0.0027841031551361084,-0.22164106369018555,-0.01628411003741803,-0.016408532857894897,-0.27975142002105713,-0.07666303777489247,-0.016042351722717285,-0.20360183715820312,-0.09020080977472844,-0.011083662509918213,-0.14748305082321167,-0.07865879499706807,-0.04223829507827759,-0.19052773714065552,-0.016102710751624727,-0.04837557673454285,-0.22680068016052246,-0.06713459455761495,-0.04359665513038635,-0.16223227977752686,-0.07147361153158727,-0.037192076444625854,-0.1137586236000061,-0.06057688781413617
R,0.0,0.0,0.0,0.03331625461578369,-0.04319500923156738,-0.056648449821068425,0.04270389676094055,-0.13562697172164917,-0.07720552555997529,0.023602783679962158,-0.21687573194503784,-0.09243869952638306,0.01271277666091919,-0.2849160432815552,-0.10362684152801194,0.0759008526802063,-0.24819022417068481,-0.029751470161272664,0.06964695453643799,-0.3617303967475891,-0.05861323870499291,0.06247532367706299,-0.4383504092693329,-0.07909930668552079,0.05009657144546509,-0.5022983253002167,-0.09084984831292786,0.03737354278564453,-0.2453874945640564,-0.021187137661172528,0.05938786268234253,-0.36681318283081055,-0.05806021190960564,0.06076943874359131,-0.44302481412887573,-0.07983952931840577,0.05481213331222534,-0.5058467388153076,-0.08596541158635773,-0.004022747278213501,-0.2220112681388855,-0.019866369513465543,-0.017526686191558838,-0.28085631132125854,-0.07999219916541733,-0.015908896923065186,-0.20453661680221558,-0.09283875100095429,-0.010871082544326782,-0.14966684579849243,-0.08109234444577851,-0.04381626844406128,-0.18766683340072632,-0.021970648167325635,-0.0493912398815155,-0.22731715440750122,-0.07284169815261521,-0.043818116188049316,-0.16325253248214722,-0.07615487448651947,-0.03759622573852539,-0.11557108163833618,-0.06464236400802292
R,0.0,0.0,0.0,0.03355187177658081,-0.04274857044219971,-0.05684993225565904,0.04301956295967102,-0.1363864541053772,-0.07744517731896394,0.02325958013534546,-0.21722066402435303,-0.09270678270092958,0.010621339082717896,-0.28606337308883667,-0.10394489574662202,0.0753830075263977,-0.24950742721557617,-0.030313186305079398,0.06960904598236084,-0.36464548110961914,-0.05898901629677766,0.06348365545272827,-0.4423298239707947,-0.07945282566777223,0.051918089389801025,-0.5077464282512665,-0.09152493435374254,0.036866694688797,-0.24662595987319946,-0.02190973419180864,0.058956801891326904,-0.368725061416626,-0.05959092262617105,0.059889018535614014,-0.4437289834022522,-0.08226926434269899,0.05264091491699219,-0.5053166449069977,-0.08904406237832063,-0.00474238395690918,-0.22339105606079102,-0.020649731116805015,-0.018042564392089844,-0.2831670641899109,-0.08098960477343553,-0.01590600609779358,-0.20684242248535156,-0.09417234170666688,-0.01129215955734253,-0.1521170735359192,-0.0828536580823993,-0.044275909662246704,-0.1891825795173645,-0.02286417778066152,-0.049968868494033813,-0.2275441288948059,-0.07378645795813554,-0.04365736246109009,-0.1636461615562439,-0.07751714992753023,-0.03744807839393616,-0.11601018905639648,-0.06650659251442903
