label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
S,0.0,0.0,0.0,0.06486666202545166,-0.0868685245513916,-0.0150093494142709,0.08877354860305786,-0.17830520868301392,-0.02004024592892506,0.0610044002532959,-0.26608896255493164,-0.029462242701214336,0.010325133800506592,-0.3141014873981476,-0.03649275397614815,0.06536692380905151,-0.22709625959396362,0.027086989751893498,0.07939565181732178,-0.306262731552124,-0.0014931686149282086,0.06877601146697998,-0.25970590114593506,-0.025122052260798,0.05562323331832886,-0.20800983905792236,-0.03511981313781121,0.02328324317932129,-0.23889493942260742,0.02305537069483421,0.030627787113189697,-0.31685322523117065,-0.006659453471314691,0.02663397789001465,-0.24279636144638062,-0.02474807036773541,0.020386457443237305,-0.17814421653747559,-0.0271647928442178,-0.018651187419891357,-0.24030733108520508,0.012829054876107193,-0.010709822177886963,-0.31685686111450195,-0.02009837163345196,-0.005729198455810547,-0.2352476716041565,-0.020020852067631267,-0.010177552700042725,-0.165069580078125,-0.007744828441303753,-0.06484410166740417,-0.2315351963043213,0.0013080728546412956,-0.053377747535705566,-0.3016366958618164,-0.01905362887040951,-0.04288163781166077,-0.25333327054977417,-0.010553019323509716,-0.0430716872215271,-0.20218628644943237,0.003761469184297539
S,0.0,0.0,0.0,0.06571877002716064,-0.08417737483978271,-0.01637092087361225,0.08949357271194458,-0.17499589920043945,-0.02282252762410053,0.06045043468475342,-0.26189374923706055,-0.033233208991021,0.010435402393341064,-0.3115027844905853,-0.04092884290906795,0.0662882924079895,-0.2254953384399414,0.021915889867216265,0.08130526542663574,-0.30610907077789307,-0.00867442175689348,0.07090550661087036,-0.2559173107147217,-0.032407554275721395,0.05805462598800659,-0.20300132036209106,-0.04216630611512073,0.023384690284729004,-0.23653411865234375,0.017963675372868693,0.03301745653152466,-0.3161388337612152,-0.013386003150969827,0.02830183506011963,-0.24038755893707275,-0.03056479286345848,0.02070474624633789,-0.17709475755691528,-0.032242035902470434,-0.01879119873046875,-0.23763489723205566,0.007813675851195967,-0.009503602981567383,-0.31641310453414917,-0.026153466142147863,-0.004652678966522217,-0.23332202434539795,-0.02449712198171028,-0.00987696647644043,-0.16404104232788086,-0.011129797845512712,-0.06485548615455627,-0.2289862036705017,-0.003713322979763234,-0.051629602909088135,-0.29972171783447266,-0.024810126460522497,-0.04119199514389038,-0.24968045949935913,-0.015471685155659998,-0.04263535141944885,-0.19881081581115723,-0.00046970643046506666
S,0.0,0.0,0.0,0.06577873229980469,-0.0850873589515686,-0.015566692295948314,0.08904355764389038,-0.17496472597122192,-0.021056565995792198,0.061851441860198975,-0.2620963454246521,-0.030858188475946235,0.011585533618927002,-0.31077876687049866,-0.03838054982898598,0.06579774618148804,-0.22334033250808716,0.02551161350729103,0.079864501953125,-0.30247682332992554,-0.0038912290050632237,0.0693063735961914,-0.2561836838722229,-0.02799492290196781,0.05628019571304321,-0.2036188244819641,-0.038223316501358795,0.023629367351531982,-0.23495805263519287,0.02174436526419754,0.03192657232284546,-0.3135358989238739,-0.009146453421095657,0.027615487575531006,-0.24069613218307495,-0.02766516393003826,0.020357966423034668,-0.17536109685897827,-0.030266565810421753,-0.01833242177963257,-0.23629051446914673,0.01176775844814415,-0.009833931922912598,-0.3149719834327698,-0.02212571499822502,-0.005009710788726807,-0.23413240909576416,-0.022256452198604393,-0.009958863258361816,-0.16321468353271484,-0.009955589267889309,-0.06422170996665955,-0.22756987810134888,0.00047005653195242303,-0.05179858207702637,-0.2979470193386078,-0.021433204020837593,-0.04151758551597595,-0.24897897243499756,-0.01374089306173687,-0.0424879789352417,-0.19699031114578247,0.00026495671644966023
S,0.0,0.0,0.0,0.06507116556167603,-0.0825691819190979,-0.017737956854716685,0.08885902166366577,-0.1744447946548462,-0.024495732176319507,0.05991774797439575,-0.2617015838623047,-0.03481483286918774,0.009356379508972168,-0.3106529116630554,-0.042408613625184444,0.06517356634140015,-0.22525984048843384,0.02125065946279392,0.07985609769821167,-0.30479252338409424,-0.009901076692358401,0.06967979669570923,-0.2542463541030884,-0.03412848165930882,0.05636364221572876,-0.20090460777282715,-0.04410525983871594,0.02243185043334961,-0.23610460758209229,0.018075309556706998,0.031793832778930664,-0.3143090605735779,-0.014475009541229156,0.027563512325286865,-0.23721176385879517,-0.03212800449432507,0.019618332386016846,-0.17242461442947388,-0.033652147415295985,-0.01970386505126953,-0.23699671030044556,0.00857007303534374,-0.010744869709014893,-0.31464844942092896,-0.027004916358009723,-0.00572580099105835,-0.23015785217285156,-0.02571446276010647,-0.011115550994873047,-0.16014599800109863,-0.011930163155511764,-0.06575176119804382,-0.2279534935951233,-0.0023195032470084698,-0.05192810297012329,-0.2968321442604065,-0.025117840755001453,-0.04173535108566284,-0.24430447816848755,-0.01629214188756123,-0.0435967743396759,-0.19292670488357544,-0.0011373535005532176
S,0.0,0.0,0.0,0.06576144695281982,-0.0850069522857666,-0.015994787228152063,0.08830910921096802,-0.17655450105667114,-0.021474892285510805,0.060144245624542236,-0.263553261756897,-0.031142478820726183,0.010380089282989502,-0.31295347213745117,-0.03850534000699213,0.06500852108001709,-0.22381019592285156,0.0253539532303364,0.07886916399002075,-0.30254602432250977,-0.0042395205356626775,0.06822580099105835,-0.25729894638061523,-0.028483808052584436,0.05496948957443237,-0.20456957817077637,-0.0387166161209791,0.02270185947418213,-0.23516583442687988,0.02189973368044207,0.030668914318084717,-0.3128760755062103,-0.009006783378168848,0.02636784315109253,-0.24064844846725464,-0.027687838313028124,0.01915794610977173,-0.17555928230285645,-0.03041609377865484,-0.019110262393951416,-0.23655098676681519,0.012175406317368243,-0.010547876358032227,-0.314256876707077,-0.022049201664373186,-0.005884528160095215,-0.23343676328659058,-0.022486090672060755,-0.010860681533813477,-0.1628093719482422,-0.010303432133838442,-0.06477886438369751,-0.22794443368911743,0.0011502093283013437,-0.05263957381248474,-0.29839813709259033,-0.021136878070279863,-0.042150408029556274,-0.24914830923080444,-0.013626293291196134,-0.04265540838241577,-0.19692939519882202,0.00034738060170980134
S,0.0,0.0,0.0,0.06447774171829224,-0.08191686868667603,-0.019143835527984265,0.08797723054885864,-0.1749071478843689,-0.026306969000188474,0.05877065658569336,-0.26189106702804565,-0.03662617400118506,0.009364545345306396,-0.31079673767089844,-0.04409831657835639,0.06439602375030518,-0.22775942087173462,0.018692554088147517,0.07833367586135864,-0.30601608753204346,-0.011999649813560609,0.06802189350128174,-0.2568996548652649,-0.03562370583244956,0.054537832736968994,-0.20429617166519165,-0.04521052807399428,0.02146768569946289,-0.23787730932235718,0.016365691201599475,0.030570924282073975,-0.31640371680259705,-0.015317879503754739,0.025787055492401123,-0.24098289012908936,-0.032236794827667836,0.017394423484802246,-0.17633885145187378,-0.033463383911339406,-0.020280182361602783,-0.23795264959335327,0.007752368805768128,-0.010897815227508545,-0.3158547282218933,-0.027173926009027127,-0.006445825099945068,-0.2336711287498474,-0.026300524247972135,-0.012127220630645752,-0.16292089223861694,-0.012921878954557542,-0.0657004714012146,-0.227897047996521,-0.002338496621860031,-0.0532572865486145,-0.29918932914733887,-0.024793657360760335,-0.04290148615837097,-0.2503983974456787,-0.01646222442218459,-0.04415041208267212,-0.19823342561721802,-0.0017215620057413616
S,0.0,0.0,0.0,0.06551021337509155,-0.08482259511947632,-0.01693359636766445,0.08837372064590454,-0.17706835269927979,-0.022592729563541525,0.060624897480010986,-0.26462048292160034,-0.03225063593191635,0.01050502061843872,-0.3136419355869293,-0.039489776502080076,0.06660741567611694,-0.22657859325408936,0.02498498498397339,0.07924455404281616,-0.3047671318054199,-0.00487126750005018,0.06754642724990845,-0.26018857955932617,-0.029281939054556005,0.053653597831726074,-0.20791077613830566,-0.039552894095606916,0.02363044023513794,-0.23764967918395996,0.022007591416411287,0.030744075775146484,-0.3150036931037903,-0.009681082005329245,0.025857746601104736,-0.2429816722869873,-0.02846492887539398,0.018637537956237793,-0.17705953121185303,-0.03088685930771362,-0.018715500831604004,-0.2388005256652832,0.01261958884941805,-0.010634839534759521,-0.316866010427475,-0.02246502661211025,-0.006448507308959961,-0.2368403673171997,-0.023344036797709578,-0.011120021343231201,-0.1653168797492981,-0.011060823361106031,-0.06469354033470154,-0.22983425855636597,0.001883690687179751,-0.05257868766784668,-0.30014267563819885,-0.02136392020685207,-0.043046921491622925,-0.25066959857940674,-0.014440959925480001,-0.04375332593917847,-0.19754666090011597,-0.0005390396930238239
S,0.0,0.0,0.0,0.06421732902526855,-0.08184880018234253,-0.019058551019099923,0.08926546573638916,-0.17436480522155762,-0.025994361689356538,0.05898004770278931,-0.2620859146118164,-0.036081490417984696,0.008517265319824219,-0.31078609824180603,-0.04331276690032837,0.06544452905654907,-0.2266879677772522,0.019241205105515746,0.0788719654083252,-0.3063217103481293,-0.011062758354512425,0.06757116317749023,-0.2559395432472229,-0.03455271323588249,0.05414104461669922,-0.20294368267059326,-0.04430071761277077,0.021906733512878418,-0.2366049885749817,0.01677729065153244,0.031050920486450195,-0.31538480520248413,-0.015067243328360291,0.02545565366744995,-0.238336443901062,-0.0322362681236541,0.01696455478668213,-0.17387175559997559,-0.03360774119761345,-0.020010411739349365,-0.2363647222518921,0.00808894603136423,-0.011288881301879883,-0.3151918053627014,-0.02738353361752388,-0.007093489170074463,-0.23135524988174438,-0.026280918469694825,-0.012325048446655273,-0.16065502166748047,-0.012619657753077718,-0.06566917896270752,-0.22581738233566284,-0.002030898662326308,-0.05295434594154358,-0.29726505279541016,-0.025254686674145432,-0.04318663477897644,-0.2466505765914917,-0.01680364770260212,-0.044436097145080566,-0.19427186250686646,-0.0018096256154080947
S,0.0,0.0,0.0,0.0657539963722229,-0.08221697807312012,-0.016416000193515856,0.08973699808120728,-0.1726359724998474,-0.021893255403796275,0.06126946210861206,-0.26028358936309814,-0.031433559945384104,0.010596990585327148,-0.3093656897544861,-0.03852553664759739,0.06744211912155151,-0.2241618037223816,0.02678912692650215,0.07968592643737793,-0.3020852208137512,-0.0030700855334941934,0.06877511739730835,-0.25394123792648315,-0.02765757775918587,0.055772244930267334,-0.19920343160629272,-0.03804831950978382,0.024599075317382812,-0.23633074760437012,0.023362103858431738,0.031530022621154785,-0.3144192695617676,-0.008205968877831538,0.02661609649658203,-0.24104583263397217,-0.027181515461364825,0.019189774990081787,-0.17519307136535645,-0.02949361688510521,-0.017647266387939453,-0.23762410879135132,0.013504866519411962,-0.011096477508544922,-0.3149738907814026,-0.021832481017867167,-0.006532609462738037,-0.23294442892074585,-0.02231973408774479,-0.010894536972045898,-0.16205930709838867,-0.009511220260122855,-0.06373459100723267,-0.2285522222518921,0.0023864060728158165,-0.05168187618255615,-0.29678183794021606,-0.021249193689385493,-0.04186239838600159,-0.2443642020225525,-0.013747415496567328,-0.04253503680229187,-0.19127041101455688,0.0008587426943051923
S,0.0,0.0,0.0,0.06514859199523926,-0.08133840560913086,-0.017860220997363285,0.08987009525299072,-0.17307376861572266,-0.024338346226841168,0.05989605188369751,-0.2603832483291626,-0.03430390941980477,0.009258925914764404,-0.30956846475601196,-0.04153232487919922,0.06593531370162964,-0.22582030296325684,0.021573934451907917,0.07913315296173096,-0.3051966428756714,-0.009214361450403885,0.06800395250320435,-0.25508707761764526,-0.033312140284806446,0.05487716197967529,-0.20056551694869995,-0.04326420116308327,0.022484421730041504,-0.23641180992126465,0.01858598527428512,0.030695617198944092,-0.3144582211971283,-0.013880010015100197,0.025259852409362793,-0.2384386658668518,-0.031657705335646824,0.017666995525360107,-0.17338651418685913,-0.03312977987411614,-0.019713401794433594,-0.2366657257080078,0.009294180878669067,-0.01217031478881836,-0.3145316243171692,-0.026368282987505154,-0.008094489574432373,-0.23141920566558838,-0.0253733194160759,-0.01273655891418457,-0.16124778985977173,-0.0116350858199894,-0.06562995910644531,-0.22686946392059326,-0.0013727320085763495,-0.05264726281166077,-0.295667827129364,-0.024886682881742672,-0.04317992925643921,-0.24322056770324707,-0.016539778812557415,-0.04442015290260315,-0.19102174043655396,-0.0014009501512646239
