label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
T,0.0,0.0,0.0,0.061699867248535156,-0.05855375528335571,-0.04250926732524363,0.0934215784072876,-0.16546213626861572,-0.05645213484271494,0.08080238103866577,-0.26040560007095337,-0.06659822746618715,0.0707969069480896,-0.3395577669143677,-0.07002881004913775,0.08523094654083252,-0.23088222742080688,-0.02188344507916895,0.10618376731872559,-0.3019716739654541,-0.0726539252649161,0.07801765203475952,-0.24246948957443237,-0.09891608193024126,0.058070480823516846,-0.17610198259353638,-0.1066238714705321,0.03188514709472656,-0.23226481676101685,-0.015360636855206167,0.034586191177368164,-0.3059682846069336,-0.07864155455931154,0.023268789052963257,-0.22246968746185303,-0.09762089535101381,0.026775866746902466,-0.14368879795074463,-0.09175667002304522,-0.015224933624267578,-0.22204869985580444,-0.016992151955804502,-0.013654708862304688,-0.24247628450393677,-0.0786438344369742,-0.009319961071014404,-0.1472063660621643,-0.07670423969133822,-0.00046771764755249023,-0.08236140012741089,-0.0546856021831843,-0.06138724088668823,-0.20454555749893188,-0.021552872131309186,-0.051087379455566406,-0.21355432271957397,-0.06230012908085314,-0.04375532269477844,-0.14157253503799438,-0.05870428144439188,-0.03552249073982239,-0.10068178176879883,-0.042292649144968664
T,0.0,0.0,0.0,0.06077486276626587,-0.0578688383102417,-0.04167297954475657,0.09214115142822266,-0.16395121812820435,-0.055331138025877635,0.0783231258392334,-0.2589292526245117,-0.06535875524198786,0.06892818212509155,-0.3380299508571625,-0.06881658459818141,0.0847398042678833,-0.22973835468292236,-0.02092495660102145,0.10470044612884521,-0.3026387691497803,-0.07047257299339549,0.07730913162231445,-0.24264734983444214,-0.09603310103332774,0.058122217655181885,-0.176227867603302,-0.10338031227504985,0.03147691488265991,-0.23035681247711182,-0.014541193906126182,0.03356653451919556,-0.30529940128326416,-0.07604070479786174,0.02294224500656128,-0.22114920616149902,-0.0942510786167361,0.026728808879852295,-0.14295321702957153,-0.0882403301707484,-0.015606790781021118,-0.2197757363319397,-0.01617651532208697,-0.014691680669784546,-0.2426707148551941,-0.07670120621835963,-0.009935945272445679,-0.14716428518295288,-0.07443431491768138,-0.0009124577045440674,-0.08248871564865112,-0.05252268264806048,-0.06182166934013367,-0.20179015398025513,-0.020605071511027973,-0.05189594626426697,-0.21455979347229004,-0.060761448990461986,-0.04458427429199219,-0.14226043224334717,-0.056555205088017146,-0.0367431640625,-0.10034310817718506,-0.039878201734182994
T,0.0,0.0,0.0,0.061645448207855225,-0.05687272548675537,-0.04086853984935601,0.09354519844055176,-0.1658206582069397,-0.053457156309917764,0.07888132333755493,-0.2614592909812927,-0.062420942375496224,0.06933295726776123,-0.3402169942855835,-0.06471287880285104,0.08465826511383057,-0.22985976934432983,-0.020635115468934373,0.10502660274505615,-0.303101122379303,-0.06892391715391,0.07717996835708618,-0.24224090576171875,-0.09322698835475762,0.057810187339782715,-0.17522454261779785,-0.09999744270189126,0.030778318643569946,-0.23009967803955078,-0.014696090968385533,0.033587872982025146,-0.3051025867462158,-0.07513074998004754,0.023055732250213623,-0.22047817707061768,-0.09240811739309152,0.02706754207611084,-0.14198362827301025,-0.08605399403913339,-0.01672348380088806,-0.21858066320419312,-0.01663685824914296,-0.014430344104766846,-0.24236679077148438,-0.07682329837425073,-0.009693503379821777,-0.14564746618270874,-0.07402230475290139,-0.0004769563674926758,-0.08070087432861328,-0.05191599626286347,-0.06276321411132812,-0.19941920042037964,-0.02124533292098363,-0.05140030384063721,-0.21299272775650024,-0.06148033265216668,-0.0443878173828125,-0.13985216617584229,-0.05710695360048135,-0.036918193101882935,-0.09770679473876953,-0.040451333412960366
T,0.0,0.0,0.0,0.06161549687385559,-0.05580013990402222,-0.040282704225859334,0.09457454085350037,-0.16496169567108154,-0.05234893067844837,0.08007034659385681,-0.26108038425445557,-0.06075810297497242,0.06999042630195618,-0.3399316072463989,-0.06260042666562526,0.08553013205528259,-0.22916114330291748,-0.021182725495776822,0.10602030158042908,-0.30376899242401123,-0.0686602595365855,0.07698610424995422,-0.24354511499404907,-0.09220640390284984,0.057254523038864136,-0.1765877604484558,-0.09862235962518184,0.03143247961997986,-0.22990518808364868,-0.015306819520077397,0.03390726447105408,-0.30585092306137085,-0.07494828879006832,0.022804617881774902,-0.22082728147506714,-0.09135305165418117,0.026953399181365967,-0.14161133766174316,-0.08441601722606151,-0.016125023365020752,-0.21907156705856323,-0.017182853362641026,-0.014589190483093262,-0.2424410581588745,-0.07643967895873516,-0.010234266519546509,-0.1457672119140625,-0.0733367282069537,-0.0008457005023956299,-0.08080822229385376,-0.05121926619776218,-0.06204572319984436,-0.20028328895568848,-0.021694565481624295,-0.05125907063484192,-0.21344661712646484,-0.06119813053973644,-0.04462084174156189,-0.1405172348022461,-0.05677209450968235,-0.03701409697532654,-0.09847897291183472,-0.04025837062962978
T,0.0,0.0,0.0,0.06079524755477905,-0.05723273754119873,-0.039647830490650904,0.0925130844116211,-0.16595202684402466,-0.052384147260966074,0.07772433757781982,-0.2610248327255249,-0.061754470531525385,0.06871378421783447,-0.33908408880233765,-0.06471477619248844,0.0834130048751831,-0.2287123203277588,-0.021315945152821314,0.10347974300384521,-0.30222654342651367,-0.06923668256837345,0.07689255475997925,-0.2418198585510254,-0.09360207042533375,0.05815404653549194,-0.17496609687805176,-0.10062057695228077,0.029715538024902344,-0.22879540920257568,-0.01611159167129017,0.03270524740219116,-0.30404525995254517,-0.07525377145844914,0.0229872465133667,-0.21997010707855225,-0.09188268503982044,0.02694001793861389,-0.1420009732246399,-0.08565462550956227,-0.01779279112815857,-0.21720361709594727,-0.018579507087054026,-0.015306532382965088,-0.24261409044265747,-0.07762585750657536,-0.009863317012786865,-0.14660406112670898,-0.07423947921830631,-0.00039008259773254395,-0.08205491304397583,-0.052368981604161036,-0.06332793831825256,-0.19761496782302856,-0.023626047958316576,-0.05217394232749939,-0.2123870849609375,-0.0633333491428516,-0.0444161593914032,-0.13982635736465454,-0.05847592449623562,-0.036652326583862305,-0.09770578145980835,-0.04179877213078953
T,0.0,0.0,0.0,0.06116795539855957,-0.05532127618789673,-0.03996437269651665,0.09355658292770386,-0.1635156273841858,-0.05191241058909668,0.0783466100692749,-0.2595076560974121,-0.06023568886720909,0.06874829530715942,-0.33900803327560425,-0.06211966502868904,0.08540654182434082,-0.2268967628479004,-0.02014874707364811,0.10463643074035645,-0.3031657934188843,-0.06707274395429863,0.07666540145874023,-0.24291890859603882,-0.0904565550705172,0.05780768394470215,-0.17586594820022583,-0.09669162559711708,0.0316353440284729,-0.22736626863479614,-0.01422750338369383,0.03303259611129761,-0.3049243688583374,-0.07282981503212227,0.022634446620941162,-0.2204381823539734,-0.08930762338840736,0.027003824710845947,-0.14228743314743042,-0.08253982889854683,-0.015912353992462158,-0.2167675495147705,-0.015989236937997475,-0.015415608882904053,-0.24250471591949463,-0.07446247565948738,-0.010323584079742432,-0.14590388536453247,-0.07142991054260506,-0.0008544921875,-0.0814286470413208,-0.049498094650147095,-0.06188175082206726,-0.19838875532150269,-0.02030598598921074,-0.05247294902801514,-0.21307998895645142,-0.059337737443087235,-0.04520237445831299,-0.140264093875885,-0.054574331673023835,-0.03755781054496765,-0.09829622507095337,-0.037822822513220444
T,0.0,0.0,0.0,0.060370445251464844,-0.055888235569000244,-0.03974112672648289,0.09260189533233643,-0.1653355360031128,-0.05186500577173092,0.07722806930541992,-0.2609748840332031,-0.060688426624153635,0.068045973777771,-0.33911630511283875,-0.06302127418956616,0.08456814289093018,-0.22924888134002686,-0.019251579324816248,0.10336834192276001,-0.3032495975494385,-0.06722254482946255,0.07728379964828491,-0.2420598864555359,-0.09182568071327069,0.05898630619049072,-0.17466527223587036,-0.09869867740115978,0.030764371156692505,-0.22887617349624634,-0.013826740811680338,0.032581448554992676,-0.30462950468063354,-0.0728705915614114,0.023242950439453125,-0.22006428241729736,-0.08981258599004605,0.02748146653175354,-0.1422136425971985,-0.08343532858333447,-0.01664566993713379,-0.21724897623062134,-0.016259264106963656,-0.014944404363632202,-0.2418871521949768,-0.0753577741785989,-0.0097980797290802,-0.14534199237823486,-0.07247659740886547,-0.0008422136306762695,-0.08110684156417847,-0.05057960553011753,-0.0622333288192749,-0.198167622089386,-0.02129228217444279,-0.05139666795730591,-0.21272510290145874,-0.060532206575487635,-0.044293224811553955,-0.13990849256515503,-0.05559805584988453,-0.037183940410614014,-0.09775316715240479,-0.03872930062851765
T,0.0,0.0,0.0,0.060862600803375244,-0.056554555892944336,-0.03885755728188656,0.09288167953491211,-0.1653626561164856,-0.050550949230824926,0.07705634832382202,-0.2610211968421936,-0.05901751707497738,0.0679897665977478,-0.3389010429382324,-0.06104753579202793,0.08274596929550171,-0.22972744703292847,-0.019133642718230703,0.10209488868713379,-0.30345314741134644,-0.06575587432089947,0.07600432634353638,-0.2416599988937378,-0.08920785079899929,0.05793708562850952,-0.17473405599594116,-0.09567739109698437,0.029331356287002563,-0.22916555404663086,-0.01389906223121784,0.031971871852874756,-0.30414968729019165,-0.07135354022685192,0.022651731967926025,-0.21964865922927856,-0.08720272819701336,0.02704748511314392,-0.1424950361251831,-0.08062855939570568,-0.017677664756774902,-0.21730774641036987,-0.016379401490127066,-0.015582770109176636,-0.24199771881103516,-0.07395228038731716,-0.010326892137527466,-0.1464887261390686,-0.07050167064372204,-0.0010384619235992432,-0.08265841007232666,-0.048853353068267324,-0.06321507692337036,-0.19756591320037842,-0.021428578004275778,-0.0521237850189209,-0.21201622486114502,-0.05995003546777866,-0.04439884424209595,-0.14026904106140137,-0.05512804578248165,-0.0365486741065979,-0.09846794605255127,-0.03867585624757908
T,0.0,0.0,0.0,0.06061053276062012,-0.05645257234573364,-0.0385548107391287,0.09277510643005371,-0.16489237546920776,-0.05009235889372121,0.07751333713531494,-0.2608391046524048,-0.058422968543140996,0.0684921145439148,-0.33923518657684326,-0.060438484705059636,0.08422666788101196,-0.22848087549209595,-0.017738335586159337,0.10280740261077881,-0.3033703565597534,-0.0639323525196005,0.07638657093048096,-0.24291330575942993,-0.0874180577760626,0.05771368741989136,-0.17518848180770874,-0.09376802370604764,0.030570775270462036,-0.22788399457931519,-0.012466553418903459,0.0318206250667572,-0.30476927757263184,-0.0692501522665907,0.02294868230819702,-0.2218092679977417,-0.08555711880978834,0.027658790349960327,-0.14483338594436646,-0.07928799912986051,-0.016845256090164185,-0.21613723039627075,-0.014828745095996965,-0.015317678451538086,-0.2426062822341919,-0.07231459841784726,-0.009296029806137085,-0.1471962332725525,-0.06936366931256543,0.000376969575881958,-0.08331072330474854,-0.04787102044281255,-0.06245964765548706,-0.1963261365890503,-0.019617711014120687,-0.05176103115081787,-0.21319228410720825,-0.058039155608980764,-0.043876707553863525,-0.14123272895812988,-0.0529821075564314,-0.036254823207855225,-0.09926652908325195,-0.03623738960084211
T,0.0,0.0,0.0,0.060418516397476196,-0.05710160732269287,-0.038728784251901516,0.0922178328037262,-0.1660732626914978,-0.05049099348852337,0.0771152675151825,-0.2619544267654419,-0.05915543012687863,0.06771466135978699,-0.34020400047302246,-0.061411775130721935,0.08279481530189514,-0.22950077056884766,-0.017923812795373806,0.10185310244560242,-0.3039401173591614,-0.06519655086466969,0.07604405283927917,-0.24256634712219238,-0.08931430377433003,0.057587653398513794,-0.17463910579681396,-0.09586461581656636,0.029451072216033936,-0.2285875678062439,-0.01277710818121136,0.0316145122051239,-0.30497080087661743,-0.07039180346200169,0.022609293460845947,-0.2212918996810913,-0.0868068481273383,0.026865780353546143,-0.1442926526069641,-0.08050420828530491,-0.017702728509902954,-0.2165297269821167,-0.01542627945909203,-0.015567749738693237,-0.24281585216522217,-0.07358603872725666,-0.009737640619277954,-0.1469002366065979,-0.0705334837026328,-0.0003898143768310547,-0.08280140161514282,-0.04884793930122555,-0.0632375180721283,-0.19684487581253052,-0.02056909114489258,-0.052105218172073364,-0.21270990371704102,-0.059405393380615124,-0.04423165321350098,-0.14052355289459229,-0.054447058070394405,-0.0365884006023407,-0.09850889444351196,-0.03769425250956715
