label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
V,0.0,0.0,0.0,0.03396439552307129,-0.05155152082443237,-0.0419795571801842,0.03841906785964966,-0.1331285834312439,-0.0541909581957043,-0.003991425037384033,-0.19700074195861816,-0.0625786765453995,-0.0430179238319397,-0.23877352476119995,-0.0677824153540314,0.06123769283294678,-0.2221803069114685,-0.017460445219057874,0.0865163803100586,-0.3119049072265625,-0.03987762545921214,0.10134035348892212,-0.3718665838241577,-0.05462865745403178,0.10913455486297607,-0.4221639633178711,-0.06239248281099208,0.019864916801452637,-0.22231894731521606,-0.01156518449761279,0.012958228588104248,-0.3254292607307434,-0.038234724008816556,0.009286582469940186,-0.39089593291282654,-0.055196078771132306,0.004782378673553467,-0.44610100984573364,-0.06042896425105937,-0.01618826389312744,-0.19906169176101685,-0.011569101640361623,-0.028421640396118164,-0.23058736324310303,-0.05799893503763087,-0.017503738403320312,-0.17488521337509155,-0.07273471941925891,-0.010830938816070557,-0.1402266025543213,-0.06595066776253589,-0.043270766735076904,-0.16630977392196655,-0.013870331735688524,-0.04875141382217407,-0.19400614500045776,-0.05114377503969081,-0.037572503089904785,-0.15339720249176025,-0.055702867263335065,-0.03063303232192993,-0.12243074178695679,-0.047940237724560575
V,0.0,0.0,0.0,0.033247411251068115,-0.04904472827911377,-0.042999740538675724,0.03853994607925415,-0.12985211610794067,-0.05627395942576641,-0.002304673194885254,-0.19469773769378662,-0.06553595497973674,-0.040513575077056885,-0.2398783564567566,-0.07155307367213481,0.062423765659332275,-0.22187203168869019,-0.019262246636230884,0.08683925867080688,-0.3118615746498108,-0.042204364982922016,0.1014777421951294,-0.37209153175354004,-0.057105857727606235,0.10926985740661621,-0.4222205877304077,-0.06477494522698635,0.021228551864624023,-0.2224530577659607,-0.012919917551357685,0.013973534107208252,-0.3258846402168274,-0.040679868159372745,0.009955167770385742,-0.3921974301338196,-0.05792491122849697,0.005188643932342529,-0.4474799931049347,-0.06293150767453426,-0.014710307121276855,-0.19980233907699585,-0.012413780984957157,-0.029580354690551758,-0.22994214296340942,-0.0599271243787598,-0.018815994262695312,-0.1724955439567566,-0.07414869203932994,-0.01176220178604126,-0.13595736026763916,-0.06657187625535244,-0.042016804218292236,-0.1679345965385437,-0.014250476693291603,-0.04868912696838379,-0.19353199005126953,-0.052415285108168064,-0.037731051445007324,-0.15044623613357544,-0.056673522887308536,-0.030269861221313477,-0.11850923299789429,-0.048308346269209324
V,0.0,0.0,0.0,0.03292316198348999,-0.04953068494796753,-0.04161903578244619,0.03855609893798828,-0.13062763214111328,-0.05471364352308683,-0.002256035804748535,-0.1955062747001648,-0.06422290522061758,-0.041898906230926514,-0.2382315993309021,-0.07079299855433874,0.060916781425476074,-0.22120046615600586,-0.01827456186913423,0.08571124076843262,-0.31068670749664307,-0.04067092704974584,0.0998353362083435,-0.3706393837928772,-0.05543570536576681,0.1074221134185791,-0.4207514226436615,-0.06305393147670202,0.020006120204925537,-0.22125518321990967,-0.012458621891369148,0.012653172016143799,-0.3245987296104431,-0.03992053064905576,0.0084075927734375,-0.3909555673599243,-0.057245764317144676,0.0035766959190368652,-0.446498841047287,-0.06251889038287572,-0.01550370454788208,-0.1987982988357544,-0.012246085697938724,-0.03019469976425171,-0.23041468858718872,-0.05938292238317899,-0.0199049711227417,-0.1731431484222412,-0.0736929731389182,-0.013413786888122559,-0.1348867416381836,-0.06629365253650121,-0.04228103160858154,-0.16771841049194336,-0.014225503796865269,-0.04906827211380005,-0.19689851999282837,-0.05168380159341268,-0.038204193115234375,-0.15425938367843628,-0.05549208018385343,-0.030862152576446533,-0.12052923440933228,-0.04695806968413763
V,0.0,0.0,0.0,0.03361809253692627,-0.049441397190093994,-0.0425842191395418,0.03970825672149658,-0.13085907697677612,-0.05579484732123774,-0.0013418793678283691,-0.19644087553024292,-0.06515918405028742,-0.04065769910812378,-0.24036699533462524,-0.0714768740651266,0.06281989812850952,-0.22074812650680542,-0.018600641873206314,0.08701527118682861,-0.3108384609222412,-0.04115089134546679,0.10077905654907227,-0.3712703585624695,-0.055931483518804725,0.10811543464660645,-0.42178434133529663,-0.06350803108188074,0.021616458892822266,-0.22116458415985107,-0.012281105977024254,0.014005541801452637,-0.3246103525161743,-0.040079300415243324,0.009888112545013428,-0.391611248254776,-0.05728386820527476,0.00502324104309082,-0.44771674275398254,-0.06217725680443209,-0.0141562819480896,-0.19868212938308716,-0.011672572356189903,-0.029037415981292725,-0.23028039932250977,-0.059569274198736366,-0.018014609813690186,-0.17116135358810425,-0.0732432353613035,-0.010826647281646729,-0.13272827863693237,-0.06495327235433024,-0.0415349006652832,-0.16752570867538452,-0.013302724931861576,-0.04825800657272339,-0.19669091701507568,-0.05161771283718508,-0.037371814250946045,-0.1530064344406128,-0.055065755855764564,-0.030042409896850586,-0.11962121725082397,-0.04591170431348246
V,0.0,0.0,0.0,0.0327686071395874,-0.05025482177734375,-0.04186739180386212,0.0377347469329834,-0.13223260641098022,-0.05448969978988316,-0.003926455974578857,-0.19687223434448242,-0.06332137961089757,-0.04398167133331299,-0.23810237646102905,-0.06917270053327229,0.05822634696960449,-0.22217857837677002,-0.018300547862054373,0.0835409164428711,-0.3109719157218933,-0.04039773125350621,0.09780347347259521,-0.37098264694213867,-0.05506162498295453,0.10529619455337524,-0.4207080006599426,-0.06273546595275548,0.01690685749053955,-0.2210051417350769,-0.01240024868548062,0.009789884090423584,-0.323988139629364,-0.039195010104776884,0.006064414978027344,-0.39016205072402954,-0.056354311892391706,0.0013010501861572266,-0.4448985457420349,-0.06181145612299588,-0.01873171329498291,-0.19721198081970215,-0.012197103948892618,-0.03177767992019653,-0.22982382774353027,-0.05854663405716565,-0.020441710948944092,-0.17476403713226318,-0.07334606129825261,-0.013755381107330322,-0.13784056901931763,-0.06666905958354619,-0.04542279243469238,-0.165022611618042,-0.014274712318183447,-0.051044583320617676,-0.19483566284179688,-0.05151812140047696,-0.039453327655792236,-0.15375465154647827,-0.056058877745272184,-0.0319521427154541,-0.12069511413574219,-0.048280501404406095
V,0.0,0.0,0.0,0.03343784809112549,-0.05115711688995361,-0.04114744156032657,0.03788691759109497,-0.13054662942886353,-0.05387108489304637,-0.0029088854789733887,-0.19357120990753174,-0.06292097731858348,-0.042642176151275635,-0.2348496913909912,-0.06897562458544826,0.058697402477264404,-0.22109681367874146,-0.017562431240378373,0.08257085084915161,-0.30835258960723877,-0.03979633092313861,0.09590810537338257,-0.367618203163147,-0.055018567437230104,0.10326582193374634,-0.4166122078895569,-0.06319786324530696,0.017844200134277344,-0.22010570764541626,-0.011809762524364942,0.010021090507507324,-0.3215245008468628,-0.03782734736233806,0.005841076374053955,-0.3871280550956726,-0.055491414809523576,0.0018349289894104004,-0.4416143298149109,-0.061973326796589845,-0.017794132232666016,-0.19645124673843384,-0.011711896354256623,-0.03063344955444336,-0.22851723432540894,-0.056358699643908494,-0.02013099193572998,-0.17795342206954956,-0.07190026059180354,-0.014016032218933105,-0.14263242483139038,-0.06681528403788661,-0.044758737087249756,-0.16379445791244507,-0.013923637526033872,-0.0498923659324646,-0.19116318225860596,-0.04979912652999019,-0.03816664218902588,-0.15315037965774536,-0.05507507636576747,-0.03072488307952881,-0.12149637937545776,-0.04856320559412097
V,0.0,0.0,0.0,0.033598244190216064,-0.05052649974822998,-0.0426528106380033,0.037885308265686035,-0.12975692749023438,-0.0554273228097486,-0.0016670823097229004,-0.19348198175430298,-0.06401431811337943,-0.0408930778503418,-0.23507750034332275,-0.06960827363019462,0.059640347957611084,-0.21695327758789062,-0.019398559530429793,0.08347499370574951,-0.3059609532356262,-0.04076946405058379,0.09588682651519775,-0.36535727977752686,-0.0553767035651731,0.10243552923202515,-0.4153133034706116,-0.06353282434230323,0.01896899938583374,-0.2172783613204956,-0.012378372897558165,0.011852264404296875,-0.31772375106811523,-0.03757367533927436,0.007777273654937744,-0.3831065893173218,-0.05520480004435058,0.004056334495544434,-0.4377911686897278,-0.062313659762196494,-0.016870319843292236,-0.19522935152053833,-0.01104050380473609,-0.02951192855834961,-0.2301543951034546,-0.05449843284969802,-0.02096998691558838,-0.18139547109603882,-0.07083908719306464,-0.016329944133758545,-0.14693766832351685,-0.06717231375461097,-0.04396182298660278,-0.16453176736831665,-0.012177214672021819,-0.04974883794784546,-0.19166851043701172,-0.04795237136369224,-0.03920632600784302,-0.15494149923324585,-0.05478142080193038,-0.032816946506500244,-0.1239156723022461,-0.049937250738196326
V,0.0,0.0,0.0,0.033489108085632324,-0.05025672912597656,-0.04182833607865177,0.03826838731765747,-0.1300029158592224,-0.05403084110093914,-0.0012286901473999023,-0.1936272382736206,-0.062083789963253366,-0.040592730045318604,-0.23465824127197266,-0.06707781727982365,0.05935460329055786,-0.2155306339263916,-0.01830129872632824,0.08326643705368042,-0.3049773573875427,-0.03830581705642544,0.0960087776184082,-0.3642072081565857,-0.05201162572575413,0.10245412588119507,-0.4136699438095093,-0.05954951595140301,0.018941044807434082,-0.21595507860183716,-0.01128905161840521,0.012033700942993164,-0.31620532274246216,-0.03511858906222187,0.007758617401123047,-0.3816964030265808,-0.05205030168963276,0.0028792619705200195,-0.43607980012893677,-0.058796683210857736,-0.01633983850479126,-0.19437658786773682,-0.0098602621592363,-0.02820003032684326,-0.23010176420211792,-0.05174868728590809,-0.01907217502593994,-0.18221831321716309,-0.06750966783238255,-0.014676034450531006,-0.14897924661636353,-0.06372615869713627,-0.043163955211639404,-0.16487973928451538,-0.010878798436351644,-0.047605693340301514,-0.1961422562599182,-0.04489102761817776,-0.03691232204437256,-0.16204684972763062,-0.05089432548356854,-0.030805647373199463,-0.1329127550125122,-0.04580108623576962
V,0.0,0.0,0.0,0.034592628479003906,-0.04843872785568237,-0.04344519547521486,0.04079306125640869,-0.1294335126876831,-0.05589492938815965,0.0010715126991271973,-0.1938256025314331,-0.06372913292943849,-0.03850144147872925,-0.23518335819244385,-0.06839306972324266,0.06161099672317505,-0.21435731649398804,-0.020109665983909508,0.08573824167251587,-0.3041965365409851,-0.04040650970637216,0.09808135032653809,-0.3634847402572632,-0.05402603320180788,0.1045081615447998,-0.4131103754043579,-0.06157299450933351,0.020790696144104004,-0.21508949995040894,-0.012530088828498265,0.01316148042678833,-0.3158652186393738,-0.0366706842869462,0.01000434160232544,-0.3819228410720825,-0.05306963569819345,0.006281256675720215,-0.4364122450351715,-0.05928061477243318,-0.01488184928894043,-0.19306683540344238,-0.010695209199184319,-0.02655661106109619,-0.22849023342132568,-0.0536430510073842,-0.017170608043670654,-0.17883747816085815,-0.06903852097093477,-0.012904644012451172,-0.14591997861862183,-0.06468283704816713,-0.04181230068206787,-0.16278159618377686,-0.011398587779694935,-0.046812593936920166,-0.19137340784072876,-0.04738382197319879,-0.036820948123931885,-0.15488260984420776,-0.05382515064775362,-0.03190070390701294,-0.12561970949172974,-0.048635959097737214
V,0.0,0.0,0.0,0.03300178050994873,-0.04976522922515869,-0.04163580354469332,0.03783375024795532,-0.12897378206253052,-0.05375071954148325,-0.0015065670013427734,-0.1922663450241089,-0.06172236394303354,-0.03975313901901245,-0.23472964763641357,-0.0665529776753715,0.060679495334625244,-0.2134341597557068,-0.018516569996052112,0.0842178463935852,-0.3039059042930603,-0.0386964749934009,0.096890389919281,-0.36232510209083557,-0.0523174737037948,0.10320913791656494,-0.41126394271850586,-0.05961808901446375,0.020151197910308838,-0.21417343616485596,-0.011433387772910919,0.012884020805358887,-0.31479787826538086,-0.03549068760293039,0.008626222610473633,-0.37943485379219055,-0.052185345107488956,0.003884255886077881,-0.4338175654411316,-0.05853255804794344,-0.015363097190856934,-0.19343703985214233,-0.009926515297763672,-0.02599233388900757,-0.22874069213867188,-0.05171861093657526,-0.01671445369720459,-0.17902708053588867,-0.06696956943886789,-0.01207643747329712,-0.14631342887878418,-0.062721062117987,-0.04185044765472412,-0.16484582424163818,-0.01084276255386385,-0.04565572738647461,-0.1954614520072937,-0.04425202276723894,-0.03494119644165039,-0.16140955686569214,-0.049671284520798054,-0.0285947322845459,-0.13370764255523682,-0.04415229302065882
