label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
W,0.0,0.0,0.0,0.031213998794555664,-0.04931366443634033,-0.04451911638528827,0.034395694732666016,-0.1292780637741089,-0.057231762661047014,-0.008144557476043701,-0.19159162044525146,-0.0652639802828503,-0.04721039533615112,-0.23520278930664062,-0.0700002398625088,0.05692082643508911,-0.220659077167511,-0.019982175184793505,0.0802079439163208,-0.3107852339744568,-0.042099544061727556,0.0933656096458435,-0.370782732963562,-0.056322557134933504,0.10047459602355957,-0.4206874966621399,-0.06350913758427623,0.016202092170715332,-0.2200426459312439,-0.012195327533788713,0.004227697849273682,-0.3208150863647461,-0.039580610795326265,-0.002478659152984619,-0.3855636715888977,-0.0566761914923859,-0.0089913010597229,-0.43954551219940186,-0.06152254085094455,-0.018669962882995605,-0.19689267873764038,-0.010385610377795729,-0.03460431098937988,-0.22638851404190063,-0.05864475782067302,-0.022047221660614014,-0.1672520637512207,-0.07402503605038646,-0.013440132141113281,-0.1303011178970337,-0.06692775453478816,-0.04427182674407959,-0.16639387607574463,-0.010869242465503248,-0.052263468503952026,-0.1934916377067566,-0.05062583203465465,-0.040287137031555176,-0.15074098110198975,-0.05627780149728778,-0.03162258863449097,-0.11886149644851685,-0.04859566430599216
W,0.0,0.0,0.0,0.03058004379272461,-0.05038046836853027,-0.044501710152530904,0.03291386365890503,-0.13008075952529907,-0.05721001273980164,-0.009069561958312988,-0.1921405792236328,-0.0653762178777697,-0.04814791679382324,-0.23511284589767456,-0.07026682368507409,0.05656343698501587,-0.22081393003463745,-0.019268072610998388,0.07965224981307983,-0.3106244206428528,-0.04133028856506371,0.09270238876342773,-0.37060970067977905,-0.055846325522566076,0.09967505931854248,-0.4206085503101349,-0.06334685853710198,0.015874922275543213,-0.22008180618286133,-0.011449867328906294,0.003794550895690918,-0.32061636447906494,-0.0387983167826178,-0.0031664371490478516,-0.3857543468475342,-0.056102141207361456,-0.009903013706207275,-0.44022101163864136,-0.06123732349863076,-0.019110143184661865,-0.19703924655914307,-0.009701361349129911,-0.03499579429626465,-0.2272181510925293,-0.05775359964957261,-0.02287393808364868,-0.168562650680542,-0.07330307683935189,-0.014517009258270264,-0.1317330002784729,-0.06643484107246422,-0.044835805892944336,-0.16688013076782227,-0.010317969536686178,-0.05268862843513489,-0.1945551633834839,-0.04996940440526032,-0.04092514514923096,-0.1523018479347229,-0.05594590253224396,-0.032207369804382324,-0.120547354221344,-0.04861297032823586
W,0.0,0.0,0.0,0.030729591846466064,-0.050113677978515625,-0.044935820508044344,0.03325057029724121,-0.129433274269104,-0.05788688908819495,-0.008581697940826416,-0.19173580408096313,-0.06617774989013014,-0.04765152931213379,-0.23514342308044434,-0.07118825044040022,0.05663037300109863,-0.21996456384658813,-0.020201520878117663,0.07959306240081787,-0.31019848585128784,-0.04259728069905577,0.09257614612579346,-0.37031280994415283,-0.05725359718803702,0.09963983297348022,-0.4204881191253662,-0.06475603010062514,0.016113460063934326,-0.21960067749023438,-0.012156795594137293,0.003975331783294678,-0.3201068043708801,-0.0398142951310092,-0.0031038522720336914,-0.38536566495895386,-0.05729629274014769,-0.00995492935180664,-0.43980729579925537,-0.06258125777844725,-0.01880723237991333,-0.19733405113220215,-0.010200731340091806,-0.03513866662979126,-0.22717273235321045,-0.05837639968399344,-0.023034214973449707,-0.16864991188049316,-0.0740579384148532,-0.014647424221038818,-0.1316695213317871,-0.06732668902282057,-0.04457056522369385,-0.168451189994812,-0.010660902480822187,-0.05277639627456665,-0.19690126180648804,-0.04996594961289702,-0.041073620319366455,-0.15575265884399414,-0.05593793268803893,-0.03238391876220703,-0.12468832731246948,-0.0487838069677764
W,0.0,0.0,0.0,0.030551671981811523,-0.04935997724533081,-0.04605542173459298,0.033610403537750244,-0.12986809015274048,-0.05827536856605775,-0.008118152618408203,-0.1931236982345581,-0.06540663963033921,-0.0471683144569397,-0.23700016736984253,-0.06920447623207338,0.05797606706619263,-0.22140365839004517,-0.019410159940264293,0.0800676941871643,-0.3117671012878418,-0.040878184641144344,0.09291410446166992,-0.37195494771003723,-0.05493837645127542,0.09976911544799805,-0.42164796590805054,-0.06193656151964433,0.01739025115966797,-0.22064924240112305,-0.010572571808836528,0.004768311977386475,-0.3220740556716919,-0.037355922663948604,-0.0026621222496032715,-0.3874867260456085,-0.054758251214764186,-0.010066032409667969,-0.44151562452316284,-0.05976546978428132,-0.01760631799697876,-0.1978784203529358,-0.007984925562880107,-0.034745991230010986,-0.22738492488861084,-0.05654376050307519,-0.02230513095855713,-0.16746622323989868,-0.07325627332403428,-0.013595402240753174,-0.1300722360610962,-0.06677495365812547,-0.04368811845779419,-0.16875267028808594,-0.00776594880818493,-0.052103638648986816,-0.1982642412185669,-0.047870100045940944,-0.040650129318237305,-0.15541136264801025,-0.05436398139073617,-0.03229743242263794,-0.12303656339645386,-0.04724222471787698
W,0.0,0.0,0.0,0.029713869094848633,-0.05043572187423706,-0.04587339481537356,0.03148621320724487,-0.13142293691635132,-0.057944411991286415,-0.00999671220779419,-0.19399809837341309,-0.06488751491730227,-0.0490800142288208,-0.2374436855316162,-0.06842855235760226,0.055180370807647705,-0.2217317819595337,-0.020335807113099236,0.07815057039260864,-0.3126017451286316,-0.04150189703528895,0.09094482660293579,-0.37287437915802,-0.05530502146308436,0.09741342067718506,-0.4226362705230713,-0.06227533390944018,0.014932215213775635,-0.22009730339050293,-0.011632918959605831,0.003204166889190674,-0.32189565896987915,-0.03780777251546397,-0.004259586334228516,-0.3876701593399048,-0.055161184279370445,-0.011851906776428223,-0.4422053098678589,-0.06070388725225939,-0.019888460636138916,-0.19658058881759644,-0.009117979204404492,-0.03503984212875366,-0.22877734899520874,-0.056387553570914406,-0.023124277591705322,-0.17159247398376465,-0.07357427349512591,-0.01518326997756958,-0.13573437929153442,-0.06823108962004198,-0.04510766267776489,-0.16638529300689697,-0.009035624211776394,-0.05237036943435669,-0.19709324836730957,-0.04805248474900736,-0.04016828536987305,-0.15779495239257812,-0.05522393306915774,-0.03150582313537598,-0.1271786093711853,-0.049246697334695
W,0.0,0.0,0.0,0.03015035390853882,-0.04850810766220093,-0.046815079025009254,0.032567739486694336,-0.12955224514007568,-0.05980302797911463,-0.009239137172698975,-0.19290977716445923,-0.06760212438462077,-0.048908233642578125,-0.23722600936889648,-0.07198221640942393,0.056212782859802246,-0.22184228897094727,-0.02055948073325453,0.07819408178329468,-0.3119337558746338,-0.04294994132874308,0.09110850095748901,-0.3722514510154724,-0.05756306307671366,0.09830516576766968,-0.4223228394985199,-0.06507792728302775,0.0159304141998291,-0.2209317684173584,-0.011654307453909496,0.0031295418739318848,-0.32251548767089844,-0.03917405041215716,-0.003949880599975586,-0.38803666830062866,-0.05663949283120928,-0.010426342487335205,-0.44249022006988525,-0.06180330770371256,-0.018785178661346436,-0.19767498970031738,-0.009106594457307438,-0.03666079044342041,-0.22716408967971802,-0.05804092468974886,-0.0246126651763916,-0.1686498522758484,-0.07441725241301356,-0.015640735626220703,-0.1323680281639099,-0.06792552428601084,-0.044593751430511475,-0.16752970218658447,-0.009066160156407932,-0.0541539192199707,-0.19281578063964844,-0.049978226742723564,-0.042275071144104004,-0.14944690465927124,-0.05702752279398737,-0.03313720226287842,-0.11812543869018555,-0.05033299731371699
W,0.0,0.0,0.0,0.030260801315307617,-0.049117207527160645,-0.045624961888734106,0.03286862373352051,-0.12967342138290405,-0.058272076582852605,-0.009332716464996338,-0.19243967533111572,-0.0659370923399365,-0.04858916997909546,-0.2363290786743164,-0.07027923110717893,0.05655890703201294,-0.2216247320175171,-0.020520750245395902,0.07894080877304077,-0.31198650598526,-0.042785396611634496,0.09187400341033936,-0.372240275144577,-0.057085135763827566,0.09888726472854614,-0.42183437943458557,-0.06421080771679044,0.016000747680664062,-0.2210397720336914,-0.012204076906982664,0.0038597583770751953,-0.3232154846191406,-0.03966203499430776,-0.0028433799743652344,-0.3879583775997162,-0.057048687523547414,-0.009376943111419678,-0.4418233335018158,-0.06205840203756452,-0.018963158130645752,-0.19814211130142212,-0.010013535430971388,-0.03539156913757324,-0.2282705307006836,-0.05861715022319913,-0.022842466831207275,-0.16924071311950684,-0.07478709313863874,-0.01405942440032959,-0.13254302740097046,-0.06815431807035566,-0.044764041900634766,-0.16837620735168457,-0.010184893196765188,-0.05284905433654785,-0.1974799633026123,-0.049991423076335195,-0.04045957326889038,-0.15603423118591309,-0.056175129300299886,-0.031322598457336426,-0.12527018785476685,-0.04903429541582227
W,0.0,0.0,0.0,0.030651092529296875,-0.04948920011520386,-0.04554824626217169,0.03341144323348999,-0.1302262544631958,-0.05764114579329771,-0.008712828159332275,-0.19330662488937378,-0.0647028358853845,-0.047588467597961426,-0.23743277788162231,-0.06834958216319365,0.05723649263381958,-0.22242754697799683,-0.019840897080996456,0.07968229055404663,-0.31309938430786133,-0.04183616956839842,0.09241974353790283,-0.3734065592288971,-0.055952423272231044,0.09923005104064941,-0.4234203100204468,-0.06290464570889753,0.016702592372894287,-0.22214919328689575,-0.011420367305674972,0.004867076873779297,-0.3232612609863281,-0.038349886444905223,-0.0022476911544799805,-0.3883518576622009,-0.05539480691919607,-0.009263277053833008,-0.4427325129508972,-0.0601811567522077,-0.01824575662612915,-0.19941741228103638,-0.009217537028291645,-0.035221993923187256,-0.22880029678344727,-0.05776922872433943,-0.022458910942077637,-0.1683272123336792,-0.07409380844006819,-0.01338815689086914,-0.13072121143341064,-0.06743046363959593,-0.04398220777511597,-0.169322669506073,-0.00937253518173975,-0.052857786417007446,-0.197634756565094,-0.04954972213278097,-0.04060935974121094,-0.15479308366775513,-0.055977416244843425,-0.03166401386260986,-0.12267351150512695,-0.04881572073469442
W,0.0,0.0,0.0,0.03023165464401245,-0.0494038462638855,-0.04606123224999692,0.033080220222473145,-0.13023865222930908,-0.05821009309198644,-0.008622288703918457,-0.19361895322799683,-0.0651648040225723,-0.04749804735183716,-0.23810040950775146,-0.06865213767792966,0.05746638774871826,-0.22211366891860962,-0.020477758284471292,0.07983022928237915,-0.3133021593093872,-0.04230314449574735,0.09259951114654541,-0.37356364727020264,-0.056288774620554705,0.09940576553344727,-0.42339879274368286,-0.0630958895495155,0.016873061656951904,-0.22142887115478516,-0.011810683209262152,0.00524747371673584,-0.3233453631401062,-0.03853199214842107,-0.0018132925033569336,-0.3886335492134094,-0.055619980703852434,-0.008923053741455078,-0.44283974170684814,-0.060541931103728075,-0.018171489238739014,-0.1987709403038025,-0.009403562668524046,-0.03431737422943115,-0.2294764518737793,-0.05769375668074872,-0.021574199199676514,-0.16970187425613403,-0.07436521307732846,-0.012682974338531494,-0.13254475593566895,-0.06809277043845441,-0.04375624656677246,-0.16920852661132812,-0.009399986389837522,-0.05165499448776245,-0.19980740547180176,-0.04893215329553868,-0.03908175230026245,-0.15915298461914062,-0.055407665233872194,-0.030017733573913574,-0.1283249855041504,-0.04856490672733571
W,0.0,0.0,0.0,0.03087526559829712,-0.050377488136291504,-0.04558969963909476,0.03362929821014404,-0.13097220659255981,-0.05784274940015166,-0.00800091028213501,-0.1934869885444641,-0.0650663629603514,-0.04655659198760986,-0.23707610368728638,-0.06886808876515715,0.05714982748031616,-0.22220516204833984,-0.020472188709391048,0.07974094152450562,-0.31343573331832886,-0.041972070230258396,0.09216749668121338,-0.3736809492111206,-0.05604625423075049,0.09891563653945923,-0.42389050126075745,-0.0632704377603659,0.01659148931503296,-0.22170698642730713,-0.011961722044361522,0.004783451557159424,-0.32283127307891846,-0.03830575500251143,-0.0020145773887634277,-0.3884272873401642,-0.0554940171969065,-0.00846022367477417,-0.4434700012207031,-0.060899514002812793,-0.018356025218963623,-0.1987675428390503,-0.009578627763403347,-0.0344579815864563,-0.23006784915924072,-0.05692158569218009,-0.02201366424560547,-0.1715404987335205,-0.07318884436608641,-0.013333916664123535,-0.13484740257263184,-0.06715739820720046,-0.04391294717788696,-0.1686006784439087,-0.009636975122703006,-0.05206134915351868,-0.198381245136261,-0.048797014398587635,-0.0396997332572937,-0.15770721435546875,-0.05532396514536231,-0.030646681785583496,-0.12656861543655396,-0.048747143937362125
