label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
X,0.0,0.0,0.0,0.05497008562088013,-0.11691904067993164,-0.0041237618781835295,0.07119905948638916,-0.2245800495147705,-0.024795099255463526,0.08335435390472412,-0.3005303740501404,-0.05383651806118195,0.08738917112350464,-0.3351483941078186,-0.08277303455474083,-0.05594050884246826,-0.32655149698257446,-0.017475484964272425,-0.03249245882034302,-0.44626379013061523,-0.053532921803018496,-0.013222873210906982,-0.5364887416362762,-0.07781184939744179,-0.0017402172088623047,-0.6095562279224396,-0.09533204613330071,-0.0868028998374939,-0.30042827129364014,-0.04008969767095749,0.028218567371368408,-0.3449254035949707,-0.09028947828414147,0.058001041412353516,-0.2672910690307617,-0.10077212480904763,0.03935503959655762,-0.21956110000610352,-0.10001899031998818,-0.08934110403060913,-0.2572200894355774,-0.06429185448291008,0.03321528434753418,-0.28165072202682495,-0.10922087458970253,0.05171012878417969,-0.20433390140533447,-0.09721334008576576,0.028707921504974365,-0.16427814960479736,-0.0811840119779319,-0.07525429129600525,-0.2074730396270752,-0.09057622132899468,0.022308349609375,-0.22343909740447998,-0.11569831995370095,0.03854775428771973,-0.16703778505325317,-0.10387630490662758,0.01852196455001831,-0.13146871328353882,-0.09004665641190712
X,0.0,0.0,0.0,0.05444347858428955,-0.11538070440292358,-0.0017172723730922712,0.06893652677536011,-0.22116631269454956,-0.02026111497095684,0.08071732521057129,-0.2941630482673645,-0.04744237339607338,0.08990532159805298,-0.33893996477127075,-0.07448418489209274,-0.056363433599472046,-0.3257555365562439,-0.015083595686768092,-0.034049391746520996,-0.44550877809524536,-0.050491817803298034,-0.014541327953338623,-0.5350161492824554,-0.07456170073262314,-0.0030063092708587646,-0.6075550317764282,-0.09196029654255966,-0.08657839894294739,-0.2998707890510559,-0.03838388672581772,0.027321815490722656,-0.3454968333244324,-0.08749947002640823,0.05774039030075073,-0.268593966960907,-0.09815973094216446,0.040299832820892334,-0.2206404209136963,-0.09789604744425873,-0.0886402428150177,-0.2567591071128845,-0.06307187727204422,0.03180283308029175,-0.2810264229774475,-0.10710714808217148,0.05083298683166504,-0.2040838599205017,-0.09463006308785538,0.02874922752380371,-0.16416698694229126,-0.07850927165261368,-0.07493579387664795,-0.20665240287780762,-0.0895822500299559,0.020022273063659668,-0.22325515747070312,-0.11435069194546799,0.036476194858551025,-0.16734421253204346,-0.1017742534588919,0.016917049884796143,-0.13219279050827026,-0.08742075464240173
X,0.0,0.0,0.0,0.05398020148277283,-0.1177409291267395,0.0009506558064096282,0.06761106848716736,-0.2229505181312561,-0.01677568173075983,0.07987120747566223,-0.29518741369247437,-0.04380507683421442,0.08874067664146423,-0.3441028594970703,-0.07069615935946771,-0.05826091766357422,-0.32802027463912964,-0.011148065422130315,-0.03393954038619995,-0.44580674171447754,-0.04760209387208292,-0.011124014854431152,-0.5336978137493134,-0.07286065733100244,0.004163831472396851,-0.6047959625720978,-0.09082876807118723,-0.08718276023864746,-0.30261141061782837,-0.036161619332087724,0.026385754346847534,-0.3523187041282654,-0.08593760347033808,0.05769464373588562,-0.2751867175102234,-0.09724088674451181,0.04100319743156433,-0.2268105149269104,-0.09702743506099054,-0.08851131796836853,-0.2600176930427551,-0.0627071402039654,0.03058287501335144,-0.2854918837547302,-0.10661371713544199,0.05033203959465027,-0.20831245183944702,-0.09405054813290903,0.027976125478744507,-0.16864657402038574,-0.07772963410283396,-0.07441675662994385,-0.20948302745819092,-0.09096097117329904,0.018885254859924316,-0.2263997197151184,-0.11533342963124582,0.03480377793312073,-0.1703798770904541,-0.10243052160407373,0.013824641704559326,-0.13556236028671265,-0.0878354451623089
X,0.0,0.0,0.0,0.05467629432678223,-0.11644357442855835,0.004234152045256678,0.06828582286834717,-0.22498542070388794,-0.012307375073277171,0.08129334449768066,-0.30010324716567993,-0.038896109312617,0.0871841311454773,-0.3419755697250366,-0.06574037238939923,-0.05923447012901306,-0.3259798288345337,-0.007409829515808042,-0.036700308322906494,-0.4453902840614319,-0.04173288434728306,-0.010319709777832031,-0.5304822623729706,-0.06476105317457836,0.009210735559463501,-0.597387284040451,-0.08105986133202236,-0.08696302771568298,-0.29937976598739624,-0.0337749750910632,0.023118674755096436,-0.3559320569038391,-0.08020570442064923,0.05553025007247925,-0.27977561950683594,-0.08877336546763104,0.03923863172531128,-0.23408299684524536,-0.0871918754278056,-0.08779639005661011,-0.2574464678764343,-0.061664338558756526,0.0286368727684021,-0.2885594964027405,-0.10271058544500988,0.049079060554504395,-0.2125803828239441,-0.08942996278389614,0.02630925178527832,-0.17490339279174805,-0.07353835865839642,-0.07288900017738342,-0.20916849374771118,-0.0909954340754382,0.019175440073013306,-0.23059511184692383,-0.11312340512856167,0.035441696643829346,-0.17501682043075562,-0.09978241041287106,0.013675719499588013,-0.14067566394805908,-0.08574523344620388
X,0.0,0.0,0.0,0.05575394630432129,-0.11756527423858643,0.0020376400198571787,0.06957566738128662,-0.22800910472869873,-0.014902797237432708,0.08186036348342896,-0.30417001247406006,-0.041423946328855266,0.08637744188308716,-0.3416571617126465,-0.06807145447323393,-0.05893215537071228,-0.3281850218772888,-0.008248026192582358,-0.03571763634681702,-0.4461120367050171,-0.04294567898700308,-0.010003745555877686,-0.5317302048206329,-0.06666278810093473,0.00927075743675232,-0.5995459258556366,-0.08353919506857466,-0.08693122863769531,-0.30218392610549927,-0.03344470233509611,0.023768603801727295,-0.35598325729370117,-0.08096333564112257,0.05625432729721069,-0.28069883584976196,-0.09085790038893293,0.040898680686950684,-0.2349485158920288,-0.08989576966354917,-0.08785444498062134,-0.2603287696838379,-0.06028842897007536,0.0287134051322937,-0.2889726161956787,-0.10204693646023344,0.049049556255340576,-0.21375763416290283,-0.09004074306080412,0.027180492877960205,-0.17566299438476562,-0.07460049510786604,-0.07291999459266663,-0.21194225549697876,-0.0888055411059625,0.019378215074539185,-0.2311970591545105,-0.11127053172180723,0.03517735004425049,-0.1760389804840088,-0.09899399400541853,0.014080584049224854,-0.1413981318473816,-0.08551395655462812
X,0.0,0.0,0.0,0.05366569757461548,-0.11551910638809204,0.005727189096955243,0.06609368324279785,-0.22416728734970093,-0.009314478405418214,0.07833099365234375,-0.29862314462661743,-0.03447751424521428,0.08395886421203613,-0.3426077961921692,-0.05984161890357953,-0.05990147590637207,-0.3239544630050659,-0.005937232200654563,-0.0423201322555542,-0.4426090717315674,-0.039388165839614686,-0.013269364833831787,-0.5252007246017456,-0.06131322778076154,0.010563939809799194,-0.586636871099472,-0.07624543926924687,-0.08771899342536926,-0.29808348417282104,-0.03208689487785321,0.02038562297821045,-0.3553375005722046,-0.07664770356625539,0.05480778217315674,-0.27932262420654297,-0.08387712112874013,0.040667593479156494,-0.2333669662475586,-0.0813563512942217,-0.0889350175857544,-0.25728654861450195,-0.05974600187748891,0.026283442974090576,-0.288105845451355,-0.10003570935935002,0.048860251903533936,-0.21200066804885864,-0.08656632623881322,0.028233587741851807,-0.17328763008117676,-0.07033402941435796,-0.07450249791145325,-0.21028387546539307,-0.0886011245033167,0.01696866750717163,-0.23097777366638184,-0.11024541876524907,0.03603649139404297,-0.17533761262893677,-0.09633385113686543,0.017354458570480347,-0.1404988169670105,-0.08161806783884984
X,0.0,0.0,0.0,0.05091220140457153,-0.11515253782272339,0.00364985123534467,0.06141692399978638,-0.22459733486175537,-0.011421217422217467,0.07239896059036255,-0.2981800436973572,-0.03627235146912966,0.08025151491165161,-0.34624183177948,-0.06085188763889704,-0.06389066576957703,-0.32319754362106323,-0.005725840411365368,-0.04831799864768982,-0.4377365708351135,-0.041034922774166205,-0.015424340963363647,-0.5152639150619507,-0.06414584520015154,0.0133284330368042,-0.5706928670406342,-0.0791293427601758,-0.09126806259155273,-0.2969256043434143,-0.03037783580574427,0.015194922685623169,-0.35441601276397705,-0.07662380936297808,0.04994767904281616,-0.2776952385902405,-0.08472893091592226,0.037172794342041016,-0.23216861486434937,-0.08210865857753191,-0.09312373399734497,-0.2569901943206787,-0.056975026454061606,0.021492481231689453,-0.2880174517631531,-0.09896120133551989,0.04312843084335327,-0.209980309009552,-0.08580975684079561,0.022709310054779053,-0.17033720016479492,-0.06871553214940462,-0.0802755057811737,-0.21029222011566162,-0.08489117475900088,0.010802596807479858,-0.23124480247497559,-0.10712521972808275,0.028564095497131348,-0.17524605989456177,-0.09327260854396258,0.009317517280578613,-0.14127862453460693,-0.07790668758305941
X,0.0,0.0,0.0,0.05133810639381409,-0.1160704493522644,0.004190338852223974,0.06254270672798157,-0.22749686241149902,-0.011585095354947228,0.07233110070228577,-0.3023598790168762,-0.03739472424391188,0.0720011293888092,-0.339016318321228,-0.06286260431412138,-0.06464940309524536,-0.3213133215904236,-0.006351414059880156,-0.04924964904785156,-0.43662452697753906,-0.04462320675853171,-0.011679112911224365,-0.509049266576767,-0.06971821134689726,0.02240493893623352,-0.5579175353050232,-0.08539607321623244,-0.09255051612854004,-0.29470813274383545,-0.031843758577140946,0.012123256921768188,-0.35270750522613525,-0.0791584843933908,0.04575350880622864,-0.2755610942840576,-0.08748788332346358,0.03131011128425598,-0.23211395740509033,-0.08522983586195387,-0.09569165110588074,-0.2542063593864441,-0.05959079360369124,0.01839950680732727,-0.28513723611831665,-0.10240837132337965,0.03971192240715027,-0.2068970799446106,-0.08981894647482314,0.017934173345565796,-0.16946685314178467,-0.07333829944733061,-0.08313363790512085,-0.20733094215393066,-0.08863076513412871,0.008606940507888794,-0.2269430160522461,-0.11094646846655287,0.025417357683181763,-0.17054098844528198,-0.09742721861008086,0.004208207130432129,-0.1374218463897705,-0.0826435158193437
X,0.0,0.0,0.0,0.04970136284828186,-0.11437374353408813,0.005577324868565103,0.059956878423690796,-0.22638779878616333,-0.009266417494589785,0.06974378228187561,-0.2999539375305176,-0.03445349077003668,0.07323029637336731,-0.33636391162872314,-0.059240328169042566,-0.06521451473236084,-0.3214377164840698,-0.005064864198291996,-0.050978511571884155,-0.4365730881690979,-0.04478157127516935,-0.010156065225601196,-0.5015695095062256,-0.07128264198320577,0.02726992964744568,-0.5391623973846436,-0.08693419585245321,-0.0929630696773529,-0.29467344284057617,-0.030796980506355265,0.010737210512161255,-0.35369616746902466,-0.07824044117944906,0.04670920968055725,-0.27809107303619385,-0.08752534726875494,0.03461757302284241,-0.23182553052902222,-0.08559191415327261,-0.0960993766784668,-0.2536923289299011,-0.058794023490125635,0.01778864860534668,-0.2836386561393738,-0.10121748784797857,0.04047539830207825,-0.2046923041343689,-0.0892465431453533,0.020116716623306274,-0.16449213027954102,-0.07273076663034628,-0.0843067467212677,-0.20610690116882324,-0.08796195129173467,0.0070091187953948975,-0.2250131368637085,-0.10925521889942358,0.024287313222885132,-0.1685442328453064,-0.09547733703869055,0.003873974084854126,-0.1346392035484314,-0.08025857249515722
X,0.0,0.0,0.0,0.049568623304367065,-0.11509603261947632,0.00521734939193319,0.06098935008049011,-0.22658449411392212,-0.010328357804064048,0.07054224610328674,-0.30101680755615234,-0.03619253984415938,0.07211187481880188,-0.3380633592605591,-0.06158053478920866,-0.06479722261428833,-0.3215688467025757,-0.005723365347329867,-0.050733089447021484,-0.43743324279785156,-0.04554181894982268,-0.009859621524810791,-0.5025274753570557,-0.0720772740873139,0.027155131101608276,-0.5398675799369812,-0.08767482614839484,-0.09331908822059631,-0.29496538639068604,-0.03137373528206755,0.009344249963760376,-0.3546013832092285,-0.07841896987283636,0.04562440514564514,-0.2801748514175415,-0.08776643848741461,0.03365549445152283,-0.23380345106124878,-0.08599146432006766,-0.09671130776405334,-0.25384092330932617,-0.05927671468580176,0.016650378704071045,-0.2836056351661682,-0.10115502006137778,0.0395984947681427,-0.20582401752471924,-0.08932347572172095,0.019803375005722046,-0.1654629111289978,-0.07307764119232107,-0.08427789807319641,-0.20620888471603394,-0.0883986202510636,0.006643950939178467,-0.22547388076782227,-0.10942780948007513,0.024128884077072144,-0.16978108882904053,-0.0957874876889031,0.004181504249572754,-0.13533997535705566,-0.08071301108920981
