label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
Y,0.0,0.0,0.0,0.05987274646759033,-0.09011691808700562,-0.03201545502042791,0.09465545415878296,-0.2262117862701416,-0.045399130387068,0.12951582670211792,-0.32342660427093506,-0.06227870757675191,0.1827816367149353,-0.3456578254699707,-0.07405503193831464,0.00844961404800415,-0.29459214210510254,-0.016665843380451406,-0.03525608777999878,-0.32556766271591187,-0.062496633333921636,-0.026642560958862305,-0.2273179292678833,-0.08491146664118787,-0.0044672489166259766,-0.1582205891609192,-0.08767644415593168,-0.04962271451950073,-0.2648010849952698,-0.015311689181089605,-0.0881941020488739,-0.28975987434387207,-0.07745479146933576,-0.06367319822311401,-0.1820417046546936,-0.0953496108481886,-0.03401494026184082,-0.11049211025238037,-0.08893327514624616,-0.09762230515480042,-0.2302296757698059,-0.020805862797260488,-0.13879257440567017,-0.2572783827781677,-0.07860197971558591,-0.10813802480697632,-0.15861129760742188,-0.08426822821593305,-0.07432541251182556,-0.08832389116287231,-0.06626605342125913,-0.13828614354133606,-0.19650357961654663,-0.0287975641617777,-0.19408535957336426,-0.2657945156097412,-0.05473030830717107,-0.23775184154510498,-0.3020849823951721,-0.060061358911752905,-0.2737368047237396,-0.3396909236907959,-0.05431839178299924
Y,0.0,0.0,0.0,0.060233473777770996,-0.09182572364807129,-0.031108647141195434,0.09555000066757202,-0.2322525978088379,-0.043387775796986716,0.13161128759384155,-0.32908666133880615,-0.059362204301692145,0.18440765142440796,-0.34838688373565674,-0.07028892405662646,0.008641719818115234,-0.2987133264541626,-0.014880059774554866,-0.035088300704956055,-0.3321840763092041,-0.06000812493596186,-0.028314650058746338,-0.23279958963394165,-0.08179846175346484,-0.007397174835205078,-0.1613439917564392,-0.08400799848470797,-0.048674702644348145,-0.26927298307418823,-0.013816908489502566,-0.0885477066040039,-0.2958788275718689,-0.07570338018570055,-0.0664716362953186,-0.1871451735496521,-0.09336514540348162,-0.03787994384765625,-0.11285454034805298,-0.08640582628879656,-0.09649324417114258,-0.23532003164291382,-0.019756424728370803,-0.13830530643463135,-0.26237964630126953,-0.07704914130601992,-0.10944998264312744,-0.1642313003540039,-0.08337211378250231,-0.07598340511322021,-0.09289348125457764,-0.06555249311361422,-0.1372298300266266,-0.20226603746414185,-0.028171270642019408,-0.19182223081588745,-0.27379488945007324,-0.053658490556813376,-0.23590534925460815,-0.31108319759368896,-0.05945091091427912,-0.27158865332603455,-0.34737277030944824,-0.05401444949541201
Y,0.0,0.0,0.0,0.06122356653213501,-0.09121465682983398,-0.030361705771952074,0.09756475687026978,-0.22838658094406128,-0.04230949779537241,0.1330505609512329,-0.3244447708129883,-0.05795766537573854,0.18543684482574463,-0.3449232578277588,-0.0685095911243252,0.01220327615737915,-0.2930130958557129,-0.014500957294671935,-0.029671072959899902,-0.33024370670318604,-0.05893270423200647,-0.02336275577545166,-0.23191523551940918,-0.0798461337902836,-0.0025357604026794434,-0.16175776720046997,-0.08169525613573114,-0.04478311538696289,-0.26433616876602173,-0.013651200882463854,-0.0840233564376831,-0.2944049835205078,-0.07511546959665338,-0.06049501895904541,-0.18667298555374146,-0.0921779026606373,-0.030966341495513916,-0.1146392822265625,-0.08509935190465967,-0.09253081679344177,-0.23142105340957642,-0.019665348655848902,-0.13400539755821228,-0.25979191064834595,-0.07638331254509012,-0.10334593057632446,-0.16239863634109497,-0.08190823098209421,-0.06925630569458008,-0.09336644411087036,-0.06403596451070825,-0.1336464285850525,-0.19916754961013794,-0.02807457310643713,-0.18884482979774475,-0.2702783942222595,-0.05319736649778406,-0.2327067255973816,-0.30687230825424194,-0.05858584990289728,-0.2688366770744324,-0.343636691570282,-0.05320014556434671
Y,0.0,0.0,0.0,0.0606844425201416,-0.09183269739151001,-0.0316717764711143,0.09781348705291748,-0.22628837823867798,-0.04437384292242541,0.13384675979614258,-0.32260197401046753,-0.060744184104180476,0.18577450513839722,-0.34715938568115234,-0.07158604174611582,0.0102347731590271,-0.3000107407569885,-0.013313988258516929,-0.031406939029693604,-0.3344630002975464,-0.06029551386592402,-0.023945212364196777,-0.23484760522842407,-0.08259656935689463,-0.002879202365875244,-0.16605478525161743,-0.08452542781589045,-0.04621732234954834,-0.2698097229003906,-0.01232424568144097,-0.08427512645721436,-0.29842638969421387,-0.07674702912328257,-0.06032484769821167,-0.18829309940338135,-0.0949557712650062,-0.03133976459503174,-0.11646276712417603,-0.08747427820918574,-0.0932091474533081,-0.23598015308380127,-0.01866448208448901,-0.13367992639541626,-0.26297110319137573,-0.07854323744533076,-0.10326170921325684,-0.16414320468902588,-0.08452113628146662,-0.06995832920074463,-0.09510552883148193,-0.06556742548701777,-0.13368886709213257,-0.2031537890434265,-0.02736169755218043,-0.18970182538032532,-0.2746202349662781,-0.05369303658363833,-0.23257243633270264,-0.3112475872039795,-0.05859624504802241,-0.26732781529426575,-0.3486862778663635,-0.051858126220679424
Y,0.0,0.0,0.0,0.06109505891799927,-0.09148341417312622,-0.031808735410777444,0.0985913872718811,-0.22674494981765747,-0.04409764481624734,0.13479280471801758,-0.32355350255966187,-0.059847680459824915,0.18780934810638428,-0.346754252910614,-0.07002236841162812,0.01267629861831665,-0.3004005551338196,-0.013128824140039796,-0.028188109397888184,-0.33744168281555176,-0.06010927406987321,-0.022583365440368652,-0.23926925659179688,-0.08215070662936341,-0.0026178956031799316,-0.16923099756240845,-0.08372064081868302,-0.04358893632888794,-0.27050554752349854,-0.012079342807737703,-0.08251643180847168,-0.302109956741333,-0.07683956770142686,-0.06030482053756714,-0.19307637214660645,-0.09518525151452195,-0.03148329257965088,-0.12082850933074951,-0.08741964546879899,-0.09083747863769531,-0.23706966638565063,-0.01844439616343152,-0.1316697895526886,-0.26235026121139526,-0.07862483112057816,-0.1019085943698883,-0.16535162925720215,-0.08537405876359117,-0.0683937668800354,-0.09771406650543213,-0.06665212808093202,-0.1324985921382904,-0.20475101470947266,-0.027137711252180452,-0.18753710389137268,-0.27706271409988403,-0.05354663131674897,-0.23120838403701782,-0.31513530015945435,-0.05873905641874444,-0.266762375831604,-0.35352855920791626,-0.052169261108247156
Y,0.0,0.0,0.0,0.060202836990356445,-0.091946542263031,-0.03108397581166855,0.09798216819763184,-0.22587072849273682,-0.043544997354217685,0.13535773754119873,-0.3209725022315979,-0.05941989355272881,0.1886434555053711,-0.34500858187675476,-0.06976668246574036,0.011817216873168945,-0.29695242643356323,-0.014477239814766563,-0.029700756072998047,-0.33395397663116455,-0.0606638722915136,-0.022852778434753418,-0.23650223016738892,-0.08205371805019013,-0.0020028352737426758,-0.16727960109710693,-0.08347892471141449,-0.04455214738845825,-0.2667991518974304,-0.01354723599291674,-0.08358505368232727,-0.29793643951416016,-0.07762903430051438,-0.060020625591278076,-0.19038593769073486,-0.09514308430738083,-0.03032827377319336,-0.11905902624130249,-0.08722278930730454,-0.09141430258750916,-0.2329479455947876,-0.019815302347012675,-0.13154566287994385,-0.2580254077911377,-0.07923540927953354,-0.1000775694847107,-0.16260075569152832,-0.08541784890479676,-0.06553256511688232,-0.09615492820739746,-0.0668417484361612,-0.13235124945640564,-0.20046764612197876,-0.028345520501204646,-0.18735897541046143,-0.2722349762916565,-0.05473046087212197,-0.23078352212905884,-0.310870885848999,-0.06021940045542351,-0.2663305699825287,-0.3501218557357788,-0.054226268907257236
Y,0.0,0.0,0.0,0.06014174222946167,-0.09381556510925293,-0.028721965669774363,0.09741228818893433,-0.22720056772232056,-0.039987770660900424,0.1348276138305664,-0.32108980417251587,-0.055130200280927966,0.18798601627349854,-0.34379762411117554,-0.06528426502563889,0.00941687822341919,-0.29631465673446655,-0.01324714981683428,-0.029147982597351074,-0.33238422870635986,-0.05797089804627831,-0.022624433040618896,-0.23464840650558472,-0.07918856833794052,-0.0028231143951416016,-0.16394120454788208,-0.08110447768785889,-0.04726618528366089,-0.26669442653656006,-0.013106336637520144,-0.08290669322013855,-0.29744791984558105,-0.0749687084994548,-0.06066769361495972,-0.18880724906921387,-0.09228664432384903,-0.03244578838348389,-0.11485111713409424,-0.08520523254492218,-0.09398028254508972,-0.23248010873794556,-0.01977761071839268,-0.13218954205513,-0.261019766330719,-0.07711401377537186,-0.10207515954971313,-0.165230393409729,-0.08331338857033188,-0.06842255592346191,-0.09677249193191528,-0.06573877279379303,-0.13400989770889282,-0.19917720556259155,-0.02860905398347313,-0.1886453628540039,-0.26984572410583496,-0.05498336423852379,-0.23182258009910583,-0.30783915519714355,-0.061371648504518816,-0.26706284284591675,-0.3463435769081116,-0.0564510988137954
Y,0.0,0.0,0.0,0.06091529130935669,-0.09229302406311035,-0.03158455905958135,0.09757781028747559,-0.22748816013336182,-0.04451793251081426,0.1338757872581482,-0.32414084672927856,-0.0607359950010391,0.18712890148162842,-0.34689241647720337,-0.07181135383888204,0.008704960346221924,-0.298397958278656,-0.01613205862685163,-0.029496610164642334,-0.3340284824371338,-0.06197079089923818,-0.022872745990753174,-0.23594796657562256,-0.08425563392682989,-0.003625333309173584,-0.1645626425743103,-0.08684753445430715,-0.048689067363739014,-0.26939040422439575,-0.014827680825135303,-0.0842968225479126,-0.2991214990615845,-0.07689999607845266,-0.061903417110443115,-0.18998247385025024,-0.0945407506589504,-0.03394317626953125,-0.1156187653541565,-0.08779619452997167,-0.09599372744560242,-0.235368549823761,-0.020540429330310417,-0.1341915726661682,-0.2637174725532532,-0.0777439680461498,-0.10457843542098999,-0.1670132875442505,-0.08378483173891027,-0.07132554054260254,-0.09708636999130249,-0.06621187744184454,-0.13615676760673523,-0.20141422748565674,-0.02872213353856523,-0.19026237726211548,-0.27207785844802856,-0.05461026546998937,-0.23321107029914856,-0.30990368127822876,-0.06068068189068754,-0.2683507204055786,-0.3475254774093628,-0.05558218253298719
Y,0.0,0.0,0.0,0.06174743175506592,-0.09193390607833862,-0.03162521209259239,0.098702073097229,-0.225854754447937,-0.044170738120271835,0.134393572807312,-0.32099324464797974,-0.06018969874520508,0.1870153546333313,-0.3439443111419678,-0.07077179189462868,0.010214507579803467,-0.2947918772697449,-0.015500891876115475,-0.027621567249298096,-0.33112630248069763,-0.06191860597272125,-0.020281314849853516,-0.23355096578598022,-0.08368598010082451,-0.00048530101776123047,-0.16412407159805298,-0.08580847914953438,-0.046607136726379395,-0.2651742696762085,-0.014636760499968204,-0.0822150707244873,-0.2970619797706604,-0.07750269110937325,-0.06001412868499756,-0.18915718793869019,-0.09473104115267006,-0.03227341175079346,-0.11784040927886963,-0.08757429655332771,-0.0936322808265686,-0.23079252243041992,-0.02106489885289875,-0.13246184587478638,-0.2584412693977356,-0.0799749651147863,-0.10267561674118042,-0.16213375329971313,-0.08589041318435875,-0.0691918134689331,-0.09445393085479736,-0.0678401076390287,-0.13420984148979187,-0.1968764066696167,-0.029890832413627777,-0.18896356225013733,-0.26827627420425415,-0.056950774897529755,-0.23269706964492798,-0.30632299184799194,-0.06307116236229149,-0.26841217279434204,-0.34461039304733276,-0.05791965212364403
Y,0.0,0.0,0.0,0.06157815456390381,-0.09169352054595947,-0.03185196537754109,0.09775859117507935,-0.22779381275177002,-0.04413880352160504,0.1323554515838623,-0.32407939434051514,-0.0593068705894666,0.18482786417007446,-0.3454330563545227,-0.06898185182592442,0.010159611701965332,-0.29524463415145874,-0.017681417430253532,-0.028094172477722168,-0.3343812823295593,-0.06368336398384145,-0.021850883960723877,-0.23709964752197266,-0.08523583729049733,-0.0027422308921813965,-0.16510850191116333,-0.08721337784311345,-0.04690343141555786,-0.26558852195739746,-0.01600777674696019,-0.08346092700958252,-0.2987068295478821,-0.07859818954250386,-0.06125146150588989,-0.1920413374900818,-0.09541557301065495,-0.03346735239028931,-0.11894470453262329,-0.08798566777488759,-0.09424018859863281,-0.2320873737335205,-0.02148280050835183,-0.13369229435920715,-0.2607097625732422,-0.07929922957202962,-0.1031792163848877,-0.16702884435653687,-0.08547861445924809,-0.06917107105255127,-0.09920400381088257,-0.0680179329611974,-0.1348264217376709,-0.1991819143295288,-0.02938326392552426,-0.18976277112960815,-0.27051979303359985,-0.055958497712822464,-0.23388749361038208,-0.309636652469635,-0.0628248782851415,-0.27030816674232483,-0.3479890525341034,-0.058514221946211364
