label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
Z,0.0,0.0,0.0,0.0492020845413208,-0.11890649795532227,-0.029960055495564575,0.041218340396881104,-0.24898487329483032,-0.02294991038269245,-0.0033420324325561523,-0.3446996808052063,-0.018951606596772308,-0.056025028228759766,-0.40368032455444336,-0.013405004176263446,0.03150904178619385,-0.27278047800064087,0.06772194743626869,0.032443881034851074,-0.35148805379867554,0.06419571429961479,0.032867431640625,-0.4081477224826813,0.053117125635083084,0.03222018480300903,-0.46012255549430847,0.043739728038246994,-0.017219364643096924,-0.26410311460494995,0.07176165223592079,-0.032409608364105225,-0.35014504194259644,0.0464390659379319,-0.04007112979888916,-0.38546836376190186,0.018098974009092217,-0.04878425598144531,-0.40242666006088257,0.007540682670708065,-0.06776821613311768,-0.235687255859375,0.06567975074523247,-0.07545047998428345,-0.3090243935585022,0.005856475201483136,-0.04717487096786499,-0.22375023365020752,-0.02211051307148182,-0.029143154621124268,-0.1496785283088684,-0.018686019475524063,-0.11376047134399414,-0.19969171285629272,0.05887680069082535,-0.10740938782691956,-0.2546953558921814,0.000991281578365033,-0.07865729928016663,-0.19066017866134644,-0.01930303744501316,-0.05929768085479736,-0.13256990909576416,-0.018977890382473106
Z,0.0,0.0,0.0,0.04931008815765381,-0.12072014808654785,-0.03644083602591763,0.04126536846160889,-0.25078684091567993,-0.031140649451458557,-0.0020806193351745605,-0.3474915027618408,-0.02790422713621865,-0.05315399169921875,-0.4126485586166382,-0.022504130138599976,0.034609436988830566,-0.27220720052719116,0.06724227802590121,0.0342555046081543,-0.3521196246147156,0.061313914374864,0.03405487537384033,-0.41168057918548584,0.04752342240647067,0.032678842544555664,-0.4658568203449249,0.036304405198848144,-0.014362037181854248,-0.26283979415893555,0.07396413968638171,-0.028981029987335205,-0.35319364070892334,0.04392347322539081,-0.036917686462402344,-0.39092016220092773,0.010147625820195572,-0.046324849128723145,-0.4073061943054199,-0.0030529077561141094,-0.06467872858047485,-0.23590314388275146,0.06972421543434848,-0.07269510626792908,-0.313305139541626,0.005612433196461097,-0.04577803611755371,-0.22970229387283325,-0.02747366553410302,-0.029507577419281006,-0.15492093563079834,-0.02601155614718209,-0.11077123880386353,-0.20496642589569092,0.06432779716089954,-0.10432308912277222,-0.26004964113235474,0.0029433465166448514,-0.07626870274543762,-0.19646430015563965,-0.02136167114838372,-0.058188557624816895,-0.13832801580429077,-0.023100550978028878
Z,0.0,0.0,0.0,0.049363136291503906,-0.1207767128944397,-0.03531535915112727,0.04207664728164673,-0.25000709295272827,-0.028963282844188143,-0.0016232132911682129,-0.3453490734100342,-0.024938570475342203,-0.052400052547454834,-0.4096214771270752,-0.018789244955542017,0.03434300422668457,-0.2723305821418762,0.07053284146809347,0.033645033836364746,-0.3536354899406433,0.06717746504568822,0.033694684505462646,-0.41234034299850464,0.054941991204259466,0.03316771984100342,-0.46490174531936646,0.04471533917808301,-0.013806760311126709,-0.2621123194694519,0.07704403796219594,-0.029448330402374268,-0.3529053330421448,0.049883099133012365,-0.03811514377593994,-0.39014315605163574,0.017165567586062025,-0.04844409227371216,-0.4060264229774475,0.004393881512669395,-0.0635066032409668,-0.23481619358062744,0.07263040342354543,-0.07344934344291687,-0.3130059838294983,0.01112713371389873,-0.046037256717681885,-0.22940486669540405,-0.021713845571639467,-0.02908945083618164,-0.15500760078430176,-0.020627448475124766,-0.10933035612106323,-0.20242351293563843,0.06703448095345266,-0.1051596999168396,-0.258575975894928,0.0077622806186354865,-0.07759684324264526,-0.19657713174819946,-0.016149962460758616,-0.05912601947784424,-0.13936525583267212,-0.018064513942363192
Z,0.0,0.0,0.0,0.04947298765182495,-0.1271076798439026,-0.030337981155980742,0.04151296615600586,-0.2526834011077881,-0.020410468078125632,0.0010644793510437012,-0.34576416015625,-0.014463573901821292,-0.04826456308364868,-0.4106696844100952,-0.0066439618569802406,0.0356559157371521,-0.26989954710006714,0.0830617200369943,0.03522008657455444,-0.35163742303848267,0.08096635600281843,0.036448538303375244,-0.41126322746276855,0.06723454108191618,0.03649419546127319,-0.4650624394416809,0.055749232673178994,-0.012817800045013428,-0.2585000991821289,0.08727044870806822,-0.026591718196868896,-0.3518792986869812,0.05894335990501531,-0.03429335355758667,-0.39026015996932983,0.02137772997571119,-0.04492461681365967,-0.4049203395843506,0.006091207989584291,-0.062415897846221924,-0.2322089672088623,0.08049443622780927,-0.07123616337776184,-0.31203150749206543,0.01813875397397169,-0.043432533740997314,-0.22817063331604004,-0.01918528901683203,-0.02751976251602173,-0.15377044677734375,-0.020297394341696418,-0.1089707612991333,-0.20330166816711426,0.07291806002808698,-0.10364830493927002,-0.2584736943244934,0.013217213356028878,-0.07587912678718567,-0.19627904891967773,-0.013030191159714377,-0.05793595314025879,-0.13945525884628296,-0.016189496240485823
Z,0.0,0.0,0.0,0.04973059892654419,-0.12620645761489868,-0.030460249575696707,0.0413021445274353,-0.2503737211227417,-0.021451899724922896,0.0006647706031799316,-0.3401637077331543,-0.01675046602161956,-0.04717254638671875,-0.4069787859916687,-0.010180032755158663,0.03438907861709595,-0.2713543176651001,0.08406110672382283,0.03533118963241577,-0.35090798139572144,0.08250989584354329,0.036340951919555664,-0.4108027219772339,0.06950398353961873,0.036181092262268066,-0.4628406763076782,0.05890141992000508,-0.013907372951507568,-0.25813376903533936,0.08756337879327702,-0.026717305183410645,-0.3504963517189026,0.059393400383271455,-0.03511667251586914,-0.38709092140197754,0.022248402294792413,-0.04709106683731079,-0.3997306823730469,0.008007738796152353,-0.06303572654724121,-0.23056453466415405,0.07995039789108205,-0.07073116302490234,-0.3066972494125366,0.0180216301801579,-0.04226040840148926,-0.22284764051437378,-0.019391920360646964,-0.02638930082321167,-0.15037000179290771,-0.02020585345002246,-0.10976043343544006,-0.20125001668930054,0.07145166216520238,-0.10352084040641785,-0.25525957345962524,0.013013954331256627,-0.07609415054321289,-0.19408071041107178,-0.01271763810785842,-0.058706820011138916,-0.1388542652130127,-0.015518668050788165
Z,0.0,0.0,0.0,0.05056518316268921,-0.12723815441131592,-0.028571639704978224,0.04024088382720947,-0.25237196683883667,-0.01839365487126088,-0.0022240877151489258,-0.34225159883499146,-0.012550080690061804,-0.05100935697555542,-0.40499818325042725,-0.004828816309100148,0.03481638431549072,-0.2690243721008301,0.08267526279064441,0.034192800521850586,-0.3485594391822815,0.07967939178320194,0.034591853618621826,-0.4085657000541687,0.06558578411909366,0.033487021923065186,-0.46159517765045166,0.05387909660908008,-0.014319300651550293,-0.2564546465873718,0.08537312547537113,-0.026872217655181885,-0.34863585233688354,0.05622814173671031,-0.03594791889190674,-0.38713306188583374,0.018646830197894815,-0.04882889986038208,-0.401713490486145,0.0034257585355135234,-0.06392419338226318,-0.2292831540107727,0.07720742325159335,-0.07222187519073486,-0.30616188049316406,0.013254516263032201,-0.044067978858947754,-0.2244020700454712,-0.024626974511420485,-0.028384745121002197,-0.1527743935585022,-0.02586866405931687,-0.11090052127838135,-0.19974058866500854,0.06850586037012363,-0.10358279943466187,-0.25312352180480957,0.006794752058112863,-0.07479411363601685,-0.19021213054656982,-0.020215079683339354,-0.05627012252807617,-0.13376843929290771,-0.023686141270673033
Z,0.0,0.0,0.0,0.04793339967727661,-0.1250821352005005,-0.03221550061778089,0.03872638940811157,-0.2525889277458191,-0.02389410547391435,-0.002743065357208252,-0.3455290198326111,-0.019121902430811133,-0.05241227149963379,-0.40940719842910767,-0.012386483507611956,0.03372865915298462,-0.2701636552810669,0.0787185706250284,0.03294968605041504,-0.35179442167282104,0.07550402507706622,0.033416688442230225,-0.4120502173900604,0.06177251562996844,0.032756924629211426,-0.4659635126590729,0.05054774284883479,-0.015112578868865967,-0.25898295640945435,0.08380642310305575,-0.028241455554962158,-0.35260313749313354,0.05442809090538958,-0.03722506761550903,-0.3891776204109192,0.01689418368562201,-0.04917013645172119,-0.402820348739624,0.0020536336634222607,-0.06458693742752075,-0.23285311460494995,0.07809351906701067,-0.07377737760543823,-0.3124639391899109,0.015736519923052583,-0.04675811529159546,-0.22904998064041138,-0.021377878630914893,-0.030979573726654053,-0.15408527851104736,-0.02225049249307176,-0.11091816425323486,-0.2040543556213379,0.07148213461562136,-0.10487774014472961,-0.2578914761543274,0.01192671116962174,-0.07704046368598938,-0.1957215666770935,-0.014371622721114363,-0.0583343505859375,-0.13831472396850586,-0.017441157618918623
Z,0.0,0.0,0.0,0.048793792724609375,-0.12290489673614502,-0.03558310511783702,0.04240286350250244,-0.2488107681274414,-0.030785395012060235,0.00047200918197631836,-0.34392791986465454,-0.028679892600337098,-0.05129063129425049,-0.4052783250808716,-0.02460986207501037,0.03505891561508179,-0.27185606956481934,0.07342027854843991,0.03541457653045654,-0.34904295206069946,0.06545311194582837,0.035607337951660156,-0.41034120321273804,0.04870871063991444,0.03533005714416504,-0.4629426896572113,0.036104269146164825,-0.0126265287399292,-0.2598312497138977,0.07841312122269528,-0.027563810348510742,-0.35727638006210327,0.04364396986289876,-0.03624612092971802,-0.38914644718170166,0.005028428795924356,-0.04681664705276489,-0.39719390869140625,-0.008842210464933942,-0.06170457601547241,-0.23293739557266235,0.07238858175202267,-0.0707266628742218,-0.3118852376937866,0.00531846266909497,-0.0454980731010437,-0.22704952955245972,-0.030902955860653947,-0.02985447645187378,-0.1529695987701416,-0.02952810953632934,-0.10786014795303345,-0.20201176404953003,0.06536878627463238,-0.10286885499954224,-0.2569921612739563,0.003587615263825228,-0.0773722231388092,-0.19189012050628662,-0.02093528042809112,-0.060423970222473145,-0.13338035345077515,-0.02187170851306064
Z,0.0,0.0,0.0,0.047317683696746826,-0.1245344877243042,-0.03363329049790309,0.03977996110916138,-0.25127077102661133,-0.025447596503738623,-5.561113357543945e-05,-0.346835732460022,-0.020139620347265463,-0.04861027002334595,-0.4113817811012268,-0.012512077285293799,0.03254532814025879,-0.2708565592765808,0.07399758073842122,0.03448140621185303,-0.3531387448310852,0.06821755442177846,0.036364972591400146,-0.4135148525238037,0.05209219205534055,0.036197781562805176,-0.4676486849784851,0.03903564560567929,-0.014933288097381592,-0.2606313228607178,0.07944441709076955,-0.02450782060623169,-0.3526122570037842,0.04618176195180013,-0.03313189744949341,-0.39130568504333496,0.005844834552760858,-0.04525351524353027,-0.40617018938064575,-0.01130897801959918,-0.06411796808242798,-0.23575615882873535,0.07421612116849019,-0.07177165150642395,-0.31133097410202026,0.00924343644982173,-0.04581916332244873,-0.2312464714050293,-0.02860176254654334,-0.030060231685638428,-0.15786051750183105,-0.030154618142489653,-0.11010444164276123,-0.20783942937850952,0.06795492890631749,-0.10358697175979614,-0.2591632604598999,0.0064233935565312095,-0.07722389698028564,-0.1973363161087036,-0.020193847535495024,-0.05923151969909668,-0.14025646448135376,-0.02350499358618663
Z,0.0,0.0,0.0,0.04948914051055908,-0.12731069326400757,-0.036916473088979274,0.041707634925842285,-0.2493760585784912,-0.03428373592925027,0.0008376836776733398,-0.34033697843551636,-0.0355620096905227,-0.04997009038925171,-0.40544289350509644,-0.03469208735060647,0.03423279523849487,-0.2755125164985657,0.08210146320033118,0.03575098514556885,-0.35114556550979614,0.07550725233721778,0.037386298179626465,-0.4124956727027893,0.05883351606297538,0.03926408290863037,-0.46337181329727173,0.04639008161592528,-0.014399707317352295,-0.2602720856666565,0.08628564220833823,-0.029601693153381348,-0.3562856912612915,0.052227555634260625,-0.035009920597076416,-0.3869524598121643,0.01207207781243369,-0.04283022880554199,-0.3961096405982971,-0.002101290645271092,-0.06309175491333008,-0.23251986503601074,0.07841598880457923,-0.06994038820266724,-0.30987316370010376,0.010661901766241044,-0.04308450222015381,-0.2256014347076416,-0.02953013884854272,-0.02764219045639038,-0.1525251269340515,-0.030055512814044505,-0.10877832770347595,-0.20327389240264893,0.06922925901579902,-0.10009419918060303,-0.25498783588409424,0.006575684854567498,-0.07313653826713562,-0.18964171409606934,-0.020933645917295962,-0.05630010366439819,-0.1314563751220703,-0.02354546743464425
